current_name,recommended_name,current_params,recommended_params,confidence,notes
method1716,validateOrDefaultValue,bool: Boolean,triggerReset: Boolean,medium,"Overrides GraphicsOptionState's abstract method1716. Calls method1712(-34,-61) as a decoy when triggerReset is true (result unused beyond the side-effect of setting anInt3138=-61, immediately possibly overwritten below), then clamps anInt3138 into [0,4] by calling method1710(20014) (getDefaultValue) if out of range. Matches the validate/init pattern shared by sibling GraphicsOptionState subclasses (see RemoveRoofsOptionState.method1716 in this same batch, same abstract contract)."
method1712,setValue,"i: Int, i_8_: Int","gate: Int, value: Int",high,"Overrides GraphicsOptionState's abstract method1712 (confirmed by base class GraphicsOptionState.method1718 usage pattern: `method1712(12,42)` / `method1712(124,i)`). Simply assigns anInt3138 = value; `gate` is unused beyond a dead local computation (`-17 / ((82 - gate) / 35)`)."
method1764,getValue,i: Int,gate: Int,high,"Returns the current option value (anInt3138). Calls Companion.method1763(18) as a decoy side-effect when gate==-32350 (clears an unrelated font-metadata cache) - has no bearing on the returned value."
method1714,getRequiredDetailLevel,"i: Int, i_14_: Int","gate: Int, unused: Int",low,"Overrides GraphicsOptionState's abstract method1714. Always returns 1 when gate==3 (the only value the base class's method1718 ever passes); calls method1710(-95) as a decoy when gate!=3. Base-class usage (`if (method1714(3,i) != 3) method1712(124,i)`) suggests this represents a 'minimum detail level required for this option' check, but exact semantics are uncertain without broader cross-file confirmation."
method1710,getDefaultValue,i: Int,gate: Int,medium,"Overrides GraphicsOptionState's abstract method1710, used by the base class constructor to seed anInt3138. Returns 3 (the max 'ranged' option index, 0-4 range per method1716's clamp) only when gate==20014 (the sentinel every real call site passes); returns 118 otherwise as an effective error/no-op sentinel."
method1760,spawnParticleEmitter,"i: Int, i_0_: Int, bool: Boolean, i_1_: Int, i_2_: Byte, i_3_: Int, i_4_: Int, i_5_: Int","x: Int, y: Int, isSecondaryVariant: Boolean, z: Int, gate: Byte, colour: Int, lifetime: Int, plane: Int",medium,"Companion. Subject to a per-feature-toggle check via IntHashSetStatics (two different varbit-like flags depending on isSecondaryVariant) plus a hard cap of 50 concurrent entries (HintArrowOrMessage.anInt2021), appends a new ParticleEmitterNode (type byte 2 or 3 based on isSecondaryVariant) into GlTextureCubeMap.aParticleEmitterNodeArray8531s."
method1761,resetSceneRenderState,i: Int,unused: Int,low,"Companion. Broad per-scene-reload reset: reassigns GlGroundShaderPass.anInt7396 to DirectionPath.anInt1064, clears shadow-builder counters, resets a size-bounded soft cache's dirty-flag array, invalidates region-loading state (ActiveMapRegion.method769 / SceneNodeDeque.method842), calls FacingDirectionNode.aRenderer6654.la() and SpriteRenderEntry.method3281 (unknown renderer hooks), and finally CacheArchiveIndexLoader.method338 to (re)load a cache index page. Broad scope suggests this fires whenever the ranged-draw-distance option changes and the scene needs to be rebuilt at the new range, but this is inferred from context rather than directly confirmed."
method1762,resolveOverlayFlagIndex,"i: Int, i_10_: Int, i_11_: Int, i_12_: Int","unused: Int, layerIndex: Int, tileZ: Int, tileX: Int",medium,"Companion. Reads bit flags from GraphicsOptionState.aByteArrayArrayArray6962 (a shared 3D byte flag grid, likely terrain/overlay render flags): returns 0 if bit 0x8 is set at [layerIndex][tileX][tileZ]; returns layerIndex-1 if layerIndex>0 and bit 0x2 is set on layer 1 at the same tile; else returns layerIndex unchanged - looks like resolving which terrain layer/overlay to use accounting for a 'hidden'/'merged-down' flag."
method1763,clearFontMetaRefCache,i: Int,unused: Int,high,"Companion: nulls aFontMetaRef_5938 unconditionally; recurses into itself once with a different literal when unused!=-15596 - a decoy self-call with no additional effect."
method1765,foldAccentedChar,"c: Char, i: Int, i_15_: Int","c: Char, unused: Int, gate: Int",high,"Companion. Folds Latin-1 accented characters (U+00C0-U+00FF plus Œ/œ/Ÿ) down to their unaccented base letter (A/E/I/O/U/C/Y/s), used for accent-insensitive text comparison - confirmed by call site RemoveRoofsOptionState.method1811 (a string comparator) invoking this on both compared characters before case-folding."
method1766,loadFontDefinition,"i: Byte, i_16_: Int, js5Archive: Js5Archive","gate: Byte, fontId: Int, archive: Js5Archive",high,"Companion. Loads raw font data for fontId from the js5 archive (archive.method415) and wraps it in a new FontDefinition, or returns null if the data is missing or gate>=-24 (gate only permits loading when < -24, an odd inverted-looking guard but consistently the only path that does real work)."
