current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,renderConfig: RenderConfig?,renderConfig: RenderConfig?,high,"Primary constructor. Init block claims a free slot (0-7) in the shared static aBooleanArray9351 pool for this.anInt4567, throwing IllegalStateException(\"NFTI\") if all 8 slots are taken - a fixed-size 'live renderer instance' slot allocator (matches finalize()/method3635 releasing the slot)."
method3624,getMarkerAtIndex,"i: Int, i_0_: Int","index1: Int, index2: Int",low,"Abstract. Cross-referenced from OpenGlRenderer.csv (stub always returning null there) and NativeRenderer.csv (no traced body). Consumed by method3681 to fetch a Marker for a model renderer's camera-facing setup."
b,setCameraViewport,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, d: Double","(5 params, roles unclear)",low,"Abstract. Cross-referenced from OpenGlRenderer.csv (no-op stub, roles unclear there either) and NativeRenderer.csv (abstract, no body traced)."
method3625,createModel,"modelDefinition: ModelDefinition?, i: Int, i_4_: Int, i_5_: Int, i_6_: Int","modelDefinition: ModelDefinition?, tag: Int, orientation: Int, x: Int, z: Int",high,"Abstract factory. Confirmed by both OpenGlRenderer.csv (returns OpenGlModel(this,modelDefinition,tag,x,z,orientation)) and NativeRenderer.csv (returns Direct3dModel(...) with the same param roles)."
F,setSomeRenderFlag,"i: Int, i_7_: Int","a: Int, b: Int",low,"Abstract. Both known implementations (OpenGlRenderer.csv) are no-op stubs besides a call counter; exact purpose unconfirmed in either backend."
method3626,presentFrame,"i: Int, i_8_: Int","width: Int, height: Int",high,"Abstract, @Throws(ClientException). Confirmed by OpenGlRenderer.csv (anOpenGL7664.swapBuffers()) and NativeRenderer.csv (matching name/role)."
method3627,isBloomEffectActive,none,none,high,"Abstract Boolean query. Confirmed by OpenGlRenderer.csv."
method3628,drawOffsetLineSegment,"i: Int, i_9_: Int, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int","x0: Int, y0: Int, x1: Int, y1: Int, color: Int, tag: Int",high,"Abstract. Confirmed by OpenGlRenderer.csv and NativeRenderer.csv (both match). Like method3709/drawTexturedLineSegment but with a small pixel-center offset applied first."
method3629,createAnimatedModelRenderer,"i: Int, i_14_: Int, bool: Boolean","width: Int, height: Int, hasAlpha: Boolean",high,"Abstract factory. Confirmed by OpenGlRenderer.csv (GlSpriteRenderer) and NativeRenderer.csv (AnimatedModelRenderer)."
Y,getViewportBounds,none,none,high,"Abstract, returns IntArray. Confirmed by OpenGlRenderer.csv and NativeRenderer.csv: [originX, originY, scaleX, scaleY]."
method3630,onFeatureHEvent,bool: Boolean,tag: Boolean,high,"Abstract. Both known implementations are no-op stubs besides a call counter (OpenGlRenderer.csv/NativeRenderer.csv)."
E,getCombinedTimingOffset,none,none,medium,"Abstract Int query. OpenGlRenderer.csv: sum of three deferred-GPU-resource-deletion queue totals (a memory-usage estimate). NativeRenderer.csv: sum of three fields with less-clear provenance. Likely a 'pending GPU resource / timing' aggregate whose exact use differs slightly per backend."
I,getUnusedCounter2,none,none,high,"Abstract Int query, paired sibling to M()/getUnusedCounter. OpenGlRenderer.csv flags both as likely vestigial/dead (return-and-reset a counter with no other consumer found)."
method3631,requireModeOne,i: Int,mode: Int,high,"Abstract. Confirmed by both backends: `require(mode == 1)` - a pure validation/assertion stub."
method3632,getCanvasSize,`is`: IntArray?,out: IntArray?,high,"Abstract. Confirmed by OpenGlRenderer.csv and NativeRenderer.csv: fills out[0]/out[1] with canvas width/height."
X,setMaxTextureDimension,i: Int,maxDimension: Int,high,"Abstract. Confirmed by both backends: computes floor(log2(maxDimension)) and the corresponding power-of-two size."
xa,setAmbientLight,f: Float,ambient: Float,high,"Abstract. Confirmed by both backends (updates ambient light state, recomputes dependent lighting uniforms when changed)."
method3633,finishGl,none,none,high,"Abstract. OpenGlRenderer.csv: delegates to glFinish(). NativeRenderer.csv: no body traced but name pattern consistent."
ya,clearDepthBuffer,none,none,high,"Abstract. Confirmed by OpenGlRenderer.csv (binds render-mode 0 then clears GL_DEPTH_BUFFER_BIT)."
method3634,createSpriteDrawTargetForCamera,"cameraMarker: CameraMarker?, marker: Marker?","cameraMarker: CameraMarker?, marker: Marker?",medium,"Abstract factory. OpenGlRenderer.csv: stub always returning null in that backend; NativeRenderer.csv not traced for this one. Used by method3681 to build a per-camera sprite draw target."
method3635,releaseRendererSlot,i: Byte,tag: Byte,high,"Concrete (non-abstract). Frees this renderer's slot index (this.anInt4567) in the shared static aBooleanArray9351 pool and calls method3652/releaseResources(). Called from finalize(46) - the paired teardown to the slot claimed in the init block. Dead filler calc `-90 % ((i - 8) / 33)`."
method3636,drawTexturedDirectionalSegment,"i: Int, i_16_: Int, i_17_: Int, i_18_: Int, i_19_: Int, i_20_: Int, var_sprite: Sprite?, i_21_: Int, i_22_: Int","x0: Int, y0: Int, x1: Int, y1: Int, color: Int, tag: Int, sprite: Sprite?, u: Int, v: Int",medium,"Abstract. OpenGlRenderer.csv implements this meaningfully (binds sprite texture, normalizes direction, draws a textured GL_LINES segment) while NativeRenderer.csv shows it as a no-op stub there (named drawComplexPrimitive3) - the two backends diverge in whether this primitive does real work."
c,getRendererType,none,none,high,"Abstract. Confirmed by OpenGlRenderer.csv (detects GPU vendor, returns a RendererType) as the 'identify this backend' query."
method3638,setActiveCameraTransform,abstractCameraTransform: AbstractCameraTransform?,cameraTransform: AbstractCameraTransform?,high,"Abstract. Confirmed by both backends: stores/derives the primary camera transform and invalidates dependent cached matrices."
na,readPixelRegion,"i: Int, i_23_: Int, i_24_: Int, i_25_: Int","x: Int, yOffset: Int, width: Int, height: Int",high,"Abstract. Confirmed by OpenGlRenderer.csv: screen-region pixel readback via glReadPixels (e.g. for screenshots)."
r,computeClipOutcodeForSegment,"i: Int, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int, i_30_: Int, i_31_: Int","x0: Int, y0: Int, z0: Int, x1: Int, y1: Int, z1: Int, divisor: Int",high,"Abstract. Confirmed by both backends: Cohen-Sutherland-style clip outcode computation with an explicit perspective divisor, sibling to JA/computeClipOutcodeForEdge."
DA,setViewportBounds,"i: Int, i_32_: Int, i_33_: Int, i_34_: Int","originX: Int, originY: Int, scaleX: Int, scaleY: Int",high,"Abstract. Confirmed by both backends: sets viewport origin/scale and rebuilds dependent projection matrices."
method3639,isShadowRenderingSupported,none,none,high,"Abstract Boolean query. Confirmed by both backends (though the underlying check differs per backend: minimap-renderer readiness in GL vs. a shadow-render-pass array in the Native/D3D path)."
method3640,getActiveCameraTransform,none,none,high,"Abstract. Confirmed by both backends: returns the primary camera transform set by method3638."
method3642,setPendingTileShapes,"i: Int, class348_sub1s: Array<AbstractTileShape?>?","count: Int, shapes: Array<AbstractTileShape?>?",high,"Abstract. Confirmed by both backends: copies `count` entries of `shapes` into a per-renderer point-light/shape array and re-uploads dependent lighting uniforms."
method3643,registerCanvas,"canvas: Canvas?, i: Int, i_40_: Int","canvas: Canvas?, tag: Int, tag2: Int",high,"Abstract. Confirmed by both backends: tracks a secondary Canvas's native rendering context if showing and not already tracked."
method3644,isFeatureFSupported,none,none,high,"Abstract Boolean query/capability stub. Confirmed by both backends (both return true)."
method3645,drawTexturedLineSegmentWrapper,"i: Int, i_41_: Int, i_42_: Int, i_43_: Int, i_44_: Int, i_45_: Int","y0: Int, x0: Int, x1: Int, decoyTag: Int, color: Int, y1: Int",low,"Concrete. Delegates to method3709/drawTexturedLineSegment(x0, y0, x1, y1, color, 1) - note the odd positional remapping (y0 is this method's 1st param, x0 its 2nd). Decoy: `if (decoyTag != -8003) method3665/getCameraMarkerAt(75, 67)` (result discarded) - param order/purpose inferred purely from the call-site argument shuffle, not independently confirmed."
method3646,releaseQueuedGpuResources,i: Int,mask: Int,high,"Abstract. Confirmed by both backends: synchronized drain of several deferred-GPU-resource-deletion queues (buffers/textures/framebuffers/etc.)."
method3647,onSomeLifecycleEvent,bool: Boolean,flag: Boolean,low,"Abstract. Both known implementations are no-op stubs besides a call counter; exact purpose unconfirmed."
method3648,createTerrainTile,"i: Int, i_46_: Int, `is`: Array<IntArray?>, is_47_: Array<IntArray?>?, i_48_: Int, i_49_: Int, i_50_: Int","x: Int, z: Int, heights: Array<IntArray?>, overlayHeights: Array<IntArray?>?, flags: Int, tilesX: Int, tilesZ: Int",high,"Abstract factory. Confirmed by both backends (OpenGlTerrainTile / NativeTerrainTile constructors with matching param roles)."
method3649,drawLineSegmentByLengthIfReady,"i: Byte, i_51_: Int, i_52_: Int, i_53_: Int, i_54_: Int","decoyTag: Byte, length: Int, y0: Int, color: Int, x0: Int",low,"Concrete. Only calls U/drawLineSegmentByLength(x0, y0, length, color, 1) when decoyTag<-67 - param roles inferred from U's confirmed signature and the call-site argument order; the gating condition's real-world truthiness at call sites of this wrapper was not traced."
method3650,onTerrainTileCreated,i: Int,tag: Int,high,"Abstract. Confirmed by both backends: no-op besides a call counter."
method3651,bindVertexProgramHeap,var_shaderProgram: ShaderProgram?,shaderProgram: ShaderProgram?,high,"Abstract. Confirmed by both backends: adopts the given ArbVertexProgram's native heap for scratch buffer allocation."
P,drawLineSegmentRelative,"i: Int, i_55_: Int, i_56_: Int, i_57_: Int, i_58_: Int","x0: Int, y0: Int, length: Int, color: Int, tag: Int",high,"Abstract. Confirmed by both backends: draws a 2-vertex line segment from (x0,y0) to (x0,y0+length)."
method3652,releaseResources,none,none,high,"Abstract. Confirmed by both backends: disposes all tracked GPU/native resources for this renderer instance; called from method3635/releaseRendererSlot."
za,drawGroundPingCircleMarker,"i: Int, i_59_: Int, i_60_: Int, i_61_: Int, i_62_: Int","x: Int, y: Int, radius: Int, color: Int, tag: Int",high,"Abstract. Confirmed by both backends: draws an adaptive-detail ground 'ping'/target-marker ring."
method3653,setEnvironmentCubeTextureSource,circleRasterizer: CircleRasterizer?,cubeTextureSource: CircleRasterizer?,high,"Abstract. Confirmed by both backends: stores the given cube-map texture source (CircleRasterizer is evidently reused as a generic texture-source marker type here)."
method3654,createCameraTransform,none,none,high,"Abstract factory. Confirmed by both backends (ProjectionCameraTransform / FloatCameraTransform)."
JA,computeClipOutcodeForEdge,"i: Int, i_63_: Int, i_64_: Int, i_65_: Int, i_66_: Int, i_67_: Int","x0: Int, y0: Int, z0: Int, x1: Int, y1: Int, z1: Int",medium,"Abstract. Confirmed by both backends: Cohen-Sutherland-style outcode computation for two camera-transformed points, sibling to r/computeClipOutcodeForSegment."
i,getNearPlaneDistance,none,none,high,"Abstract. Confirmed by both backends: returns the near clip-plane distance."
method3655,isFeatureESupported,none,none,high,"Abstract capability stub. Confirmed by both backends (both return true)."
L,setViewportOrigin,"i: Int, i_72_: Int, i_73_: Int","x: Int, tag: Int, y: Int",high,"Abstract. Confirmed by both backends: stores viewport origin (x,y) and rebuilds dependent projection/fog state."
method3657,resizeCanvasRegions,"rectangles: Array<Rectangle?>?, i: Int, i_74_: Int","rectangles: Array<Rectangle?>?, tag: Int, decoyTag: Int",low,"Concrete, @Throws(ClientException). Delegates to method3707/resizeCanvasRegion(rectangles, tag, 0, 0) (width/height hardcoded to 0 here). Decoy: `if (decoyTag <= 41) this.anInt4567 = 54` - suspicious, since anInt4567 is this renderer's own slot index in the static instance pool (see init block/method3635); overwriting it with a hardcoded 54 looks like either a dead decompiler artifact or a genuine (and confusing) side effect - flagged for follow-up, not confirmed either way."
f,setNearFarPlanes,"i: Int, i_75_: Int","near: Int, far: Int",high,"Abstract. Confirmed by both backends: updates near/far clip distances and rebuilds dependent matrices."
la,resetClipBounds,none,none,high,"Abstract. Confirmed by both backends: resets the clip rectangle to the full canvas."
