current_name,recommended_name,current_params,recommended_params,confidence,notes
method2376,isRenderable,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2376. Always returns false in both branches (`if (decoyId>-12) return false; return false`) -- same always-false shape as the sibling SequencedActorEntity.csv override of this slot, closer to DynamicSceneObjectEntity's always-false isOccluder than GroundDecorSceneEntity's real model-loaded check."
method2379,getMinimapScaledHeight,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2379 (cross-ref GroundDecorSceneEntity.csv/SequencedActorEntity.csv). Guard here is inverted vs. the sibling files: `if (decoyId != -25675) return -125` short-circuits before reaching the animator; only when decoyId==-25675 does it call aSceneObjectAnimator_10045.method1664(i xor 0x6462) for the real value. Given DynamicSceneObjectEntity.csv confirms -25675 is the literal every real caller passes, the real (non-decoy) path is expected to be the live one in practice."
method2388,isNormalsMerged,i: Int,decoyId: Int,low,"Overrides SceneEntity's abstract method2388. Always returns false in both branches -- consistent with method2392/resetMergedNormals below being a hard-stubbed always-throw, i.e. seam-normal merging is never actually tracked/supported for this animated ground-decor wrapper."
method40,resetCubemapLighting,i: Int,resetTrigger: Int,medium,"Part of RenderTarget (cross-ref GroundDecorSceneEntity.csv/SequencedActorEntity.csv, both keyed on the -12031 magic guard). Here, when `resetTrigger != -12031`, nulls the wrapped animator (aSceneObjectAnimator_10045 = null) entirely -- a much more destructive fallback than SequencedActorEntity's simple flag reset. Sibling classes' analysis suggests real callers always pass exactly -12031, making this branch expected-dead, though not independently re-verified here."
method2391,hitTestModel,"var_renderer: Renderer?, i: Int, i_11_: Int, i_12_: Int","renderer: Renderer?, screenX: Int, mouseX: Int, decoyFlag: Int",low,"Overrides SceneEntity's abstract method2391. Builds a detail model via the animator (flag 131072); if null or `decoyFlag != 0`, returns false; otherwise performs the face-precision raster hit-test (method628/method623 branch on ParticleSystemRenderer.aBoolean3870) and returns its result. Note the polarity differs slightly from SequencedActorEntity's sibling override (there, decoyFlag!=0 returns true; here it returns false) -- flagged low confidence pending closer cross-file comparison."
method41,getOrientation,i: Int,decoyId: Int,high,"Part of RenderTarget. Simple cached getter: returns aSceneObjectAnimator_10045.anInt3052, clearing the cached hitbox (aCircleHitbox_10051=null) as a side effect when `decoyId != -32228` -- matches the same -32228 magic constant confirmed elsewhere (WeaveTextureNode.kt) to always be passed by real callers, making the clear branch a dead decoy in practice."
method2381,getCircleHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",high,"Overrides SceneEntity's abstract method2381. Returns the cached aCircleHitbox_10051 when `decoyId==7`, else null -- identical shape to the confirmed pattern in DynamicSceneObjectEntity.csv/SequencedActorEntity.csv."
method2377,isModelReady,i: Byte,decoyId: Byte,high,"Overrides SceneEntity's abstract method2377. Returns the cached aBoolean10055 flag (set in buildAnimatedModel/method2386); unlike the sibling files' simple `if(decoyId!=122) return false` shape, here the decoy branch instead calls getOrientation/method41(-49) for its side effect before falling through to return aBoolean10055 regardless -- net behavior is the same (decoyId==122 expected at every real call site per the established sibling pattern)."
method43,renderMinimapEntity,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",medium,"Part of RenderTarget. Delegates to aSceneObjectAnimator_10045.method1674(-1, renderer); also nulls the cached hitbox (aCircleHitbox_10051=null) when `decoyId != -14218` -- same -14218 magic constant used by the sibling classes' renderMinimapEntity overrides, expected dead in practice."
method2386,buildAnimatedModel,"i: Int, var_renderer: Renderer?","seqId: Int, renderer: Renderer?",medium,"Overrides SceneEntity's abstract method2386, the core per-frame model builder. Same shape as SequencedActorEntity/SequencedWallEntity: requests a render-ready model from the animator (flag 2048), positions a camera transform, borrows a pooled composite SceneEntityModel via ChatMessageStream.method136(seqId, aBoolean10056, false), submits the transform via animator.method1670 using cached tile-relative short offsets (aShort8751/8747/8743/8750, rather than the live x/y shifts used in SequencedActorEntity), rasters via method615/method608, draws an optional shadow/decal sub-component, updates aBoolean10055 (hasDynamicMaterial-style flag), and lazily builds/refreshes aCircleHitbox_10051."
