current_name,recommended_name,current_params,recommended_params,confidence,notes
method1226,buildCompositeModel,"varResolver: VarResolver?, widgetDefinition: WidgetDefinition?, loadProgressCounters: Array<LoadProgressCounters?>?, bool: Boolean, modelHeaderCache: ModelHeaderCache?, i: Int, widgetDefinition_0_: WidgetDefinition?, i_1_: Int, bool_2_: Boolean, i_3_: Int, `is`: IntArray?, i_4_: Int, modelDefinitionLoader: ModelDefinitionLoader?, i_5_: Int, var_renderer: Renderer?, bufferedMessageQueue: BufferedMessageQueue?, widgetCache: WidgetCache?, i_6_: Int, i_7_: Int, i_8_: Int, npcDefinitionCache: NpcDefinitionCache?","varResolver: VarResolver?, primaryItemWidget: WidgetDefinition?, loadProgressCounters: Array<LoadProgressCounters?>?, useCache: Boolean, modelHeaderCache: ModelHeaderCache?, unused0: Int, secondaryItemWidget: WidgetDefinition?, primaryIconSlot: Int, applyGender: Boolean, secondaryIconSlot: Int, boneAngleOverrides: IntArray?, extraFlags: Int, modelDefinitionLoader: ModelDefinitionLoader?, unused1: Int, renderer: Renderer?, bufferedMessageQueue: BufferedMessageQueue?, widgetCache: WidgetCache?, primaryModelSlot: Int, primaryIconIndex: Int, secondaryModelSlot: Int, npcDefinitionCache: NpcDefinitionCache?",low,"This is the class's central 'build the composite player/NPC model' routine (only confirmed call site: Player.kt:482, called once per model rebuild). If anInt2093 (a pending delegate/queue id) is set it just forwards to a queued builder object's method800 instead. Otherwise: composes a cache key from up to 12 body-part model ids (anIntArray2092, each entry's top two bits selecting a modelHeaderCache vs modelDefinitionLoader source per method1227's encoding) possibly overridden by two held-item widget definitions' icon-slot entries (widgetDefinition/widgetDefinition_0_, OR'd into flag bits 0x80/0x100/0x400 based on TextureMaterialGroup.method3272/3271/3267 checks), builds/loads all 12 ModelDefinitions and merges them via `ModelDefinition(modelDefinitions, 12)`, applies the 5-slot kit colour palette (anIntArray2095) via abstractModel.ia() recolors, takes a per-frame working copy (abstractModel.method614), optionally applies NPC-transform camera poses (npcDefinition.method1618 -> class64.method610 for held-item bone labels 0..11), applies per-label angle overrides from boneAngleOverrides, and finally blends in one or two TextureMaterialGroup animation frames (class64.method617/625) for the primary/secondary item widgets. Given the sheer parameter count (21) and only one real call site, most individual int-parameter names beyond the ones with clear array-index roles (primaryIconSlot/secondaryIconSlot/primaryModelSlot/secondaryModelSlot, all confirmed as indices into widgetDefinition.anIntArray237/anIntArray267) are best-effort placeholders; treat this row as a strong candidate for a follow-up deep dive."
method1227,setEquipmentModelSlot,"i: Byte, i_61_: Int, i_62_: Int, modelHeaderCache: ModelHeaderCache?","unused: Byte, slotIndex: Int, modelHeaderId: Int, modelHeaderCache: ModelHeaderCache?",high,"Only runs its body when `unused.toInt() == 42` -- the sole call site (ChatCommandProcessor.kt:2880) always passes the literal 42, so this is a real (if oddly gated) precondition rather than a dead decoy. Sets `anIntArray2092[slotIndex] = 0` (clears the body-part slot) when modelHeaderId == -1, else validates the id against modelHeaderCache and sets `anIntArray2092[slotIndex] = WhirlpoolHash.method2057(1073741824, modelHeaderId)` -- ORing in bit 0x40000000 (1073741824), the flag method1226 later reads to decide 'this slot's id refers to modelHeaderCache, not modelDefinitionLoader'. Confirms the anIntArray2092 encoding: bit30 set = modelHeaderCache id, bit31 set (see method1233) = modelDefinitionLoader raw id, both clear/zero = empty slot. Calls the private recomputeModelCacheKey (method1234) afterward."
method1228,setCompositeParts,"i: Int, i_63_: Int, i_64_: Int, `is`: IntArray?, bool: Boolean, is_65_: IntArray?","delegateId: Int, unusedThreshold: Int, transformNpcId: Int, partIds: IntArray?, isFemale: Boolean, colorPalette: IntArray?",medium,"Bulk setter: stores transformNpcId into anInt2103 (only if changed), assigns the whole 12-entry body-part array reference (anIntArray2092 = partIds), assigns the 5-entry kit-colour array reference (anIntArray2095 = colorPalette), stores delegateId (anInt2093) and isFemale (aBoolean2100), then recomputes the cache key (method1234). The `if (unusedThreshold <= 54) anIntArray2092 = null` branch is a dead opaque predicate: the only call site (Player.kt:212) always passes 105 (>54), so partIds is never cleared in practice."
method1229,setGender,"i: Byte, bool: Boolean","unused: Byte, isFemale: Boolean",high,"Sets aBoolean2100 = isFemale, then recomputes the cache key (method1234). The `if (unused.toInt() != -17) aBoolean2100 = false` branch is a dead opaque predicate -- the only call site (ChatCommandProcessor.kt:2870) always passes the literal -17."
method1230,buildModelForWidgetIcon,"modelHeaderCache: ModelHeaderCache?, i: Int, widgetCache: WidgetCache?, modelDefinitionLoader: ModelDefinitionLoader?, varResolver: VarResolver?, bufferedMessageQueue: BufferedMessageQueue?, i_66_: Int, i_67_: Int, i_68_: Int, widgetDefinition: WidgetDefinition?, i_69_: Int, var_renderer: Renderer?","modelHeaderCache: ModelHeaderCache?, cacheKeySeed: Int, widgetCache: WidgetCache?, modelDefinitionLoader: ModelDefinitionLoader?, varResolver: VarResolver?, bufferedMessageQueue: BufferedMessageQueue?, primaryIconSlot: Int, secondaryIconSlot: Int, flags: Int, widgetDefinition: WidgetDefinition?, iconMode: Int, renderer: Renderer?",low,"Sibling of method1226 that skips the NPC-transform camera-pose step and, instead of returning the raw composed model, always finishes by delegating to `widgetDefinition.method269(...)` (icon/thumbnail composition) -- consistent with building a preview/icon-sized render of the composite model (e.g. an equipped-item icon) rather than the in-world actor model. Builds the same 12-part ModelDefinition from anIntArray2092 and caches by a Long key derived from `aLong2102 xor cacheKeySeed`-style values via ModelBatchBase's LRU cache (distinct from method1226's ModelDataCache). No confirmed external call site was found in this pass; param names are best-effort based on method1226's analogous positions."
method1231,setKitColor,"i: Int, i_89_: Int, i_90_: Int","paletteIndex: Int, unused: Int, colorId: Int",medium,"Sets `anIntArray2095[paletteIndex] = colorId` when `unused == 0`, then recomputes the cache key. The only call site (ChatCommandProcessor.kt:2862) always passes 0 for the middle argument, so the guard is effectively always true in practice."
method1232,buildThreePartModel,"i: Int, i_91_: Int, i_92_: Int, i_93_: Int, widgetCache: WidgetCache?, modelDefinitionLoader: ModelDefinitionLoader?, i_94_: Int, i_95_: Int, i_96_: Int, var_renderer: Renderer?, i_97_: Int, widgetDefinition: WidgetDefinition?","secondaryIconSlot: Int, cacheKeySeed: Int, modelId3: Int, modelId2: Int, widgetCache: WidgetCache?, modelDefinitionLoader: ModelDefinitionLoader?, hashSeed: Int, modelId1: Int, iconMode: Int, renderer: Renderer?, primaryIconSlot: Int, widgetDefinition: WidgetDefinition?",low,"Distinct build path that ignores the 12-slot anIntArray2092 entirely and instead composes exactly 3 raw modelDefinitionLoader ids (modelId1/2/3) packed into a single Long cache key (`modelId1.toLong() or (modelId2 shl 16).toLong() or (modelId3.toLong() shl 32)`), used with the same ModelBatchBase LRU cache as method1230. Given the fixed 3-model composition (vs the general 12-part body), likely used for a simpler composite render (e.g. a held weapon+attachment preview) rather than a full worn-equipment model. Parameter roles beyond the three model ids and the two widget icon-slot indices are not confidently identified."
method1233,setEquipmentModelById,"modelDefinitionLoader: ModelDefinitionLoader?, i: Int, i_112_: Int, i_113_: Int","modelDefinitionLoader: ModelDefinitionLoader?, modelId: Int, unused: Int, categoryIndex: Int",high,"Looks up a body-part slot index via `DataHolder.anIntArray3661[categoryIndex]`, and if modelDefinitionLoader confirms modelId is valid, sets `anIntArray2092[slotIndex] = WhirlpoolHash.method2057(modelId, -2147483648)` -- ORing in the sign bit (0x80000000), which method1226 reads as 'this slot holds a raw modelDefinitionLoader id' (as opposed to method1227's modelHeaderCache-flag bit 0x40000000). Then recomputes the cache key. Looks like a path for equipping an item whose model comes directly from a raw model id (e.g. a quest item or special-case appearance) rather than the normal per-slot modelHeaderCache entry."
method1234,recomputeModelCacheKey,i: Int,unused: Int,high,"Private. Recomputes aLong2102 as a CRC-64 (using the same style of rolling `ushr 8 xor table[...]` as Crc64Hashable in this same batch, with the lookup table WeaveTextureNode.aLongArray9283) over: anInt2103 (transform NPC id), all 12 entries of anIntArray2092 (each contributing its 4 bytes), all 5 entries of anIntArray2095 (kit colours), and finally aBoolean2100 (gender) as a 0/1 byte -- i.e. a full-state hash used as the model cache key elsewhere in the class. Called after every mutator (method1227/1228/1229/1231/1233). The `if (unused > -6) aLong2094 = 43L` line is a dead opaque predicate: every call site passes a literal <= -25, so it never fires."
method1235,clearAppearanceBufferCache,i: Byte,unused: Byte,medium,"Companion/static. Nulls out aClass348_Sub49Array2105 (a 2048-slot `Array<ByteBuffer?>` that other classes -- ConstantColourTextureNode.kt, SimpleToggleOptionState.kt, PlayerUpdateDecoder.kt, HashLinkedListNodeStatics.kt -- read/write per player index as a cache of raw 'appearance update' packet buffers so they don't need to be re-requested/re-parsed). The `if (i.toInt() != 7) anInt2101 = -42` line only touches an otherwise-unused diagnostic counter field; no confirmed call site was found to check whether 7 is always passed."
