current_name,recommended_name,current_params,recommended_params,confidence,notes
method2141,applyVertexProgramState,bool: Boolean,skipSetup: Boolean,medium,"Body only executes when bool==false (the `if (bool == false)` guard is the opposite of what the two call sites suggest at a glance). When it runs: binds one of four precompiled ARB vertex programs - aRefCountedHandle_6188 (unlit, no water plane), aRefCountedHandle_6196 (lit, no water plane), aRefCountedHandle_6199 (unlit, water plane), aRefCountedHandle_6187 (lit, water plane), all compiled in the constructor's init block - chosen by aBoolean6197 (lit/unlit) and whether aHa_Sub2_3684.anInt7788 == 2147483647 (Int.MAX_VALUE, a 'no active water plane' sentinel); sets a fog-color-ish uniform via class101_sub3.method937 and glProgramLocalParameter4fARB(34336,1,...), enables GL_VERTEX_PROGRAM_ARB (34336), and delegates to method2143 for the per-frame fog/water-plane params. Called with bool=false from method2134/beginPass (the only call that actually does anything) and bool=true from method2133/endPass guarded by `i > -75` - that second call site is therefore a no-op / dead-looking leftover given the inverted guard."
method2139,onSecondaryStateToggle,"bool: Boolean, i: Byte","enable: Boolean, decoyByte: Byte",low,"Abstract in MaterialPass as `fun method2139(bool: Boolean, i: Byte)`. This override does nothing observable besides incrementing the call counter anInt6190 and computing an unused decoy division `-82 / ((i - -60) / 38)` - no GL state is touched. Called once internally from method2136 as `method2139(true, (-81).toByte())` when its Byte param exceeds -42. With an empty real body in this subclass, the true purpose of the (Boolean, Byte) pair (likely meaningful in sibling MaterialPass subclasses not covered by this pass) could not be confirmed here."
method2137,isSupported,i: Int,mode: Int,low,"Abstract in MaterialPass as `fun method2137(i: Int): Boolean`. Returns false whenever i >= -5, otherwise returns aBoolean6198 (the 'all 4 ARB vertex programs compiled successfully' flag set in the constructor's init block). No call site for this abstract method was found from within this file, so the meaning of the -5 threshold / what mode values are actually passed by callers is unconfirmed."
method2134,beginPass,"bool: Boolean, bool_2_: Boolean","useLighting: Boolean, enableBlend: Boolean",medium,"Abstract in MaterialPass as `fun method2134(bool: Boolean, bool_0_: Boolean)`. Stores useLighting into aBoolean6197 (selects the lit vs unlit ARB vertex-program pair later chosen in method2141/applyVertexProgramState), then drives a sequence of OpenGlRenderer state calls bracketed by method3738(-15039,1)/method3738(-15039,0) (looks like a push/pop-style state guard): binds the fallback texture aClass258_Sub3_6194, sets a texture-combine env mode (34165), sets up two blend-function pairs (34166 and 5890, both with factors 768/770), and finally enables blending via method3775(enableBlend, 0, 770, 34168). Ends by calling method2141(false) to actually bind/configure the chosen ARB vertex program. This is the 'begin/setup' half of the pass, paired with method2133/endPass."
method2143,updateFogProgramParams,i: Int,target: Int,high,"Only runs when target==34336 (GL_VERTEX_PROGRAM_ARB) and a vertex program is currently bound (aBoolean6193). Computes two floats from aHa_Sub2_3684.XA()/i() (likely far/near fog-distance accessors) and uploads them via glProgramLocalParameter4fARB(34336, 0, ...) - this is `fogParams = program.local[0]` from the embedded ARBvp1.0 shader sources declared in the constructor. Also brackets a call to method3808(anInt7806, 122) with method3738(-15039,1)/method3738(-15039,0) to push the shaders' `waterPlane = program.local[1]` value. The local[0]/local[1] role mapping is confirmed directly against the PARAM declarations in every embedded shader string; the exact per-channel meaning of the two computed floats (f, f_5_) and of method3738/method3808's own arguments is out of scope for this file."
<init>,<init>,var_ha_Sub2: OpenGlRenderer,renderer: OpenGlRenderer,high,"Primary constructor parameter is a trivial pass-through to the MaterialPass superclass (stored as aHa_Sub2_3684). The real setup is the instance init block: when the renderer supports ARB programs (aHa_Sub2_3684.aBoolean7841), it compiles four embedded '!!ARBvp1.0' vertex-program source strings via MinimapShapeDrawer.method459, covering all 4 combinations of {unlit, lit-with-normal} x {simple DP3 tex-matrix, depth/water-plane-aware DP4 tex-matrix}: aRefCountedHandle_6188=unlit/no-water-plane, aRefCountedHandle_6196=lit/no-water-plane, aRefCountedHandle_6199=unlit/water-plane, aRefCountedHandle_6187=lit/water-plane (roles confirmed by method2141's selection logic keyed on aBoolean6197 and anInt7788==Int.MAX_VALUE). If all four compiled successfully, also allocates a 2x1 fallback GlTexture2D (aClass258_Sub3_6194, consumed by method2140/bindTexture as the 'no diffuse texture bound' placeholder) and sets aBoolean6198 (the isSupported flag read by method2137) true; otherwise false, and false unconditionally when the renderer lacks ARB support."
method2133,endPass,i: Int,decoy: Int,medium,"Abstract in MaterialPass as `fun method2133(i: Int)`. Calls method2141(true) when i > -75, which is a no-op in practice given method2141's inverted `bool==false` guard (see its notes). If a vertex program is currently bound (aBoolean6193), unbinds it (glBindProgramARB(34336,0)) and disables GL_FOG (34820) and GL_VERTEX_PROGRAM_ARB (34336). Restores fixed-function texture-combine/blend state via the same method37xx call sequence seen in method2134/beginPass but with no texture bound and plain modulate/blend constants (8448, 5890, 34166), and repeats a similar restore if aBoolean6183 (fallback-texture-active, set by method2140/bindTexture) was set. This is the pass's 'end/teardown' half."
method2136,onRenderPrimitive,"i: Int, i_6_: Int, i_7_: Byte","unusedA: Int, unusedB: Int, triggerByte: Byte",low,"Abstract in MaterialPass as `fun method2136(i: Int, i_1_: Int, i_2_: Byte)`. This override only increments a call counter and conditionally calls method2139 (itself an inert stub in this class) when the Byte param exceeds -42; the two Int params are never referenced. No call sites for this abstract hook were traced from within this file, so the real per-primitive/per-face role implied by the base class signature is unconfirmed here."
method2140,bindTexture,"glTexture: GlTexture?, i: Byte, i_8_: Int","texture: GlTexture?, decoyByte: Byte, textureUnit: Int",medium,"Abstract in MaterialPass as `fun method2140(glTexture: GlTexture?, i: Byte, i_5_: Int)`. When texture is null, binds a fallback texture (aHa_Sub2_3684.aClass258_Sub3_7827, likely a shared neutral/white texture) with a fixed blend setup and marks aBoolean6183 (fallback-active) true - restoring standard blend state first if not already in fallback mode. When texture is non-null, restores standard blend state if coming out of fallback mode, then binds the given texture into stage/unit textureUnit via method3761. This is the per-object 'set diffuse texture (or fallback)' hook, mirrored by the cleanup logic in method2133/endPass. The trailing `if (i < -89) anInt6185++` is just a call-counter increment gated on the decoy Byte param."
method2142,clearStaticCaches,i: Byte,decoyByte: Byte,high,"Companion/static. Nulls three static caches - aStringArray6200, aRgbColorPalette_6201 (elsewhere re-seeded as `RgbColorPalette(9,19)`), anIntArray6189 - matching the common 'clear cached static state on logout/reload' pattern used throughout this codebase (compare AsyncResourceRequest.method3252). Contains an unused decoy local calc `19 % ((i - -67) / 59)`."
