current_name,recommended_name,current_params,recommended_params,confidence,notes
packetPeek,packetPeek,arg0: OggPacket?,packet: OggPacket?,high,"External native call matching libogg ogg_stream_packetpeek(os, op); fills `packet` with the next packet without advancing the stream's internal read pointer. Returns 1 if a packet is available, 0 if not enough data is buffered yet, -1 if a data hole/discontinuity was detected. Confirmed call site OggMediaStream.kt: `check(oggstreamstate.packetPeek(anOggPacket993) == 1)` used right after construction to sniff the first packet of a freshly identified logical stream."
packetPeek,packetPeekHasHole,,,medium,"Private external native call matching libogg's NULL-packet form of ogg_stream_packetpeek(os, NULL), which per libogg docs only checks for a hole/gap in the data without materializing a packet. No call sites found anywhere in the Kotlin sources (only the OggPacket-arg overload above is exercised, in OggMediaStream.kt) - likely unused/dead here, kept only for API parity with the C library. Confidence medium since the exact semantics are inferred from libogg documentation rather than an observed call site."
init,initStream,arg0: Int,serialNumber: Int,high,"Private external native constructor helper invoked from the primary constructor's init block (`check(this.init(arg0))`); maps to libogg ogg_stream_init(os, serialno). arg0 confirmed as a stream serial number via the constructor's only call site, OggMediaStream.kt: `val oggstreamstate = OggStreamState(i_32_)` where i_32_ is a serial number pulled from the page being demuxed. Renamed to avoid confusion with Kotlin's init{} block keyword, matching the initInfo/initBlock/initContext pattern used across sibling jagtheora classes."
isEOS,isEOS,,,high,"Private external native getter exposing the underlying ogg_stream_state's e_o_s flag; true once the end-of-stream page has been read into this stream. Kept as-is (consistent with OggPage.isEOS)."
clear,clear,,,high,"External native destructor overriding SimplePeer.clear(); maps to libogg ogg_stream_clear(os)."
pageIn,pageIn,arg0: OggPage?,page: OggPage?,high,"External native call matching libogg ogg_stream_pagein(os, og); submits a completed, demuxed page into the stream state for subsequent packet extraction. Confirmed call sites in OggMediaStream.kt, e.g. `check(class348_sub23!!.anOggStreamState6869.pageIn(anOggPage981))`."
reset,reset,,,medium,"Private external native call matching libogg ogg_stream_reset(os); clears buffered packet/page state without freeing the native peer, for reusing the stream on a fresh logical bitstream. No call sites found anywhere in the Kotlin sources - appears unused/dead here, kept for API completeness alongside resetSerialNo."
packetOut,packetOut,,,high,"External native call matching libogg's NULL-packet form of ogg_stream_packetout(os, NULL), which advances/discards the current packet without materializing it into an OggPacket. Confirmed call sites in OggMediaStream.kt, e.g. `while (class348_sub23.anOggStreamState6869!!.packetOut() == 1) class348_sub23.method2963(anOggPacket993, ...)` - the packet's contents were already read via a prior packetPeek() call; this no-arg overload simply consumes/advances past it."
packetOut,packetOut,arg0: OggPacket?,packet: OggPacket?,high,"External native call matching libogg ogg_stream_packetout(os, op); extracts the next fully-formed packet from the stream into `packet`. Returns 1 on success, 0 if not enough data, -1 if a hole was detected. Confirmed call sites throughout OggMediaStream.kt, e.g. `anOggStreamState6869!!.packetOut(anOggPacket993) != 1`."
resetSerialNo,resetSerialNumber,arg0: Int,serialNumber: Int,medium,"Private external native call matching libogg ogg_stream_reset_serialno(os, serialno); resets the stream state and reassigns it a new serial number so it can be reused for a different logical stream. No call sites found in the Kotlin sources - appears unused/dead here, kept for API completeness."
