current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, waterTextureSet: WaterTextureSet?","renderer: OpenGlRenderer, waterTextureSet: WaterTextureSet?",high,"Primary constructor (stores waterTextureSet, calls super(renderer) -> aHa_Sub2_3684). Bails out early unless the renderer supports vertex programs (aBoolean7841) and has >=2 texture units (anInt7795); if eligible, compiles/binds an ARB vertex program (ARBvp1.0 assembly literal implementing scrolling-noise UV distortion for animated water) via MinimapShapeDrawer.method459, builds a 32768-entry precomputed noise-offset table (aFloatArray6218) from two CipheredPacketBuffer.method3413-generated noise grids, then calls setupDisplayList/method2149. RuntimeExceptions rewrapped via TextureLoadException with diagnostic 'em.<init>(...)', confirming pre-obfuscation class name 'em'."
method2136,updateTextureAnimationState,"i: Int, i_0_: Int, i_1_: Byte","flags: Int, variant: Int, decoyByte: Byte",high,"Override of MaterialPass.method2136/updateTextureAnimationState (name and role cross-confirmed directly in refactor-notes/jvmMain/MaterialPass.csv, which analyzed this exact override). Rebinds the scrolling/reflection water texture selected by bit flags in `flags` (bit 0x80 = alt/reflection variant array vs single texture, low bit of `variant` = flowing-animated vs a fixed cycling frame from aWaterTextureSet_6227.aClass258_Sub3Array1444) via aHa_Sub2_3684.method3771, sets the ARB vertex program's turbulence/time constant (glProgramLocalParameter4fARB local 65), uploads an ambient-lighting constant (local 66) unless `flags` bit 0x40 is set, and sets a turbulence-amount constant (local 64) selected by the low 2 bits of `flags` (2->0.05, 3->0.1, else 0.025)."
method2140,bindPassTexture,"glTexture: GlTexture?, i: Byte, i_4_: Int","texture: GlTexture?, decoyByte: Byte, textureUnit: Int",high,"Override of MaterialPass.method2140/bindPassTexture (cross-confirmed in MaterialPass.csv). Only proceeds when decoyByte<=-89 (matches the base class's documented decoy-byte pattern); binds `texture` via aHa_Sub2_3684.method3771 and sets the active texture unit via method3761(0, textureUnit)."
method2137,isSupported,i: Int,decoy: Int,high,"Override of MaterialPass.method2137/isSupported (cross-confirmed in MaterialPass.csv). Always returns true regardless of `decoy` - this pass is treated as always usable (no capability probe), unlike sibling GlslEnvMaterialPass's more elaborate (and reportedly broken/always-false) override."
method2133,deactivatePass,i: Int,decoy: Int,high,"Override of MaterialPass.method2133/deactivatePass (cross-confirmed in MaterialPass.csv - the caller-side notes there were written from analyzing this exact override body). Unbinds the current texture and restores the fixed-function texture matrix/blend state via the display-list font helper aGlDisplayListFont_6222, plus a dead `if (i >= -75) activatePass(true, false)` branch (the only real caller passes -93)."
method2134,activatePass,"bool: Boolean, bool_11_: Boolean","active: Boolean, skipMatrixSync: Boolean",high,"Override of MaterialPass.method2134/activatePass (cross-confirmed in MaterialPass.csv). Unless `skipMatrixSync` is true: loads the texture matrix from the camera transform (glLoadMatrixf) and, once per unique renderer-time tick (aHa_Sub2_3684.anInt7735), re-uploads all 64 precomputed noise-offset vector pairs from aFloatArray6218 into the ARB vertex program's local parameter bank (0..63) and either updates a scrolling-reflection time fraction (aFloat6225, when the water texture set is the 3D-texture/'HD' variant) or resets the turbulence constant to zero (classic/2D-atlas variant)."
method2139,notifyFrameTick,"bool: Boolean, i: Byte",,medium,"Override of MaterialPass.method2139/notifyFrameTick (cross-confirmed in MaterialPass.csv as effectively inert in this class - see that CSV's blank-params note). Body is only a discarded decoy division `22 % ((-60 - i) / 38)` plus a call counter increment; no observable effect."
method2149,setupDisplayList,i: Int,unusedFlag: Int,medium,"Private. Builds a GlDisplayListFont-based fixed-function GL state block (blend/alpha-test/depth setup via aHa_Sub2_3684.method3808/3729/3775) recorded into two display lists, binds/enables the ARB vertex program built in the constructor, and records a second display list restoring plain fixed-function state (matrix reset, program unbind/disable). Reads as 'pre-record the GL state-change display lists used to enter/exit this water material pass', consumed later by activatePass/deactivatePass's aGlDisplayListFont_6222 calls. `unusedFlag` only feeds a discarded decoy division."
method2148,buildOutgoingPacket,"fontMetaRef: FontMetaRef?, isaacCipher: IsaacCipher?, i: Int","opcodeDef: FontMetaRef?, isaacCipher: IsaacCipher?, unusedFlag: Int",medium,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to water rendering - a generic 'allocate and prime an outbound packet buffer' utility (cross-referenced from WallSceneEntity.csv's sendOutboundStringPacket/method2399 and other callers throughout the codebase, matching this codebase's pervasive decompiler-merged-static pattern). Sizes a CipheredPacketBuffer by the opcode's declared length (opcodeDef.anInt4323: -1=variable/short-prefixed up to 10000 bytes, -2=variable/large, else a small/medium/large fixed tier), writes the ISAAC-ciphered opcode byte, and returns the resulting OutgoingPacketNode ready for payload writes."
method2150,renderNpcOverheadLabels,"bool: Boolean, bool_14_: Boolean, npc: Npc",Unit,medium,"Companion. SEMANTICALLY UNRELATED to water rendering - draws an NPC's minimap/overhead text label(s) via MinimapPolygonDrawer.method466: resolves the possibly-morphed NpcType (varp-based transform via method794), appends a combat-level suffix when applicable, optionally draws an aggressive/PK-indicator overlay when a hint-icon condition holds, then iterates the NPC's configured overhead-text slots (aStringArray1349, 5 slots with per-slot fixed vertical offsets 25/20/44/46/60) skipping any slot matching a localized placeholder string, plus a special highlighted-slot pass when aByte1384==1, and finally always draws the NPC's own name/debug label. Reads as the NPC name/overhead-chat/debug-info minimap-and-world overlay renderer, parked in this class's companion by the decompiler."
method2151,clearBlockDecoderAndCalendarCache,i: Int,unusedFlag: Int,medium,"Companion, @JvmStatic. Nulls the unrelated CompressedBlockDecoder.anIntArray6228 and this class's own aCalendar6221; decoy `if (unusedFlag > -72) buildOutgoingPacket(null, null, 77)` (result discarded)."
method2152,rebuildWorldMapTileShapes,bool: Boolean,unusedFlag: Boolean,low,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to water rendering - a large (~90 line) world-map collision-boundary mesh builder. Walks the loaded region's per-tile collision-entry grid (HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029) looking for negative aShort4409/aShort4398 marker values, then greedily extends runs of matching adjacent tiles along X/Z to merge them into larger MapTileShape polygon records (a classic 'greedy meshing' merge of per-tile wall/boundary flags into fewer, larger boundary shapes for the world-map renderer), writing results into MapElementDecor.aMapTileShapeArray10330 and flipping the consumed entries' sign to mark them processed. Sets MinimapSquareDrawer.aBoolean5226=true (redraw-needed flag) when done. Given the sheer complexity and that this is entirely unrelated to WaterMaterialPass's own feature area, individual index-arithmetic details were not exhaustively verified - kept low confidence on the finer points, high confidence on the overall 'merge adjacent map-boundary tiles into polygons' purpose."
