current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aGlRenderDevice_4759: GlRenderDevice, anInt4755: Int, aBoolean4750: Boolean","renderDevice: GlRenderDevice, target: Int, isStaticUsage: Boolean",high,"Primary constructor for this abstract GL-buffer-object wrapper. `target` is confirmed as a raw GL buffer-target enum: subclasses pass 34962 (GL_ARRAY_BUFFER, GlVertexBufferArb) and 34963 (GL_ELEMENT_ARRAY_BUFFER, GlIndexBufferArb). `isStaticUsage` selects between glBufferData usage hints 35040 (GL_STATIC_*) and 35044 (GL_DYNAMIC_*) throughout the class."
method2120,mapForWriting,"i: Int, mapbuffer: MapBuffer, bool: Boolean","unused: Int, mapBuffer: MapBuffer, discard: Boolean",high,"The leading Int param is entirely unreferenced inside the method body - confirmed decoy at both real call sites (GlIndexBufferArb.method24, GlVertexBufferArb.method19), which both always pass the literal 0. Real behaviour: if not already mapped (anInt4736==0), ensures the GL handle exists (method2126/ensureBufferHandle), returns the CPU-side fallback buffer directly if no real GL buffer object is available (anInt4746<=0, state=2), otherwise (when `discard` is true) orphans the store via glBufferDataARBub and, if the new size fits the shared render-device staging buffer, returns that shared buffer (state=1); otherwise attempts a real glMapBuffer-style map via `mapBuffer.a(target, size, 35001)` (35001 = GL_WRITE_ONLY) and returns the MapBuffer itself (state=2). Classic lock/map-for-write pattern paired with method2123/unmapAfterWrite."
method2121,uploadFromSource,"i: Int, source: Source, i_3_: Int","unused: Int, source: Source, byteSize: Int",high,"Leading Int param only gates a pre-check call to method2126/ensureBufferHandle with a different reset flag (-74 vs the normal -36); the only real call site (GlVertexBufferArb.method17, `super.method2121(25625, source, byteSize)`) always passes the literal 25625, so `if (i != 25625) method2126((-74).toByte())` never fires - confirmed decoy. Real behaviour: if `byteSize` grows the buffer past its current allocation (anInt4739), (re)allocates via glBufferDataARBa from the native `source` address and updates the render device's tracked GPU byte total; otherwise does a partial glBufferSubDataARBa update using the *previous* size (anInt4747, not the new `byteSize`). Throws RuntimeException(\"ARGH!\") if no real GL buffer handle exists (no CPU fallback path here, unlike method2120)."
method21,dispose,i: Int,unused: Int,high,"Open 'release GPU/CPU buffer resources' hook, called from `finalize()` and from ~8 other classes always with the literal 23315 (AsyncTaskHandle.kt, BufferToggleState.kt, GroundDecorRenderer.kt, NativeRenderer.kt x4, and GlIndexBufferArb's own override which explicitly gates `if (i == 23315)` before forwarding to super). Since every real call site passes exactly 23315, the `if (i != 23315) aSystemFontGlyphs_4754 = null` branch (an unrelated companion field) is a confirmed-dead decoy. Real effect: if a GL handle exists, calls `aGlRenderDevice_4759.method3969(anInt4747, anInt4746, 3089)` (deletes the buffer, 3089 likely a stat-tracking category) and resets the handle to -1."
method2122,getAddress,i: Int,unused: Int,high,"Returns 0L or a native heap address; the ByteBufferReader/ByteArrayCodec-family 'address getter' for buffers backed by a real GL handle (returns 0L, since the data lives on the GPU) vs the CPU fallback path. Confirmed real call sites (GlRenderDevice.kt:731,992, `class285_sub1.method2122(27819)`) always pass the literal 27819, matching the internal `if (i != 27819) return 59L` guard exactly - i.e. the early-return-59 path is a confirmed-dead decoy at every traced real caller. The base method16/getSize also calls this internally with the unrelated literal 127 purely for its anInt4758++ side effect (return value discarded) - a wasted-but-harmless call, not a true decoy since it does execute."
method2123,unmapAfterWrite,"mapbuffer: MapBuffer, i: Int","mapBuffer: MapBuffer, expectedState: Int",medium,"Companion to method2120/mapForWriting: only acts `if (expectedState != anInt4736)` (i.e. if the buffer isn't already in the requested state) - binds the GL buffer and either calls `mapBuffer.b()` (a real glUnmapBuffer-style unmap, when the prior map wasn't the shared staging buffer) or flushes the shared staging buffer back via glBufferSubDataARBa (when it was, state==1), then resets state to 0 (unmapped). Unlike most Int guard params in this file, `expectedState` is NOT a pure decoy: GlIndexBufferArb always requests state 0 (`super.method2123(mapBuffer, 0)` - unconditionally revert to unmapped), while GlVertexBufferArb forwards a transformed caller-supplied value (`i xor 0x18bb`) that can vary - real per-call data, not a fixed literal."
method23,reserveCapacity,"i: Int, i_4_: Int","unused: Int, byteSize: Int",high,"Open 'grow the buffer to at least `byteSize` bytes' hook. Confirmed via 7 real call sites (Direct3dModel.kt, GlVertexBufferArb.method20, GroundDecorRenderer.kt, NativeRenderer.kt, TerrainChunkBuilder.kt, TerrainShadowBuilderGl3.kt, plus GlIndexBufferArb's own forwarding override), every one of which passes the literal 15959 for the first param - confirming `if (i != 15959) aStringArray4744 = null` (an unrelated companion field) is a dead decoy. Real behaviour: if `byteSize` exceeds the current allocation, allocates a CPU fallback buffer (when no GL handle) or grows the GL store via glBufferDataARBub (when one exists), tracking the delta in the render device's GPU byte counter; always updates the 'current used size' field (anInt4747) to `byteSize` regardless of growth."
method2125,bindIfSupported,i: Int,unused: Int,medium,"Binds the buffer (glBindBufferARB) only `if (unused == 0)` and only when the render device reports VBO support (aBoolean9920). Both real call sites (GlRenderDevice.kt:730,993) always pass the literal 0, matching the only branch that does anything - cannot confirm whether a nonzero value was ever intended to do something else (no counter-example observed), so kept as a real (if redundant-looking) guard rather than asserted decoy, consistent with the AbstractBloomEffect.csv precedent for single-value-observed guards."
method16,getSize,bool: Boolean,unused: Boolean,high,"Overrides SizedResource.method16. Returns anInt4747 (current logical buffer size in bytes). When `unused` is true, also calls method2122/getAddress(127) purely for its counter side-effect (return value discarded) - real code that executes but has no functional effect on the returned size. Called through by both GlIndexBufferArb.method16 (`super.method16(false)`) and GlVertexBufferArb.method16 (`super.method16(bool)`, forwarding the real caller-supplied flag) and directly from NativeRenderer.kt (`anInterface5_Impl2_8195!!.method16(false) < 2*i_33_`, a capacity check before growing the buffer)."
finalize,finalize,(none),(none),high,"Standard JVM finalizer override, calls dispose/method21(23315). Trivial; name is already meaningful so no rename needed."
