current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer?, i: Int, is: ByteArray?, i_8_: Int, bool: Boolean","renderer: OpenGlRenderer?, indexType: Int, data: ByteArray?, length: Int, isDynamic: Boolean",high,"Forwards to GlVertexBufferBase(renderer, GL_ELEMENT_ARRAY_BUFFER=34963, data, length, isDynamic); stores `indexType` (a GL type constant, e.g. GL_UNSIGNED_SHORT=5123) into anInt4837, later returned by method34/getIndexType. Params named per refactor-notes/commonMain/ByteArrayCodec.csv's cross-class analysis of the same interface (method33-36) implemented by this class and NativeVertexBuffer."
method1152,bindBuffer,i: Int,unused: Int,medium,"Override of GlVertexBufferBase's abstract method1152 (no refactor-notes/jvmMain/GlVertexBufferBase.csv exists yet, so the abstract declaration itself is unnamed). Binds this buffer as the active GL_ELEMENT_ARRAY_BUFFER via `aHa_Sub2_1927!!.method3793(1, this)` (renderer dispatch, tag 1 likely = 'bind element array buffer target', mirroring sibling GlArrayBufferObject's override which calls `method3750(91, this)` for GL_ARRAY_BUFFER instead). Called from GlVertexBufferBase's own init blocks (literals -111/-126) and from method1150/uploadData before every data upload. The `if (i >= -78) aServerConnectionInfo_4839 = null` branch is a decoy: both real call sites pass -111 and -126 (both < -78), so it never fires."
method34,getIndexType,i: Int,checkValue: Int,high,"Override of ByteArrayCodec.method34 (see refactor-notes/commonMain/ByteArrayCodec.csv for the full cross-class analysis). Returns the cached GL index-type constant (anInt4837, e.g. 5123=GL_UNSIGNED_SHORT) set by method35/uploadIndexData. `checkValue` decoy confirmed in ByteArrayCodec.csv: the only call site (OpenGlRenderer.kt:1084) always passes -5711, so `if (i != -5711) method35(null, -82, 99, -89)` never fires."
method35,uploadIndexData,"is: ByteArray?, i: Int, i_0_: Int, i_1_: Int","data: ByteArray?, indexType: Int, threshold: Int, length: Int",medium,"Override of ByteArrayCodec.method35 (see ByteArrayCodec.csv). Uploads index bytes via the inherited method1150/uploadData and caches `indexType` into anInt4837, but only `if (threshold > 18)`. Matches ByteArrayCodec.csv's note that call sites pass varying threshold values (64, 110, xor-obfuscated expressions), so `threshold`'s exact intended meaning stays uncertain beyond 'minimum size/element-count gate'."
method33,getBufferId,i: Int,checkValue: Int,high,"Override of ByteArrayCodec.method33 (see ByteArrayCodec.csv). Returns anInt1929, the GL buffer object id (glGenBuffersARB result set up in GlVertexBufferBase's init), used at OpenGlRenderer.kt:2436 as `glBindBufferARB(GL_ELEMENT_ARRAY_BUFFER, byteArrayCodec.method33(-23923))`. `checkValue` decoy confirmed in ByteArrayCodec.csv - always -23923 at the one call site, so `if (i != -23923) method35(null, -47, -115, -72)` never fires."
method36,getIndexBaseAddress,i: Byte,checkValue: Byte,high,"Override of ByteArrayCodec.method36 (see ByteArrayCodec.csv). Always returns 0L, since GL element buffers are addressed by an integer byte offset rather than a native pointer (contrast NativeVertexBuffer's override, which returns a real native buffer address) - used at OpenGlRenderer.kt:1088 as `byteArrayCodec.method36(78.toByte()) + offset` when building the glDrawElements offset argument. `checkValue` decoy confirmed in ByteArrayCodec.csv."
method1155,resetStaticState,i: Byte,unused: Byte,low,"Companion 'reset/dispose statics' helper; `unused` is never read. Only call site is Client.kt:1145 (`GlElementArrayBuffer.method1155((-125).toByte())`), presumably part of a logout/teardown sequence. Nulls this class's own aConfigFlagUtil_4835/aServerConnectionInfo_4839 plus THREE fields with no thematic connection to element array buffers: TextureMaterialGroup.aJs5Archive_4843 (an unrelated external class's field), aCharArray4845 (a 64-entry char table built once in this class's own companion init block that is actually a URL-safe Base64 alphabet - 'A'-'Z', 'a'-'z', '0'-'9', then '*' and '-' - entirely unrelated to GL buffers), and aClass348_Sub42_Sub12_4846 (a ContactEntry? reference). Strong evidence of decompiler-merged unrelated companion content per PLAN.md's documented recurring pattern - the Base64 table and contact-entry field likely belong to a codec/contact-list class that got merged into this file's companion object."
method1156,fillIntArrayRange,"i: Int, i_3_: Int, is: IntArray, i_4_: Int, i_5_: Int","guardToken: Int, endExclusive: Int, array: IntArray, startExclusive: Int, value: Int",high,"Companion array-fill primitive: fills `array` from just after `startExclusive` up to just before `endExclusive` with `value`, using an 8x-unrolled loop plus a scalar tail loop - a classic scanline/row-fill routine, not specific to GL element array buffers. Extremely widely used (30+ call sites across CircleDrawer, CircleRasterizer, MinimapSquareDrawer, ScanlineRasterFiller, NativeTerrainTile, DirectionPath, IdentKitRecolor, DefaultGraphicsOptionState, ChatEffectsOptionState, GlRectangleTexture, NativeBufferHandle, AbstractFrameBufferSurface, OggMediaStream, WorldMapPolygonIconLabel, SolidFillComponent, ShadowQualityOptionState), almost always filling a row of `WidgetDefinition.anIntArrayArray255` (or a local scratch IntArray) with a colour/value - i.e. a shared polygon/circle/widget scanline-fill helper parked in this class's companion object. `guardToken` is -27 (or an expression folding to -27, e.g. MinimapSquareDrawer's `i_7_ xor 0x1a` / `i_7_ + -26`) at every real call site, so `if (i == -27)` behaves as a constant-true dispatch token rather than a live decoy."
method1157,loadOrVerifyBootstrapResource,"i: Int, i_7_: Byte","resourceId: Int, checkValue: Byte",low,"Companion helper SEMANTICALLY UNRELATED to element array buffers. All 3 call sites (ByteBufferStatics.kt:108,122,129) pass `TextureLoadExceptionStatics.anInt4596` plus a byte literal (-81/-120/-99), all of which satisfy `if (i_7_ < -77)` - a real, always-taken guard, not a decoy. Body sets a graphics-option flag (BloomGraphicsOptionState.anInt5969=2), stores `resourceId` into TextureLoadExceptionStatics.anInt4596, then either falls back to GlRectangleTexture.method254(35, -87) when NullOggStream.aString9043 (a URL/path string) is null, or opens that resource as a stream (via MapLabelMenuEntry.method1039/NodeDequeHolder.method878), reads two longs (one cached into LoadProgressCounters.aLong6966), and finally calls LocalPlayerState.method1138(...). Reads like an update-check/patch-bootstrap routine validating a remote resource's checksums, not GL buffer logic - another likely decompiler-merged companion method; name is a low-confidence best guess from the observable control flow."
method1158,hasModelRenderFlag,"i: Int, i_9_: Int, i_10_: Int","unused: Int, checkValue: Int, flags: Int",medium,"Companion flag-test helper: returns `(flags and 0x180) != 0`, i.e. true when either bit 7 or bit 8 (128 or 256) is set in `flags`. Both call sites are in Direct3dModel.kt (`!GlElementArrayBuffer.method1158(anInt5472, -1, anInt5463)`), gating whether per-vertex/triangle array processing proceeds for a model - i.e. 'does this model have some 0x180-bit render feature set', despite living in this GL-named class's companion (used entirely from the D3D model path - further evidence this companion object is a grab-bag rather than GL-specific). `unused` (first param) is never read in the body; `checkValue` decoy is always -1 at both call sites, so `if (i_9_ != -1) aServerConnectionInfo_4839 = null` never fires."
