current_name,recommended_name,current_params,recommended_params,confidence,notes
method1710,getDefaultValue,i: Int,gate: Int,medium,"Overrides GraphicsOptionState's abstract method1710 (see GraphicsOptionState.kt / RangedGraphicsOptionState.kt in this batch for the same contract: seeds anInt3138 in the base constructor). Returns 1 when gate==20014 (the real sentinel), -81 otherwise."
method1809,isRoofRemovalActive,i: Int,gate: Int,low,"Returns the negation of aClass348_Sub51_3136.method3425(-104) (a DisplaySettingsConfig boolean query) - given the class name RemoveRoofsOptionState, most likely 'are roofs currently NOT force-shown', i.e. whether roof removal is in effect. Calls method1813(11,68) as a decoy when gate<85 (result discarded)."
method1712,setValue,"i: Int, i_35_: Int","gate: Int, value: Int",high,"Overrides GraphicsOptionState's abstract method1712 - assigns anInt3138 = value; gate only feeds a dead local computation."
method1714,getRequiredDetailLevel,"i: Int, i_37_: Int","gate: Int, unused: Int",low,"Overrides GraphicsOptionState's abstract method1714. Returns 91 unless gate==3; when gate==3, returns 3 if aClass348_Sub51_3136.method3425(...) is true, else 1 - same 'required detail level' shape as RangedGraphicsOptionState.method1714 in this batch."
method1716,validateOrDefaultValue,bool: Boolean,triggerClearCache: Boolean,medium,"Overrides GraphicsOptionState's abstract method1716. Forces anInt3138 to 0 if aClass348_Sub51_3136.method3425(-112) is true, nulls aClass318_Sub1Array6066 when triggerClearCache is true, then clamps anInt3138 to {0,1} via method1710(20014) if out of range."
method1812,getValue,i: Int,gate: Int,high,"Returns the current option value (anInt3138); nulls anIntArray6062 as a decoy side-effect unless gate==-32350."
method1810,recordTileShapeOrCollisionCorner,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int","tileX: Int, cornerA: Int, cornerB: Int, unused: Int, plane: Int, tileZ: Int, mode: Int",low,"JvmStatic dispatch on `mode`: for mode 1/2, records corner-height shorts (aShort4401/4409 or aShort4398/4397) into the SceneCollisionEntry at (plane,tileX,tileZ), lazily creating it; for mode 8 or the fallback branch, builds and stores a new MapTileShape describing a roof/wall wedge geometry (using shifted tile coords and neighbouring terrain heights) into LoadingBarRenderer.aMapTileShapeArray5060. Calls method1811 (string compare) as an apparent decoy when `unused`!=-1. Consistent with the class's 'remove roofs' theme: precomputing roof-tile wedge shapes and their collision corner heights for selective hiding."
method1811,compareStringsCaseAccentInsensitive,"i: Int, string: String?, i_18_: Int, string_19_: String?","gate: Int, a: String?, sortMode: Int, b: String?",high,"A natural-language string comparator: walks both strings applying accent-folding (RangedGraphicsOptionState.method1765, confirmed shared helper) then case-insensitive comparison, with `sortMode==2` reversing traversal direction (right-to-left) for one comparison branch; falls back to length/lexicographic comparison via CameraNodeList.method1056 (a locale-aware char-ranking helper). Likely used for sorting UI list entries (e.g. friends/ignore list names) in a human-friendly order."
method1813,isRoofOrWallLocType,"i: Int, i_38_: Int","unusedGate: Int, locType: Int",medium,"Returns true if locType is one of {2,3,4,9,59,1001,1007} - given the class's purpose, likely identifies loc/config type-ids that represent roof or wall pieces eligible for hide-on-remove-roofs handling. Recurses into itself once with a different literal when unusedGate!=8806 - decoy self-call."
method1814,clearCaches,i: Byte,unused: Byte,high,"JvmStatic: nulls aClass318_Sub1Array6066, anIntArray6062, anIntArray6061, and InboundPacketHeader.aInboundPacketHeader_6058 unconditionally; computes an unused dead local from `unused`."
