current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub1: SoftwareRenderer, is: IntArray, i: Int, i_0_: Int","renderer: SoftwareRenderer, pixels: IntArray, width: Int, height: Int",high,"Wraps an already width*height-packed ARGB pixel buffer directly as this sprite's backing store (`anIntArray9936 = pixels`), delegating (renderer,width,height) to SoftwareModelRenderer's primary ctor. Call sites: SoftwareRenderer.method3683 (screen-region-capture-to-sprite factory - pixels are pre-copied from the framebuffer by the caller just before this ctor runs, used for 'ghosting'/ hint-arrow icon snapshot targets, see method968 notes) and SoftwareRenderer.method3691's paletted-sprite decode path when an alpha byte array is present (pixels already expanded to ARGB with alpha baked into the top byte via `palette[idx] or (alphaByte shl 24)`)."
<init>,<init>,"var_ha_Sub1: SoftwareRenderer, is: IntArray, i: Int, i_1_: Int, i_2_: Int, i_3_: Int, bool: Boolean","renderer: SoftwareRenderer, sourcePixels: IntArray, sourceOffset: Int, sourceStride: Int, width: Int, height: Int, copyBuffer: Boolean",medium,"Crops a width x height rectangle out of a larger `sourcePixels` buffer (whose full row width is `sourceStride`) starting at `sourceOffset`, row by row (`sourceOffset` advances by `sourceStride - width` between rows). If `copyBuffer` is true, allocates a fresh backing IntArray and copies into it; if false, aliases `sourcePixels` directly as `anIntArray9936` while STILL running the same crop loop in place - only non-destructive when width==sourceStride (no actual cropping happening), otherwise this looks like it could read-after-overwrite corrupt data; flagged as suspicious/unconfirmed edge case. Only call site: SoftwareRenderer.method3711 (sprite-image-region factory that also picks between this class, SoftwarePalettedSpriteRenderer and SoftwareRgbSpriteRenderer based on whether the region contains partial-alpha pixels)."
<init>,<init>,"var_ha_Sub1: SoftwareRenderer, i: Int, i_443_: Int","renderer: SoftwareRenderer, width: Int, height: Int",high,"Allocates a blank (all-zero, i.e. fully-transparent) width*height IntArray as the backing pixel buffer. Only call site: SoftwareRenderer.method3629 (the 'true'/hasAlpha branch of the abstract off-screen render-target factory; the 'false' branch builds a SoftwareRgbSpriteRenderer instead) - GL-twin equivalent of GlSpriteRenderer's first <init> (blank backing-texture constructor)."
method995,blitTransformedSprite,"is: IntArray?, is_7_: IntArray?, i: Int, i_8_: Int","rowStartX: IntArray?, rowLength: IntArray?, offsetX: Int, offsetY: Int",medium,"Implements SoftwareModelRenderer's abstract method995, the per-scanline raster fill invoked by (non-overridden, base-class) method983 after method997 sets up the rotation/scale/skew perspective-mapping fields (anInt8451/8453/8458/8467/8475/8478/8479/8481/8450/8452/etc., all fixed-point 4.12 scan deltas). `rowStartX`/`rowLength` are a RasterSprite's per-row opaque-span arrays (`anIntArray5201`/`anIntArray5202`, same shape as method963's sparse-row-run sprite format); `offsetX`/`offsetY` shift the sprite's row-run lookup. Always alpha-blends source-over-dest using the source pixel's own alpha byte (`(src*a + dst*(255-a))>>8`, standard packed-ARGB blend trick) - no color-mode/blend-mode dispatch table here (unlike method964/982/994/996), consistent with this being purely the rotated *sprite* (already-alpha) compositing path rather than a generic tinted quad fill. Split into 9 near-identical loop variants dispatched on the sign of anInt8481/anInt8450 (the two perspective x/y scan-slope terms) - i.e. one code path per octant of rotation."
method979,captureScreenRegion,"i: Int, i_139_: Int, i_140_: Int, i_141_: Int, i_142_: Int, i_143_: Int","destX: Int, destY: Int, width: Int, height: Int, srcX: Int, srcY: Int",medium,"Override matching AbstractModelRenderer.method979 (named per GlSpriteRenderer.csv's captureScreenRegion). Copies a width x height block from the current framebuffer (`aHa_Sub1_8460.anIntArray7483`) at (srcX,srcY) into this sprite's own buffer at (destX,destY), masking `and 0xffffff` (alpha forced to 0/transparent on the copied pixels - see method968, which is used afterward at real call sites to (re)synthesize a real alpha channel from a screen-derived heuristic, e.g. HintArrowRenderer's compass-icon capture flow). Reuses the single `width` param as the row stride for BOTH source and destination indexing, so callers must pass this sprite's own actual width as `width` (confirmed at LongKeyNode.kt/NativeRenderer.kt/OpenGlRenderer.kt call sites, all square or matching regions) - not a generic arbitrary-stride blit despite 6 separate params."
method964,draw,"i: Int, i_148_: Int, i_149_: Int, i_150_: Int, i_151_: Int","x: Int, y: Int, colorMode: Int, color: Int, blendMode: Int",high,"Override matching AbstractModelRenderer.method964/draw (per GlSpriteRenderer.csv). Blits the whole sprite at natural size to (x,y) with viewport clipping. Two independent 4-way dispatch tables select the actual inner loop: `colorMode` (`i_149_`) 0=multiply-tint by `color`'s RGB channels ('recolor'), 1=plain copy (no tint), 2=blend-toward-`color` using color's own alpha as the mix weight ('flash'/overlay-tint effect, independent of source alpha - shortcuts when color==opaque-white 0xffffff), 3=saturating additive add of `color` ('glow'/brighten tint); `blendMode` (`i_151_`) 0=overwrite dest outright, 1=standard src-over alpha blend using the *source pixel's own* alpha byte, 2=additive 'screen'-style blend that skips fully-zero source pixels. All 12 combinations are implemented as separate unrolled double-loops (`throw IllegalArgumentException()` on any other value of either selector) - this exact 4x3 mode matrix is repeated verbatim in method982/method994/method996 in this file."
method963,drawSprite,"i: Int, i_265_: Int, var_sprite: Sprite?, i_266_: Int, i_267_: Int","x: Int, y: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",high,"Override matching AbstractModelRenderer.method963/drawSprite (per GlSpriteRenderer.csv). Casts `sprite` to RasterSprite and draws it at (x,y), using its sparse per-row opaque-span encoding (`anIntArray5201`=row start-x, `anIntArray5202`=row run-length) so fully-transparent margins are skipped entirely; `offsetX`/`offsetY` shift the sprite's own row/column anchor before clipping against the sprite's array bounds. Always does a plain source-over alpha blend using the source pixel's own alpha byte - no color/blend-mode params, matching this being the simple unscaled/untransformed draw variant (compare method964 which is the tinted/mode-dispatched natural-size draw on the *background* sprite itself)."
method982,drawScaled,"i: Int, i_294_: Int, i_295_: Int, i_296_: Int, i_297_: Int, i_298_: Int, i_299_: Int, i_300_: Int","x: Int, y: Int, width: Int, height: Int, colorMode: Int, color: Int, blendMode: Int, unused: Int",high,"Override matching AbstractModelRenderer.method982/drawScaled (per GlSpriteRenderer.csv). Stretches the sprite into the (x,y,width,height) box using fixed-point 16.16 step accumulators, with the same `colorMode`(4-way)/`blendMode`(3-way) dispatch matrix documented in method964 (identical branch bodies, just with a nearest-neighbor scaled source-pixel fetch instead of 1:1 copy). The 8th param (`i_300_`, GL-twin's `smooth` filter flag) is a confirmed dead parameter - never referenced anywhere in this method body; makes sense since software rasterization has no GL-style texture-filter concept, the param only exists to satisfy the shared abstract signature."
method996,drawScaledDepthTested,"i: Int, i_444_: Int, i_445_: Int, i_446_: Int, i_447_: Int, i_448_: Int, i_449_: Int, i_450_: Int, i_451_: Int","x: Int, y: Int, depth: Int, width: Int, height: Int, colorMode: Int, color: Int, blendMode: Int, unused: Int",medium,"Implements SoftwareModelRenderer's abstract method996 (no GL-twin equivalent - this is software-rasterizer-specific, not part of AbstractModelRenderer's shared interface). Identical scaled-blit/color-mode/blend-mode machinery to method982, but additionally per-pixel depth-tests against a shared z-buffer (`aHa_Sub1_8460.aFloatArray7511`): only writes (and updates the depth buffer with `depth`) where the incoming `depth` is less than the buffer's current value at that pixel. Call sites (SoftwareRenderer.method3712/method3720, both driven by PositionedSceneNode/world-projected 'graphic'/spotanim-icon drawing) always pass the 9th param as literal `1` and `width`/`height` pre-doubled (`shl 1`) by the caller - confirmed unused inside this method body (never read), a dead parameter mirroring method982's unused `smooth`/9th slot."
method968,deriveAlphaFromScreenChannel,"i: Int, i_593_: Int, i_594_: Int","x: Int, y: Int, channel: Int",high,"Overrides SoftwareModelRenderer/AbstractModelRenderer's method968 (GL-twin equivalent is prepareMaskTexture, but the software behaviour is structurally different, not a texture-preparation step - see PLAN.md guidance not to force 1:1 GL/software correspondence). Rewrites just the alpha byte (top 8 bits) of this sprite's own already-captured pixel buffer, keeping RGB (`and 0xffffff`), reading from the *same* framebuffer region at (x,y): channel 0/1/2 pull the source's R/G/B byte (via shl 8/16/24 + top-byte mask) into the new alpha; channel 3 makes a binary silhouette mask (opaque wherever the source pixel is nonzero, else fully transparent). Confirmed real usage: HintArrowRenderer.kt calls `.method968(0, 0, 0)` and `.method968(0, 0, 3)` right after building this sprite via method3683's screen-capture ctor (which strips alpha to 0, see method979 notes) - i.e. this method is how a freshly rendered-then-captured 3D compass/hint-arrow icon gets a usable alpha channel synthesized from the just-rendered scene pixels. Both known call sites always pass x=0,y=0 - not confirmed as a true decoy (could just be that this particular renderer always operates at its own origin), but untested with other coordinates."
