current_name,recommended_name,current_params,recommended_params,confidence,notes
method3049,decodeConfigParam,"class348_sub49: ByteBuffer, i: Int, i_0_: Int","buffer: ByteBuffer, opcode: Int, xorKey: Int",medium,"Overrides AbstractProceduralTextureNode.method3049 (base is an empty no-op 'open fun', i.e. a config-decode hook). Deeply-nested labelled while/break chain is a decompiled switch-on-opcode: opcode 0 reads aBoolean9160 (a flag toggling a per-pixel branch in method3069/generateNoiseRow), opcode 1 reads anInt9150 (octave count), opcode 2 reads anInt9149 and, if negative, an array of per-octave short values into aShortArray9159, opcode 3/otherwise reads anInt9164 (also mirrored into anInt9158), opcode 4 reads anInt9156 (permutation-table seed, consumed later by method3664/getOrBuildPermutationTable), opcode 5 reads anInt9158 alone, default reads anInt9164 alone. All buffer reads use `xorKey xor 0x79d8` or the constant 255 as the read-cipher key depending on branch."
method3042,getNoiseRow,"i: Int, i_2_: Int","row: Int, unusedFlag: Int",medium,"Overrides AbstractProceduralTextureNode.method3042 (base throws 'This operation does not have a monochrome output' by default - i.e. a monochrome-row accessor). Fetches a preallocated IntArray row from aSpriteSheetCache_7032.method1433(0, row) and, if the cache's aBoolean2570 flag is set, fills it in place via method3069/generateNoiseRow before returning it."
method3044,prepareNoiseTables,i: Int,unusedFlag: Int,medium,"Overrides (public override, no explicit 'override' keyword variance noted) AbstractProceduralTextureNode.method3044 (base conditionally nulls aSpriteSheetCache_7032 - a cache-invalidation hook). Loads/derives the permutation table into aByteArray9152 via method3664 keyed by anInt9156 (seed), calls method3067/computeOctaveTables to (re)build the amplitude/period tables, then trims trailing near-silent high octaves from aShortArray9159 while their absolute value stays <= 8, decrementing anInt9150 (active octave count) accordingly - a standard fractal-noise 'drop octaves that don't contribute visually' optimization."
method3067,computeOctaveTables,i: Byte,unusedFlag: Byte,medium,"Private. Builds aShortArray9162 (power-of-two period table, 2^octaveIndex) and, when anInt9149 (persistence, Q12 fixed-point) is positive, aShortArray9159 (per-octave amplitude table = persistence^octaveIndex in Q12); otherwise (persistence <= 0 but an existing aShortArray9159 of matching size) only rebuilds the period table, reusing caller-supplied amplitudes. Classic Perlin/fractal-noise persistence-and-lacunarity table setup. `i` param only feeds an unused decoy arithmetic expression."
method3069,generateNoiseRow,"i: Int, is: IntArray, i_8_: Byte","row: Int, output: IntArray, flag: Byte",high,"Sums 1 to N (anInt9150) octaves of 2D value/gradient noise (via method3070/sampleGradientNoise2D, itself using the classic quintic fade curve from method2684/smootherStep and lerp from method2337) into `output`, scaled per-pixel by anIntArray6035[row] (a per-row coordinate lookup) and anIntArray6432 (a per-column coordinate lookup, shared with sibling classes). The single-octave fast path (anInt9150==1) and the aBoolean9160-gated '+2048, >>1' bias-and-scale on the final octave both match a fractal Brownian motion (fBm) texture generator producing a signed noise field re-centered to an unsigned 12-bit range; `flag` gates the whole body (`if (i_8_ > 91)`), consistent with call sites always passing 98.toByte()."
method3070,sampleGradientNoise2D,"i: Int, i_55_: Int, i_56_: Int, i_57_: Int, i_58_: Int, bool: Boolean, i_59_: Int","permA: Int, fracX: Int, cellBound: Int, coordX: Int, blendT: Int, unusedTrueFlag: Boolean, permB: Int",medium,"Private. Computes 2D value-noise-style corner gradients by indexing the shared permutation table aByteArray9152 (masked to 2 bits, selecting one of 4 gradient combinations of the two axis offsets) at the two permutation roots `permA`/`permB`, then bilinearly interpolates the four corner values via `blendT` (a Q12 interpolation weight, likely itself pre-eased through the smootherStep curve by the caller). `if (unusedTrueFlag != true) return -82` is dead at the sole call site (method3069 always passes true)."
method1918,buildEaseCurveTable,"i: Int, i_0_: Int","unusedSeedGuard: Int, t: Int",medium,"Companion. `if (unusedSeedGuard != -3358) return 126` is an opaque-predicate guard always satisfied at the sole call site (the static init block calling `method1918(-3358, i)` for i in 0..4095 to populate anIntArray2631). Computes a fixed-point quintic ease/fade curve (`t*(t*t>>12)>>12` combined with a `6t-61440` / `40960+...` term) matching the classic Perlin 6t^5-15t^4+10t^3 smoothstep formula in Q12 integer math - the resulting anIntArray2631 LUT is used directly as the interpolation weight in method3070/sampleGradientNoise2D."
method3664,getOrBuildPermutationTable,"i: Int, i_88_: Int","seed: Int, unusedFlag: Int",high,"Companion. Returns a cached 512-byte permutation/shuffle table (LoadingScreenImageNode.aByteArray9499, reusing that unrelated class purely as a byte-array cache-value holder) keyed by `seed` in aCacheLruCache_8815; if absent, builds a fresh Fisher-Yates-style shuffled byte sequence (0..254 doubled/mirrored into a 512-entry table) seeded by `seed` via a java.util.Random and ModelDefinition.method1097 as the per-step RNG draw - the same permutation-table construction pattern used inline in PerlinTextureProvider's init block, but here cached across instances by seed."
method2337,lerp,"f: Float, bool: Boolean, f_4_: Float, f_5_: Float","a: Float, unusedFlag: Boolean, b: Float, t: Float",high,"Companion. `a + (b - a) * t` - textbook linear interpolation; `bool`/unusedFlag param is entirely unused in the body (pure decoy, likely present only to vary the call signature from the obfuscator's original overload set)."
method2684,smootherStep,"i: Int, f: Float","unusedFlag: Int, t: Float",high,"Companion. `(t*(6t-15)+10) * t^3` - Ken Perlin's improved fade/ease curve (6t^5-15t^4+10t^3), used to weight interpolation in method3069/generateNoiseRow and mirrored in the fixed-point LUT builder method1918."
