current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"resourceProvider: ResourceProvider, bool: Boolean, i: Int","resourceProvider: ResourceProvider, rawByteStorage: Boolean, discardUnpackedMode: Int",medium,"Primary constructor. Validates 0<=i<=2 with error message 'js5: Invalid value X supplied for discardunpacked' (from decompiled JODE source comment), so i is stored in anInt634 (discardUnpackedMode - controls caching/eviction behavior seen in method393/method394/method403, e.g. anInt634==2 triggers single-file-only extraction and eager eviction). bool is stored in aBoolean655 and used in method394/method406 to pick between wrapping fetched bytes via method1357 (converts to ByteStoreArray for large arrays) vs. returning resourceProvider bytes directly; exact semantic uncertain, named 'rawByteStorage' as best guess."
method389,getVersion,i: Int,decoy: Int,high,"Returns referenceTable(aCutsceneSequenceData_629).anInt3719, the version/crc value stored in and validated against the reference table on load (CutsceneSequenceData init: 'if (i != this.anInt3719) throw RuntimeException()'). Confirmed by SettingsCrcWriter.kt which calls .method389(-108) etc. on many different Js5Archive instances and writes the results into a settings/handshake CRC block - exactly the classic JS5 index CRC/version reporting used at login. Int param is an unused-looking decoy local calc (i_0_ = -117/((-60-i)/33), never used) plus a call-counter increment; not a real gate."
method391,getFileByName,"string: String?, string_1_: String?, i: Int","groupName: String?, fileName: String?, decoy: Int",high,"Hashes groupName via method2108 to find a group id in the top-level name-hash set (aIntHashSet_3723), bounds-checks it via method392, hashes fileName to find a file id within that group's per-group name-hash set (aIntHashSetArray3728), then fetches the bytes via method410. Confirmed by many callers (D3dEnvMappedWaterPass, GlEnvMappedWaterPass, etc.) doing js5Archive.method391('gl'/'dx', '<shader name>', -29832) to load shader source files by group/file name - i.e. shader group + shader name lookup. decoy is always -29832 at call sites (also the internal method392 hash-confirm constant); an internal 'if (i != -29832) method392(22, 12.toByte())' branch is a dead self-check."
method392,isValidGroup,"i: Int, i_4_: Byte","groupId: Int, decoyByte: Byte",high,"Private bounds/existence check: groupId in range and referenceTable.anIntArray3724[groupId] (file count for the group) != 0. Used pervasively before touching referenceTable/array data by id. decoyByte is always (-40).toByte() at every call site in this file; return value only depends on 'i_4_.toInt() == -40' at the tail, so the whole method degenerates to a decoy-guarded bounds check."
method393,getFileWithKey,"i: Int, i_5_: Int, i_6_: Int, is: IntArray?","groupId: Int, fileId: Int, decoyBoundOffset: Int, xteaKey: IntArray?",medium,"Public entry point that validates (fileId, groupId) via method418, lazily decodes/decompresses the group container into anObjectArrayArray664[groupId][fileId] via method394 if not already cached (retrying once with a different decoy byte on first failure), then extracts and optionally evicts the cached entry depending on discardUnpackedMode (anInt634). xteaKey is passed straight through to method394, which uses it as an XTEA-style decryption key (4 ints, all-zero = unencrypted) - confirmed by DelegatingRenderCanvas.kt passing an explicit IntArray as the last arg for map-region-like data. decoyBoundOffset is fed into method418's bound check as (decoyBoundOffset-2); real callers appear to consistently produce a small constant here."
method394,decodeGroupContainer,"i: Int, i_8_: Byte, is: IntArray?, i_9_: Int","targetFileId: Int, decoyByte: Byte, xteaKey: IntArray?, groupId: Int",medium,"Core container decode: fetches raw group bytes (anObjectArray656[groupId]), optionally XTEA-decrypts with xteaKey via ByteBuffer.method3367 if xteaKey is non-null and not all-zero, decompresses via CutsceneSequenceData.method3158 (gzip/raw container format), then splits the decompressed blob into per-file byte arrays using a chunked delta-length-prefixed layout (last byte = chunk count, per-chunk per-file lengths read as ints) and stores them into anObjectArrayArray664[groupId]. When discardUnpackedMode(anInt634)==2, only targetFileId's bytes are extracted from the chunked layout instead of caching every file in the group (memory-saving 'single file' mode) - targetFileId (the plain 'i' param) is only referenced inside that branch's chunk-matching loop. Complex; params inferred from call-site wiring in method393, not independently verified against every callsite."
method396,getFileIds,"i: Int, i_45_: Int","groupId: Int, decoy: Int",high,"Bounds-checks groupId via method392, returns referenceTable.anIntArrayArray3721[groupId] (explicit file-id list for the group) or, if that's null (meaning file ids are implicitly 0..n-1), builds and returns an identity IntArray of length anIntArray3725[groupId]. decoy triggers a dead call to method389 when nonzero (never happens at the two call sites that pass a literal 0)."
method397,getGroupLoadPercentByName,"string: String, i: Int","name: String, decoy: Int",high,"Hashes name to a group id via the top-level name-hash set, then delegates to method419(decoy, groupId) to get a 0-100 load-percent for that group. Used as a fallback progress source in NoiseTextureGenerator/SpotAnimEntity/SpriteLoadValidator when the corresponding 'is this ready by name' check (method413) is false. decoy is always 0 at call sites, matching method419's own internal decoy requirement."
method398,getLoadProgress,i: Byte,decoyByte: Byte,high,"Loops every group index, and for each group that has any files (anIntArray3725[i]>0) accumulates a weighted load percent via method419(0,i); returns weighted average*100/total, or 100 if there are no such groups. Confirmed by ClientLoadStateMachine.kt and MapArchiveSource.kt using it as the classic 0-100 'archive load percentage' feeding a loading-screen. decoyByte must be -31 at call sites or the whole computation is skipped (returns 50)."
method399,ensureReferenceTableLoaded,bool: Boolean,decoyUnused: Boolean,high,"Lazily fetches the reference table (aCutsceneSequenceData_629) from aResourceProvider_659.method2340(...) on first use and allocates the anObjectArray656/anObjectArrayArray664 caches sized to the group count; returns whether the table is now available. The Boolean parameter is entirely unused in the method body - a pure decoy present at nearly every call site in the file."
