current_name,recommended_name,current_params,recommended_params,confidence,notes
BigInt (primary constructor),BigInt,"sign: Int, mag: IntArray","sign: Int, mag: IntArray",high,"Not obfuscated - this file is already a clean, hand-written/rewritten bignum implementation (doc comment header, no 'Decompiled by JODE' banner, meaningful names throughout) unlike the other files in this batch. Private primary constructor takes the sign-magnitude representation directly; params already clearly named, no rename needed."
BigInt (secondary constructor),BigInt,value: ByteArray,value: ByteArray,high,"Constructs from a big-endian two's-complement signed byte array (java.math.BigInteger(byte[]) semantics), delegating to fromSignedBytes(value). Already clearly named."
BigInt (secondary constructor),BigInt,"hex: String, radix: Int","hex: String, radix: Int",high,"Constructs a positive value from a hex string; only radix 16 is supported (asserted via require). Already clearly named."
toByteArray,toByteArray,(none),(none),high,"Returns the big-endian two's-complement minimal-length byte encoding, matching java.math.BigInteger.toByteArray(). Already correctly named."
isZero,isZero,(none),(none),high,"True when the magnitude array is empty (the canonical zero representation used throughout, since stripLeadingZeros/of never leave a nonzero-sign empty-mag pair). Already correctly named."
modPow,modPow,"exp: BigInt, m: BigInt","exp: BigInt, m: BigInt",high,"Standard square-and-multiply modular exponentiation (LSB-first over exp's bits via testBit0/shiftRight1), reducing the base into [0, m) first via mod(). Used for RSA-style login/JS5 crypto per the file's doc comment. Already correctly named."
mulMod,mulMod,"o: BigInt, m: BigInt","other: BigInt, m: BigInt",high,"this * o mod m, a private helper combining multiply() and mod(). Already correctly named; only the param name `o` could be marginally clearer as `other`."
testBit0,testBit0,(none),(none),high,"Returns true if the least-significant bit of the magnitude is 1 (checks mag[last limb] and 1). Already correctly named."
shiftRight1,shiftRight1,(none),(none),high,"Arithmetic right shift of the (non-negative) magnitude by 1 bit, propagating the carry bit between 32-bit limbs; returns ZERO for zero input. Already correctly named."
multiply,multiply,o: BigInt,other: BigInt,high,"Schoolbook long multiplication of the two magnitudes (double-loop with 64-bit accumulator/carry), sign = sign * o.sign. Already correctly named; `o` could be renamed `other` for clarity but is unambiguous in context."
mod,mod,m: BigInt,m: BigInt,high,"Non-negative remainder matching java.math.BigInteger.mod(m): takes the truncated remainder() and adds m back if it came out negative. Already correctly named."
remainder,remainder,m: BigInt,m: BigInt,high,"Truncated remainder (sign follows the dividend, like BigInteger.remainder) - compares magnitudes and calls divRemMag when a real division is needed. Already correctly named."
add,add,o: BigInt,other: BigInt,high,"Sign-magnitude addition supporting same-sign (magnitude add) and opposite-sign (magnitude subtract of the larger from the smaller, keeping the larger's sign) cases - the specific subset needed by mod(). Already correctly named; `o` could be `other`."
of,of,"sign: Int, mag: IntArray","sign: Int, mag: IntArray",high,"Companion factory that strips leading-zero limbs and canonicalizes to the shared ZERO instance when the magnitude is empty. Already correctly named."
stripLeadingZeros,stripLeadingZeros,a: IntArray,a: IntArray,high,"Trims leading zero limbs from a big-endian limb array, returning the same array reference when nothing to trim. Already correctly named."
compareMag,compareMag,"a: IntArray, b: IntArray","a: IntArray, b: IntArray",high,"Unsigned comparison of two magnitude limb arrays (by length first, then limb-by-limb as unsigned 32-bit values). Already correctly named."
addMag,addMag,"a: IntArray, b: IntArray","a: IntArray, b: IntArray",high,"Unsigned addition of two magnitude limb arrays with carry propagation, output sized to the larger operand + 1 limb then trimmed. Already correctly named."
subMag,subMag,"a: IntArray, b: IntArray","a: IntArray, b: IntArray",high,"Unsigned subtraction a - b of magnitude limb arrays (requires a >= b) with borrow propagation. Already correctly named."
divRemMag,divRemMag,"a: IntArray, b: IntArray","a: IntArray, b: IntArray",high,"Binary long division of magnitudes bit-by-bit (shift-and-subtract), returning (quotient, remainder) as a Pair; requires a >= b, b != 0. Intentionally simple per the file's doc comment since RSA blocks here are only 64-128 bytes. Already correctly named."
magBit,magBit,"a: IntArray, bitFromLsb: Int","a: IntArray, bitFromLsb: Int",high,"Reads a single bit (indexed from the least-significant bit) out of a big-endian limb array; out-of-range (limb < 0) returns 0. Already correctly named."
setMagBit,setMagBit,"a: IntArray, bitFromLsb: Int","a: IntArray, bitFromLsb: Int",high,"Sets a single bit (indexed from the least-significant bit) in a big-endian limb array in place. Already correctly named."
shiftLeft1Or,shiftLeft1Or,"a: IntArray, lowBit: Int",,high,"Left-shifts a magnitude by 1 bit and ORs `lowBit` into the new least-significant bit position, growing the array by one limb if needed then trimming. Used by divRemMag to build up the running remainder one bit at a time. Already correctly named."
parseHexMag,parseHexMag,hexIn: String,hexIn: String,high,"Parses a hex string into a big-endian 32-bit limb array, left-padding with zeros to a multiple of 8 hex digits (one limb) first. Already correctly named."
fromSignedBytes,fromSignedBytes,bytes: ByteArray,bytes: ByteArray,high,"Decodes a big-endian two's-complement byte array (java.math.BigInteger(byte[]) semantics) into (sign, magnitude): for negative inputs it computes the two's-complement magnitude via bitwise-invert + 1 over the byte array before converting to limbs. Already correctly named."
bytesToMag,bytesToMag,bytes: ByteArray,bytes: ByteArray,high,"Converts a big-endian byte array (already sign-resolved, non-two's-complement) into a big-endian 32-bit limb array, skipping leading zero bytes. Already correctly named."
toSignedBytes,toSignedBytes,"sign: Int, mag: IntArray","sign: Int, mag: IntArray",high,"Inverse of fromSignedBytes: encodes (sign, magnitude) into a minimal-length big-endian two's-complement byte array matching java.math.BigInteger.toByteArray(), including the extra leading 0x00/0xff byte needed when the magnitude's top bit would otherwise flip the encoded sign. Already correctly named."
