current_name,recommended_name,current_params,recommended_params,confidence,notes
method2341,getDiskCacheProgress,i: Int,decoy: Int,low,"Returns 0 if the reference table (aCutsceneSequenceData_6342) isn't loaded yet; if this archive has no local disk cache (!aBoolean6368), returns the full validArchiveCount (aCutsceneSequenceData_6342.anInt3727) - i.e. 'fully available' by definition. Otherwise peeks the head of the pending-disk-cache queue aNodeDeque_6372 (via method1995, matching the Hashtable/NodeDeque first/next iteration idiom seen elsewhere - `i xor 0x6168` reduces to the same constant 4 used by method2342/method2343's head-peek calls) and returns that queued entry's raw group id (class348.aLong4291.toInt()), or 0 if the queue is empty. Since method2343 enqueues not-yet-cached groups in roughly increasing group-id order, this reads as a rough monotonic 'how far through the archive's group-id space has disk-caching progressed' proxy rather than a true count - confirmed by its only external use in FlipTextureNode.kt's debug HUD, where it is summed across all 37 archives alongside method2345 (getGroupCount, the denominator) and method2351 (getCachedGroupCount) to build a 'Cache:X% (Y%)' overlay string. decoy is always 24940 at both the internal self-check and the one external call site (FlipTextureNode.kt:276)."
method2342,processPendingAccessQueue,i: Int,decoy: Int,medium,"Walks the access-notification queue aNodeDeque_6369 (populated by method2338/notifyGroupAccessed) once the reference table is available: discards any queued group id that is out of range or has zero children (aCutsceneSequenceData_6342.anIntArray3725[id]==0); for a still-pending group (aByteArray6351[id]==0) kicks off a disk-cache-only load via method2350(id, 65.toByte(), 1); for a previously-corrupt group (==-1) kicks off a network re-fetch/repair via method2350(id, 65.toByte(), 2); for an already-cached group (==1) simply removes it from the queue (nothing left to do). `if (i != 0) aBoolean6375 = false` is a decoy - the only call site (RsaPacketDecoder.kt:17) always passes 0."
method2343,tick,i: Int,tickFlag: Int,medium,"Per-tick maintenance. When aNodeDeque_6372 is non-null: if aBoolean6368 is set, scans queued/soon-to-be-queued group ids (bounded by anInt6373 walking every group 0..count) verifying disk-cache status (aByteArray6351) via method2350 in mode 1/2 and clears entries once cached, resetting aBoolean6368 when the whole archive is done; an else-if aBoolean6371 branch (entered only after method2346 has been called) does the mirrored thing but requiring status==1 (verified) rather than !=0, using method2350 mode 2, and additionally throttles new work via aMediaStreamClient_6347.method1899(...) (looks like an 'is the network busy' check) instead of aScriptCompilerThread_6354.anInt1734; otherwise (neither flag set) aNodeDeque_6372 is discarded. Separately, when tickFlag==-1 and aBoolean6375 is set and the sweep timer (aLong6374, refreshed here to now+1000ms) has elapsed, iterates every AsyncResourceRequest in aHashtable_6360 and performs a two-pass mark-and-evict: a completed (!aBoolean9664), previously-unmarked (!aBoolean9667) request just gets aBoolean9667 set true; a completed request already marked gets unlinked via method2715 (with a `require aBoolean9663` sanity check). The only call site (RsaPacketDecoder.kt:21) always passes -1, so both halves of this method run on every observed call."
method2345,getGroupCount,i: Int,decoy: Int,high,"Returns aCutsceneSequenceData_6342.anInt3727 (validArchiveCount from the reference table) once loaded, else 0. `if (i != 0) method2338((-34).toByte(), 120)` is a decoy notifyGroupAccessed call; the only external call site (FlipTextureNode.kt:274) passes 0, so it never fires. Confirmed as the 'total groups in this archive' denominator alongside method2341/method2351 in FlipTextureNode's cache-percentage HUD calc."
method2339,getGroupBytes,"i: Int, i_3_: Byte","groupId: Int, decoyByte: Byte",high,"Override of ResourceProvider.method2339 (the abstract hook Js5Archive.method406/loadGroupData calls to fetch a group's raw bytes). Fetches/creates a network-mode AsyncResourceRequest via method2350(groupId, 65.toByte(), 0), reads its bytes via method3259(16) [AsyncResourceRequest.getData], immediately unlinks the request via method2715(33.toByte()) (one-shot, not cached for reuse), and returns the bytes. The unused local `val i_4_ = -16 / ((i_3_ - -44) / 37)` is dead decoy arithmetic."
method2346,beginCacheVerificationScan,i: Int,expectedTrigger: Int,low,"Only acts when i==27872 (the sole real call site, WorldMapTextLabel.kt:47, passes this exact literal): sets aBoolean6371 true and lazily creates aNodeDeque_6372 if absent. This flips on the 'verify already-disk-cached groups against the network' branch of method2343/tick (its aBoolean6371 path, mode-2 method2350 calls), so it reads like a manual/one-off 'repair local cache' trigger rather than something invoked routinely - its single call site being in world-map text-label code is unexplained and may itself be a further obfuscator-artifact placement."
method2338,notifyGroupAccessed,"i: Byte, i_5_: Int","decoyByte: Byte, groupId: Int",high,"Override of ResourceProvider.method2338. Enqueues groupId onto aNodeDeque_6369 (deduplicated by scanning the existing queue first) for later processing by method2342. `if (i.toInt() != -52) aCutsceneSequenceData_6342 = null` is a dangerous-looking decoy that would wipe the cached reference table - never triggered because every real caller (confirmed via Js5Archive.csv's method402/notifyGroupAccessed notes) passes the fixed byte -52."
method2349,getReferenceTableLoadPercent,i: Int,decoy: Int,high,"Returns 100 once the reference table is loaded (method2340 succeeds); otherwise 0 if no load has been started yet (aClass348_Sub42_Sub16_6355==null), or the in-flight request's own load percent via method3257(16) [AsyncResourceRequest.getLoadPercent]. Confirmed by ClientLoadStateMachine.kt, which sums this across several archive instances (each weighted by NpcAnimationResolver.anIntArray164) to build an overall loading-screen percentage. `if (i != 1) method2335(11, -116)` is a decoy call to the per-group variant; real callers always pass 1."
method2335,getGroupLoadPercent,"i: Int, i_8_: Int","groupId: Int, decoy: Int",high,"Override of ResourceProvider.method2335 (the abstract hook Js5Archive.method419 calls for a provider-reported per-group load percent). Looks up an existing AsyncResourceRequest for groupId in aHashtable_6360 and returns its load percent via method3257(16), or 0 if no request is in flight. `if (i_8_ != -22197) anInt6352 = 21` is a decoy side effect on the format-check field (see the constructor notes on anInt6352/expectedFormat); the one real call site (Js5Archive.method419) always passes 0, so it never fires."
method2350,resolveGroupRequest,"i: Int, i_9_: Byte, i_10_: Int","groupId: Int, decoyByte: Byte, mode: Int",medium,"Core private helper behind most public methods in this class: gets-or-creates the AsyncResourceRequest cached in aHashtable_6360 for groupId. If an existing request is stale (not persistent per aBoolean9663, still pending per aBoolean9664, and mode==0) it is unlinked and discarded so a fresh one is created. For mode 0 (default/'just get the data'): serves from local disk (aScriptCompilerThread_6354.method1055) if a byte in aByteArray6351 indicates it's cached and not corrupt, else issues a network fetch via aMediaStreamClient_6347.method1906 (returns null if the network client reports busy/unavailable). For mode 1 (disk-cache-only, requires aIndexedFileCache_6365 non-null, throws otherwise): loads strictly from local disk via aScriptCompilerThread_6354.method1054. For mode 2 (repair a previously-corrupt entry, requires the group's status byte to already be -1, throws otherwise): re-fetches from the network. Once a request completes (bytes available), validates the payload's CRC32 and, if present, a 64-byte Whirlpool-style digest against the reference table's per-group records (aCutsceneSequenceData_6342.anIntArray3729 / aByteArrayArray3730), re-stamps a version marker into the trailing 2 bytes, persists to disk via aScriptCompilerThread_6354.method1049 when a disk cache is configured, marks aByteArray6351[groupId]=1 on success, and on validation failure marks it -1 and (if the request allows retrying, aBoolean9663) automatically re-issues a network fetch. Complex method; mode/param roles inferred from call-site wiring in method2339/method2342/method2343/method2346/method2349 rather than independently verified line-by-line."
