current_name,recommended_name,current_params,recommended_params,confidence,notes
method101,pumpJs5Handshake,i: Byte,unused: Byte,medium,"Drives the JS5 (game-update) connection state machine (`NanoTimer.anInt846` 0..4): opens a socket via `ServerConnectionInfo.method1262`, sends a JS5 handshake packet, waits for the response, and on success calls `MediaStreamClient.method1903` to hand the live socket off to the update fetcher. On various failure paths calls `method103` with an error code (1000/1001/1002/i_0_) to reset state and show an error page (`js5connect_outofdate`, `js5crc`, `js5connect_full`, `js5io`, `js5connect`, `js5proxy_`). The `i` Byte param is never read except in a dead `127 / ((1 - i) / 60)` expression whose result is discarded -- classic opaque-predicate decoy. Only call sites (this file's method102 and method1240) always pass `(-112).toByte()`."
method92,initializeEngine,i: Int,unused: Int,high,"Called exactly once from `GameAppletFrame.run()` as `method92(28740)` right after the render canvas is created (`method87`). One-time engine bootstrap: creates the `ScriptCompilerThread`, the `MediaStreamClient`, resets various byte-array pools/caches, decides live/rc/wip network endpoints and ports by comparing `Client.aSceneProjector_10434` against the three known `SceneProjector` singletons, allocates the buffered random-access cache files (model/sound/map indexes), grabs the AWT system clipboard, and sets up keyboard/mouse input trackers. Because the only real call site passes the fixed literal 28740, expressions like `i xor 0x7044.inv()` inside always evaluate to the same constant -- `i` is not meaningfully variable in practice."
method91,releaseAllStaticState,i: Byte,unused: Byte,high,"Called once from `GameAppletFrame.method90()` (the shutdown routine) as `method91(108.toByte())`, immediately after the socket/background-thread teardown in `method80`. Body is a flat sequence of several hundred individual companion-object 'reset/clear' calls spanning nearly every subsystem in the codebase (rendering, audio, particles, widgets, chat, caches, network) -- this is the master 'null out all static references' pass that runs at full application shutdown so the JVM can GC everything before exit/reload. The Byte param is referenced in a handful of `i.toInt() xor 0x..` expressions passed to sub-cleanup calls, but since the sole real call site is the fixed literal 108, those all reduce to fixed constants; only `if (i.toInt() != 108) anInt5171 = -60` is a genuine (always-false-in-practice) conditional."
method102,pumpJs5Load,i: Byte,unused: Byte,medium,"Tick helper: unless `i==61` calls `method106()` (rebuild dirty-entity sort list), then checks `MediaStreamClient.method1893` ('is JS5 connection healthy') and, if not, drives `method101` (the JS5 handshake state machine) forward. The only call site (`method99`) always passes `61.toByte()`, so the `i != 61` guard around `method106()` is a dead opaque predicate in practice -- `method106()` is effectively never called from here."
method103,handleJs5ConnectFailure,"i: Int, i_5_: Byte","errorCode: Int, resetThreshold: Byte",medium,"Records a JS5 connect failure: bumps `ClientMachineInfo.aMediaStreamClient_6601.anInt3213` (retry counter), stores `errorCode` into `anInt3214`, clears the pending `aLinkedQueueNode_114` request, and if `resetThreshold > 74` resets the handshake state machine (`NanoTimer.anInt846 = 0`) and drops the in-progress `SocketStreamWorker`. All four real call sites (in `method101`) pass byte values 100/111/85/127, all > 74, so the reset branch is effectively always taken; the threshold comparison is kept as a plain guard rather than a confirmed decoy since no counterexample was observed, but no call site exercises the 'false' path either."
method80,disconnectAndCloseFileHandles,i: Int,startFileHandleIndex: Int,high,"Abstract `GameAppletFrame` override. Tears down the live connection: force-swaps the water/scene shader mode, disposes any lingering `Renderer`, resets `SkeletalAnimFrameLoader.aFrame476`-attached socket, closes `Client.aAbstractGameSocket_9165` via `AbstractGameSocket.method1700(36)`, stops the JS5/ClientLoadStateMachine and script compiler thread, stops the host-ping thread, and closes the model/sound/map `BufferedRandomAccessFile` handles starting from index `startFileHandleIndex` up to 36 (via `method790`). Called with `i=0` from `GameAppletFrame.method90` (full shutdown, close everything) and with `i=9` from `method93`'s dead branch (never actually reached since that branch's guard is always false at the real call site) -- so in observed behavior this always runs as a full close from index 0."
method99,runGameLoopTick,i: Byte,unused: Byte,high,"Abstract `GameAppletFrame` override; called every tick as `method99(93.toByte())` from `GameAppletFrame.method84`. Safe wrapper around `method114` (the core per-tick game-logic dispatcher): on any `Throwable` logs a crash report via `method1242`/`method81` and attempts to recover by forcing a reconnect (`method3553(false, ..., 0)`). The `if (i.toInt() != 93) anIntArray5176 = null` guard is a dead opaque predicate -- the only call site always passes 93."
init,init,,,high,"Real (non-obfuscated) `Applet.init()` override -- name is already meaningful, left unchanged. Parses HTML/JNLP applet parameters (worldid, lobbyid, lobbyaddress, demoid, demoaddress, modewhere, modewhat, lang, objecttag, js, advert, game, affid, quiturl, settings, under, country, colourid, sitesettings_member, frombilling, sskey, force64mb, worldflags, userFlow, additionalInfo) into the corresponding companion-object config fields, picks the live/rc/wip `SceneProjector` and environment `HudTabPanel`, then calls `this.method95(...)` to boot the render canvas."
method93,runRenderTick,i: Int,unused: Int,medium,"Abstract `GameAppletFrame` override; called every loop iteration as `method93(-11018)` from `GameAppletFrame.method88` (the canvas-resize/frame-pacing loop, as opposed to `method84`'s game-logic pump that drives `method99`). Wraps `method116` (the per-frame render/redraw routine) in a try/catch that logs a crash and forces a reconnect on failure, mirroring `method99`'s relationship to `method114`. The `if (i != -11018) method80(9)` branch is a dead opaque predicate -- the sole call site always passes the literal -11018."
method113,processNpcIdleTickAndWidgetQueues,i: Byte,unused: Byte,low,"Runs (when `WorldMapRenderer.anInt4674==7 && NpcDefinition.anInt2955==0`) a random-walk/idle-emote update pass over all active NPCs whose type flag bit 0x1 is set (occasionally nudging position by +/-5 tiles via `Math.random()` when bit 0x2 is also set and a collision check via `method574` passes), then unconditionally drains three `WidgetActionEntry` node-deques (dispatching each via `method705`), decays/dispatches `NamedTimedNode` timed HUD messages (world-map style fade text), and finally -- again gated on the same state check -- either attempts a JS5 reconnect (`method3141`) or processes one more inbound packet via `method1802`. Called from `method114` with a fixed byte (112) from two different branches; functionally this looks like the 'not fully in the 3D game loop yet' (loading/lobby-adjacent) tick body, but the exact meaning of state 7 vs the other `WorldMapRenderer.anInt4674` values was not conclusively pinned down."
method114,gameLogicTick,i: Int,unused: Int,medium,"Top-level per-tick dispatcher invoked (via `method99`) once `WorldMapRenderer.anInt4674 != 14`. Pumps periodic housekeeping (RNG reseed every 1000 ticks, FPS/ping counters every 50), drives `method102` (JS5 keepalive), the sound engine tick, keyboard/mouse input polling into fixed-size scratch buffers, the render-node retirement queue, then branches on `WorldMapRenderer.anInt4674` (via `method3196`/`method2672`/`GroundDecorSceneEntity.method2402`) to call `method113` and/or `method2991` (the deep in-game logic tick) and/or `SceneNodeDeque.method843`. Not every state branch was individually traced; behavior for uncommon states (12, 13) is only sketched from the visible code."
method87,initGameCanvas,i: Byte,unused: Byte,high,"Client's override of `GameAppletFrame.method87`. If running inside a wrapper/bootstrap applet, attempts to steal an already-created AWT `Canvas` out of the wrapper via reflection (`getDeclaredField(\"canvas\")`) so the game can render into it directly; on any failure (or if not embedded) falls back to `super.method87((-28).toByte())`, which builds a fresh `DelegatingRenderCanvas` and attaches it to the frame."
method116,renderFrame,bool: Boolean,forceRender: Boolean,medium,"Per-frame render/update body invoked from `method93`'s try/catch (always with `forceRender=true` at the only call site). Computes frame delta time, detects and applies canvas resize (`method3556`), plays the ambient tick sound state, redraws dirty screen-border regions, renders loading-progress text (percentage messages driven by `AnimationFrameTable.anInt489`) or the main game view depending on `WorldMapRenderer.anInt4674`, repaints per-tile 'flash' debug rectangles when a debug overlay mode is active, and finally rate-limits itself via `TexGenMaterialPass.method2161` (a sleep helper) using a value chosen from a small settings enum. Because `forceRender` is always true at the one real call site, the `!bool` branch of `method2163` was not observed to differ."
method81,buildDebugStatusString,i: Byte,unused: Byte,high,"Abstract `GameAppletFrame` override. Builds a bracketed, numbered diagnostic string (`[1)x,y,... |2)... |...]`) covering region tile coordinates, local player position, several `IntHashSetStatics` sub-object counters (graphics settings), canvas size, and (only when a specific debug settings value is 2) the native `sw3d.dll` library handle pulled via reflection from the classloader's native-library list. Used purely to enrich crash-log messages passed to `method1242` at every catch site in this file."
getPulseComponent,getPulseComponent,,,high,"Real (non-obfuscated) trivial override of the `GameApplet` interface method; always returns null. Left unchanged."
showDocument,showDocument,"url: URL?, target: String?",,high,"Real (non-obfuscated) trivial override of `GameAppletFrame.showDocument`; empty no-op body (this Client subclass has no browser/document-navigation capability). Left unchanged."
method104,reconcileEntityOccupancyForPlane,i: Int,plane: Int,medium,"Companion helper, part of the mouse/target 'occupancy grid' family with `method109`/`method112`/`method115`/`method117`. For every active player (index < `ShaderState.anInt6513`) and NPC on the given `plane`, re-derives the entity's collision-region indices from its raw x/y and, depending on whether it currently occupies exactly one tile or a footprint (via `method2436` flag bit 0x1), either checks a single grid cell or scans a rectangular footprint against `NpcType.anIntArrayArray9678` (per-tile occupancy) and `FlickeringEffectsOptionState.anIntArrayArray5921` (a matching reference-count grid), toggling `aBoolean10309` ('needs re-registration') accordingly and, when clean, recomputes a render/collision hash via `method2064` and re-links the entity via `NativeBufferHandle.method850`."
method105,resolveWidgetComponentOverride,widgetComponent: WidgetComponent,widgetComponent: WidgetComponent,high,"Looks up a per-component `PackedFlagsAccessor` override keyed by `(groupId shl 32) or componentId` in `TextureDefinitionCache.aHashtable_2959`; if none is cached, falls back to the component's own `aClass348_Sub44_748` field. Used throughout `method107`/`method2991` wherever a widget component's live flags/state need to be read, so runtime script-pushed overrides take precedence over the component's static definition."
method106,rebuildDirtyEntityPrioritySortList,,,low,"Companion helper. Scans all active NPCs whose `aBoolean10309` ('needs occupancy reconciliation') flag is set and that have a valid animation frame, looks up the ground entity occupying their footprint via `method817`, builds two parallel arrays (`RectangleRegion.anIntArray8557` = ids, `LocDefinitionCache.anIntArray3432` = same ids, offset +2048 for the NPC itself if it's a `Npc` instance) and finally sorts them via `method347` (a companion quicksort-style routine). The exact purpose of the resulting sorted id list (only referenced here) was not traced further; the +2048 offset strongly suggests it's used to distinguish 'ground object at this tile' from 'the NPC itself' entries."
main,main,strings: Array<String>,strings: Array<String>,high,"Standard JVM entry point (bypassing the applet lifecycle): expects exactly 6 args (worldId, lobbyId, demoId, environment 'live'/'rc'/'wip', language 'english'/'german', game mode 'game0'..'game3'), populates the same companion config fields that `init()` would from HTML params, constructs a `Client()`, and calls `method96` to boot a standalone AWT `Frame` instead of an embedded canvas."
