current_name,recommended_name,current_params,recommended_params,confidence,notes
detachPeer,detachPeer,,,high,"Private external native method. Detaches the native GL context/peer from the current thread. Only called from instance method a()/detachFromCurrentThread()."
setSwapInterval,setSwapInterval,arg0: Int,interval: Int,high,"External native method, standard wgl/glX 'SwapInterval' (VSync) call. Called with 0 (disable vsync) at renderer init in GlRenderDevice.kt/OpenGlRenderer.kt."
surfaceResized,surfaceResized,arg0: Long,surfaceHandle: Long,high,"External native method notifying the native GL layer that the target surface/window (identified by native handle) was resized. Called from GlRenderDevice.kt/OpenGlRenderer.kt on canvas resize."
setPbuffer,setPbuffer,arg0: Long,pbufferHandle: Long,medium,"Private external native method, never called anywhere in the repo -- looks like a dead/unused setter for a pbuffer handle, paired with the also-present createPbuffer/releasePbuffer trio."
arePbuffersAvailable,arePbuffersAvailable,,,high,"External native method; queries whether the platform GL driver supports pbuffers (offscreen rendering surfaces). Name already idiomatic."
a,detachFromCurrentThread,,,high,"@Synchronized. If the calling thread is the thread that currently owns this GL context (`this.a === Thread.currentThread()`), detaches the native context (detachPeer()), removes the thread->context mapping from the companion's static registry (`b`), clears the owning-thread field, and returns true; otherwise returns false. Companion pairs with b()/attachToCurrentThread()."
releasePbuffer,releasePbuffer,arg0: Long,pbufferHandle: Long,medium,"Private external native method, never called anywhere in the repo -- dead/unused, pairs with createPbuffer/setPbuffer."
attachPeer,attachPeer,,,high,"Private external native method. Attaches/binds the native GL context to the current thread. Called only from instance method b()/attachToCurrentThread()."
releaseSurface,releaseSurface,"arg0: Canvas?, arg1: Long","canvas: Canvas?, surfaceHandle: Long",high,"External native method. Releases the native GL drawing surface bound to `canvas` (identified by `surfaceHandle`, as returned by prepareSurface). Called from GlRenderDevice.kt/OpenGlRenderer.kt during surface teardown/context loss handling."
init,init,"arg0: Canvas?, arg1: Int, arg2: Int, arg3: Int, arg4: Int, arg5: Int, arg6: Int","canvas: Canvas?, redBits: Int, greenBits: Int, blueBits: Int, depthBits: Int, stencilBits: Int, multisamples: Int",high,"External native method creating the native GL context/pixel format for `canvas`. Only call site: OpenGlRenderer.kt:3024 `init(canvas, 8, 8, 8, 24, 0, this.anInt7713)` -- 8/8/8-bit RGB, 24-bit depth, 0 stencil bits, and a renderer-config-driven multisample count. Returns a native context handle (Long)."
b,attachToCurrentThread,,,high,"@Synchronized. Attaches the native GL context to the current thread (attachPeer()); if another OpenGL instance was previously bound to this thread in the static registry `b`, clears that instance's owning-thread field (context can only be current on one thread at a time); records this instance as owned by the current thread. Companion pairs with a()/detachFromCurrentThread()."
createPbuffer,createPbuffer,"arg0: Int, arg1: Int","width: Int, height: Int",medium,"Private external native method, never called anywhere in the repo -- dead/unused, pairs with releasePbuffer/setPbuffer. Params inferred from arePbuffersAvailable/pbuffer naming convention (offscreen buffer dimensions)."
swapBuffers,swapBuffers,,,high,"External native method. Standard double-buffer swap (SwapBuffers/glXSwapBuffers). Name already idiomatic."
a,isExtensionSupported,arg0: String?,extension: String?,high,"Lazily builds a Hashtable (`c`) of all space-separated tokens from `glGetString(GL_EXTENSIONS)` (7939 = GL_EXTENSIONS) the first time it's called, then checks containsKey(extension). Called ~20 times across GlRenderDevice.kt/OpenGlRenderer.kt to gate ARB/EXT feature usage (e.g. 'GL_ARB_multitexture', 'GL_ARB_vertex_buffer_object', 'GL_EXT_framebuffer_object')."
release,release,,,high,"External native method releasing the native GL context. Called from GlRenderDevice.kt/OpenGlRenderer.kt during renderer shutdown."
prepareSurface,prepareSurface,arg0: Canvas?,canvas: Canvas?,high,"External native method preparing a native GL drawing surface bound to `canvas`, returning a native surface handle (Long) later passed to surfaceResized/releaseSurface/setSurface."
