current_name,recommended_name,current_params,recommended_params,confidence,notes
method1714,validateMode,"i: Int, i_0_: Int","unusedCategory: Int, mode: Int",medium,"Overrides GraphicsOptionState.method1714(i,i_3_):Int abstract. Only real call site is GraphicsOptionState.method1718's `method1714(3, i)`, so `i` is always the literal 3, making the `if (i != 3) aBoolean6110 = false` branch a dead opaque-predicate (aBoolean6110 is never cleared this way). Checks a DisplaySettingsConfig capability object (`aClass348_Sub51_3136.method3428((-89).toByte())!!.method1460(-38)`) unconditionally, returning 3 (failure/unsupported) if it fails; then if the candidate mode `i_0_` equals 3, attempts to load the native 'jagdx' (DirectX) library via GameAppletFrame.method86 and returns 3 if that load fails. Returns 2 on success. Matches GraphicsOptionState.method1718's convention where a 3 result blocks the subsequent commit call."
method1712,setValue,"i: Int, i_1_: Int","reason: Int, value: Int",high,"Overrides GraphicsOptionState.method1712(i,i_2_) abstract, the generic 'commit new option value' hook (called by GraphicsOptionState.method1718 as `method1712(12, i)` or `method1712(124, i)`). Stores `value` into the inherited anInt3138 field and clears the public aBoolean6113 flag. The `val i_2_ = -50 / ((i - 82) / 35)` local is computed and never used -- dead/decoy arithmetic, obfuscator artifact. aBoolean6113 is set true by method1710 and cleared here, suggesting a 'pending/needs-restart' style flag toggled around display-mode recomputation, though its exact external meaning was not traced beyond this file."
method1826,setRendererReady,"bool: Boolean, i: Int","ready: Boolean, unused: Int",medium,"Concrete (not an override). Sets the instance flag aBoolean6110 = ready and increments a call counter. The only external call site (OggBitstreamDecoder.kt:121, video-frame render-context setup) always passes the literal -142238264 for `i`, so the internal `if (i != -142238264) method1828(20)` branch is a dead opaque predicate that never fires there. aBoolean6110 is read externally via method1830 by AntialiasOptionState/BloomGraphicsOptionState-style callers to gate GPU-only effects, so it most plausibly means 'the hardware/GL renderer context is currently active and ready' (set to !hadError after a render-context rebuild)."
method1710,getDefaultValue,i: Int,reason: Int,high,"Overrides GraphicsOptionState.method1710(i) abstract. Confirmed by dozens of sibling *OptionState classes (AntialiasOptionState, BinaryGraphicsOptionState, BooleanGraphicsOptionState, BloomGraphicsOptionState, BrightnessOptionState, CameraDistanceOptionState, ChatEffectsOptionState, etc.) all overriding the same abstract signature and all being invoked with the literal 20014 from GraphicsOptionState's constructor and from clamp-fallback code (`this.anInt3138 = method1710(20014)`) -- this is the shared 'compute this option's default/fallback value' hook across the whole option-state family. Sets aBoolean6113 = true unconditionally on entry; clears aBoolean6110 as a decoy only if `i` isn't exactly 20014 (never happens at real call sites); checks a capability object keyed by (i - 20083) and returns 0 (fallback/windowed) if unsupported, else 2 (a valid accelerated display mode)."
method1716,validateValue,bool: Boolean,forceRefresh: Boolean,medium,"Overrides GraphicsOptionState.method1716(bool) abstract, matching the common 'clamp current value into valid range, falling back to getDefaultValue() if out of bounds' pattern seen identically in AntialiasOptionState/BinaryGraphicsOptionState/BooleanGraphicsOptionState/BloomGraphicsOptionState. Resets anInt3138 to 0 if a capability check fails; when `forceRefresh` is true it calls method1829(31) purely for its side effect (31 != -32350, so this actually clears aBoolean6110 for real, unlike most of this file's decoys); finally clamps anInt3138 to [0,5] via getDefaultValue(20014)."
method1829,getDisplayMode,i: Int,unused: Int,high,"Concrete, returns anInt3138 (the inherited current option value). Confirmed as a cross-class query point: DisplaySettingsConfig exposes this instance elsewhere as aClass239_Sub25_7271/aClass239_Sub25_7251, and AntialiasOptionState/ArchiveResourceProvider/OggBitstreamDecoder all call `...aClass239_Sub25_7271!!.method1829(-32350)` to read the active display-mode value (e.g. checking `if (i_3_ == 2)` to special-case a particular mode). The `-32350` argument recurs at every real call site, so the internal `if (i != -32350) aBoolean6110 = false` is a dead opaque predicate."
method1830,isRendererReady,i: Byte,unused: Byte,medium,"Concrete, returns aBoolean6110 (see method1826). AntialiasOptionState.method1710 calls `aClass239_Sub25_7271!!.method1830((-107).toByte())` combined with a GL float-format capability check to decide antialiasing support, consistent with aBoolean6110 meaning 'hardware/GL renderer is active'. The `if (i >= -93) aBoolean6110 = false` mutation-on-read is suspicious (a getter with a side effect) but never triggers at the one confirmed call site (-107 < -93)."
method1831,isCapabilitySupported,i: Int,threshold: Int,low,"Concrete, returns Boolean. Fast-path returns true when `threshold < 85`; otherwise delegates to a DisplaySettingsConfig capability object (`method3428((-124).toByte())!!.method1460(-59)`). The only external call site found (ChatCommandProcessor.kt debug/dump code) passes 95, exercising the capability-check branch. Exact capability being queried is not identified from this file alone; name and confidence are best-effort."
method1825,createTimedNodeEntry,"i: Int, i_3_: Int, i_4_: Int","reason: Int, valueA: Int, valueB: Int",low,"Companion/static, but unrelated to display-mode option state: builds a NamedTimedNode via ConfigValueProvider.method2516/method3246 and stashes two int fields on it, then conditionally calls method1828. Called from Client.kt as `method1825(120, i_225_, i)`. This looks like a decompiler merge artifact (an unrelated scheduled-node/notification helper bundled into this class's companion) rather than genuine DisplayModeOptionState behavior -- flagged per the known pattern of jvmMain companion objects holding unrelated statics."
method1827,generateHslPaletteTable,i: Int,mode: Int,medium,"Companion/static, unrelated to display-mode logic: when `mode == 1415665776` (the only value ever passed, from CachedRgbNoiseTexture.kt), builds a 512*128-entry HSL-to-packed-RGB lookup table with gamma correction (`pow(0.7 +/- jitter)`) and stores it into SoundEnvelope.anIntArray4983 -- a color-palette generator that happens to write into an unrelated 'sound' class's static array. Guarded by a null-check so it only runs once. Another apparent decompiler-merge artifact bundled into this file's companion object."
