current_name,recommended_name,current_params,recommended_params,confidence,notes
method902,resetWithRotationA,i: Int,angleIndex: Int,low,"Zeroes translation and sets rotation fields using cos/sin lookup tables (OggBitstreamDecoder.aFloatArray6867/6865, masked 0x3fff = angle in 1/16384 circle units), duplicating one axis pair. Part of a family of three near-identical 'reset with single-axis rotation' overrides (this, method895, method899) paired with three incremental rotateAroundX/Y/Z overrides (method900/908/896) - exact axis identity uncertain without a concrete subclass usage trace, so name is a placeholder pending cross-check against AbstractCameraTransform's abstract method contract."
method937,computeClipPlaneEquation,"bool: Boolean, f: Float, f_0_: Float, f_1_: Float, f_2_: Float, fs: FloatArray","forceDefaultPitch: Boolean, dx: Float, dy: Float, dz: Float, offset: Float, outPlane: FloatArray",medium,"Chooses the dominant axis of direction vector (dx,dy,dz) to avoid division by zero, computes an intersection point using -offset/axis, then fills outPlane[0..3] with a plane equation (normal from current rotation matrix rows, distance = -(dot(normal, point))). If forceDefaultPitch is true, overwrites one rotation field (aFloat5772) with a fixed magic constant -0.4364811f - looks like a hard-coded default angle, worth flagging as suspicious/hacky special case."
method891,translate,"i: Int, i_9_: Int, i_10_: Int","dx: Int, dy: Int, dz: Int",high,"Pure additive translation: adds to the transform's three translation fields (aFloat5751/5772/5747) without touching rotation - textbook translate(dx,dy,dz)."
method900,rotateAroundX,i: Int,angleIndex: Int,medium,"Applies an incremental rotation using cos/sin table lookups to two of the three orientation rows and to the corresponding translation pair, while leaving one full row (aFloat5770/5750/5781/5747) completely unmodified - confirms this is a single-axis rotation about whichever axis that untouched row represents. Grouped with method908 (rotateAroundY, leaves a different row fixed) and method896 (rotateAroundZ, leaves the third row fixed) as a consistent trio; axis-letter assignment (X/Y/Z) is a best-effort convention, not independently confirmed."
method939,setFromDirectionAndPosition,"f: Float, i: Int, f_16_: Float, i_17_: Int, i_18_: Int, i_19_: Int, f_20_: Float","x: Float, dirX: Int, y: Float, dirZ: Int, angleIndex: Int, unused: Int, z: Float",low,"Builds a single-axis rotation either directly from two raw int components (dirX,dirZ) when angleIndex==0, or from a table-looked-up angle otherwise, then sets translation to (x,y,z). Computes a local `i_23_ = -88 / ((i_19_ - 6) / 39)` that is never used afterward - dead/vestigial obfuscator artifact, flagged as suspicious dead code. Only one rotation axis is actually configured, the rest zeroed/identity, consistent with a 'face this 2D direction' camera setup."
method897,transformPoint,"i: Int, i_24_: Int, i_25_: Int, `is`: IntArray","x: Int, y: Int, z: Int, outXYZ: IntArray",high,"Applies the full rotation matrix to (x,y,z) and adds translation, writing the transformed point into outXYZ[0..2] - the standard 'point = M*p + T' forward transform. Compare with method905 which applies the identical rotation coefficients but omits the translation add (i.e. transforms a direction/vector, not a position)."
method894,setPosition,"i: Int, i_26_: Int, i_27_: Int","x: Int, y: Int, z: Int",high,"Sets translation to (x,y,z) and resets the rotation matrix to identity/default (mirrors the diagonal-ish pattern in method910's reset) - i.e. 'place camera at position with no rotation'."
method890,inverseTransformPointInPlace,`is`: IntArray,pointXYZ: IntArray,medium,"Subtracts translation from pointXYZ then applies the transpose of the rotation matrix (valid inverse for an orthonormal rotation matrix), overwriting pointXYZ in place - screen/view-space to local-space unprojection."
method903,setFromPositionAndAngles,"i: Int, i_30_: Int, i_31_: Int, i_32_: Int, i_33_: Int, i_34_: Int","x: Int, y: Int, z: Int, angleA: Int, angleB: Int, angleC: Int",medium,"Builds a composite rotation matrix as the product of three axis rotations looked up from angleA/B/C via the sin/cos tables, then computes the translation as the negated dot-product of each rotation row with (x,y,z) - i.e. constructs a full view/camera matrix from a world position and 3 Euler-like angles, equivalent to a 'lookAt/setViewFromEulerAngles' constructor."
method908,rotateAroundY,i: Int,angleIndex: Int,medium,"Same incremental-rotation pattern as method900/method896 but leaves a different orientation row (aFloat5756/5754/5784/5751) untouched, i.e. rotates about the other axis in the trio."
method940,toColumnMajorMatrix16,i: Int,slotIndexForOneComponent: Int,low,"Fills the shared static 16-float buffer (ParticleEmitterDefExt.aFloatArray8575) with this transform's rotation+translation in a fixed OpenGL-style column-major 4x4 layout, except one element (aFloat5761) is written at caller-supplied index `i` instead of a fixed slot - unusual/uncertain why one slot is parameterized; flagged for follow-up. Returns the shared static array (not a fresh copy) - callers must consume it before it's reused."
method907,copy,,,high,"Classic clone(): allocates a new ProjectionCameraTransform and copies all 12 rotation/translation fields into it, returning it as AbstractCameraTransform."
