current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"sceneProjector: SceneProjector?, i: Int, bool: Boolean, js5Archive: Js5Archive?, js5Archive_29_: Js5Archive?","sceneProjector: SceneProjector?, decoyInt: Int, npcExtraDataEnabled: Boolean, npcArchive: Js5Archive?, auxArchive: Js5Archive?",medium,"Despite the class name 'SeqDefinitionCache', every real call site (dozens, e.g. GradientLookupEffect.aSeqDefinitionCache_9195, MapRegionLoader.aSeqDefinitionCache_1245) uses this class purely as an NPC-definition (NpcConfig) loader/cache -- see method2005/getNpcConfig below, and NpcConfig.kt's own back-reference field is literally typed `aSeqDefinitionCache_933: SeqDefinitionCache`. Allocates 4 size-budgeted LruByteCache tiers (64/500/30/50 -- one main NpcConfig cache plus 3 smaller auxiliary caches for sub-resources), stores the primary/auxiliary Js5Archive handles, and reads+rewinds one entry off `npcArchive` in the init block. sceneProjector is stored nowhere and is entirely unused."
method2004,setNpcExtraDataEnabled,"bool: Boolean, i: Byte","enabled: Boolean, decoyByte: Byte",medium,"Only takes effect when `enabled` differs from the current aBoolean3359 flag (guard is `bool == !this.aBoolean3359`); on a real change, updates the flag and clears+rebuilds all 4 cache tiers via clearAllCaches/method2012. aBoolean3359 is consumed in getNpcConfig/method2005 to decide whether to strip an NpcConfig's name/extra-int arrays after decode -- reads as a 'keep full NPC data vs. strip non-essential fields' detail toggle, likely tied to a memory/graphics-detail setting. Only call site is SceneNodeDeque.kt (`method2004(ModelBatchBase.aBoolean1900, 25.toByte())`), whose literal 25 makes the `if (i.toInt() != 25) aLruByteCache_3350 = null` branch a confirmed dead decoy there."
method2005,getNpcConfig,"i: Int, i_0_: Int","resetAuxCacheFlag: Int, npcId: Int",high,"The class's real workhorse, called from dozens of files across the codebase to fetch an NpcConfig by id: looks it up in the primary LRU cache (aLruByteCache_3350.method583/get), and on a miss reads+decodes it fresh from the Js5 archive (aJs5Archive_3343.method410, sub-indices via MultiLevelOptionState.method1850 and ScrollbarComponent.method185/toUnsignedByteValue), sets the config's back-reference (npcConfig.aSeqDefinitionCache_933=this) and id, decodes its byte payload if present, post-processes it (method488), optionally strips extra-data arrays per the aBoolean3359/setNpcExtraDataEnabled flag and per-config aBoolean942/aBoolean876 flags, then caches and returns it. `resetAuxCacheFlag`, when non-zero, additionally nulls out an unrelated auxiliary cache (aLruByteCache_3361) as a side effect -- confirmed non-decoy since several call sites (NpcConfig.kt, SceneObjectAnimator.kt, ModelGroundDecor.kt, WorldMapSceneSoftware.kt) pass non-zero values, though the overwhelming majority of call sites pass the literal 0."
method2006,sweepCaches,i: Int,threshold: Int,high,"Matches the established 'sweepCaches' pattern (see ModelDefinitionCache.csv's method1598, which calls the same underlying LruByteCache.method587/sweepDiscardedEntries). When `threshold>=68`, sweeps discarded entries from all 4 cache tiers under their respective locks. Only call site is ConfigArchiveLoader.kt (`method2006(88)`), which satisfies the guard."
method2008,setAlternateDetailFlag,"i: Int, bool: Boolean","decoyInt: Int, enabled: Boolean",low,"Same shape as setNpcExtraDataEnabled/method2004 but toggles a different instance flag (aBoolean3355) and, on change, nulls the aLruByteCache_3361 auxiliary cache tier before calling clearAllCaches/method2012. Unlike aBoolean3359, aBoolean3355 is not read anywhere else in this file, so its downstream effect (if any, presumably read from NpcConfig or elsewhere) could not be confirmed. Only call site is ClientLoadStateMachine.kt (`method2008(i+28539, ...)`)."
method2009,setContextIdAndClearSubCaches,"i: Int, i_21_: Byte","contextId: Int, decoyByte: Byte",low,"Stores `contextId` into the public field anInt3363, clears (LruByteCache.method590/clear) the 3 auxiliary cache tiers (aLruByteCache_3360/3361/3362) but notably NOT the primary NpcConfig cache (aLruByteCache_3350), and if `decoyByte<94` nulls the companion IntArray anIntArray3347. Only call site is ChatCommandProcessor.kt (`method2009(i_0_, 109.toByte())`, a CS2-opcode context); the exact game-state meaning of anInt3363/contextId was not traced further -- flagged low confidence."
method2010,tickAllCaches,"i: Int, i_22_: Int","currentTick: Int, mode: Int",low,"Calls LruByteCache.method578/tickCacheEntries (opcode 2, per LruByteCache.csv) on all 4 cache tiers with `currentTick`, XOR-encoding `mode` into the opcode slot for 2 of the 4 calls (`i_22_ xor 0x2.inv()`, i.e. producing opcode 2 only when mode==-1). If `mode != -1`, additionally invokes method2013/decodeSharedConfigArrays with a null buffer. Only call site is GlowPostProcessor.kt (`method2010(5, i - 6)`); whether `mode` is ever non--1 there was not confirmed, so this reads as a periodic cache-maintenance tick with an occasional companion config-reload side effect."
method2012,clearAllCaches,i: Int,decoyInt: Int,high,"Unconditionally clears (LruByteCache.method590/clear) all 4 cache tiers under their respective locks. Called internally from setNpcExtraDataEnabled/method2004 and setAlternateDetailFlag/method2008 whenever their respective flags actually change."
method2013,decodeSharedConfigArrays,"is: ByteArray?, i: Byte","buffer: ByteArray?, decoyByte: Byte",medium,"Companion-style opcode-loop config decoder, but the arrays it populates (FogState.anIntArray1432 -- 6 fog-color-ish ints, TextureLoadExceptionStatics.anIntArray4603, ParticleDetailOptionState.anIntArray6021, the latter two using a 65535->-1 sentinel convention) belong to unrelated classes -- another decompiler-merged-content instance (per PLAN.md). Standard 'read opcode byte, 0 terminates, dispatch on opcode value (1/4/5 here)' decoder shape seen throughout this codebase's `*Definition`/config classes."
method2014,resizeNpcCache,"i: Int, bool: Boolean","capacity: Int, keepAuxCache: Boolean",medium,"Replaces the primary NpcConfig cache tier with a freshly-sized LruByteCache(capacity), and if `keepAuxCache` is false, also drops the aLruByteCache_3362 auxiliary tier. Both observed call sites (LoadingScreenImageNode.kt `method2014(64,true)`, SpotAnimEntity.kt `method2014(4096,true)`) pass true, so the aux-cache-drop branch is unconfirmed in practice -- looks like a 'switch to a larger/smaller NPC cache budget' operation, plausibly tied to entering/leaving a busier area."
method2007,canReachTile,"i: Int, i_1_: Int, i_2_: Int, collisionMap: CollisionMap, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int","targetX: Int, targetY: Int, targetX2: Int, collisionMap: CollisionMap, approachMode: Int, srcX: Int, width: Int, height: Int, size: Int, shape: Int, srcY: Int",medium,"Companion/static, unrelated to NPC-definition caching (merged-companion artifact, same pattern as PLAN.md documents elsewhere). Identical breadth-first flood-fill reachability algorithm family as MapAreaDefinition.csv's `method1420`/canReachTile and ScrollbarComponent.csv's `method187`/canReachTile -- shares the same BFS scratch grids (RenderNodeStatics.anIntArrayArray9723, ProjectileFactory.anIntArrayArray2900, GlGroundShaderPass.anIntArray7397/CircleDrawer.anIntArray2694) and the same neighbour-check delegation to collisionMap.method3495/3497/3503/3504 plus TwoStateOptionState.method1842. Per CompositeRgbNoiseTexture.csv's method574/findRouteToTarget dispatch table, `mode==2` routes here specifically. Exact per-parameter roles inferred by structural analogy to the sibling implementations rather than independently re-derived."
method2011,clearNpcCacheAndCharTable,i: Byte,decoyByte: Byte,medium,"Companion/static. Always nulls anIntArray3347 (a companion 1000-entry IntArray also referenced by setContextIdAndClearSubCaches/method2009); the conditional `if (decoyByte>-19) aCharArray3352=null` is immediately followed by an unconditional `aCharArray3352=null` on the very next line, making the conditional check itself a dead no-op (both branches null the field regardless). aCharArray3352 is the base64-style alphabet table built in the companion's init block."
