current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aHa_Sub2_4851: OpenGlRenderer, anInt4849: Int, anInt4858: Int, anInt4847: Int, aBoolean4860: Boolean","renderer: OpenGlRenderer, glTarget: Int, format: Int, pixelCount: Int, hasMipmaps: Boolean",high,"Abstract base class for all OpenGlRenderer-backed GL texture wrappers (GlTexture1D/GlTexture2D/GlTexture2DRegion/GlCubeMapTexture etc., per `GlTexture1D`'s `: GlTexture(renderer, 3552 [GL_TEXTURE_1D], format, width, false)` super-call). Allocates a GL texture name via `glGenTextures` into the shared companion scratch array `TexGenMaterialPass.anIntArray6260`, stores it in `anInt4859`, and immediately registers its estimated memory footprint via method1954/updateMemoryTracking(0, 94)."
method1950,generateMipmaps,i: Int,unused: Int,medium,"Generates a full mipmap chain for this texture via `glGenerateMipmapEXT`, but only if the renderer supports framebuffer objects (`aHa_Sub2_4851.aBoolean7820` - FBO extension presence is used as a proxy for GL_EXT_framebuffer_object's glGenerateMipmapEXT support). Updates the mipmap-enabled flag (`aBoolean4860 = true`), reapplies texture filter parameters (method1956/applyTextureFilterParams), and adjusts the tracked memory usage (method1954) for the new mipmap-chain size. The `unused` param only feeds a dead `22 / ((unused - -31) / 50)` expression whose result is discarded - confirmed decoy (call sites pass 69 and -82, neither of which is used for anything else)."
method1951,estimateTextureByteSize,i: Int,unused: Int,medium,"Private. Computes `renderer.method3798(format, 2) [bytes-per-pixel for this texture's format] * pixelCount`, multiplied by 4/3 (the standard ~1.33x mipmap-chain memory overhead factor) when `aBoolean4860` (has mipmaps) is set. The `if (unused >= -96) anInt4847 = -92` branch corrupts the stored pixel-count field - every internal caller (method1954, method1955) passes a fixed negative literal (-106, -119) that IS >= -96, so this branch actually fires at every real call site, meaning `pixelCount` gets permanently corrupted to -92 the first time this is called; flagged as a likely real (not decoy) side effect given it triggers on every observed call, though its intentionality is unclear."
method1952,dispose,i: Int,unused: Int,high,"If the GL texture id (`anInt4859`) is valid (> 0), queues it for deferred deletion via `renderer.method3737(id, 121.toByte(), estimateTextureByteSize(unused + 19838))` (the OpenGlRenderer-backend counterpart to GlRenderDevice.csv's queueTextureDelete) and clears the id. The `if (unused != -19948) anInt4859 = -40` branch is a confirmed decoy - every call site across the whole codebase (GlBloomEffect.kt, GlFramebufferBlitter.kt x3, WaterTextureSet.kt x2, plus this class's own `finalize()`) always passes the literal -19948."
method1953,getTextureId,i: Int,unused: Int,medium,"Returns the GL texture name (`anInt4859`), first reapplying filter parameters (method1956/applyTextureFilterParams) if `unused < 29`. The only traced call site (OpenGlRenderer.kt:1504, `glBindTexture(glTexture.anInt4849, glTexture.method1953(41))`) passes 41 (>= 29), so that refresh branch is not confirmed live in this pass."
method1954,updateMemoryTracking,"i: Int, i_3_: Int","oldByteSize: Int, unused: Int",medium,"Private. Adjusts the renderer's global tracked-GPU-texture-memory counter (`aHa_Sub2_4851.anInt7748`) by subtracting `oldByteSize` and adding the freshly recomputed current size (estimateTextureByteSize(-106)) - the OpenGlRenderer-backend counterpart to GlRenderDevice's anInt8062/anInt8063/anInt8079 memory counters. The `if (unused < 17) aBoolean4856 = true` branch sets the smooth-filtering flag (see method1957) as an apparently unrelated side effect - real at both observed call sites (94 from the constructor - not < 17 - and 115/121 from method1955/method1950 - also not < 17), so in practice never fires; treated as a likely decoy given the concern mismatch."
method1955,setMipmapEnabled,"bool: Boolean, i: Byte","hasMipmaps: Boolean, unused: Byte",high,"When the mipmap-enabled flag (`aBoolean4860`) differs from the requested `hasMipmaps` state, updates it, reapplies filter params (method1956), and updates memory tracking (method1954) for the new mipmap-chain size. The `if (unused.toInt() != -123) method1953(50)` branch is a confirmed decoy - every call site (all 6, in GlTexture2D.kt) always passes the literal `(-123).toByte()`."
method1956,applyTextureFilterParams,bool: Boolean,unused: Boolean,high,"Private. Rebinds this texture, then sets GL_TEXTURE_MIN_FILTER/GL_TEXTURE_MAG_FILTER (10241/10240) based on the smooth-filtering flag (`aBoolean4856`, set by method1957/setSmoothFiltering) and mipmap-enabled flag (`aBoolean4860`): smooth+mipmaps -> GL_LINEAR_MIPMAP_LINEAR(9987)/GL_LINEAR(9729); non-smooth+mipmaps -> GL_NEAREST_MIPMAP_NEAREST(9984)/GL_NEAREST(9728); smooth/non-smooth without mipmaps -> plain GL_LINEAR/GL_NEAREST for both. The `if (unused != true) anInt4849 = -74` branch corrupts the GL texture-target enum used by every other method in this class (glBindTexture's first arg) - every internal call site always passes the literal `true`, so this is a confirmed decoy, but a dangerous one if ever triggered for real."
method1957,setSmoothFiltering,"i: Int, bool: Boolean","unused: Int, smooth: Boolean",high,"Public setter for the smooth-filtering flag (`aBoolean4856`): updates it and reapplies filter params (method1956) only when `smooth` differs from the current value. The `if (unused != 9728) method1956(false)` branch would trigger the dangerous texture-target-corrupting decoy documented in method1956/applyTextureFilterParams - confirmed dead at every one of the dozens of call sites across the codebase (GlFontDisplayList.kt, GlSpriteRenderer.kt x9, GlTexture1D.kt, GlTexture2D.kt, and others), all of which pass the literal 9728 (GL_NEAREST, reused here purely as a fixed sentinel unrelated to its GL enum meaning) for `unused`."
finalize,finalize,(none),(none),high,"Java finalizer. Calls `method1952(-19948)`/dispose on GC - releases the wrapped GL texture via the deferred-deletion queue."
