current_name,recommended_name,current_params,recommended_params,confidence,notes
method2315,getLoadingStageDisplayValue,i: Byte,decoy: Byte,medium,"Returns 0 if no ConnectionStateType is set. Otherwise derives a step/percentage-like value from aConnectionStateType_3916's own fields (method525 stage index, aBoolean1016/anInt1021/anInt1025), falling back to 100 when the derived stage index is out of MaterialTypeMarker.aConnectionStateTypeArray6515's range. Drives the loading-screen progress display; exact display semantics (step count vs percent) not independently confirmed. Decoy write to aLong3917 when decoy<103."
method2316,setLoadingState,"connectionStateType: ConnectionStateType?, string: String?, i: Int, l: Long, bool: Boolean","connectionStateType: ConnectionStateType?, message: String?, step: Int, timestamp: Long, decoy: Boolean",high,"@Synchronized. Updates the thread's current loading-stage state: aString3921=message, anInt3915=step, aLong3917=timestamp, aConnectionStateType_3916=connectionStateType. Decoy call to method2318/getStatusMessage(9) (result discarded) when decoy!=false. Wraps errors as TextureLoadException ('ae.J(...)')."
run,run,none,none,high,"Overrides Runnable.run. Main loop: while not stopped (aBoolean3910), calls skip()/renderTransitionFrame() each iteration (continuing immediately if it returns true, i.e. an exception occurred), then sleeps for the remaining per-tick time budget (~20ms minus elapsed) via TexGenMaterialPass.method2161."
skip,renderTransitionFrame,none,none,medium,"Private. Despite its current name, this renders one frame of the loading-screen / CursorController cross-fade transition rather than skipping anything, returning true only when an Exception was caught (signalling the run() loop to abort that iteration). If the active controller is a LoadingBarRenderer, simply calls its render/method58; otherwise cross-fades between the outgoing (anCursorController_3919) and incoming (anCursorController_3907) controllers over aLong3914's elapsed time, drawing two alpha-blended full-screen quads via the renderer. Also resizes/queries the AWT Canvas/Frame/Applet container each frame and, once the outgoing controller's transition is fully complete, releases it and triggers method3556 (GlGroundShaderPass) when the connection stage is below a reference threshold."
method2318,getStatusMessage,i: Int,decoy: Int,high,"Decoy call to method2320/getLoadingStep(-47) (result discarded) when decoy!=-9324. Returns aString3921, the current status message set by method2316/setLoadingState."
method2319,requestStop,i: Byte,decoy: Byte,high,"Sets aBoolean3910=true (the @Volatile stop flag checked by run()'s loop condition). Decoy write to aLong3914 when decoy>=-37."
method2320,getLoadingStep,i: Byte,decoy: Byte,high,"Returns anInt3915, the step index set by method2316/setLoadingState. Leading filler calc `-127 / ((29 - i) / 45)` is dead."
method2321,setActiveController,"i: Int, cursorController: CursorController","decoy: Int, controller: CursorController",high,"@Synchronized. The 'swap active CursorController' method referenced by CursorController.csv/Lifecycle.csv's cross-file notes: moves the current anCursorController_3907 into anCursorController_3919 (outgoing, for cross-fade), installs `controller` as the new anCursorController_3907, and records the swap time (aLong3914 = CommonClock.method599(-67)). Decoy clear of aWidgetComponent_3913 when decoy!=10559."
method2322,isActiveControllerTransitionComplete,i: Int,decoy: Int,high,"@Synchronized. Returns false immediately unless decoy==0 (decoy guard); otherwise delegates to anCursorController_3907.method56/isTransitionComplete(125, aLong3914) (see CursorController.csv)."
method2323,getStateTimestamp,i: Int,decoy: Int,high,"Returns aLong3917, the timestamp set by method2316/setLoadingState. Decoy call to method2318/getStatusMessage(14) (discarded) when decoy!=0."
method2324,getConnectionStateType,i: Int,decoy: Int,high,"Returns null when decoy<=45 (decoy guard); otherwise returns aConnectionStateType_3916."
method2325,getTickCount,i: Byte,decoy: Byte,high,"Returns anInt3920, incremented once per iteration inside skip()/renderTransitionFrame(). Leading filler calc `32 / ((i - -41) / 47)` is dead."
method2326,flagControllerChanged,i: Int,decoy: Int,medium,"@Synchronized. Sets aBoolean3908=true (consumed by skip()/renderTransitionFrame as a 'controller just swapped, force a border-clear redraw' flag, then reset to false at the end of that method). Decoy call to method2315/getLoadingStageDisplayValue(28) (discarded) when decoy<=39."
method2317,resetStaticState,i: Byte,tag: Byte,high,"Companion/@JvmStatic. Clears aFontMetaRef_3898 and aWidgetComponent_3913, gated on tag>50 - standard teardown pattern."
