current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,initializeSecondaryItem,,,high,"Instance init block: sets anInt10189 (the secondary/alt stacked item id) to -1, meaning 'no second item' by default. The primary constructor itself just forwards its 5 positional args straight to SceneObjectEntity's constructor with no other logic and is otherwise trivial."
method2393,getPileHeight,i: Int,unused: Int,medium,"Overrides SceneEntity's open method2393(i):Int (default no-op returning 0). Looks up up to 3 stacked item ids (anInt10181 primary, anInt10189/anInt10180 secondary/tertiary if not -1) via ClientException.aModelHeaderCache_112.method1940(reasonCode, itemId) -- which actually returns an ItemDefinition, not a model header despite the field's name -- and returns the max of their anInt2784 fields (a per-item byte-sized config value, opcode 134 in the item config format, plausibly a ground/render scale). Given the class's role (see notes on method2386), this is almost certainly the 'ground item pile' height used for click/vertical placement. The `i` param is unused for real branching; only the `i != -109` decoy nulls aStringArray10195."
method2381,getCircleHitbox,"var_renderer: Renderer?, i: Int",unused: Int,medium,"Overrides SceneEntity's abstract method2381(var_renderer,i):CircleHitbox?. Always returns null. The `if (i != 7) method2386(-74, null)` branch calls the model-building method2386 purely for its side effects and discards the result -- looks like a decoy/opaque-predicate call rather than real logic, since no CircleHitbox is ever produced by this override (unlike sibling classes such as GroundDecorSceneEntity, which lazily build and cache a real CircleHitbox here)."
method2394,getModelHeight,bool: Boolean,unused: Boolean,medium,"Overrides SceneEntity's abstract method2394(bool):Int. Always returns the constant -10 regardless of the argument; the `if (bool != true) this.anInt10196 = 68` branch is a decoy field write. Sibling classes overriding the same abstract (e.g. GroundDecorSceneEntity) return a real cached AbstractModel bounding value (fa()/getMinY) here, so this ground-item-pile class appears to substitute a fixed placeholder instead of computing a real per-item bound, likely because it doesn't retain a persistent AbstractModel between draws (models are built fresh each frame in method2386)."
method2387,prepareFrame,"var_renderer: Renderer?, i: Int","unused_renderer: Renderer?, unused: Int",medium,"Overrides SceneEntity's abstract method2387(var_renderer,i):Unit. Body is effectively a no-op besides a counter increment and a decoy field write (`if (i > -125) this.anInt10196 = 71`, true at essentially every real call site). Sibling classes (Player, Npc, NpcActorEntity, GroundDecorSceneEntity, etc.) use this same abstract hook to rebuild/rotate their per-frame animation model buffers each render tick; this ground-item-pile class does no such work here since it builds its composite model on demand inside method2386 instead."
method2391,hitTestPile,"var_renderer: Renderer?, i: Int, i_7_: Int, i_8_: Int","renderer: Renderer?, screenX: Int, mouseX: Int, itemLookupKey: Int",low,"Overrides SceneEntity's abstract method2391(var_renderer,i,i_36_,i_37_):Boolean. Projects the pile's origin into camera space, then face-precision hit-tests (via AbstractModel.method623/method628 depending on ParticleSystemRenderer.aBoolean3870) up to 3 freshly-built item models in priority order: primary (anInt10181), then secondary (anInt10189) if `itemLookupKey.inv() != anInt10189`, then tertiary (anInt10180). Returns true on the first hit. The XOR/inv patterns used to derive the ModelHeaderCache lookup key from `itemLookupKey` (e.g. `i_8_ xor 0x6b`) were not fully decoded; parameter names are best-effort given the complexity and are flagged low confidence."
method2386,buildSceneEntityModel,"i: Int, var_renderer: Renderer?","unused: Int, renderer: Renderer?",medium,"Overrides SceneEntity's abstract method2386(i,var_renderer):SceneEntityModel?. The core render-model builder for this class, which strongly suggests DynamicSceneObjectEntity actually represents a 'ground item pile' (up to 3 stacked dropped items, matching classic OSRS ground-item stacking): samples terrain height at the tile's footprint corners (TerrainTile.method3986) to compute a pitch/roll tilt via atan2 (mirroring AbstractModel.method626's slope-alignment pattern) and applies it via camera rotation calls; then builds/positions up to 3 item models (looked up as ItemDefinitions keyed by anInt10181/anInt10189/anInt10180, each with its own quantity-like field anInt10185/anInt10190/anInt10186) into a shared, pooled SceneEntityModel (borrowed via ChatMessageStream.method136(3,true,false), which allocates 3 SceneOcculder slots -- one per stacked item). Tracks the tallest item's model height in the private field anInt10184 (read back by method2379) and ORs together each item's hasDynamicMaterial flag (AbstractModel.F()) into aBoolean10191 (read back by method2377). This is the single call site's only user (ProjectileSpawner.kt), which populates anInt10181/anInt10189/anInt10180 from up to 3 distinct (itemId, quantity) IntPair entries found on a tile."
method2379,getPileStackHeight,i: Int,unused: Int,high,"Overrides SceneEntity's abstract method2379(i):Int as a trivial getter returning the private anInt10184 (set by method2386). The `if (i != -25675) aRectangleRegion_10194 = null` is a decoy field write against the companion's cached RectangleRegion."
method2377,hasDynamicMaterial,i: Byte,unused: Byte,high,"Overrides SceneEntity's abstract method2377(i):Boolean as a trivial getter returning aBoolean10191 (set in method2386, an OR of each stacked item model's AbstractModel.F()/hasDynamicMaterial flag). The `if (i.toInt() != 122) method2394(true)` call discards its result -- a decoy."
method2376,isOccluder,i: Int,unused: Int,medium,"Overrides SceneEntity's abstract method2376(i):Boolean. Always returns false; the `if (i >= -12) this.anInt10180 = -23` branch is a real field mutation (not just a throwaway local) but every observed call site (ActiveMapRegion.kt, AsyncResourceRequest.kt, GlWaterRenderPass.kt, MapSceneRenderer.kt, NativeBufferHandle.kt) passes values well below -12, so it is dead in practice. Sibling classes implementing the same abstract (e.g. GroundDecorSceneEntity: `return !aAbstractModel_9993!!.r()`, i.e. 'is not transparent') use it as an opacity/occlusion-eligibility check paired with method2377/hasDynamicMaterial at call sites like ActiveMapRegion.kt; a ground-item pile always reporting false here is consistent with item piles never acting as scene occluders."
