current_name,recommended_name,current_params,recommended_params,confidence,notes
method1768,getValue,i: Int,sentinel: Int,high,"Public getter mirroring the base GraphicsOptionState pattern - returns this.anInt3138 (the option's stored value) and increments companion counter anInt5958. Confirmed external call sites: Client.kt:1760 `...aClass239_Sub11_7265!!.method1768(-32350) == 1`, ClientLoadStateMachine.kt:45 `method1768(i + -3690) == 0`, ClientLoadStateMachine.kt:292 `TheoraVideoStream.aBoolean9038 = ...method1768(-32350) == 1`, DisplaySettingsConfig.kt:300 `class348_sub49.writeByte(false, this.aClass239_Sub11_7265!!.method1768(i xor 0x7e45.inv()))` - every one of these obfuscated argument expressions evaluates to exactly -32350 at runtime, so the `if (i != -32350) method1767(true, -55)` branch is a dead opaque-predicate guard that never fires; consequently method1767 itself is never actually invoked (see its row below). ClientLoadStateMachine.kt:292 suggests this option gates Theora video playback, i.e. this class likely represents a binary (0/1) 'enable Theora/hardware video' style setting."
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Abstract override from GraphicsOptionState. Sentinel check `i != 20014` returns -48 (an error/invalid marker used only when the base class's own constructors call this with the literal 20014, so in practice the guard never fires); otherwise returns the constant default value 0 for this option. anInt5956 is a companion invocation counter. Matches sibling overrides (e.g. BloomGraphicsOptionState.method1710) which follow the identical `i` sentinel-then-constant-return shape."
method1716,revalidate,bool: Boolean,unused: Boolean,high,"Abstract override from GraphicsOptionState; the single real external call site is DisplaySettingsConfig.kt:258 `graphicsOptionState.method1716(false)`, reached via DisplaySettingsConfig.method3426, which reflectively iterates every GraphicsOptionState-typed field of a DisplaySettingsConfig and revalidates each after settings load. The leading `if (bool != false) method1716(false)` is a dead self-recursive opaque predicate (bool is always the literal false at the real call site, so it never triggers) - the Boolean parameter is otherwise completely unused by this override's real logic. Body: if the current anInt3138 is outside the valid {0,1} range, resets it via getDefaultValue(20014). anInt5954 is a companion counter."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","value: Int, config: DisplaySettingsConfig",high,"Trivial delegating secondary constructor: `internal constructor(i: Int, class348_sub51: DisplaySettingsConfig) : super(i, class348_sub51)` forwards straight to GraphicsOptionState's explicit-value constructor, which sets anInt3138 = i directly (bypassing the getDefaultValue lookup). No independent logic of its own."
method1712,setValue,"i: Int, i_2_: Int","unusedTag: Int, value: Int",high,"Abstract override from GraphicsOptionState; unconditionally sets this.anInt3138 = i_2_ (the second parameter is the real value being stored, matching the base class's own concrete method1718 which calls `method1712(124, i)` / `method1712(12, 42)` - i.e. the first arg is always a throwaway tag constant across the hierarchy). The first parameter `i` here is used only in a computed-and-discarded local `val i_3_ = 98 / ((82 - i) / 35)` - a dead-code decoy (also a latent divide-by-zero if i were 82 or 117, but since the result is never used this is inert at all observed call sites). anInt5952 is a companion counter."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Trivial delegating secondary constructor: `internal constructor(class348_sub51: DisplaySettingsConfig) : super(class348_sub51)` forwards to GraphicsOptionState's default-value constructor, which computes anInt3138 via getDefaultValue(20014). No independent logic of its own."
method1714,getSupportLevel,"i: Int, i_15_: Int","kind: Int, value: Int",high,"Abstract override from GraphicsOptionState. Sentinel check `i != 3` returns 94 (an invalid/error marker; base class's only real caller, method1718, always passes kind=3, so this branch is effectively dead at runtime); when kind==3 this override unconditionally returns 1 (fully supported) - i.e. unlike BloomGraphicsOptionState's analogous override, this option type performs no real hardware-capability gating and always reports full support. The `value` parameter (i_15_) is accepted but never read. anInt5955 is a companion counter."
method1767,pushConfigValueToRenderState,"bool: Boolean, i: Int","unused: Boolean, configId: Int",low,"DEAD CODE: the only call site is inside method1768's `if (i != -32350) method1767(true, -55)` guard, and every real external caller of method1768 passes an argument that folds to exactly -32350 (see method1768's notes), so this opaque-predicate branch - and therefore this whole method - is never actually executed at runtime. Documented best-effort based on static reading only: looks up a ParticleAmountConfig via NormalMapGenerator.aParticleAmountCache_3453!!.method1588(-51, configId) (a standard id-keyed definition-cache getOrLoad, confirmed by reading ParticleAmountCache.method1588's body: LRU-cache check, Js5Archive fallback load, decode, cache-store), reads its type tag field anInt2125, and if the tag is 5 or 6, pushes a varp-derived int (ProjectedGroundDecor.aVarpStore_10209!!.anIntArray5063[configId]) into WallEntity.anInt8770 or TileTextureNode.anInt9408 respectively. Also unconditionally calls ProjectionCameraTransform.method947(41.toByte()), and calls method1769(-43) only if the (always-true-at-would-be-callsite) `unused` param is not true - which, combined with the fact the method itself is unreachable, means method1769 is likewise never invoked via this path. Given the field names involved (particle/decor config driving wall/tile render state), this looks like an unrelated utility that ended up attached to this class purely through decompiled/obfuscated class merging, not real 'binary graphics option' logic. Confidence is low because the behavior can never be observed live."
method1769,clearCachedInboundPacketHeaders,i: Int,sentinel: Int,low,"Nulls InboundPacketHeader.aInboundPacketHeader_5950 and aInboundPacketHeader_5949 - the same 'reset packet-header cache slot' shape seen elsewhere in the codebase (e.g. BlankTextureNode.method3099 nulling aInboundPacketHeader_9254/9257), suggesting a recurring per-feature packet-header cache reset utility. However, the only reference to this method anywhere in the codebase is from the dead method1767 above (`if (bool != true) method1769(-43)`), which is itself unreachable, so this method is never actually invoked at runtime either. Its own self-recursive guard `if (i != 100) method1769(-25)` would recurse with -25 (also != 100) if it were ever reached, which looks like another opaque-predicate artifact. Confidence low due to total unreachability."
method1770,getNativeLibraryLoadProgress,i: Byte,unused: Byte,medium,"Only real call site: ClientLoadStateMachine.kt:174 `val i_10_ = BinaryGraphicsOptionState.method1770((-25).toByte())`, during client bootstrap polling. Large routine: on first call (FixedFunctionWaterPass.anInt7365==0) sets up several SlotBinding config-var entries keyed by native-library names 'jaclib'/'jaggl'/'jagdx'/'jagmisc'/'sw3d'/'hw3d'/'jagtheora' plus a long list of Js5Archive-backed data-file sources (huffman table, fonts, models, textures, midi, etc.), then (anInt7365==1) collects them all into Crc64Hashable.aSlotBindingArray4987 and computes a fixed baseline percentage stored in GradientMapTextureNode.anInt9327. On subsequent calls it sums each SlotBinding's current/total progress (`method2024`/`method2027(...).method31(...)`) into a 0-100 percentage, and once every entry reports 100% it flips a couple of NpcType.aClient1367 feature flags (method83/method100) and clears the tracking array. This is clearly a 'client resource/native-library load progress' helper that got attached to this GraphicsOptionState subclass via decompiled class merging - it has nothing to do with a binary graphics option per se. The Byte parameter `i` is used only in one xor perturbation (`i.toInt() xor 0x75`) as a per-entry index tweak and one equality check (`i.toInt() != -25`) that is always false at the sole real call site - effectively another opaque predicate given there is only one caller. Confidence medium: overall shape/purpose is clear from SlotBinding/Js5Archive field names, but the full 78-line body was not exhaustively traced line-by-line."
