current_name,recommended_name,current_params,recommended_params,confidence,notes
method539,shufflePermutationTable,i: Int,decoyThreshold: Int,high,"Private. Seeds `Random(anInt1081)` and Fisher-Yates-shuffles a 255-entry permutation table (aShortArray1082) - the classic Perlin-noise permutation table setup. `if (i <= 6) this.anInt1071 = -11` is a suspicious side effect (sets the octave count field to a negative sentinel) gated by a decoy-looking threshold; only real call site passes 85, so this branch appears dead."
method540,buildOctaveAmplitudeTable,i: Int,startOctave: Int,high,"Private. Fills aShortArray1069[startOctave..anInt1071) with 2^index values - a per-octave amplitude/frequency multiplier table for multi-octave Perlin noise, consumed by method542's generation loop."
method541,onNoiseColumnComplete,i: Int,decoyCode: Int,low,"Abstract hook invoked once per output column inside method542's generation loop (`method541(-1538606516)`, constant/decoy argument, return value unused). Likely a per-column post-process callback implemented by subclasses (e.g. CellNoiseTextureNode)."
method542,generateNoise,"i: Int, i_6_: Int, i_7_: Int, i_8_: Int","depthOctaves: Int, width: Int, rowStart: Int, height: Int",high,"Core multi-octave Perlin-style noise generator: for every (row, depth-octave, column, permutation-octave) combination, looks up the permutation table (aShortArray1082) and gradient table (PerlinNoiseTextureNode.anIntArray2631), interpolates via HeightMapNoise.method2279, sums across octaves, and calls the abstract method546/writePixel to emit each computed value. Calls method543(true)/onGenerateStart once up front and method541/onNoiseColumnComplete once per column."
method543,onGenerateStart,bool: Boolean,prepare: Boolean,medium,"Abstract hook called once at the start of method542/generateNoise with `prepare=true` - likely a buffer-allocation/reset hook implemented by subclasses."
method546,writePixel,"i: Int, i_50_: Int, i_51_: Int","value: Int, column: Int, flags: Int",medium,"Abstract sink called once per generated noise sample from method542/generateNoise with the computed noise `value`, the current `column`, and a bit-twiddled `flags` value (`i_7_ xor 0x1.inv()`, i.e. rowStart XOR ~1) - implemented by subclasses to actually store/blit the pixel."
method544,logAndMaybeFlush,"string: String?, bool: Boolean, i: Int","name: String?, flush: Boolean, decoyCode: Int",low,"Companion. Calls FixedFunctionMaterialPass.method2144('', decoyCode, -96.toByte(), 0, name, '', '') (an unrelated class's logging/error-string builder) and conditionally calls method547 below. This entire companion object (method544-549) operates on generic resource-cache/text-layout concerns unrelated to Perlin noise texture generation - flagged as likely decompiler-merged content (see method547/549 notes)."
method545,clearIconCaches,"i: Int, i_49_: Int","decoyCode: Int, unused: Int",medium,"Companion. Clears several unrelated LruByteCaches (FontMetaRef, ParticleGeometry, SceneryDetailOptionState, EdgeDetectTextureNode icon caches) and conditionally nulls InboundPacketHeader.aInboundPacketHeader_1068 - a generic 'clear UI icon caches' utility with no connection to noise textures. Nearly identical shape appears in NpcCountAccessor.method1328 in this same batch, reinforcing that this is a shared/duplicated helper landing in an unrelated class's companion object."
method547,loadOrVerifyCachedFile,"string: String?, i: Int","name: String?, decoyCode: Int","→ Int",low,"Companion. Looks up a resource by name in a Js5Archive, compares it against an on-disk file via FileStoreLocator/SceneryDetailOptionState.method1821, and re-caches it if different (GrayscaleNoiseTexture.aPrivilegedOperationWorker_5297.method2242) - a generic disk-cache verification/writer routine, unrelated to noise texture generation. Strong candidate for decompiler-merged content."
method548,clearInboundPacketHeader,i: Int,decoyCode: Int,low,"Companion. Nulls InboundPacketHeader.aInboundPacketHeader_1068 unconditionally - unrelated to noise textures, same static field touched by method545 above."
method549,layoutTextLabelBounds,"i: Byte, class348_sub21: CameraSplineNode?, var_renderer: Renderer, structConfig: StructConfig?","decoyCode: Byte, spline: CameraSplineNode?, renderer: Renderer, struct: StructConfig?",low,"Companion. Large method measuring and positioning multi-line text (via GlTexture3D.aFontDefinition_8527) plus an optional background/border sprite around a 3D-anchored label (like an overhead chat/name tag or world-map tooltip), then registers a BoundingBoxNode for hit-testing. Entirely UI/label-rendering logic, unrelated to Perlin noise generation - flagged as decompiler-merged content alongside method544/545/547/548; this whole companion object appears to have nothing to do with the NoiseTextureGenerator class it lives in."
