current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, i_22_: Int, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int, anInt10393: Int, i_31_: Int, anInt10412: Int, i_33_: Int, aBoolean10398: Boolean, anInt10367: Int","configId: Int, startX: Int, startY: Int, startZ: Int, targetZ: Int, plane: Int, height: Int, durationTicks: Int, arcSteepness: Int, reach: Int, ownerRef: Int, flags: Int, spotAnimSlot: Int, isHeightAbsolute: Boolean, offsetTableIndex: Int",medium,"CLASS-LEVEL FINDING: despite the name/hierarchy (extends GroundDecorEntity), the instance methods of this class implement classic ballistic-projectile motion (see method2471/method2475 below: direction vector, arc height via tan(), velocity+acceleration kinematic integration, yaw/pitch via atan2) plus an alternate 'follow a moving actor' mode (method2474: repositions to a Player/Npc's x/y with a rotation-dependent offset looked up via SpotAnimVector's trig tables). This strongly matches the client's Projectile implementation (RS graphics/spotanims that either fly in an arc or track a moving source/target) - it is very likely mis-classified/misnamed by the decompiler's class hierarchy, not a decor object. Flag for PLAN.md's 'decompiler-merged/misclassified content' notes list. Constructor param names are best-effort based on field roles inferred in the method rows below; confidence held at medium given the class-identity uncertainty."
method2387,draw,"var_renderer: Renderer?, i: Int","renderer: Renderer?, orientation: Int",medium,"Override of SceneEntity.method2387 (abstract fun method2387(var_renderer: Renderer?, i: Int), no return - shared entity draw hook). Fetches the model via method2476, applies yaw/pitch/position (anInt10396, anInt10386, and aDouble10408/10384/10371 truncated to Int) onto a camera transform obtained from renderer.method3705(), caches model width/height (anInt10410=class64.fa(), anInt10368=class64.ma()), then delegates to method2473 to build/refresh the lighting container. `orientation>=-125` sets anInt10366=56 (dead-ish write, field otherwise only set from constructor param i_33_)."
method2471,initProjectileTrajectory,"i: Byte, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Int","decoy: Byte, targetHeight: Int, targetY: Int, tickOffset: Int, targetX: Int",medium,"Only runs its position-recompute block `if (!aBoolean10407)` (i.e. once, before the projectile is 'in flight' - see method2475 which sets aBoolean10407=true). Computes a unit direction vector from current (x,y) toward (targetX,targetY), places the effective start position `anInt10393` (reach/offset) units along that vector, and derives a start height either from the current tile height (anInt6382) or from a re-queried tile height at the new position (aBoolean10398 branch). Then computes per-tick velocity components (aDouble10414=dy/steps, aDouble10401=dx/steps, aDouble10400=speed) over `d` ticks (derived from tickOffset and anInt10392, the total duration). If anInt10381 (arc/gravity steepness, -1 meaning 'straight line') is set, derives initial vertical velocity via `-speed*tan(0.02454...*steepness)` and a quadratic (gravity-like) acceleration term aDouble10383 to hit targetHeight; otherwise a simple linear vertical velocity. This is textbook ballistic-arc projectile setup (aim/launch)."
method2380,unsupportedInteract,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_6_: Int, i_7_: Byte, i_8_: Int","renderer: Renderer?, action: Int, bool: Boolean, other: SceneEntity?, i6: Int, decoy: Byte, i8: Int",low,"Override of SceneEntity.method2380 - unconditionally throws IllegalStateException (wrapped by the standard TextureLoadException.method2929 decompiler exception-formatting pattern) after an always-true dead call to method2474 when `decoy>-106`. Shape (always-throw override of an abstract interaction method) suggests this entity type does not support whatever generic interaction SceneEntity.method2380 represents for other entity kinds (e.g. NPC/Player click-menu construction) - named speculatively."
finalize,disposeSceneGraphContainer,(none),(none),medium,"Standard Java finalizer (protected fun finalize()). Releases the cached SceneGraphContainer (aClass318_Sub10_10378.method2534()) if present - a lighting/geometry cache cleanup, called both by the GC finalizer and directly by method2473 as an explicit cleanup path (`if (i==-2393) break; finalize()`)."
method2472,clearSceneGraphCache,i: Int,decoy: Int,medium,"Releases the cached SceneGraphContainer the same way as finalize() and additionally clears aBoolean10399 (a 'model built/valid' flag, see method2386/2377) when `decoy!=-2159`."
method2388,isTargetable,i: Int,decoy: Int,low,"Override of SceneEntity.method2388 - always returns false. `decoy>=-65` sets aDouble10401 (normally a per-tick X-velocity field, see method2471/2475) to the odd constant -1.299791202228721 as a side effect - shape suggests this may be a 'projectile has been dismissed/cancelled, freeze velocity to a sentinel' flag rather than a a real interaction check, but not confirmed; named after the abstract method's likely SceneEntity-wide role (some other subclasses' implementations would need cross-referencing to confirm)."
method2473,buildLightingContainer,"abstractCameraTransform: AbstractCameraTransform?, abstractModel: AbstractModel?, var_renderer: Renderer?, i: Int","transform: AbstractCameraTransform?, model: AbstractModel?, renderer: Renderer?, mode: Int",high,"Private helper shared by method2387 (draw) and method2386 (build model). Applies the camera transform to the model (model.method620), pulls its render-batch outputs (method619/method604), and if the cached SceneGraphContainer is missing or stale (aBoolean6470) rebuilds it via SceneGraphContainer.Companion.method2526 and populates it (method2536/method2533 with this entity's plane/short position fields). `mode==-2393` (used by method2387/draw) skips the immediate finalize()/cache-release that otherwise runs after building (used by method2386's default `mode` value, an int literal not shown at this call site directly but distinct from -2393) - i.e. mode selects 'keep container alive for reuse' vs 'build-then-release-immediately'."
method2379,getModelHeight,i: Int,gate: Int,low,"Override of SceneEntity.method2379. `gate!=-25675` short-circuits to dead literal -92; live path (gate==-25675) returns anInt10368, which is populated from `class64.ma()` in both method2387 and method2386 (the fetched AbstractModel's height/'ma' accessor, by naming convention alongside `fa()` -> width, see method2394). No confirmed external call site with gate==-25675 was found, so the live branch's exercise could not be verified - confidence low."
method2394,getModelWidth,bool: Boolean,gate: Boolean,low,"Override of SceneEntity.method2394. `gate!=true` short-circuits to dead literal 99; live path returns anInt10410, populated from `class64.fa()` (paired with method2379's `.ma()` -> height, so `.fa()` is inferred as width by elimination, not independently confirmed)."
