src	dst	score	anchor_strings
ha_Sub1	JavaToolkit	0.965506	Pure Java,No MT,CPU,off,
Class64_Sub1	JavaModel	0.954551	FMT,
Class7	com/jagex/graphics/awt/AwtFullscreenAdapter	0.952037	valid,Did not return to correct resolution!
Class323	WorldMapFont	0.945221	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789!"£$%^&*()-_=+[{]};:'@#~,<.>/?\| ÄËÏÖÜäëïöüÿßÁÀÉÈÍÌÓÒÚÙáàéèíìóòúùÂÊÎÔÛâêîôûÆæãÃõÕçÇ,Helvetica
Class279_Sub1	PcmPlayer_Sub1	0.944510	soundmax
jagdx/IDirect3DVertexBuffer	jagdx/IDirect3DVertexBuffer	0.942068	
Class105_Sub3_Sub1	JavaRgbSprite	0.932002	Can't capture alpha into a java_sprite_24
oa	oa	0.924969	SSE,Cannot specify alpha with non-mono font unless someone writes it,sw3d,No MT,CPU,off
jagtheora/theora/DecoderContext	jagtheora/theora/DecoderContext	0.913848	
Class201	com/jagex/core/io/FileCache	0.897080	rw,c:/winnt/,c:/windows/,c:/rscache/,c:/,/tmp/
Class378	D3DToolkit	0.866337	Direct3D,
Class208	com/jagex/core/io/connection/ClientStreamWriter	0.855000	
jaclib/peer/Peer	jaclib/peer/Peer	0.854058	jaclib.peer.PeerReference
Class75	WorldMap	0.847781	area,details
Class51	com/jagex/game/runetek6/config/loctype/LocType	0.839217	null
Class297	com/jagex/sign/SignLink	0.835704	setFocusTraversalKeysEnabled,setFocusCycleRoot,random.dat,main_file_cache.idx255,main_file_cache.idx,main_file_cache.dat2
Class367_Sub7	Class26_Sub10	0.834328	environment_mapped_water_v,environment_mapped_water_f,dx
ha_Sub2	GlToolkit	0.831417	s3 graphics,GL_EXT_framebuffer_object,GL_EXT_framebuffer_multisample,GL_EXT_framebuffer_blit,GL_ARB_texture_float,radeon
Class367_Sub5	Class26_Sub8	0.829204	uw_model_unlit,uw_model_lit,uw_ground_unlit,uw_ground_lit,dx
Class320	InterfaceList	0.826627	if1
Class348_Sub40_Sub14	Node_Sub1_Sub37	0.820736	Curve operation requires at least two markers
Class348_Sub4	SystemInfo	0.819954	6.1,6.0,5.1,5.0,4.9,4.1
Class367_Sub6	Class26_Sub9	0.819410	transparent_water,dx
Class79	com/jagex/game/runetek6/config/npctype/NPCType	0.818396	null
Applet_Sub1	com/jagex/game/runetek6/client/GameShell	0.808558	wrongjava,stellardawn.com,runescape.com,jagex.com,invalidhost,ibm
Class274	com/jagex/game/LocalisedText	0.802172	Échangez ce reçu contre l'objet correspondant dans la banque de votre choix.,yellow:,white:,welle:,welle2:,weiss:
Class294	AwtLoadingScreen	0.799728	yOffset,yMiddle,xOffset,xMiddle,width,top
Class286_Sub1	Class101_Sub6	0.795095	!!ARBvp1.0
ATTRIB  iPos         = vertex.position;
ATTRIB  iNormal      = vertex.normal;
