current_name,recommended_name,current_params,recommended_params,confidence,notes
method142,renderTerrainTile,"var_terrainTile: TerrainTile, i: Int, i_0_: Int","tile: TerrainTile, i: Int, j: Int",low,"Delegates to native H(nativeId, (tile as t).nativeid, i, j). No abstract-class wrapper with real code exists for TerrainTile's caller in this batch to confirm exact semantics; grouped with method147/method148 as terrain-tile draw dispatch calls issued to this per-thread native worker."
R,nativeTestModelVisibility,"l: Long, l_1_: Long, i: Int, i_2_: Int, l_3_: Long, bool: Boolean","nativeId: Long, modelNativeId: Long, x: Int, z: Int, cameraNativeId: Long, mirror: Boolean",medium,"Private external backing method146, the simpler of two visibility-test natives (compare method143/n which takes one extra trailing int)."
method143,isModelVisibleWithThreshold,"abstractModel: AbstractModel, i: Int, i_4_: Int, abstractCameraTransform: AbstractCameraTransform?, bool: Boolean, i_5_: Int","model: AbstractModel, x: Int, z: Int, cameraTransform: AbstractCameraTransform?, mirror: Boolean, threshold: Int",medium,"Backs native n(...). Called from NativeModel(i.kt).method623, whose own AbstractModel.method623 override signature has 2 trailing ints but only forwards the second one to this call — the first (i_9_ in i.kt) is an unused/decoy parameter."
method144,combineModel,"abstractModel: AbstractModel, abstractModel_6_: AbstractModel?, i: Int, i_7_: Int, i_8_: Int, bool: Boolean","target: AbstractModel, source: AbstractModel?, i: Int, j: Int, k: Int, mirror: Boolean",low,"Backs native r(...). Called from NativeModel(i.kt).method613, which AbstractModel declares abstract with no other real-code caller in this batch to confirm whether this merges/blends two models (e.g. NPC equipment overlay) or copies transform data between them."
E,nativeDispose,"l: Long, bool: Boolean","nativeId: Long, fromFinalizer: Boolean",high,"Private external backing the Disposable w(bool) override."
e,nativeComputeModelRenderData,"l: Long, l_9_: Long, `is`: IntArray?, l_10_: Long","nativeId: Long, modelNativeId: Long, outArray: IntArray?, cameraNativeId: Long",high,"Private external backing method151. Called (via NativeModel.method693) with oa's static anIntArray5140 buffer, which NativeModel.method620 then reads back to populate ModelFacePriorityNode (9 ints/node) and WidgetRedrawRegion (3 ints/region) fields after a camera transform — i.e. computes per-face render priority and clickable-region data for a transformed model."
W,nativeStopWorker,l: Long,nativeId: Long,medium,"Private external backing method153 (private), which is called from method156 (deactivateWorker) — paired with M/nativeStartWorker."
finalize,finalize,(none),(none),high,"Standard finalizer; queues native disposal via RequestGate.method1947(0, this)."
method145,computeModelBoundsSimple,"abstractModel: AbstractModel?, abstractCameraTransform: AbstractCameraTransform, `is`: IntArray?, i: Int","model: AbstractModel?, cameraTransform: AbstractCameraTransform, outBounds: IntArray?, i: Int",high,"Backs native UA(...). Called from NativeModel.method615, which fills a 6-int SceneOcculder bounds array (x1,y1,x2,y2,z,visible flag) — the simpler variant of method149/f (which takes one extra int)."
n,nativeTestModelVisibilityWithThreshold,"l: Long, l_11_: Long, i: Int, i_12_: Int, l_13_: Long, bool: Boolean, i_14_: Int","nativeId: Long, modelNativeId: Long, x: Int, z: Int, cameraNativeId: Long, mirror: Boolean, threshold: Int",medium,"Private external backing method143."
method146,isModelVisible,"abstractModel: AbstractModel, i: Int, i_15_: Int, abstractCameraTransform: AbstractCameraTransform?, bool: Boolean","model: AbstractModel, x: Int, z: Int, cameraTransform: AbstractCameraTransform?, mirror: Boolean",medium,"Backs native R(...). Called from NativeModel.method628, forwarding all params (unlike method143's caller, which drops one)."
method147,renderTerrainTileVariant,"var_terrainTile: TerrainTile, i: Int, i_16_: Int, i_17_: Int","tile: TerrainTile, i: Int, j: Int, k: Int",low,"Delegates to native Z(nativeId, tile.nativeid, i, j, k). See method142 note."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool); calls E(nativeId, bool)."
method148,renderTerrainTileWithFlags,"var_terrainTile: TerrainTile, i: Int, i_18_: Int, i_19_: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int, bools: Array<BooleanArray?>?","tile: TerrainTile, i: Int, j: Int, k: Int, l: Int, m: Int, n: Int, o: Int, visibilityFlags: Array<BooleanArray?>?",low,"Delegates to native ta(...). The trailing 2D boolean array likely represents per-vertex or per-subtile visibility/shadow flags for the tile, but no call site was found in this batch to confirm."
method149,computeModelBounds,"abstractModel: AbstractModel, abstractCameraTransform: AbstractCameraTransform?, `is`: IntArray?, i: Int, i_24_: Int","model: AbstractModel, cameraTransform: AbstractCameraTransform?, outBounds: IntArray?, i: Int, j: Int",high,"Backs native f(...). Called from NativeModel.method608 (the 'full' SceneOcculder bounds variant with an extra int compared to method145/UA)."
