current_name,recommended_name,current_params,recommended_params,confidence,notes
method341,buildCompositeModel,i: Int,sentinel: Int,medium,"Despite the class name (and the batch's skeletal-animation theme), this method's logic is the classic RS 'composite/kit-piece model' builder, not skeletal-frame data: builds an array of ModelDefinitions from the variable-length id list anIntArray472 (each loaded via ParticleConfigParser.method2277 from the shared js5 archive), upgrades any old-format sub-model (anInt1830 < 13) via ModelDefinition.method1092/scaleVertices, merges them into a single ModelDefinition if there is more than one, then applies colour substitution (aShortArray474/480 pairs, via ModelDefinition.method1098/recolor) and texture substitution (aShortArray465/477 pairs, via ModelDefinition.method1095/retexture) - i.e. this class loads and assembles a composite model (e.g. an equipped-item/kit composite), not an animation frame. `if (i < 53) method341(-22)` is a dead self-recursive decoy."
method342,areFixedComponentsLoaded,i: Byte,sentinel: Byte,high,"Checks, under the archive lock, whether all 5 model ids in anIntArray464 (skipping -1 slots) are present in the js5 archive (Js5Archive.method420/isFileLoaded); returns false if any required id is missing. `if (i <= 87) method351(96)` is a decoy calling the companion cache-clear method351/clearCache."
method343,buildFixedCompositeModel,i: Byte,sentinel: Byte,medium,"Sibling of method341/buildCompositeModel but built from the fixed 5-slot anIntArray464 list instead of the variable-length anIntArray472 list - same upgrade/merge/recolor/retexture pipeline. Notably `if (i > -27) return null` sits *before* the final ModelDefinition construction and recolor/retexture application, meaning at every call site that passes sentinel > -27 this method returns null without ever reaching the real assembly logic - could not confirm from this file alone whether any real caller passes <= -27, so this may be dead code or the sentinel convention could not be resolved with confidence."
method344,readConfigOpcode,"i: Int, class348_sub49: ByteBuffer, i_10_: Byte","opcode: Int, buffer: ByteBuffer, unusedTag: Byte",high,"Private per-opcode archive definition decoder (standard *Loader config-parsing pattern): opcode 1 skips a byte; opcode 2 reads the variable-length composite-part id list into anIntArray472; opcode 40 reads parallel colour find/replace tables into aShortArray474/480; opcode 41 reads parallel texture find/replace tables into aShortArray465/477; opcodes 60-69 write into the fixed 5-slot anIntArray464[opcode-60] - note this indexes up to anIntArray464[9] while the array is only declared with 5 elements (intArrayOf(-1,-1,-1,-1,-1)), so opcodes 65-69 would throw ArrayIndexOutOfBoundsException if ever encountered in real data; suspicious but not independently confirmed as reachable."
method346,decodeDefinition,"i: Int, class348_sub49: ByteBuffer","unusedTag: Int, buffer: ByteBuffer",high,"Standard definition-decoder loop: repeatedly reads an opcode byte and dispatches to method344/readConfigOpcode until a terminating 0 opcode is read. `val i_19_ = -5 / ((73 - i) / 49)` is a discarded filler expression."
method348,areComponentsLoaded,i: Byte,sentinel: Byte,high,"Same readiness check as method342/areFixedComponentsLoaded but over the variable-length anIntArray472 list instead of the fixed 5-slot list; returns true (vacuously) if anIntArray472 is null. `if (i.toInt() != 34) method348((-15).toByte())` is a dead self-recursive decoy."
method345,notifyRegionOrDirectionChange,"i: Int, i_17_: Byte","value: Int, sentinel: Byte",low,"Companion-object method unrelated to this class's model-loading role (decompiler-merged content per refactor-notes/PLAN.md). Depending on whether SpriteDefinition.anInt7068 is zero, either forwards to NodeDequeHolder's cached node's method2861 or stores into DirectionPath.anInt1059 - exact feature area not confirmed from this file. `if (i_17_ > -26) method349(-111)` triggers the companion method349 below."
method347,quicksortParallelArrays,"is: IntArray?, is_20_: IntArray?, i: Int, i_21_: Int, i_22_: Int","keys: IntArray?, values: IntArray?, low: Int, unusedPivotSentinel: Int, high: Int",medium,"Companion-object method unrelated to model loading - a textbook recursive quicksort over two parallel int arrays (keys/values kept in sync during swaps), with a median-ish pivot selection and a sentinel value 2147483647 (Int.MAX_VALUE) treated specially in the partition comparison. Wrapped in try/catch rethrowing via TextureLoadException.method2929 tagged 'ic.K(...)'. `if (i_21_ != -22222) aLruByteCache_463 = null` is a decoy with a side effect on an unrelated companion cache field."
method349,syncVisiblePlayerCameras,i: Int,sentinel: Int,low,"Companion-object method unrelated to model loading - iterates ShaderState.anInt6513 active player indices (via ScrollTexMaterialPass.anIntArray6290) and calls Client.method2556 on each live LoadingBarRenderer.aPlayerArray5058 entry, passing its method2436(60) result - looks like a per-tick player camera/position sync pass. `if (i != 4740) method347(null, null, 79, -21, 64)` is a dead decoy calling the unrelated quicksort helper with null arrays (would NPE if ever reached, reinforcing that it never is)."
method350,scheduleTimedNode,"i: Int, i_34_: Int, i_35_: Int, i_36_: Int, i_37_: Int","value: Int, param1: Int, unusedTag: Int, id: Int, param2: Int",low,"Companion-object method unrelated to model loading - creates a NamedTimedNode via NamedTimedNode.method2516(id, ...) and populates three of its int fields (anInt9651, anInt9650, anInt9652) from the caller-supplied params - looks like scheduling some kind of timed/animated event node. `val i_38_ = 112 % ((i_35_ - 76) / 44)` is a discarded filler expression."
method351,clearCache,i: Int,sentinel: Int,high,"Companion-object cleanup: nulls this class's own aLruByteCache_463 and aFrame476 fields. `val i_39_ = 90 / ((i - 19) / 43)` is a discarded filler expression. Called (as a decoy) from method342/areFixedComponentsLoaded."
