current_name,recommended_name,current_params,recommended_params,confidence,notes
method39,getNodeTypeId,i: Int,decoyDivisor: Int,medium,"Part of RenderTarget (cross-referenced with GroundDecorSceneEntity.csv's method39/getNodeTypeId, the same interface slot). Returns aSceneObjectAnimator_10115.anInt3079; unlike GroundDecorSceneEntity's constant-22 override, this wrapper's value is dynamic (sourced from the wrapped SceneObjectAnimator), consistent with this class delegating essentially all real state to its animator rather than holding its own model/type fields."
method44,initMinimapRenderNode,"i: Int, var_renderer: Renderer?","decoyStage: Int, renderer: Renderer?",medium,"Part of RenderTarget. Delegates directly to aSceneObjectAnimator_10115.method1667(116.toByte(), renderer) to (re)build/init the animator's minimap render node. `if (decoyStage != 836) method2379(42)` calls getMinimapScaledHeight purely for its side effects (result discarded) -- decoy shape matching sibling classes' use of the literal 836/-14218 family of magic guard constants."
method2387,renderInScene,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",medium,"Overrides SceneEntity's abstract method2387. Unlike GroundDecorSceneEntity's near-no-op override of this same abstract slot (labelled resetLowDetailFlag there), this class does real per-frame world rendering: prefetches buildAnimatedModel/method2386 as a decoy side call when `decoyId>=-125`, then requests a render-ready animated model from the SceneObjectAnimator (flag 262144), positions a camera-space transform at (x,anInt6382,y), and submits it via animator.method1670 -- this is the main '3D scene' draw path, distinct from renderMinimapEntity/method43 which uses a lighter animator.method1674 call instead."
method2394,getModelHeightOffset,bool: Boolean,decoyFlag: Boolean,high,"Overrides SceneEntity's abstract method2394 (cross-referenced with GroundDecorSceneEntity.csv's identical-signature override of the same name). Returns aSceneObjectAnimator_10115.method1663(109); the `if (decoyFlag != true) getCircleHitbox/method2381(null,-82)` call discards its result -- decoy, consistent with every real call site of this abstract passing the literal `true` per the sibling analysis."
method2391,hitTestModel,"var_renderer: Renderer?, i: Int, i_3_: Int, i_4_: Int","renderer: Renderer?, screenX: Int, mouseX: Int, decoyFlag: Int",low,"Overrides SceneEntity's abstract method2391. Same shape as DynamicSceneObjectEntity.csv's hitTestPile: builds a detail-level animated model (animator.method1668, flag 131072), positions a camera transform, and if `decoyFlag==0` performs a face-precision raster hit-test via class64.method623/628 (branch on ParticleSystemRenderer.aBoolean3870), returning the hit result; if `decoyFlag!=0` returns true immediately without testing. Params inferred structurally from the sibling pattern, not independently re-derived here."
method2376,isRenderable,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2376. Unlike GroundDecorSceneEntity's real 'model loaded and not culled' check for this slot, this override unconditionally returns false in both branches -- effectively always 'not renderable/not an occluder' for this entity type, closer to DynamicSceneObjectEntity's always-false isOccluder override of the same abstract slot. `if (decoyId>-12) getModelHeightOffset/method2394(true)` discards its result -- decoy."
method2379,getMinimapScaledHeight,i: Int,decoyId: Int,medium,"Overrides SceneEntity's abstract method2379 (cross-ref GroundDecorSceneEntity.csv). Returns aSceneObjectAnimator_10115.method1664(-71). The guard `if (decoyId != -25675) aBoolean10114=false` uses the same -25675 magic constant that DynamicSceneObjectEntity.csv confirmed is always passed literally by real callers (MinimapRectClipper.kt), making the flag-reset branch dead in practice here too."
method38,isRenderNodeCacheable,i: Int,decoyId: Int,medium,"Part of RenderTarget (cross-ref GroundDecorSceneEntity.csv/DynamicSceneObjectEntity.csv, both confirming the -18443 guard literal is always passed by real callers). Returns aSceneObjectAnimator_10115.method1665(2); the guard sets aBoolean10095=true rather than clearing a hitbox as in sibling classes, but is equally a dead decoy branch given the established -18443 call-site literal."
method42,getLocId,i: Int,decoyThreshold: Int,medium,"Part of RenderTarget. Returns aSceneObjectAnimator_10115.anInt3063. The `if (decoyThreshold > -62) aCircleHitbox_10116 = null` branch destructively drops the cached hitbox; sibling classes (GroundDecorSceneEntity/DynamicSceneObjectEntity) confirm real callers of this abstract slot pass literals below -62, so this is expected to be a dead decoy in practice, not independently re-verified for this specific class's call sites."
method43,renderMinimapEntity,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",medium,"Part of RenderTarget. Delegates to aSceneObjectAnimator_10115.method1674(-1, renderer) -- a lighter-weight draw path than renderInScene/method2387's full animator.method1670 submission, consistent with sibling classes' distinction between a minimap-specific render call (method43) and a main-scene render call (method2387)."
method2386,buildAnimatedModel,"i: Int, var_renderer: Renderer?","seqId: Int, renderer: Renderer?",medium,"Overrides SceneEntity's abstract method2386, the core per-frame model builder. Requests a render-ready model from the animator (flag 2048, XOR-encoded id `seqId xor 0x7f.inv()`), positions a camera-space transform at (x,anInt6382,y), borrows a pooled composite SceneEntityModel via ChatMessageStream.method136(seqId, aBoolean10114, false) (same pooling helper used by DynamicSceneObjectEntity/GroundDecorSceneEntity), submits the animator's transform via method1670, rasters the sub-model (method615/method608 depending on ParticleSystemRenderer.aBoolean3870), draws an optional shadow/decal component (aClass318_Sub10_3081) if present, then updates the cached hasDynamicMaterial-style flag (aBoolean10095) and lazily builds/refreshes aCircleHitbox_10116 via method1935/method2967 (the same hitbox helpers used across this batch's other Sequenced* classes)."
method2381,getCircleHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyId: Int",high,"Overrides SceneEntity's abstract method2381. Simple cached-value getter: returns aCircleHitbox_10116 when `decoyId==7`, else null. Matches the confirmed pattern in DynamicSceneObjectEntity.csv where every real call site (ProjectileNode.kt) passes the literal 7."
