current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer?, i: Int, i_105_: Int, bool: Boolean","renderer: OpenGlRenderer?, width: Int, height: Int, hasAlpha: Boolean",high,"Allocates a blank `width`x`height` GL_TEXTURE_RECTANGLE_ARB texture region (format GL_RGBA/6408 if `hasAlpha` else GL_RGB/6407) via `AbstractCameraTransformStatics.method904`. Only call site: OpenGlRenderer.method3683 (the abstract Renderer.method3629 factory hook per Renderer.kt), used to create an empty drawable render target - the primary 'off-screen/backing texture' constructor for this AbstractModelRenderer implementation."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_106_: Int, i_107_: Int, i_108_: Int","renderer: OpenGlRenderer, seed: Int, height: Int, width: Int, mode: Int",medium,"Builds a procedurally-generated texture region via `PerlinTextureProvider.method1401(renderer, seed, 34037, width, height, mode)` (a Perlin-noise-style texture generator, per the imported companion's name). Only call site: OpenGlRenderer.method3711/the abstract Renderer.method3683 factory hook. `method968`/prepareMaskTexture also calls the same `PerlinTextureProvider.method1401` helper directly to build its secondary mask texture, suggesting this constructor and that method share the same underlying procedural-texture generator."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer?, i: Int, i_109_: Int, is: IntArray?, i_110_: Int, i_111_: Int","renderer: OpenGlRenderer?, height: Int, mode: Int, pixels: IntArray?, width: Int, id: Int",medium,"Builds a texture region directly from a caller-supplied ARGB pixel buffer via `InvertTextureNode.method3132(pixels, width, id, mode, height, renderer, false, 12.toByte())`. Only call site: OpenGlRenderer.method3629/the abstract Renderer.method3711 factory hook (also reachable via Renderer.method3662's convenience wrapper) - used to build a sprite/icon renderer from CPU-generated pixel data (e.g. dynamically composited UI icons)."
method962,drawQuad,"f: Float, f_0_: Float, f_1_: Float, f_2_: Float, f_3_: Float, f_4_: Float, i: Int, i_5_: Int, i_6_: Int, i_7_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, filterMode: Int, color: Int, blendMode: Int, smooth: Int",high,"Override of AbstractModelRenderer.method962 (named per AbstractModelRenderer.csv). When insets are active (`aBoolean8427`), inset-adjusts all 3 corners by the border-inset fields (anInt8446/8447/8449/8432, set by method985/setInsets) scaled to the quad's local axes before computing the 4th corner. Binds the primary texture region, applies `filterMode` (method3761) and `blendMode` (method3753), tints via `glColor4ub` from the packed `color`, and toggles nearest/linear sampling from `smooth`'s low bit (method1957) - matches the abstract method's documented role exactly."
method969,getContentHeight,(none),(none),high,"Override of AbstractModelRenderer.method969 (named per AbstractModelRenderer.csv). Returns the bound texture's raw pixel height (`aClass258_Sub3_Sub1_8434.anInt9939`), without insets."
method968,prepareMaskTexture,"i: Int, i_24_: Int, i_25_: Int","textureId: Int, level: Int, mode: Int",medium,"Override of AbstractModelRenderer.method968 (named/param-mapped per AbstractModelRenderer.csv). Temporarily relaxes GL pixel-transfer bias/scale (glPixelTransferf) around wrapping the externally-supplied GL texture handle `textureId` as a second `GlTexture2DRegion` (`aClass258_Sub3_Sub1_8431`) via `PerlinTextureProvider.method1401`, sized from the primary texture's dimensions, then restores the default pixel-transfer values. Stores `mode` into `anInt8429`, later consumed by the private method992 helper to pick one of 4 blend-colour presets (via `method3749`) for masked/outlined draws - consistent with an outline/glow/recolour-style secondary texture setup."
method984,getInsets,is: IntArray?,insets: IntArray?,high,"Override of AbstractModelRenderer.method984 (named per AbstractModelRenderer.csv). Fills `insets[0..3]` from anInt8447/anInt8446/anInt8449/anInt8432 (left/top/right/bottom, matching the field-write order in method985/setInsets)."
method980,getHeight,(none),(none),high,"Override of AbstractModelRenderer.method980 (named per AbstractModelRenderer.csv). Returns `anInt8446 (top) + textureHeight + anInt8432 (bottom)` - total height including insets."
method979,captureScreenRegion,"i: Int, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int, i_30_: Int","destX: Int, destY: Int, width: Int, height: Int, srcX: Int, srcY: Int",medium,"Override of AbstractModelRenderer.method979 (named/param-mapped per AbstractModelRenderer.csv). Forwards to `aClass258_Sub3_Sub1_8434.method1967` (GlTexture2D's glCopyTexSubImage2D wrapper per that file's notes) - copies a region of the current framebuffer into the bound texture (screen-grab/ghosting effect)."
method963,drawSprite,"i: Int, i_31_: Int, var_sprite: Sprite?, i_32_: Int, i_33_: Int","x: Int, y: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",high,"Override of AbstractModelRenderer.method963 (named per AbstractModelRenderer.csv). Draws `sprite` (cast to `NativeSprite`) as an axis-aligned quad at `(x + leftInset, y + topInset)`, using a second texture unit (GL_TEXTURE1, 33985) bound to the sprite's own `GlTexture2DRegion` combined multiplicatively (`method3762(34168=GL_MODULATE-family env mode, ...)`) with the primary bound texture region on unit 0 - i.e. tints/masks the sprite through whatever texture is currently bound as this renderer's primary texture. `offsetX`/`offsetY` shift the sprite's own texture-coordinate anchor, matching the abstract method's documented role."
method985,setInsets,"i: Int, i_41_: Int, i_42_: Int, i_43_: Int","left: Int, top: Int, right: Int, bottom: Int",high,"Override of AbstractModelRenderer.method985 (named per AbstractModelRenderer.csv). Stores the 4 inset fields and derives `aBoolean8427` (true if any inset is non-zero) - the fast-path/slow-path switch consumed throughout method962/method983/method982."
method991,finishMaskedDrawState,i: Byte,unused: Byte,medium,"Private. Only runs `if (unused.toInt() == 9)` (the only value ever passed, from method964 and method982's masked-draw branches). Rebinds a null texture region, reconfigures texture-unit combine/blend state (method3729/method3762/method3775), and toggles the enable/disable state bracket (`method3738(-15039, 1)`/`(-15039, 0)`, the same bracketing pattern documented in AbstractBloomEffect.csv's method2756) - a cleanup/reset step run after a two-texture masked/outline draw pass set up by method992."
method983,drawRotatedSpriteQuad,"f: Float, f_44_: Float, f_45_: Float, f_46_: Float, f_47_: Float, f_48_: Float, i: Int, var_sprite: Sprite?, i_49_: Int, i_50_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, smooth: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",high,"Override of AbstractModelRenderer.method983 (named per AbstractModelRenderer.csv). Sprite/quad analogue of method962: applies the same inset-adjustment math when `aBoolean8427` is set, binds the sprite's own `GlTexture2DRegion` on GL_TEXTURE1 combined with the primary texture on unit 0, and toggles nearest/linear sampling from `smooth`'s low bit."
method966,getWidth,(none),(none),high,"Override of AbstractModelRenderer.method966 (named per AbstractModelRenderer.csv). Returns `anInt8447 (left) + textureWidth + anInt8449 (right)` - total width including insets."
method964,draw,"i: Int, i_69_: Int, i_70_: Int, i_71_: Int, i_72_: Int","x: Int, y: Int, filterMode: Int, color: Int, blendMode: Int",high,"Override of AbstractModelRenderer.method964 (named per AbstractModelRenderer.csv). Draws the bound texture at natural size at `(x + leftInset, y + topInset)`, tinted by `color`. When a mask texture is present (`aClass258_Sub3_Sub1_8431` != null, set by method968/prepareMaskTexture), instead draws via the two-texture masked path (method992 setup + method991 teardown) with a second GL_TEXTURE1 texcoord set matching the primary texture's coordinates - producing a masked/outlined variant of the plain draw."
method992,setupMaskedDrawState,"i: Int, i_73_: Int","filterMode: Int, unused: Int",medium,"Private. Sets up the two-texture masked/outline draw state consumed by method964/method982's masked branches: binds the primary texture region on unit 0 with `filterMode` applied via `aHa_Sub2_8430.method3781`, configures a texture-combine env mode (raw GL enum 34167, not confidently identified in this pass) for unit 0, then binds the secondary mask texture (`aClass258_Sub3_Sub1_8431`, from method968/prepareMaskTexture) on a second stage (env enum 34166) and selects one of 4 RGBA blend-colour presets via `method3749` based on `anInt8429` (the mode stored by prepareMaskTexture: 0/1/2/3 pick different alpha-threshold-like float constants, consistent with an outline/glow/recolour style selector). The `if (unused != 3) method964(46, -15, -58, 122, 11)` branch is a confirmed decoy - both real call sites (from method964 and method982) always pass the literal 3."
method965,drawTiled,"i: Int, i_74_: Int, i_75_: Int, i_76_: Int, i_77_: Int, i_78_: Int, i_79_: Int","x: Int, y: Int, width: Int, height: Int, filterMode: Int, color: Int, blendMode: Int",high,"Override of AbstractModelRenderer.method965 (named per AbstractModelRenderer.csv). When the texture is marked non-tileable-by-hardware-wrap (`aClass258_Sub3_Sub1_8434.aBoolean9941`) and no insets are active, draws a single quad with texcoords scaled to repeat via the fragment shader/texture-wrap directly; otherwise falls back to an explicit nested-loop tiling implementation (full tiles across both axes plus partial edge tiles), offsetting the whole grid by the left/top insets via `glPushMatrix`/`glTranslatef`."
method971,getContentWidth,(none),(none),high,"Override of AbstractModelRenderer.method971 (named per AbstractModelRenderer.csv). Returns the bound texture's raw pixel width (`aClass258_Sub3_Sub1_8434.anInt9940`), without insets."
method982,drawScaled,"i: Int, i_92_: Int, i_93_: Int, i_94_: Int, i_95_: Int, i_96_: Int, i_97_: Int, i_98_: Int","x: Int, y: Int, width: Int, height: Int, filterMode: Int, color: Int, blendMode: Int, smooth: Int",high,"Override of AbstractModelRenderer.method982 (named per AbstractModelRenderer.csv). Stretches the bound texture into the `(x,y,width,height)` box, applying the same inset-adjustment math as method962 when active, and dispatching to the masked two-texture path (method992/method991) when a mask texture (`aClass258_Sub3_Sub1_8431`) is present, mirroring method964's plain-vs-masked branching."
method990,substituteAsciiFallbackChar,"c: Char, i: Byte","c: Char, unused: Byte",medium,"Companion, SEMANTICALLY UNRELATED to sprite rendering - a merged/grab-bag static (matches the 'decompiler merged wrong content' pattern noted for jvmMain companions in PLAN.md). Maps a handful of accented/ligature Latin characters (AE/ae, sharp-s, OE/oe ligatures) to plain-ASCII fallback letters for fonts/renderers lacking those glyphs; only call site is RemoveRoofsOptionState.kt (`method990(c_25_, (-39).toByte())`), likely inside a text-search/filter box on that options screen. The `if (unused >= -18) return 'M'` branch is real at the only observed call site (-39 < -18 is false... note -39 is NOT >= -18, so this branch is actually never triggered there) - flagged as an unconfirmed fallback path since no call site satisfying it was found."
