current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"sceneProjector: SceneProjector?, i: Int, js5Archive: Js5Archive?","sceneProjector: SceneProjector?, unused: Int, js5Archive: Js5Archive?",medium,"Primary constructor stores `js5Archive` into aJs5Archive_1460 and eagerly validates js5 group 29 via method407(0, 29) inside a try/catch rethrowing as TextureLoadException with a 'lca.<init>(...)' diagnostic string - identical shape to MapSceneDefLoader's constructor (group 31) and other sibling loader classes in this batch. `sceneProjector`/`i` are only used for the error message. Class caches a 'MapScene' style composite-icon definition (decompiled as ParticleConfigParser, likely a misnomer) keyed by id, backed by a size-16 LruByteCache."
method816,clearCache,bool: Boolean,unused: Boolean,medium,"Instance method. Clears aLruByteCache_1449 (method587(-119)) inside a lock, incrementing anInt1455. `if (bool != false) method819(107.toByte(), 46)` - sole traced call site (ConfigArchiveLoader.kt) always passes `false`, so this branch is a confirmed-dead decoy."
method819,resizeCache,"i: Byte, i_14_: Int","unused: Byte, capacity: Int",medium,"Instance method. Sets the cache's capacity/bucket parameter via aLruByteCache_1449.method578(2, capacity) inside a lock, increments anInt1457. Confirmed real (non-decoy) call from GlowPostProcessor.kt passing capacity=5; also reachable (dead in practice) from method816's decoy branch with capacity=46."
method820,getOrLoadMapSceneDefinition,"i: Int, i_15_: Int","id: Int, unused: Int",high,"Private instance method. Classic cache-or-load: checks aLruByteCache_1449 for `id`, and on miss reads bytes from aJs5Archive_1460 (group 29) via method410(-1860, unused, id), builds a ParticleConfigParser, decodes it via method2275 when data was found, caches the result, and returns it. Matches the identical shape of MapSceneDefLoader.method1391 (CameraConfigDefinition) in this same batch. Sole caller is method823, always passing 29 for `unused`."
method822,resetCache,i: Byte,unused: Byte,medium,"Instance method. Clears aLruByteCache_1449 (method590(0)) inside a lock and increments anInt1452; `if (i >= -13) method825(14)` additionally clears the companion's static anIntArray1450 table. Sole traced call site (InterfaceBounds.kt) passes (-120).toByte(), which does NOT satisfy `i >= -13`, so the method825 call is not exercised there - whether any other caller does trigger it is unconfirmed."
method823,buildMapSceneRenderer,"i: Int, i_17_: Int, i_18_: Int, i_19_: Int, spriteStore: SpriteStore, i_20_: Int","x: Int, y: Int, size: Int, unusedFlag: Int, spriteStore: SpriteStore, mapSceneId: Int",high,"Instance method. Loads the MapScene definition for `mapSceneId` via getOrLoadMapSceneDefinition, builds an array of per-piece HintArrowRenderer sprite structs (offset/size fields) from the definition's sub-sprite id list via spriteStore.method301, and returns a composite ParticleSystemRenderer built from (definition.anInt3817, pieces, definition.anInt3823, size, x, y). `if (i_19_ > -36) return null` is dead at all 3 confirmed call sites (MapSceneRenderer.kt passing -109, TerrainTileShape.kt passing -66, WidgetComponent.kt passing -43 - all <= -36) - confirmed decoy. This is the shared 'compose the world-map building/landmark icon for this map-scene id' entry point used by both the loading-screen overview renderer (MapSceneRenderer.method385) and widget-based world map rendering (WidgetComponent.kt)."
method817,findGroundDecorAt,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int","requiredConst: Int, x: Int, plane: Int, z: Int",medium,"Companion, JvmStatic. Requires `requiredConst == 252` (only traced call site, Client.kt, always passes 252). Looks up HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029[plane][x][z] and walks its linked list of WidgetNodeLink entries looking for ProjectedGroundDecor instances whose projected bounding box (derived from the decor's own coordinates and a per-decor plane offset via method2436) overlaps (x,z), returning the one with the largest overlap area. Used by Client.kt to resolve which ground-decor icon is under a given tile for an NPC's plane."
method818,reverseBits,"i: Int, i_11_: Int, i_12_: Int","bitCount: Int, seed: Int, value: Int",high,"Companion. Textbook bit-reversal: for `bitCount` iterations, shifts `seed` left by 1 and ORs in the low bit of `value`, right-shifting `value` each iteration - i.e. `seed` accumulates the bits of `value` in reverse order. Confirmed used by VorbisAudioDecoder.kt (`MapSceneCache.method818(i_21_, 0, i_22_)` inside an array-building loop), consistent with the classic Vorbis/Huffman codeword bit-reversal step - this method being defined in an unrelated MapSceneCache class is a clear decompiler-merged-statics artifact (see PLAN.md)."
method821,clearUnrelatedSoundCache,i: Int,unused: Int,low,"Companion, JvmStatic. Clears SoundCacheState.aLruByteCache_4139 (unrelated to map scenes - decompiler-merged static) and increments anInt1459. `i` only feeds a discarded `-67/((i-39)/33)` expression - decoy. Sole traced call site (InterfaceBounds.kt) does not indicate any map-scene-specific purpose."
method824,ensureCollisionEntriesForPlane,i: Int,plane: Int,medium,"Companion, JvmStatic. Sets DelegatingRenderCanvas.anInt67 = plane (an unrelated cross-class assignment - likely decompiler-merged), then fills HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029[plane][x][z] with new SceneCollisionEntry(plane) instances for every (x,z) in the loaded map (ActorEntity.anInt6451 x ActorEntity.anInt7054) that doesn't already have one. Matches the analogous per-column variant MapSceneDefLoader.method1394 in this same batch, but here fills an entire plane rather than one column. Confirmed call site DelegatingRenderCanvas.kt passes a plane index derived from network-state check."
method825,clearBitmaskTable,i: Int,unused: Int,medium,"Companion, JvmStatic. Nulls the shared anIntArray1450 table (`intArrayOf(1,2,4,8)`, a power-of-two bitmask lookup) unconditionally - the `if (i > -73) anIntArray1450 = null` guard is a dead/redundant re-null. Reachable from method822's `i >= -13` branch and directly from Client.kt's teardown sequence."
method826,drawTiledMapBorderIcons,"i: Int, i_24_: Int, i_25_: Int, i_26_: Int, i_27_: Int, i_28_: Int, var_renderer: Renderer","baseY: Int, x: Int, width: Int, y: Int, unusedFlag: Int, height: Int, renderer: Renderer",low,"Companion, JvmStatic. Lazily builds 3 shared AbstractModelRenderer icons from fixed sprite ids (SkyboxGradient.anInt3937, ProjectedGroundDecor.anInt10257, NpcType.Companion.anInt1387) the first time all 3 js5 archive entries are available, then tiles 2 of them along a horizontal span (`width`) and one along a vertical span (`height`) anchored at (x, y) using each icon's own natural size (method971/method969) as the tile step - consistent with drawing a repeating decorative border/frame (e.g. a map/panel frieze) rather than a single icon. Parameter roles are a best-effort read; only 2 call sites were traced (both in GlArrayBufferObject.kt) and neither clarifies the semantic meaning of `baseY`/`unusedFlag` beyond their arithmetic use."
method1333,resolveStringArrayIds,"is: ShortArray?, i: Int, strings: Array<String?>?","outIds: ShortArray?, expectedTag: Int, strings: Array<String?>?",low,"Companion. `if (i != 26073) aAbstractModelRenderer_2309 = null` nulls an unrelated cached renderer field (decompiler-merged decoy - both traced call sites, ChatCommandProcessor.kt and ScriptOpcodeHolder.kt, pass 26073 or `i + 26073`, so this is essentially always a no-op check in practice) before delegating to AbstractModel.Companion.method607(strings.size-1, strings, outIds, 0, false) to resolve/populate `outIds` from `strings`. Exact semantics of method607 were not independently re-derived here; named generically as a CS2-opcode-style string-to-id resolver based on the AsyncTaskHandle.aShortArray2579 shared buffer used at both call sites."
