current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, i_10_: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int, i_17_: Int, bool: Boolean, i_18_: Byte","plane: Int, byteFlag: Byte, x: Int, height: Int, y: Int, minTileX: Int, maxTileX: Int, minTileY: Int, maxTileY: Int, isDynamicModel: Boolean, diagonalOrientation: Byte",medium,"Base constructor for the GroundDecorEntity family (MapElementDecor, ModelGroundDecor, SequencedGroundDecor, TrackedGroundDecor, ProjectedGroundDecor). Field mapping confirmed from the init block: plane->this.plane, byteFlag(i_10_)->aByte6376 (role ambiguous - see ActorEntity.csv's <init> note, which found the same-named inherited SceneEntity field reused for different purposes on different subclasses), x/y straight through, height(i_12_)->anInt6382 (matches ActorEntity's confirmed 'world height/elevation' usage of the same inherited field), minTileX/maxTileX/minTileY/maxTileY -> aShort8743/aShort8751/aShort8750/aShort8747 respectively (confirmed as a tile-space bounding rectangle by CharacterRenderState.method2778, which special-cases `is GroundDecorEntity` and iterates `for (x in aShort8743..aShort8751) for (y in aShort8750..aShort8747)` over exactly these 4 fields). isDynamicModel(bool)->aBoolean8741 - gates a terrain-quad-consistency skip in SceneObjectEntity.kt/DynamicSceneObjectEntity.kt (`if (!aBoolean8741) ActorEntity.method164(...)`); MapElementDecor always passes false (static decor), ModelGroundDecor/SequencedGroundDecor pass `npcConfig.anInt895==1` (a per-NPC-config flag), consistent with 'this decor has its own dynamic model that needs custom clip handling'. diagonalOrientation(i_18_)->aByte8745, consumed by method2384's edge-dedup branch (0/1/other)."
method2378,isTileWithinLoadedScene,i: Int,unused: Int,high,"Override of abstract SceneEntity.method2378 - kept consistent with the name already assigned in refactor-notes/jvmMain/ActorEntity.csv for the same abstract method. Unlike ActorEntity's single-tile version, this scans the entity's full tile-rectangle footprint (aShort8743..aShort8751 x aShort8750..aShort8751/aShort8747) and returns true as soon as any tile in it maps to a `true` in ActorEntity.aBooleanArrayArray1572 (the 'tile is within the currently loaded scene' grid, relative to the scene's base coords anInt6111/anInt10084/anInt8502 - identical offset math to ActorEntity's own implementation). Only external call site (CharacterRenderState.method2778) always passes 0 for `unused`, and the `if (i != 0) this.aShort8747 = (-75).toShort()` branch that would corrupt the entity's own max-Y bound is a confirmed decoy that never fires in practice."
method2382,isFootprintTerrainClipInvalid,i: Byte,guard: Byte,medium,"Override of abstract SceneEntity.method2382 - kept consistent with the name assigned in ActorEntity.csv for the same abstract method. `if (guard > -51) return true`; the only external call site (CharacterRenderState.method2778) always passes -79 (<= -51), so that early-return is a confirmed decoy in practice. Otherwise delegates to SceneModelBuilder.method2499(plane=aByte6376, maxTileY=aShort8747, minTileY=aShort8750, height=method2394(true), minTileX=aShort8743, guard2=116.toByte(), maxTileX=aShort8751). SceneModelBuilder.method2499 is itself confirmed to mirror ActorEntity's already-named method125/isTerrainTileQuadConsistent machinery (it calls the same ActorEntity.method164 and ActorEntity.method1084 helpers), so this reads as the GroundDecorEntity-specific flavour of the same 'is this footprint's terrain geometry still projectable/consistent' check."
method2409,updateFootprintBounds,i: Byte,flag: Byte,medium,"Open hook, NOT part of the SceneEntity abstract API (no `override` keyword; SceneEntity declares no method2409). Base GroundDecorEntity implementation is a near no-op (`if (flag <= -109) anInt8746++`, just a call counter) - appropriate for static decor (MapElementDecor) whose tile-rectangle bounds are fixed at construction. Overridden by TrackedGroundDecor.method2409 and ProjectedGroundDecor.method2409, both of which recompute aShort8743/aShort8747/aShort8750/aShort8751 (the same tile-rectangle bounds documented in the <init> note) from the entity's current floating-point/world position - confirmed by Client.kt's method115, which calls `player.method2409(...)`/`npc.method2409(...)` (where `player`/`npc` are actually ModelGroundDecor/SequencedGroundDecor instances representing rendered actor billboards, both GroundDecorEntity subclasses) immediately before reading those same 4 short fields to cull/LOD them against the loaded scene."
method2384,collectFootprintTileShapes,"class348_sub1s: Array<AbstractTileShape?>?, i: Int","outShapes: Array<AbstractTileShape?>?, unused: Int",medium,"Override of abstract SceneEntity.method2384 - kept consistent with the name assigned in ActorEntity.csv for the same abstract method. Inlines the same per-tile scan pattern as SceneEntity's own concrete helper method2390 (packed 16-bit indices into SceneEntity.aSoundEnvelopeArray5993 stored in SceneEntity.aLongArrayArrayArray10431[plane][x][y]) across this entity's full tile-rectangle footprint, deduplicating against shapes already collected, capped at 4 entries. When diagonalOrientation(aByte8745) != 0, runs a second pass that also pulls in AbstractTileShape entries from one adjacent neighbour tile (selected by comparing the footprint's diagonal extents, branching on aByte8745==1 vs other) and removes any that duplicate ones already found on the primary edge - i.e. avoids double-counting a shared wall/boundary shape between this decor's tile and its diagonal neighbour. `unused` (2nd param) only feeds a discarded expression `17 % ((unused - -14)/61)`; the sole call site (WidgetTextConfig.kt:285, shared with ActorEntity's implementation) always passes the literal 49 - confirmed decoy, and matches ActorEntity.csv's note about the same call site/parameter."
method2408,nextTileTextureSequenceId,i: Byte,unused: Byte,low,"Companion, SEMANTICALLY UNRELATED to ground decor - decompiler-merged grab-bag content (see refactor-notes/PLAN.md's note on this pattern). Returns and increments `TileTextureNode.anInt9411`, a counter belonging to an entirely different class. The unused-decoy expression `-71 % ((-2 - unused)/44)` is discarded. Only invocation anywhere in the repo is the internal decoy call from method2412 (`if (bool != true) method2408(-121.toByte())`, itself gated on a param that's never observed false and whose return value is discarded), so this method has no confirmed live external callers - name/role is a best-effort placeholder."
method2410,hasMatchingChatHistoryEntryForWidget,"i: Byte, i_5_: Int, i_6_: Int","guard: Byte, senderFilterId: Int, packedWidgetId: Int",low,"Companion, SEMANTICALLY UNRELATED to ground decor - decompiler-merged grab-bag content (see method2408 note); this is a chat/interface helper. Confirmed call site is ChatCommandProcessor.kt's CS2 opcode 5428 handler (`GroundDecorEntity.method2410((-49).toByte(), i_123_, i_122_)`, result pushed back onto the VM stack as 0/1) - consistent with refactor-notes/PLAN.md's note that ChatCommandProcessor.kt is the CS2 bytecode VM. `packedWidgetId` is unpacked as `(id shr 16, id and 0xffff)` to index WarpTextureNode.aWidgetComponentArrayArray9427[group][child] (itself grab-bag-merged, almost certainly Client's actual widget-component tree). Walks SourceRowTextureNode.aNodeDeque_9111 (a queue of ContactEntry nodes - see ContactEntry.kt) looking for an entry whose anInt9608 'message kind' is one of {6,1011,13,18,16} and, depending on whether senderFilterId==-1 and the widget's own anInt774==0, either matches by the widget component's id (anInt830) or by a specific sender id (anInt9602) - reads as 'does this chat-linked interface widget have a pending/matching chat-history entry to show', but the exact chat feature (e.g. a tab notification dot) was not conclusively identified. `guard` is only used as `if (guard >= -21) return true`; the only call site passes -49 (< -21), so the early-return never fires in practice (kept as a real, not confirmed-decoy, check)."
method2411,resolveTexGenModeForLightCamera,"cameraNodeList: CameraNodeList?, i: Int","cameraNodeList: CameraNodeList?, unused: Int",medium,"Companion, SEMANTICALLY UNRELATED to ground decor - decompiler-merged grab-bag content (see method2408 note); a GL texture-coordinate-generation helper. Only call site is GlRenderDevice.method3871 (`glTexGeni(GL_S/T/R, GL_TEXTURE_GEN_MODE, method2411(cameraNodeList, 25602))`), which uses the returned GL enum (9216/34065/34066) to pick a texgen mode depending on which known singleton CameraNodeList is passed (NativeShaderProgram.aCameraNodeList_9773, ItemModelDefinition.aCameraNodeList_430, or NpcDefinitionCache.aCameraNodeList_3314 - each representing a distinct light/reflection camera elsewhere in the renderer), throwing IllegalArgumentException for anything else. D3dRenderDevice.kt has a structurally identical switch (returning 65536/131072/196608 instead) confirming this is a backend-specific enum-selection helper, not gameplay logic. `unused` (2nd param, always 25602 at the only call site) is never read in the body - confirmed decoy."
method2412,clearStaticCaches,bool: Boolean,silent: Boolean,medium,"Companion. Nulls aJs5Archive_8755, InboundPacketHeader.aInboundPacketHeader_8756 and aNodeDeque_8744 (this class's own Js5 archive/network/queue caches - the one companion method in this file that is plausibly on-topic for GroundDecorEntity, e.g. a logout/area-unload cleanup). `if (silent != true) method2408((-121).toByte())` calls into the unrelated grab-bag method2408 and discards its result - a confirmed decoy side effect, not a meaningful dependency. No confirmed call sites were found elsewhere in the repo, so the exact caller context (and thus certainty on `silent`'s real meaning) is unconfirmed - named by analogy with the many other 'disposeOnLogout'-style clear-statics methods seen throughout this codebase."
method2413,readVariableWidthPacketValue,"i: Int, class348_sub49_sub2: CipheredPacketBuffer","unused: Int, buffer: CipheredPacketBuffer",medium,"Companion, SEMANTICALLY UNRELATED to ground decor - decompiler-merged grab-bag content (see method2408 note); a packet-decoding helper. All 4 call sites are in ConstantColourTextureNode.kt (unrelated class), which is itself decoding some serialized structure from a CipheredPacketBuffer. Reads a 2-bit type selector from the buffer, then reads a value of width 0/5/11/8 bits depending on that selector (0/1/2/other) - a classic compact variable-width integer encoding. `unused` (1st param) has no effect on the decoded return value; its only effect is `if (unused != 1) aNodeDeque_8744 = null` (clearing this class's own queue field as a side effect) - 3 of the 4 call sites pass the literal 1 (making that branch dead there), but one passes `i + 21479` (a runtime-computed value, so not confirmed as a universal decoy across all call sites)."
