current_name,recommended_name,current_params,recommended_params,confidence,notes
method2566,drawTextWithPerCharOffsets,"abstractModelRenderers: Array<AbstractModelRenderer?>?, `is`: IntArray?, i: Int, is_0_: IntArray?, is_1_: IntArray?, i_2_: Int, string: String?, i_3_: Int","inlineImages: Array<AbstractModelRenderer?>?, xOffsets: IntArray?, x: Int, imgYOffsets: IntArray?, yOffsets: IntArray?, y: Int, text: String?, modeGate: Int",medium,"Private glyph-loop that parses inline rich-text tags (<lt>,<gt>,<nbsp>,<shy>,<times>,<euro>,<copy>,<reg>,<img=n>) out of `text` and draws each remaining char via the abstract fa() method (main colour + optional shadow), advancing the cursor by per-char kerning plus optional per-char x/y jitter arrays (xOffsets/yOffsets) - used by the 'special effect' text drawers (wave/stagger). Body only executes when modeGate==174; every call site passes the literal 174, so this looks like a vestigial mode selector rather than a real runtime branch. Near-duplicate of method2583 (drawText) which lacks the per-char offset arrays."
method2567,drawString,"i: Int, string: String?, i_17_: Byte, i_18_: Int, i_19_: Int, i_20_: Int, abstractModelRenderers: Array<AbstractModelRenderer?>?, `is`: IntArray?","x: Int, text: String?, gate: Byte, y: Int, mainColour: Int, shadowColour: Int, inlineImages: Array<AbstractModelRenderer?>?, unused: IntArray?",medium,"Sets colour state via method2579(shadowColour, -78, mainColour) then draws the string with method2583. Body only runs when gate>114 - every call is expected to pass a fixed sentinel byte, likely another vestigial mode gate."
method2568,drawWrappedText,"`is`: IntArray?, i: Int, i_21_: Byte, var_sprite: Sprite?, i_22_: Int, abstractModelRenderers: Array<AbstractModelRenderer?>?, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int, string: String?, i_27_: Int, i_28_: Int, i_29_: Int, i_30_: Int, i_31_: Int, i_32_: Int",unused: IntArray?, maxWidth: Int, gate: Byte, sprite: Sprite?, y: Int, inlineImages: Array<AbstractModelRenderer?>?, colour: Int, x: Int, boxWidth: Int, alignMode: Int, text: String?, xOffset: Int, yOffset: Int, justifyMode: Int, unusedTag: Int, startLine: Int, lineHeight: Int,medium,"Core multi-line text layout routine: splits `text` into wrapped lines (via aFontDefinition_4063.method1188), optionally truncates to a specific line (startLine), computes the first-line Y based on alignMode (0=top/baseline variants, 1=center, 2=bottom, else=auto-fit shrinking lineHeight to fit boxWidth), then draws each line via method2583 with per-alignment X offset (justifyMode 0=left,1=center,2=right,3=justified via method2580). Returns the number of lines rendered. Classic 'draw wrapped/aligned paragraph' method - RS's canonical multi-line text renderer."
fa,drawGlyph,"c: Char, i: Int, i_39_: Int, i_40_: Int, bool: Boolean","c: Char, x: Int, y: Int, colour: Int, isShadow: Boolean",high,"Abstract single-character draw primitive; every caller invokes it twice per visible char - once with the shadow colour offset by (+1,+1) and isShadow=true, once with the main colour and isShadow=false - a standard drop-shadow text rendering pattern."
method2569,drawCenteredString,"string: String?, i: Int, i_41_: Int, i_42_: Int, i_43_: Int, i_44_: Int","text: String?, x: Int, y: Int, boxWidth: Int, gate: Int, colour: Int",low,"Sets colour then draws `text` horizontally centered within boxWidth via method2583. Contains a dead/decoy branch: `if (i_43_ >= -119) method2571(-128,-30,null,null,...)` calls the staggered-text drawer with a hard-coded null string, which method2571 immediately no-ops on (returns 0 when string==null) - this call has no observable effect and looks like leftover obfuscator dead code."
method2571,drawStaggeredText,"i: Int, i_48_: Int, `is`: IntArray?, string: String?, i_49_: Int, i_50_: Int, abstractModelRenderers: Array<AbstractModelRenderer?>?, i_51_: Int, i_52_: Int, random: Random?","unusedFlag: Int, seed: Int, xOffsets: IntArray?, text: String?, colour: Int, shadowColour: Int, inlineImages: Array<AbstractModelRenderer?>?, y: Int, x: Int, random: Random?",medium,"Seeds `random` with `seed`, computes a per-character vertical stagger array (each char has ~25% chance to bump down one pixel row, cumulative), sets a randomized alpha (192-223) blended into colours via method2579, then draws via method2566. Produces a jittery/degraded text effect (used for e.g. distorted overlay text). Returns the max stagger amount reached."
method2573,applyInlineTextTag,"i: Byte, string: String","gate: Byte, tag: String",high,"Parses a single extracted inline tag (`col=`,`/col`,`argb=`,`/argb`,`str`,`/str`,`u=`,`u`,`/u`,`shad=`,`shad`,`/shad`,`br`) and mutates the shared colour-state statics (ParamMap.anInt9492 main colour, ConnectionStateRefs.anInt320 shadow colour, Player.anInt10567 strikethrough colour, DirectionalStripeTextureNode.anInt9101 underline colour) accordingly - classic BBCode-like inline markup handler for RS chat/interface text."
method2574,drawWaveText,"i: Int, i_58_: Int, string: String?, i_59_: Int, i_60_: Int, i_61_: Int, bool: Boolean","x: Int, y: Int, text: String?, colour: Int, mainColour: Int, phase: Int, resetRenderer: Boolean",medium,"Centers `text` and draws it with a per-character vertical sine-wave offset (5*sin(charIndex/2 + phase/5)) via method2566 with modeGate 174 - a wavy/animated text effect. `resetRenderer` nulls aRenderer4048 when true which looks like a side-effecting cache-clear tucked into a draw call - worth double-checking call sites don't rely on that as intentional."
method2575,drawCenteredStringSimple,"i: Byte, i_64_: Int, i_65_: Int, string: String?, i_66_: Int, i_67_: Int","gate: Byte, colour: Int, y: Int, text: String?, x: Int, boxWidth: Int",low,"Sets colour then draws `text` centered within boxWidth at (x,y) via method2583 (no per-char effect, unlike method2569/2577). Computes an unused local `i_68_ = 7 % ((66 - gate) / 44)` - dead code."
method2576,drawStringAtGated,"string: String?, i: Int, i_69_: Int, i_70_: Int, i_71_: Int, i_72_: Int","text: String?, x: Int, y: Int, xOffset: Int, colour: Int, gate: Int",low,"Only executes when gate<=-108 (every call site apparently passes the same sentinel, so likely a vestigial gate) - sets colour then draws `text` plainly at (x,y) offset by xOffset via method2583."
