current_name,recommended_name,current_params,recommended_params,confidence,notes
method2442,checkNpcTypeFlag,i: Int,decoyCode: Int,"→ Boolean",low,"Private. Returns aNpcType_10505.aBoolean1396 (decoy sets anInt10499=-103 if decoyCode != 1810797122). Passed as the 'bool' arg into ChatMessageStream.method136 when building a SceneEntityModel in method2386 - purpose of the single NpcType boolean flag not independently confirmed."
method2380,mergeAdjacentEntityModel,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_6_: Int, i_7_: Byte, i_8_: Int","renderer: Renderer?, decoyCode: Int, flag: Boolean, other: SceneEntity?, offset: Int, decoyByte: Byte, extra: Int",medium,"Overrides an ActorEntity/ProjectedGroundDecor render-merge method. This implementation unconditionally throws IllegalStateException - i.e. Npc does not support this operation. Cross-referenced against NpcActorEntity.method2380 (same signature, different class) which DOES implement real 'blend cached model with an adjacent NpcActorEntity/ModelGroundDecor' logic via AbstractModel.method613 - suggesting Npc (the ground-decor-style variant) simply isn't expected to receive this call and the override exists only to satisfy the abstract contract loudly."
method2392,setHighDetailFlag,bool: Boolean,enabled: Boolean,low,"Overrides a base entity method. Always throws IllegalStateException (Npc doesn't support this operation); cross-referenced against NpcActorEntity.method2392 in this same batch, which really does clear a 0x10000 model detail bit based on this boolean."
method2391,hitTestModel,"var_renderer: Renderer?, i: Int, i_9_: Int, i_10_: Int","renderer: Renderer?, screenX: Int, screenY: Int, decoyCode: Int","→ Boolean",medium,"Sets up the model transform via aCompassSmoother_10217/method895/method891, then iterates the 3 cached model layers (aAbstractModelArray10323) calling AbstractModel.method623/method628 (branch chosen by ParticleSystemRenderer.aBoolean3870) with (screenX, screenY) - classic mouse-picking/hit-test-against-model pattern, returns true on first hit."
method2443,queueMovementStep,"i: Int, i_15_: Int, i_16_: Int","direction: Int, facing: Int, maxHistory: Int",high,"Applies one of 8 compass-direction (0-7) coordinate deltas to the last queued tile position (anIntArray10320/anIntArray10317), clears expired hint-icon/map-element references, then shifts the position history ring buffers (anIntArray10320, anIntArray10317, aByteArray10321) right by one and inserts the new (x,z,facing) at index 0 - the classic RS NPC movement-queue push used to drive walk animation interpolation."
method2386,buildRenderModel,"i: Int, var_renderer: Renderer?","priority: Int, renderer: Renderer?","→ SceneEntityModel?",medium,"Large method: computes a smoothed vertical offset (anInt10274, decayed toward a target height from the collision grid), builds a base pose transform, optionally builds and renders a chat/hint overhead icon model via LinkedListNodeStatics.method2711 when conditions are met, then combines all 3 cached model layers (aAbstractModelArray10323) into a SceneEntityModel via method2432/ChatMessageStream.method136 - the main 'get this NPC's renderable composite model for this frame' entry point."
method2421,getModelSize,i: Byte,decoyCode: Byte,"→ Int",low,"Returns aNpcType_10505's config-resolved variant size (anInt1366) if a multi-config exists, else the base anInt1366 directly - likely the NPC's tile-footprint size."
method2393,getCombatLevelOrStat,i: Int,decoyCode: Int,"→ Int",low,"Returns aNpcType_10505.anInt1337 (0 if no npc type set) - purpose of this NpcType stat not independently confirmed; kept generic given uncertainty."
method2444,processMovementUpdate,"i: Int, bool: Boolean, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int","plane: Int, isTeleport: Boolean, tileX: Int, moveFlags: Int, subTileOffset: Int, planeByte: Int",high,"Sets plane/aByte6376, expires hint-icon/map-element references (same pattern as method2443), then compares the new (tileX,plane) against the last queued position: if within an 8-tile threshold and not a teleport, pushes a smooth movement-queue step (same ring-buffer shift as method2443, marked as a genuine step via aByteArray10321[0]=1); otherwise resets the movement history entirely and, when moveFlags>=91, snaps x/y directly to the new tile (a teleport/instant-reposition path)."
method2381,getCircleHitbox,"var_renderer: Renderer?, i: Int","renderer: Renderer?, decoyCode: Int","→ CircleHitbox?",low,"Always returns null in this class - contrast with NpcActorEntity.method2381 in this same batch, which lazily builds a real CircleHitbox. Npc (the ground-decor-style variant) appears not to support circle-hitbox picking."
