current_name,recommended_name,current_params,recommended_params,confidence,notes
method3209,recolorAllHsl,bool: Boolean,decoyFlag: Boolean,"medium","Iterates anIntArray9566 (a per-fragment color array) applying WhirlpoolHash.method2057(color, 32768) to each entry — that helper elsewhere is used as an HSL adjust/brightness recolor utility, so this looks like 'recolor all text-fragment colors'. bool only sets a companion counter flag as a decoy."
method3210,writeSubGraphicIds,"i: Byte, is: IntArray?, class348_sub49: ByteBuffer?","decoyByte: Byte, values: IntArray?, buffer: ByteBuffer?","medium","For each fragment index with a positive anInt1945 (from the RectangleRegion returned by method3212), writes values[i] into the buffer via method3357. Wrapped in a labeled do/while(false) purely for structured early-exit, and a try/catch that rethrows via TextureLoadException.method2929 with a decompiled-signature debug string ('td.C(...)') — cosmetic JODE artifact, not logic."
method3212,getSubGraphicRegion,"i: Int, i_4_: Int","decoyInt: Int, index: Int","medium","Returns method2752(anIntArray9574[index], 0) cast/typed as RectangleRegion? — anIntArray9574 holds per-fragment sub-graphic/sprite ids referenced by this parameterized text, so this resolves the region/bounds for fragment `index`. i!=0 nulls anIntArray9572 as a side effect (looks like a decoy/reset, unrelated to the return value)."
method3213,getFragmentParam,"i: Int, i_5_: Int, bool: Boolean","paramIndex: Int, fragmentIndex: Int, decoyFlag: Boolean","medium","Bounds-checks and returns anIntArrayArray9565[fragmentIndex][paramIndex], i.e. a per-fragment parameter value used later when formatting the final string (see method3216). bool!=true triggers a decoy recursive call to itself with fixed args."
method3214,decodeOpcode,"i: Int, class348_sub49: ByteBuffer, i_6_: Int","opcode: Int, buffer: ByteBuffer, subOpcode: Int","high","Only runs when subOpcode==60 (fixed by the caller). opcode 1: reads a text-fragment array via TurbulenceTextureNode.method3113 (string array init). opcode 2: reads anIntArray9566 (color-per-slot array). opcode 3: reads anIntArrayArray9565/anIntArray9574 — per-fragment sub-graphic id plus its param array sized from the resolved region's anInt1944. opcode 4: sets aBoolean9562=false. Standard RS-style parameterized-text config decode."
method3215,getSubGraphicCount,i: Byte,decoyByte: Byte,"high","Returns anIntArray9574?.size ?: 0 — count of referenced sub-graphics/fragments. i>-32 nulls anIntArray9566 as a decoy side effect."
method3216,buildFormattedString,"class348_sub49: ByteBuffer, i: Byte","buffer: ByteBuffer, decoyByte: Byte","high","Builds the final display string by concatenating aStringArray9564 text fragments interleaved with formatted values from aCompiledScriptCache_9567.method3472 (script-based number/param formatter), using anIntArrayArray9565 as the per-fragment args and method3212 for the region — this is the core 'parameterized text' rendering/formatting method (e.g. '<amount> gold' style templated strings)."
method3218,decode,"class348_sub49: ByteBuffer, i: Int","buffer: ByteBuffer, decoyInt: Int","high","Standard opcode-loop decoder calling method3214(decodeOpcode) with fixed subOpcode 60 until a 0 terminator byte (XORed with 0xff, i.e. reads a byte and compares to 0xff) is seen. i!=0 triggers a decoy call to Companion.method3217."
method3219,joinFragmentsDebug,i: Int,decoyInt: Int,"medium","Joins aStringArray9564 entries with a literal '...' separator — looks like a debug/fallback stringification rather than the real templated output (compare to method3216 which does proper param substitution). i<66 nulls aStringArray9564 as a decoy side effect before use, which would make the method return '' — likely never hit at real call sites."
method3211,resetClientLoadState,i: Byte,decoyByte: Byte,"low","Companion/static method whose body clears a large grab-bag of unrelated statics (RegionSceneLoader, InboundPacketHeader x3, CircleRasterizer, HslAdjustTextureNode, MinimapShapeDrawer, ByteArrayPool, HostPingThread, MinimapSpriteRenderer) plus calls NpcType.aClient1367.method83(true) and method2296 (ParticleSystemRenderer's hint-arrow-message clear) — this reads like a full client teardown/logout routine, not anything about parameterized text. Flagging as decompiler-merged content per PLAN.md guidance."
method3217,clearCircleRasterizerCache,i: Byte,decoyByte: Byte,"low","Nulls aCircleRasterizer_9571 and anIntArray9572 (a small constant table 16/32/64/128, unrelated to parameterized-text fields). i.toInt()!=61 triggers the unrelated method3211 client-teardown call. Another likely decompiler-merged/unrelated companion member."
