current_name,recommended_name,current_params,recommended_params,confidence,notes
method8,areIconsLoaded,i: Byte,decoyByte: Byte,high,"Override of WorldMapElement.method8 (an 'is this element's resources loaded' check). Calls super.method8 first, then checks six additional icon/model resource ids (anInt8599/8595/8603/8602/8600/8597, all read from the WorldMapIconLabel) against aJs5Archive_4632.method421 -- true only once every sub-icon archive entry is available. The `i_1_ = 47 / ((25 - i) / 52)` local is a discarded decoy computation."
method186,renderIconAt,"i: Int, i_3_: Int, i_4_: Byte, i_5_: Int, i_6_: Int","x: Int, y: Int, decoyByte: Byte, drawX: Int, drawWidth: Int",medium,"`open` (overridden again in ProportionalScrollbarComponent.kt, confirming it's a template method). Draws aAbstractModelRenderer_8350 at (drawX,x,drawWidth,y) via method972, then if `decoyByte<=21` re-invokes areIconsLoaded/method8 as a side-effecting resource check (result discarded) -- called from renderProgressBar/method182 to paint the filled portion of what looks like a progress/scroll fill icon."
method178,renderCornerIcons,"i: Int, bool: Boolean, i_27_: Byte, i_28_: Int","x: Int, y: Int, decoyByte: Byte, drawFlag: Boolean",medium,"Abstract override of WorldMapElement.method178, invoked from the base class's method9 render entry point. When `drawFlag` is true, saves/restores the renderer clip rect (FacingDirectionNode.aRenderer6654.K/KA) and positions four corner icon renderers (aAbstractModelRenderer_8342/8339/8343/8338) around the label's width/height (aWorldMapLabel_4635.anInt4971/anInt4963) -- reads as drawing a 4-piece bordered icon frame around the widget bounds. Parameter order/semantics for (i, i_27_) inferred structurally from base class WorldMapElement.method9's call `method178(i_13_, bool, (-84).toByte(), i_14_)` where i_13_/i_14_ are screen x/y."
method182,renderProgressBar,"i: Int, i_35_: Int, i_36_: Int, bool: Boolean","loadProgressArg: Int, x: Int, y: Int, drawFill: Boolean",medium,"Abstract override of WorldMapElement.method182. Computes a fill boundary `i_44_` as `method183(124) * width / 10000` -- method183 in WorldMapElement.csv-equivalent context returns a 0-10000 resource-load-progress percentage, so this scales the icon-frame width by load progress. Clips and draws the filled portion via renderIconAt/method186 and the unfilled remainder via aAbstractModelRenderer_8347, i.e. a scrollbar/progress-bar-style partial reveal of the icon based on how much of something (a map region archive?) has finished loading."
method7,loadIconModels,i: Int,lifecycleStage: Int,medium,"Override of WorldMapElement.method7 (a lifecycle callback gated in the base class on `lifecycleStage==10286`). This override calls super.method7 (preserving the base's gated font-loading behaviour) but then unconditionally reloads all six corner/fill icon renderers (aAbstractModelRenderer_8350/8347/8342/8339/8343/8338) via WorldMapPolygonIconLabel.method3577 regardless of `lifecycleStage` -- i.e. this subclass's icon (re)load isn't gated the same way the base class's font load is."
method184,getLoadingScreenImageIds,i: Int,decoyOrStage: Int,low,"Companion/static, content unrelated to ScrollbarComponent (decompiler-merged statics, per PLAN.md pattern) -- returns a 3-int array `[ConnectionStateType.anInt1044, WidgetDefinition.anInt235, DualMaterialContainer.anInt3736]` consumed by ClientLoadStateMachine.kt's `LoadingScreenImageNode.method3178(...)` calls, i.e. looks like a (connection-state, widget-id, material-id) triple selecting which loading-screen image/label to show. One call site passes the exact literal 1084489728 that satisfies the `!=` guard as false (dead branch there); the other passes a runtime-derived xor'd value, so whether method189's reset ever fires from that call site is unconfirmed."
method185,toUnsignedByteValue,"i: Int, i_2_: Byte","value: Int, decoyByte: Byte",medium,"Companion/static; masks `value and 0xff`. Only external call site is SeqDefinitionCache.kt (`ScrollbarComponent.method185(i_0_, (-90).toByte())`), feeding the result as one of several sub-file-id-style arguments to a Js5Archive lookup -- consistent with normalizing a signed byte/short into an unsigned 0-255 value for archive addressing. `decoyByte>0` sets the unrelated companion field anInt8352=48 as a side effect."
method187,canReachTile,"i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int, collisionMap: CollisionMap, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int","targetX: Int, targetY: Int, srcY: Int, width: Int, approachMode: Int, size: Int, collisionMap: CollisionMap, shape: Int, height: Int, srcX: Int, decoyFlag: Int",medium,"Companion/static. Same breadth-first flood-fill reachability family documented in MapAreaDefinition.csv's `method1420`/`canReachTile` and SeqDefinitionCache.kt's near-identical `method2007` -- confirmed by CompositeRgbNoiseTexture.csv's `method574` ('findRouteToTarget') dispatch table, which routes `mode==1` specifically to this method. Uses the same shared BFS scratch grids (RenderNodeStatics.anIntArrayArray9723, ProjectileFactory.anIntArrayArray2900, GlGroundShaderPass.anIntArray7397/CircleDrawer.anIntArray2694) and delegates neighbour checks to collisionMap.method3495/3497/3503/3504 plus TwoStateOptionState.method1842, exactly mirroring the sibling implementations. The BFS start point is (srcX=i_14_, srcY=i_8_) and it returns true on reaching (targetX=i, targetY=i_7_). Trailing parameter is confirmed decoy: the sole call site (CompositeRgbNoiseTexture.kt) always passes the literal 1109655552, matching the `!=` guard so the branch (`aBoolean8335=false`) never fires. Entirely unrelated to ScrollbarComponent's own rendering fields -- another merged-companion artifact."
method188,getScriptOpcodeConfigIds,i: Byte,decoyByte: Byte,medium,"Companion/static, content unrelated to ScrollbarComponent -- returns a 14-element array of ScriptOpcodeHolder.aConfigIdPair_* statics. Confirmed merged-content artifact: the only call site is inside ScriptOpcodeHolder.kt itself (`ScrollbarComponent.method188(59.toByte())`), i.e. ScriptOpcodeHolder's own opcode/config-id table ended up declared on this class's companion by the decompiler. The `i_34_ = -7 / ((-67 - i) / 44)` local is a discarded decoy expression."
method189,clearIconAlignmentCache,i: Byte,decoyByte: Byte,medium,"Companion/static; nulls aScreenAnchorAlignment_8344, a shared ScreenAnchorAlignment sentinel referenced by identity elsewhere (ScreenAnchorAlignment.kt checks `== this`, HeapInfoRecord.kt bundles it into an alignment array) -- looks like a 'default/none' alignment singleton being reset. `decoyByte<112` additionally pokes the unrelated companion field anInt8352=-87. Called from method184 (`if (i != 1084489728) method189(33)`) and directly from Client.kt (`method189(121.toByte())`)."
