current_name,recommended_name,current_params,recommended_params,confidence,notes
FA,rotatePitch,i: Int,angle: Int,high,"Abstract. SoftwareModel override rotates every vertex's (y,z) pair using SpotAnimVector sin/cos tables (anIntArray1207=sin, anIntArray1204=cos) shr 14 -- a rotation about the model's local X axis (pitch). Guarded by check((flags and 0x6)==6). Called from this class's own method626 (ground-alignment) after computing terrain-slope angles via atan2."
p,conformToTerrain,"i: Int, i_0_: Int, var_terrainTile: TerrainTile?, var_terrainTile_1_: TerrainTile?, i_2_: Int, i_3_: Int, i_4_: Int","mode: Int, unused0: Int, terrainTile: TerrainTile?, terrainTile2: TerrainTile?, x: Int, y: Int, z: Int",medium,"Abstract. SoftwareModel override: mode(i)==3 requires flags 0x7, else flags 0x2; computes the model's AABB shifted by x/z into tile-local space (using V()/RA()/HA()/G() bounds) and checks it against the TerrainTile's plane bounds before doing height-blend work using both terrain tiles -- looks like ground-conforming/height-blending for multi-tile objects (e.g. large scenery). Only the bounds-check prologue was traced; the y-param (i_3_) role beyond that point is unconfirmed."
method602,blendBoneTransforms,"i: Int, class348_sub33: AnimationFrameDefinition?, i_5_: Int, bool: Boolean, i_6_: Int, npcModelTransform: NpcModelTransform?, i_7_: Int, `is`: IntArray?, bools: BooleanArray?, npcModelTransform_8_: NpcModelTransform?, i_9_: Int, bool_10_: Boolean","frameId: Int, animFrameDef: AnimationFrameDefinition?, unusedI5: Int, mirrored: Boolean, blendWeight: Int, toPose: NpcModelTransform?, blendRatio: Int, vertexIndices: IntArray?, labelFilter: BooleanArray?, fromPose: NpcModelTransform?, transformMask: Int, useWholeModel: Boolean",low,"Private/concrete. Iterates every animation 'label' of fromPose/toPose (NpcModelTransform), decides per-label whether to pull data from fromPose, toPose, or interpolate between them by blendRatio/blendWeight, then delegates the actual coordinate math to method627. The local var i_17_ = -53 % ((i_5_-76)/41) is computed but never read afterward -- dead/decoy computation left by the obfuscator. Wraps body in try/catch rethrowing as TextureLoadException with a formatted arg dump (obfuscator artifact, ignore for naming)."
method603,applyAnimationFrameWithMask,"i: Byte, i_40_: Int, `is`: IntArray?, i_41_: Int, i_42_: Int, i_43_: Int, class348_sub42_sub17: TextureMaterialGroup?, i_44_: Int, class348_sub42_sub17_45_: TextureMaterialGroup?, bool: Boolean, i_46_: Int","unused: Byte, blendRatio: Int, vertexIndices: IntArray?, frameId: Int, frameGroupIndex: Int, altFrameGroupIndex: Int, altGroup: TextureMaterialGroup?, blendWeight: Int, group: TextureMaterialGroup?, mirrored: Boolean, transformMask: Int",medium,"Concrete. Looks up an NpcModelTransform entry from group by i_42_ (and optionally a matching one from altGroup by i_43_ sharing the same skeleton), then calls method602 to blend, followed by wa()/method621() bracketed by method622()/NA() gating. Part of the same animation-application family as method611/method617/method625 -- this variant is the only one that threads through an explicit int[] mask (`is`)."
method604,getWidgetRedrawRegions,,,high,Abstract trivial getter -- SoftwareModel override returns aWidgetRedrawRegionArray5335 directly with no logic.
C,setAmbient,i: Int,ambient: Int,high,"Abstract. SoftwareModel override: check((flags and 0x1000)==0x1000); stores into anInt5344 (read back by WA()). Confirmed via NpcConfig.kt: `int ambient = 64 + npcType.ambient; ...; if (ambient != model.WA()) model.C(ambient)` -- classic OSRS 'ambient light' NPC/model lighting parameter (baseline 64)."
method605,applyGroupTransform,"i: Int, `is`: IntArray, i_48_: Int, i_49_: Int, i_50_: Int, i_51_: Int, bool: Boolean","type: Int, groupIndices: IntArray, x: Int, y: Int, z: Int, angleOrFlags: Int, mirrored: Boolean",high,"Abstract. SoftwareModel override is a big switch on type (0=avg-centroid translate,1=translate,2=rotate via SpotAnimVector tables,3=scale /128,5=alpha blend into aByteArray5325,7=recolor HSL bit-packed into aShortArray5311,8=texture-UV translate,9=texture-UV rotate,10=texture-UV scale) applied to named vertex groups looked up via anIntArrayArray5334/5330/5379. This is the core per-animation-frame 'apply transform type T to vertex group G' dispatcher; called from method627 when the label mask is 0xffff (unfiltered)."
wa,finalizeTransform,,,high,"Abstract. SoftwareModel override: if the fixed-point flag (aBoolean5372) is set, rounds every vertex coordinate back down from 4-bit fixed-point (`(v+7) shr 4`) and clears the flag; if the recolor-dirty flag (aBoolean5380) is set, recomputes derived colors via a private helper. Called after every batch of vertex-mutating operations (H/O/FA/VA/a/k/method605/etc.) to commit the results."
I,applyGroupTransformFiltered,"i: Int, `is`: IntArray, i_59_: Int, i_60_: Int, i_61_: Int, bool: Boolean, i_62_: Int, is_63_: IntArray?","type: Int, groupIndices: IntArray, x: Int, y: Int, z: Int, mirrored: Boolean, labelMask: Int, outVertexIndices: IntArray?",high,"Abstract. Same dispatch table as method605 (confirmed by shared switch structure in SoftwareModel override, first ~150 lines mirror method605's cases) but additionally filters affected vertices by `(labelMask and aShortArray5333[vertex]) != 0` and can record touched indices into outVertexIndices. Selected by method627 when its label-mask argument is not 0xffff."
G,getMaxZ,,,high,"Abstract. SoftwareModel: lazily computes bounding box in private method655() (min/max of anIntArray5356=x, anIntArray5332=y, anIntArray5312=z) and caches into aShort5324/5329/5331/5348/5352/5365/5393/5395; G() returns aShort5331 = max Z."
NA,resetGroupPivot,,,medium,"Abstract, returns Boolean. SoftwareModel override: returns false if anIntArrayArray5334 (named vertex groups) is null, otherwise zeroes the group-pivot accumulator fields (anInt5338/5375/5342, the running x/y/z centroid used by method605's rotate case) and returns true. Effectively 'has vertex groups, and reset the pivot for the next rotate op'."
LA,setContrast,i: Int,contrast: Int,high,"Abstract. SoftwareModel: check((flags and 0x2000)==0x2000); stores into anInt5349 (read back by da()). Confirmed via NpcConfig.kt pairing with WA()/C(): `int contrast = 850 + npcType.contrast; if (contrast != model.da()) model.LA(contrast)` -- classic 'contrast' lighting parameter (baseline 850), used later as `screenWidth*768/anInt5349`-style perspective/shading scale."
method608,renderOccluded,"abstractCameraTransform: AbstractCameraTransform?, class318_sub3: SceneOcculder?, i: Int, i_71_: Int","camera: AbstractCameraTransform?, occulder: SceneOcculder?, offsetY: Int, priority: Int",medium,"Abstract. SoftwareModel override just delegates to a private method654(camera, occulder, offsetY, priority) that composes the camera matrix, computes screen-space bounds from the cached AABB, and (per anInt5387>=1 guard) walks faces for occlusion-aware drawing. Full body of method654 not exhaustively traced."
ua,getFlags,,,high,"Abstract. SoftwareModel: `return anInt5316`. Confirmed externally: GroundDecorSceneEntity.kt calls `model.s(0x10000.inv() and model.ua())` to clear one bit of the same flags field that s() writes -- ua()/s() are the getter/setter pair for the model's transform-capability flags bitmask (bits gate which of H/O/FA/VA/a/k/v/p are legal, checked via `check((flags and mask)==mask)` in every mutator)."
HA,getMinZ,,,high,Abstract. SoftwareModel: returns cached aShort5352 (min Z from method655's bounding-box scan). Companion to G()/getMaxZ.
ma,getBoundSphereRadius,,,high,"Abstract. SoftwareModel: returns cached aShort5348 = ceil(sqrt(max(x^2+y^2+z^2))) over all vertices in method655 -- the full 3D bounding-sphere radius (distinct from na(), which is the 2D x/z-only radius)."
F,hasDynamicMaterial,,,low,"Abstract, returns Boolean. SoftwareModel: `return aBoolean5382`. That field is set true when a face's texture-material entry has `anInt200==2` (some special render/animated-material type) during color/lighting setup, and gates a per-frame recolor recompute alongside `aIdentKitRecolorArray5361 != null`. Exact semantic (e.g. 'has animated texture' vs 'needs alpha blending') not conclusively identified -- name is a best guess."
