current_name,recommended_name,current_params,recommended_params,confidence,notes
MA,nativeInitRenderer,"var_renderConfig: RenderConfig?, i: Int, i_0_: Int","config: RenderConfig?, width: Int, height: Int",medium,"Private external called once from init: MA(aRenderConfig4579, 0, 0) during renderer bootstrap (after BlankTextureNode.method3098 checked the native lib 'sw3d' loaded)."
method3628,drawRectOutline,"i: Int, i_1_: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int","x: Int, y: Int, width: Int, height: Int, color: Int, alpha: Int",high,"Overrides Renderer.method3628. Body issues two U(...) calls (top/bottom horizontal edges, same width) and two P(...) calls (left/right vertical edges, same height) — draws a hollow rectangle border using the horizontal/vertical line primitives (see U/P below). Confirmed by comparing argument patterns: U is always called with matching y+length pairs forming the horizontal edges, P with matching x+length pairs forming the vertical edges."
ma,nativeSetCameraTransformNode,l: Long,cameraNativeId: Long,medium,"Private external backing method3638; called with (abstractCameraTransform as ja).nativeid."
method3697,createCircleRasterizerStub,"i: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int","a: Int, b: Int, c: Int, d: Int, e: Int, f: Int",high,"Overrides Renderer.method3697; body is `return null` — this renderer (SSE/CPU software) does not support circle rasterization."
method3651,setShaderProgram,var_shaderProgram: ShaderProgram?,shaderProgram: ShaderProgram?,high,"Overrides Renderer.method3651. Stores shaderProgram (cast to ya) into aYa5121 and forwards to native va(...)."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool)."
A,drawSprite,"i: Int, var_sprite: Sprite?, i_11_: Int, i_12_: Int","x: Int, sprite: Sprite?, y: Int, flag: Int",low,"External override of Renderer.A(i, Sprite?, i, i); no real-code Renderer wrapper found in this batch to confirm exact param order/purpose."
aa,fillRect,"i: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int, i_17_: Int","x: Int, y: Int, width: Int, height: Int, color: Int, alpha: Int",medium,"External override of Renderer.aa; called from Renderer.method3675 (real code) as `aa(x, y, i, w, h, 1)` guarded by an int-vs-magic-number check — same 5/6-int rectangle shape as the U/P line primitives, guessed as a filled-rectangle counterpart to drawRectOutline."
method3698,resetFrameBuffer,(none),(none),medium,"Overrides Renderer.method3698 with an empty body here. Cross-checked against OpenGlRenderer.method3698, which calls aGlFramebufferBlitter.method272(-53) (a reset/clear-style call) — this SSE renderer has nothing analogous to reset, hence the no-op."
method3707,presentDirtyRects,"rectangles: Array<Rectangle?>?, i: Int, i_18_: Int, i_19_: Int","rectangles: Array<Rectangle?>?, count: Int, width: Int, height: Int",high,"Overrides Renderer.method3707 (@Throws ClientException). Requires the active frame buffer (aP5137) non-null and forwards to p.method3434 (presentDirtyRects)."
method3708,supportsDirectCanvasBlit,(none),(none),medium,"Overrides Renderer.method3708; returns true here. Cross-referencing SoftwareRenderer.kt (also true) vs OpenGlRenderer.kt (false) suggests this flags whether the renderer can blit directly to an AWT Canvas without a GPU readback — true for CPU-based renderers, false for GL."
method3685,renderSceneNodesWithFlag,"nodeDequeHolder: NodeDequeHolder, i: Int","nodeDequeHolder: NodeDequeHolder, unusedFlag: Int",medium,"Overrides Renderer.method3685. Collects positioned-scene-node data via method3975(holder, false) then dispatches to a.method155 (renderPositionedSceneNodes) via method3973()'s current-thread worker. The `i` parameter is not used anywhere in the body — likely a decoy/unused flag."
method3676,drawBillboardQuadStub,"i: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int, i_27_: Int, i_28_: Int, i_29_: Int, i_30_: Int, i_31_: Int",(13 ints, unchanged),medium,"Overrides Renderer.method3676 with an empty body. OpenGlRenderer's real implementation of the same abstract method issues glBegin(GL_QUADS)/glColor4ub/glVertex3f calls with one of the ints treated as an ARGB colour and 3 as (x,y,z) — i.e. draws a coloured 3D quad/billboard. This SSE renderer doesn't implement it (no-op)."
method3663,onFrameTick,(none),(none),low,"Overrides Renderer.method3663 with an empty body; OpenGlRenderer's counterpart is also nearly a no-op (just increments a counter), so this is likely a per-frame tick hook with no CPU-renderer-specific work needed."
method3691,createTextureFromSpriteImage,"spriteImage: SpriteImage?, bool: Boolean","spriteImage: SpriteImage?, flag: Boolean",high,"Overrides Renderer.method3691. Builds a j (AbstractModelRenderer) directly from a SpriteImage's palette/pixel/alpha fields, then calls method985 (setBounds) with the image's crop offsets — used for inline `<img=>` glyphs in RSFont and other icon rendering."
HA,drawImageData,"i: Int, i_32_: Int, i_33_: Int, i_34_: Int, `is`: IntArray?","x: Int, y: Int, width: Int, height: Int, data: IntArray?",low,"External override of Renderer.HA; no real-code wrapper found in this batch to confirm exact semantics beyond the generic x/y/w/h + data-array shape."
method3710,finalizeFrameSync,(none),(none),low,"Overrides Renderer.method3710 with an empty body. OpenGlRenderer's real implementation syncs a framebuffer blitter object and invalidates its texture cache when a sync object is ready — this SSE renderer has no such GPU sync step."
AA,nativeUploadMaterial,"i: Short, i_35_: Short, i_36_: Int, i_37_: Byte, i_38_: Byte, i_39_: Int, bool: Boolean, i_40_: Byte, i_41_: Byte, i_42_: Byte, i_43_: Byte, bool_44_: Boolean, bool_45_: Boolean, bool_46_: Boolean, bool_47_: Boolean, bool_48_: Boolean, i_49_: Byte, bool_50_: Boolean, bool_51_: Boolean, i_52_: Int","materialId: Short, ...20 material property fields (colours/flags) unchanged...",medium,"Private external backing the private helper c(materialId: Short): Boolean, which looks up a texture/material config object (class12, via aRenderConfig4579.method3) and forwards essentially all of its fields (aShort208, anInt200, aByte213/202, anInt206, aBoolean199, aByte201/216/198/211, five aBoolean fields, aByte205, two more aBoolean fields, anInt203) — i.e. registers/uploads a material definition's render properties to the native renderer."
method3696,unsupportedOperation,i: Int,i: Int,high,"Overrides Renderer.method3696; body is `throw IllegalStateException()` — explicitly unsupported on this renderer."
H,drawImageFromArray,"i: Int, i_53_: Int, i_54_: Int, `is`: IntArray?","x: Int, y: Int, mode: Int, data: IntArray?",low,"External override of Renderer.H; no real-code wrapper found to confirm exact semantics."
g,forceGarbageCollect,(none),(none),high,"Private helper: calls System.gc(), System.runFinalization(), and RequestGate.method1948((-33).toByte()) — an explicit GC + native-finalizer-queue flush, invoked from method3652 (shutdownRenderer)."
b,nativeOperationWithScale,"i: Int, i_55_: Int, i_56_: Int, i_57_: Int, d: Double","a: Int, b: Int, c: Int, d: Int, scale: Double",low,"External override of Renderer.b, the only abstract method taking a Double — likely a scale/gamma/zoom-style parameter, but no real-code wrapper exists in Renderer.kt to confirm exact purpose."
method3700,setDisplayEffectParams,"f: Float, f_58_: Float, f_59_: Float","brightness: Float, saturation: Float, fogDistance: Float",medium,"Overrides Renderer.method3700 with an empty body here. OpenGlRenderer's real implementation sets GrayscaleEffect.aFloat9204, ActiveMapRegion.aFloat5654 and DetailLevelOptionState.aFloat6120 from these three floats — global display/quality effect parameters; this SSE renderer doesn't act on them."
method3686,createFont,"fontDefinition: FontDefinition?, spriteImages: Array<SpriteImage>?, bool: Boolean","fontDefinition: FontDefinition?, spriteImages: Array<SpriteImage>?, isMono: Boolean",high,"Overrides Renderer.method3686. Packs glyph width/height arrays from spriteImages and, depending on isMono, returns h(...) (NativeFontRenderer, mono/alpha glyphs) or n(...) (NativeFontRendererAlt, paletted glyphs) — see h.csv/n.csv."
wa,nativeDrawShape6i,"i: Int, i_62_: Int, i_63_: Int, i_64_: Int, i_65_: Int, i_66_: Int","a: Int, b: Int, c: Int, d: Int, e: Int, f: Int",low,"Private external backing method3709; 6-int draw primitive, exact semantics unconfirmed (no real Renderer.kt wrapper body)."
method3644,isAccelerated,(none),(none),medium,"Overrides Renderer.method3644; returns true here and in OpenGlRenderer, but false in the plain SoftwareRenderer.kt baseline — suggests this flags whether the renderer uses accelerated (SIMD/GPU) code paths as opposed to a naive reference implementation."
method3973,getWorkerForCurrentThread,(none),(none),high,"Scans anAArray5143 (the a/NativeRenderWorker pool) for the entry whose aRunnable5112 (owning thread marker) equals Thread.currentThread(), returning it or null. Used pervasively as the entry point for dispatching per-model/per-terrain-tile native draw calls to the correct thread's worker."
t,nativeSetActiveFrameBuffer,var_p: p?,frameBuffer: p?,medium,"Private external backing method3677 (setActiveFrameBuffer)."
method3705,getBaseTransform,(none),(none),high,"Overrides Renderer.method3705; returns aAbstractCameraTransform_5131, which is set once in init to a fresh identity ja() and never reassigned afterward — the renderer's fixed/base transform, as distinct from method3640's mutable 'active' transform (aAbstractCameraTransform_5125)."
WA,generateProceduralMaterial,i: Short,materialId: Short,medium,"Private helper (returns Boolean): looks up a render-config material (class12) and, depending on class12.anInt200, calls RenderConfig.method5 or method6 (passing constants like 0.7f, 128) to procedurally generate texture data, then uploads it via CA(...). Distinct from c(i) which registers an existing/static material — this one generates one (e.g. noise-based) on demand."
