current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,oggstreamstate: OggStreamState,oggStreamState: OggStreamState,high,"Constructs the base OggBitstreamDecoder with the given stream state, then allocates a fresh jagtheora VorbisComment holder (aVorbisComment9002)."
method2969,disposePcmBuffer,i: Int,unusedFlag: Int,medium,"If unusedFlag != -11020 (true at the one observed call site), nulls aVorbisComment9002 - looks like an always-taken 'clear the comment header once decoding starts' step rather than a real decoy, though only one call site was traced. Increments companion counter anInt8989, then if a PcmStreamBuffer is attached, forwards to its method2829(unusedFlag+10949) and returns the result (else 0)."
method2971,getPcmStreamBufferIfPositive,i: Int,tag: Int,medium,"Returns null if tag <= -6, otherwise increments anInt8997 and returns the attached PcmStreamBuffer (aClass348_Sub16_Sub2_8995). The tag>-6 gate matches every real call site's tiny positive/near-zero literals, so this behaves like a near-constant 'get the buffer' accessor with a token guard rather than meaningful branching."
method2973,getSampleTimeOffset,i: Byte,tag: Byte,low,"Returns a fixed sentinel (0.20418061173976032) unless tag==123, in which case it derives an offset from the PCM buffer's method2837(tag.toInt() xor 0x5599.inv()) (clamped to >=0, else falling back to the cached aDouble9005 granule time) minus a constant derived from the configured audio sample rate (HslColorConfig.anInt339). The 123-gate and the specific xor-mask make this look like another instance of the tag-as-decoy pattern; exact semantic role of the returned Double beyond 'a small time/sample offset' not independently confirmed - kept low confidence."
method2961,resetDecoderState,i: Byte,tag: Byte,high,"Override of OggBitstreamDecoder's abstract per-stream reset hook. Tears down the jagtheora VorbisBlock/DSPState/VorbisComment/VorbisInfo objects (calling their `a()`/dispose methods) and, if a PcmStreamBuffer is attached, calls its method2836(-1) (stream reset/flush). The `if (tag.toInt() != 13) method2967(...)` branch is a decoy call into the unrelated CircleHitbox factory below whose return value is discarded - dead at any call site passing the conventional 13.toByte()."
method2964,decodePacket,"i: Byte, oggpacket: OggPacket","tag: Byte, packet: OggPacket",high,"Override of OggBitstreamDecoder's abstract per-packet decode hook. While still in the 3-packet Vorbis header phase (anInt6868<3, inherited stream-header-count field), feeds the packet to aVorbisInfo9006.headerIn and, once all three headers are in (anInt6868==2, i.e. this is the codebook header), constructs the real jagtheora DSPState/VorbisBlock/AudioResampler/PcmStreamBuffer pipeline sized from the now-known channel count/sample rate. Once headers are done, synthesizes/decodes the audio packet via aVorbisBlock9000.synthesis+aDSPState8993.blockIn/pcmOut, tracks a running granule-time (aDouble9005), resamples the decoded PCM through aAudioResampler_8994.method1268/resample, and hands the result to the PcmStreamBuffer via method2838/method2699/method2835 (buffer-push pipeline). Trailing `if (tag > -91) resetDecoderState(...)` fires at essentially every real call (tag conventionally small negative), so decoder state is reset after most packets - possibly a per-call teardown-and-rebuild rather than a decoy, not fully confirmed."
method2967,tryBuildCircleHitbox,"i: Int, abstractModel: AbstractModel?, i_0_: Int, i_1_: Int, i_2_: Int","x: Int, model: AbstractModel?, y: Int, height: Int, tag: Int",high,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to Vorbis audio decoding - a decompiler-merged grab-bag factory (per PLAN.md's documented pattern) that builds and returns a CircleHitbox from position/height plus several abstract AbstractModel getters (na/V/RA/fa/EA/HA/G). Confirmed real cross-file usage: WallEntity.kt and WallSceneEntity.kt both call this (imported as `VorbisOggDecoder.Companion.method2967`) to lazily build their cached hitboxes - i.e. this is really a general 'build a CircleHitbox for a scene entity's model' utility, parked in this class by the decompiler. `tag` only gates a discarded decoy null-out of the unrelated aByteArrayArray8996 field when tag != 2."
method2968,clearWorkerAndByteCache,i: Byte,tag: Byte,medium,"Companion, @JvmStatic. Nulls aPrivilegedOperationWorker_8992 and aByteArrayArray8996 (both unrelated-to-audio companion caches); a self-recursive `if (tag > -114) method2968(-12)` is a dead opaque-predicate branch (recurses once with a value that then fails the same guard)."
method2970,buildMinimapPolygonDrawer,"i: Int, class348_sub49: ByteBuffer","tag: Int, buffer: ByteBuffer",medium,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to Vorbis decoding - constructs a MinimapPolygonDrawer by reading 8 shorts, a 3-byte medium, and an unsigned byte out of `buffer` with various tag-derived xor/add cipher keys. Another instance of the decompiler-merged-grab-bag-companion pattern; the `if (tag != 2) tryReloadServerConnectionPage(null, -114, 15)` branch is a decoy at the only observed call site (tag literal 2)."
method2972,tryReloadServerConnectionPage,"string: String?, i: Int, i_3_: Int","host: String?, playerId: Int, tag: Int",medium,"Companion, @JvmStatic. SEMANTICALLY UNRELATED to Vorbis decoding - another decompiler-merged grab-bag utility. When a privileged-operation worker's boolean flag is set, populates a ServerConnectionInfo record (host id, port-ish offsets) and possibly a config flag from world-map label data, returning true (an 'already connected/redirected' fast path). Otherwise builds an 'http://...' URL string embedding the host, a chat-command-processor id, a socket-worker id, an optional proxy path, and region/beta flags, and opens it via NpcType.aClient1367's AWT Applet showDocument(url, \"_self\") - i.e. this is the client's 'open the account-management/lobby webpage in the embedding browser' routine, entirely unrelated to Vorbis audio, just parked in this companion by the decompiler."
