current_name,recommended_name,current_params,recommended_params,confidence,notes
method57,update,i: Int,decoy: Int,high,"Overrides CursorController.method57/update (see CursorController.csv, which documents this exact override). Re-syncs the cached Renderer reference from FacingDirectionNode.aRenderer6654 (tracking whether it changed into aBoolean5011), calls renderer.GA(0)/clearColorBuffer, ticks every child Lifecycle via method7/update(10286), and conditionally calls method56/isTransitionComplete when decoy<=84."
method58,render,"bool: Boolean, i: Int","forceRedraw: Boolean, decoy: Int",high,"Overrides CursorController.method58/render (see CursorController.csv). Local `bool` param is overwritten to true unconditionally before use (dead parameter). Dispatches method9/render(decoy, true || aBoolean5011) to every child Lifecycle, then decoy-calls method1449 when decoy>-69, and clears aBoolean5011."
method59,onControllerReplaced,i: Int,decoy: Int,high,"Overrides CursorController.method59/onControllerReplaced (see CursorController.csv). Decoy-only in this implementation: `if (i != -9719) aFontMetaRef_5015 = null` never fires at the one real call site (ResourceLoaderThread.method2321 always passes -9719), so this override is effectively a no-op besides the call counter."
method55,getTransitionDurationMillis,i: Byte,decoy: Byte,high,"Overrides CursorController.method55 (see CursorController.csv). Returns aTypedRecordTable_5006.anInt3687, a per-group constant duration; decoy-calls method58/render(false,-122) when decoy!=-58 (dead at the real call site)."
method56,isTransitionComplete,"i: Byte, l: Long","decoy: Byte, startTime: Long",high,"Overrides CursorController.method56 (see CursorController.csv). Returns `startTime + aTypedRecordTable_5006.anInt3690 <= currentTime()` (via GameClock.method599). Decoy-calls method1449 when decoy<30."
method60,getProgressPercent,i: Int,decoy: Int,high,"Overrides CursorController.method60 (see CursorController.csv). Decoy-calls method58/render(false,...) when decoy!=-19079 (dead at the real call site). Counts child Lifecycles whose method8/isLoaded is true (or null) and returns count*100/total."
<init>,<init>,"typedRecordTable: TypedRecordTable?, dualMaterialContainer: DualMaterialContainer?","recordTable: TypedRecordTable?, materialContainer: DualMaterialContainer?",high,"Builds anLifecycleArray5012 sized to recordTable's config-provider array, populating each slot via materialContainer.method1000(true, provider) - wraps construction errors as a TextureLoadException ('qt.<init>(...)')."
method1447,resetStaticState,i: Int,tag: Int,high,"Companion/@JvmStatic. Clears anIntArray5007, aPrivilegedOperationWorker_5017, aFontMetaRef_5015, gated on tag==76 (single-value guard, standard teardown pattern)."
method1448,createDefaultContactEntry,i: Int,tag: Int,low,"Companion. When tag<=-55, builds a default ContactEntry (via LocalizedText.aLocalizedText_3487.method2063 for the display name) and stores it in FlipTextureNode.aClass348_Sub42_Sub12_9144 - thematically unrelated to RenderableGroup (contact/friends-list entry construction), likely decompiler-merged content per PLAN.md's recurring pattern."
method1449,getWidgetNodeLinkAt,"i: Int, i_2_: Int, i_3_: Int","plane: Int, x: Int, z: Int",medium,"Companion/@JvmStatic. Looks up HintArrowOrMessage.aSceneCollisionEntryArrayArrayArray2029[plane][x][z] and returns its aWidgetNodeLink_4396 field, or null if no entry - a 3D scene-collision-grid lookup keyed by plane/tile coordinates, consistent with similar collision-entry arrays seen elsewhere in the codebase."
