current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"arg0: Int, arg1: Int","threadCount: Int, flags: Int",medium,"Primary constructor delegating to native init(). At the two call sites in NativeRenderer.kt: `NativeInterface(0, this.anInt8178)` and `NativeInterface(this.aRenderConfig4579!!.method2(true), this.anInt8178)` -- the first arg comes from a render-config method guarded by a boolean (looks like a CPU thread-count/SIMD-lane setting), the second (anInt8178) is a shared renderer field passed to every native call in this class as the last/second arg (likely a vertex or model buffer capacity used to size internal native scratch buffers)."
copyLighting,copyLighting,"arg0: ShortArray?, arg1: ByteArray?, arg2: ShortArray?, arg3: ShortArray?, arg4: ShortArray?, arg5: ShortArray?, arg6: ByteArray?, arg7: Int, arg8: Int, arg9: ShortArray?, arg10: Int, arg11: Int, arg12: Int, arg13: Long","vertexColorsA: ShortArray?, vertexAlphasA: ByteArray?, vertexColorsB: ShortArray?, normalX: ShortArray?, normalY: ShortArray?, normalZ: ShortArray?, faceInfo: ByteArray?, ambient: Int, contrast: Int, output: ShortArray?, offset: Int, stride: Int, count: Int, nativeBufferAddress: Long",medium,"Called from Direct3dModel.kt:192 as `copyLighting(aShortArray5486, aByteArray5515, aShortArray5423, is_14_, is_12_, is, is_13_, aShort5452.toInt(), aShort5427.toInt(), aShortArray5416, 0, 4, anInt5475, buffer.getAddress())` -- only invoked in the per-vertex-normal-lighting branch (as opposed to the flat-colour copyColours branch selected by the same `anInt5472 and 0x37` flag). arg7/arg8 (aShort5452/aShort5427 cast toInt()) match the model's well-known ambient/contrast lighting fields used the same way in NativeRenderer.setAmbient/DSPState-style lighting elsewhere. arg3-arg5 are per-vertex normal components (x/y/z ShortArrays) supplied by aHeadIconRenderer_5503 override or the model's own normal arrays. Output is written natively into the buffer at `nativeBufferAddress`, `offset`/`stride`/`count` describe the destination vertex layout. Confidence medium: exact semantics of vertexColorsA/B (arg0/arg2) vs faceInfo (arg6) not fully disambiguated from call site alone."
init,nativeInit,"arg0: Int, arg1: Int","threadCount: Int, flags: Int",medium,"Private external native initializer invoked from the constructor. Same param uncertainty as the constructor it backs."
copyNormals,copyNormals,"arg0: ShortArray?, arg1: ShortArray?, arg2: ShortArray?, arg3: ByteArray?, arg4: Float, arg5: Float, arg6: Int, arg7: Int, arg8: Int, arg9: Long","normalX: ShortArray?, normalY: ShortArray?, normalZ: ShortArray?, faceInfo: ByteArray?, scaleA: Float, scaleB: Float, offset: Int, stride: Int, count: Int, nativeBufferAddress: Long",medium,"Called from Direct3dModel.kt:222 as `copyNormals(is_15_, is_17_, is, is_16_, 3.0f/aShort5427.toFloat(), 3.0f/(aShort5427+aShort5427/2).toFloat(), 0, 12, anInt5475, buffer.getAddress())`. The two Float args are both derived from the model's `contrast` field (aShort5427) via `3.0/contrast` and `3.0/(contrast*1.5)` -- almost certainly diffuse/specular-style lighting scale constants baked in before the native normal-transform copy, rather than raw contrast passthrough."
copyPositions,copyPositions,"arg0: IntArray?, arg1: IntArray?, arg2: IntArray?, arg3: ShortArray?, arg4: Int, arg5: Int, arg6: Int, arg7: Long","vertexX: IntArray?, vertexY: IntArray?, vertexZ: IntArray?, triangleIndices: ShortArray?, offset: Int, stride: Int, count: Int, nativeBufferAddress: Long",high,"Called from Direct3dModel.kt:162 as `copyPositions(anIntArray5511, anIntArray5519, anIntArray5429, aShortArray5470, 0, 12, anInt5475, buffer.getAddress())`. anIntArray5511/5519/5429 are the model's per-vertex X/Y/Z coordinate arrays (standard naming pattern seen across model classes in this repo); aShortArray5470 holds per-triangle vertex indices; the native call packs them into the D3D vertex buffer at `nativeBufferAddress` with the given stride/count."
setSunColour,setSunColour,"arg0: Float, arg1: Float, arg2: Float, arg3: Float, arg4: Float","red: Float, green: Float, blue: Float, ambient: Float, contrast: Float",medium,"Called from NativeRenderer.kt:272 as `setSunColour(this.aFloat8180, this.aFloat8087, this.aFloat8168, f, f_15_)` where the first three renderer fields are RGB sun-colour components and f/f_15_ are locally computed ambient/contrast-style scaling floats passed alongside."
initTextureMetrics,initTextureMetrics,"arg0: Int, arg1: Byte, arg2: Byte","textureId: Int, scrollU: Byte, scrollV: Byte",medium,"Called from NativeRenderer.kt:2521 as `initTextureMetrics(i_290_, class12.aByte201, class12.aByte216)`. class12.aByte201/aByte216 are read elsewhere (ModelVertexColorBuffer.kt, OpenGlModel.kt, TextureTileRenderer.kt) as masked 0xff byte values tied to per-texture animation, consistent with animated-texture (water/lava) UV scroll-speed metadata; i_290_ is a texture index/id."
release,release,,,high,"External native method. Releases the native lighting/mesh-copy engine's resources. Called from NativeRenderer.kt:475 during renderer teardown."
setAmbient,setAmbient,arg0: Float,ambient: Float,high,"Called from NativeRenderer.kt:1334 as `setAmbient(f)`; sets the global ambient lighting scalar used by subsequent copyLighting/copyColours native calls."
copyTexCoords,copyTexCoords,"arg0: FloatArray?, arg1: FloatArray?, arg2: Int, arg3: Int, arg4: Int, arg5: Long","texU: FloatArray?, texV: FloatArray?, offset: Int, stride: Int, count: Int, nativeBufferAddress: Long",high,"Called from Direct3dModel.kt:235 as `copyTexCoords(aFloatArray5476, aFloatArray5506, 0, 8, anInt5475, buffer.getAddress())` -- copies per-vertex U/V texture coordinate float arrays into the native vertex buffer."
copyColours,copyColours,"arg0: ShortArray?, arg1: ByteArray?, arg2: ShortArray?, arg3: Int, arg4: ShortArray?, arg5: Int, arg6: Int, arg7: Int, arg8: Long","vertexColorsA: ShortArray?, vertexAlphasA: ByteArray?, vertexColorsB: ShortArray?, ambient: Int, output: ShortArray?, offset: Int, stride: Int, count: Int, nativeBufferAddress: Long",medium,"Called from Direct3dModel.kt:193 as the flat-shading alternative to copyLighting (selected when `anInt5472 and 0x37 == 0` is false): `copyColours(aShortArray5486, aByteArray5515, aShortArray5423, aShort5452.toInt(), aShortArray5416, 0, 4, anInt5475, buffer.getAddress())`. Same first three/ambient/output/offset/stride/count/address args as copyLighting minus the normal arrays and contrast, consistent with a per-face-colour (no per-vertex normal) lighting path."
setSunDirection,setSunDirection,"arg0: Float, arg1: Float, arg2: Float","x: Float, y: Float, z: Float",high,"Called from NativeRenderer.kt:289 as `setSunDirection(this.aFloatArray8170[0], this.aFloatArray8170[1], this.aFloatArray8170[2])` -- a 3-component direction vector, consistent with the paired setSunColour."
