current_name,recommended_name,current_params,recommended_params,confidence,notes
method2888,glideVolumeAndPan,"i: Int, i_0_: Int, i_1_: Int","ticks: Int, volume: Int, pan: Int",high,"Sets up a linear glide of the voice's stereo gains from their current values (anInt8970/anInt8974) toward the gains computed for the given (volume, pan) via the companion's computePanGainLeft/Right (method2904/method2889), over at most `ticks` steps (clamped to the largest single-component delta). If the target gains already match the current ones, cancels any in-progress glide instead. Used by method2916 (glideVolume) which supplies the current pan."
method2890,isPlayheadOutOfBounds,(none),(none),high,"Returns true if the fixed-point playhead anInt8983 (position << 8) is negative or beyond the sample's byte-array length << 8."
method2891,setPlaybackDirection,bool: Boolean,reverse: Boolean,medium,"Normalizes the playback-rate field anInt8979 to its absolute value, then negates it when `reverse` is true - i.e. sets the sign (forward/backward) of the playback step while preserving its magnitude."
method2892,getPanOrDefault,(none),(none),high,"Returns the current pan value (anInt8977), or -1 if it is negative."
method2820,getMixPriority,(none),(none),high,"Override of AudioStreamNode.method2820 (see AudioStreamNode.csv: getMixPriority). Computes a 0-255 fade-style value that decreases as the playhead nears either loop bound, used by SoundChannelMixer for channel-stealing priority."
method2895,isGliding,(none),(none),high,"Returns true if a volume/pan or fade glide is currently in progress (anInt8972, the remaining glide-tick counter, is non-zero)."
method2896,cancelGlideIfStopped,(none),(none),medium,"Private. If a glide is active and its target sentinel (anInt8969 == Int.MIN_VALUE, meaning 'fading out to silence') has been reached, clears the sentinel/glide state and immediately snaps the gains to the target via method2918 (snapToTargetVolumePan)."
method2898,advanceGlideSegment,(none),(none),low,"Private. Recomputes the target stereo gains from the current pending volume/pan (or 0/0 if the fade-to-silence sentinel is set), compares them against the live gains, and either sets up a fresh glide (returning false, meaning 'still gliding / more render needed') or - if the sentinel was reached and gains already match - zeroes the voice out and returns true (meaning 'voice has now gone silent/finished'). Called from the low-level mixer kernels (method2919/method2927) whenever a glide segment's tick-count reaches zero mid-render, to decide whether to keep resampling or stop."
method2901,setPlaybackRateMagnitude,i: Int,magnitude: Int,high,"Sets the magnitude of the playback-rate field anInt8979 to `magnitude` while preserving its current sign (direction)."
method2902,fadeOutOverTicks,i: Int,ticks: Int,high,"If `ticks == 0`, immediately silences the voice (setVolumeKeepPan(0) + this.method2715(93) - an inherited/base-class hook not defined in this file). Otherwise sets up a glide of the pitch/gain triple (anInt8976/anInt8970/anInt8974) down to zero over at most `ticks` steps (clamped to the largest single-component magnitude), marking anInt8969 with the fade-to-silence sentinel (Int.MIN_VALUE) so method2898/method2896 recognise the glide as a stop rather than a normal retarget."
method2821,getMixCost,(none),(none),high,"Override of AudioStreamNode.method2821 (see AudioStreamNode.csv: getMixCost). Returns 0 while both loop-related counters (anInt8970, anInt8974) are 0, else 1."
method2906,getPendingVolumeOrZero,(none),(none),high,"Returns the pending/target volume anInt8969, treating the fade-to-silence sentinel (Int.MIN_VALUE) as 0."
method2909,setPan,i: Int,pan: Int,high,"Re-applies the current pending volume (via getPendingVolumeOrZero) together with a new `pan`, immediately (no glide), by delegating to the private method2926 (setVolumeAndPanImmediate)."
method2914,getPlaybackRateMagnitude,(none),(none),high,"Returns the absolute value of the playback-rate field anInt8979."
method2915,setVolume,i: Int,volume: Int,high,"Sets volume immediately (no glide) to `volume << 6` (matching the fixed-point scale used elsewhere) while keeping the current pan (getPanOrDefault), via method2926."
method2818,nextChild,(none),(none),high,"Override of AudioStreamNode.method2818 (see AudioStreamNode.csv: nextChild). SampledVoice is a leaf mixer node, so it always returns null."
method2916,glideVolume,"i: Int, i_124_: Int","ticks: Int, volume: Int",high,"Glides to a new `volume` (keeping the current pan) over `ticks`, by delegating to method2888 (glideVolumeAndPan) with the current pan value."
method2917,setLoopCount,i: Int,count: Int,high,"Sets the remaining-loop counter anInt8980. Call sites use -1 for 'loop indefinitely' and 0 for 'play once, no loop' (SocketGameConnection/Client.kt sound-effect and ambient-track playback)."
method2918,snapToTargetVolumePan,(none),(none),high,"Private. Immediately (no glide) sets the live pitch/gain fields (anInt8976, anInt8970, anInt8974) from the pending target volume/pan (anInt8969/anInt8977) via the companion's computePanGainLeft/Right helpers (method2904/method2889)."
method2919,renderForwardChunk,"is: IntArray, i: Int, i_125_: Int, i_126_: Int, i_127_: Int","outBuffer: IntArray, outPos: Int, unused: Int, outEnd: Int, edgeSample: Int",medium,"Private. Forward-playback per-tick mixer driver, called from method2817 (renderSamples) and method2819 (skipSamples-adjacent render path) when the voice is advancing in the positive direction. Dispatches per glide-segment to one of 8 low-level static kernels selected by {unit-rate (anInt8979==256) vs resampled} x {stereo vs mono, via NpcEntityUpdater.aBoolean3652} x {mid-render 'chunk' vs end-of-buffer 'final'} - see method2893/2899/2903/2905/2910/2913/2922/2925 below. Recurses via method2898 (advanceGlideSegment) when a glide segment finishes mid-buffer."
method2923,setVolumeKeepPan,i: Int,volume: Int,medium,"Private. Sets `volume` immediately (no glide) while keeping the current pan (getPanOrDefault), via method2926. Used by fadeOutOverTicks's immediate-silence path."
method2817,renderSamples,"is: IntArray, i: Int, i_159_: Int","buffer: IntArray, offset: Int, length: Int",high,"Override of AudioStreamNode.method2817 (see AudioStreamNode.csv: renderSamples) - the real per-tick PCM render entry point. If the voice has fully stopped (anInt8969==0 && anInt8972==0) just advances silently via method2819 (skipSamples); otherwise handles loop-boundary reflection (ping-pong vs plain looping vs one-shot, driven by aBoolean8981 and the sign of anInt8979) and calls into method2919/method2927 (renderForwardChunk/renderBackwardChunk) to actually resample and mix into `buffer`."
method2924,setPlayheadPosition,i: Int,position: Int,high,"Clamps `position` to [-1, sampleLength<<8] and stores it as the fixed-point playhead anInt8983 (i.e. a direct seek)."
