current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"d3dRenderDevice: D3dRenderDevice, i: Int, i_0_: Int, bool: Boolean, is: IntArray?, i_1_: Int, i_2_: Int","device: D3dRenderDevice, width: Int, height: Int, mipmapped: Boolean, pixels: IntArray?, srcOffset: Int, srcStride: Int",high,"Primary 'create + upload ARGB int[] pixels' constructor. Forwards to D3DBaseTexture(device, GroundItemRenderState.aTextureFormatInfo_1662 [fixed ARGB8 format], MovementDirection.aMovementDirection_1183, mipmapped && device.aBoolean9798, width*height). Stores width/height directly into anInt6333/anInt6331 if the device supports non-power-of-2 textures (aBoolean9792), otherwise rounds each up to the next power of two via CacheArchiveIndexLoader.method340. Creates the native IDirect3DTexture (managed pool if mipmapped, else dynamic/default pool), then locks the whole rect and copies `pixels` in (using srcStride, defaulting to width when 0, to support copying a sub-region out of a larger source bitmap)."
<init>,<init>,"d3dRenderDevice: D3dRenderDevice, textureFormatInfo: TextureFormatInfo, movementDirection: MovementDirection, i: Int, i_6_: Int","device: D3dRenderDevice, formatInfo: TextureFormatInfo, movementDirection: MovementDirection, width: Int, height: Int",high,"Secondary constructor: creates an empty native IDirect3DTexture of the given format/movement-direction/size (no pixel upload) using D3DUSAGE_DYNAMIC-style flags (1,0) and a format resolved via D3dRenderDevice.method3958. Used for textures that are populated later via method65/method68/method70 (e.g. dynamically-written render targets or streamed video/font textures) rather than at construction time."
<init>,<init>,"d3dRenderDevice: D3dRenderDevice, textureFormatInfo: TextureFormatInfo, i: Int, i_16_: Int, bool: Boolean, is: ByteArray?, i_17_: Int, i_18_: Int","device: D3dRenderDevice, formatInfo: TextureFormatInfo, width: Int, height: Int, mipmapped: Boolean, pixels: ByteArray?, srcOffset: Int, srcStride: Int",high,"Third constructor: same shape as the int[] constructor but for a caller-supplied ByteArray pixel source in an arbitrary TextureFormatInfo (using formatInfo.anInt3850 as the bytes-per-pixel multiplier for stride/offset math), and resolves the native pixel format via D3dRenderDevice.method3958 instead of hardcoding ARGB8."
method64,setFilterMode,"class209: UnusedToStringStub?, i: Int","filterMode: UnusedToStringStub?, unused: Int",high,"Trivial override delegating to `super.method64(filterMode, unused)` -- see D3DBaseTexture.csv for the real D3D bilinear-vs-point filter-mode implementation."
method2314,getNativeTexture,i: Int,tag: Int,high,"Override of D3DBaseTexture.method2314. Returns null unless tag==17723 (the sentinel every real caller passes, per D3DBaseTexture.csv), in which case returns the native anIDirect3DTexture6332 handle."
method69,getWidth,bool: Boolean,unusedFlag: Boolean,high,"Interface method from Renderable2dTexture. Returns a -95 sentinel if unusedFlag is true, else the actual stored width (anInt6333). Every real call site found (AnimatedModelRenderer.kt, twice) always passes the literal `false`, so the -95 sentinel path is never exercised in practice; kept as a real branch rather than asserted decoy since no direct evidence rules out other callers passing true."
method72,getHeight,i: Int,unused: Int,high,"Interface method from Renderable2dTexture. Returns anInt6331 (height); the `-47 % ((55 - i) / 63)` local is computed and discarded -- confirmed decoy, unused param at every call site (AnimatedModelRenderer.kt passes varying negative ints with no effect)."
method65,updateRegion,"i: Int, is: IntArray, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Byte, i_12_: Int","x: Int, pixels: IntArray, width: Int, y: Int, height: Int, unusedByte: Byte, srcOffset: Int",high,"Interface method from Renderable2dTexture. Validates the texture is the fixed ARGB8/aMovementDirection_1183 combo (throws otherwise), then LockRect(level=0, x, y, width, height, D3DLOCK_NOSYSLOCK)'s the region and copies `pixels` in row-by-row (or in one shot if the driver's row pitch matches width*4 exactly), using srcOffset as the source array read cursor. The `if (unusedByte.toInt() != 112) aBoolean6334 = false` branch is a decoy at the one real call site found (AnimatedModelRenderer.kt passes the literal 112.toByte()), so aBoolean6334 (the addressU/wrap flag read by D3dRenderDevice.method3954) is never actually cleared from here in practice."
method71,toNormalizedV,"i: Byte, f: Float","unusedByte: Byte, pixelY: Float",high,"Interface method from Renderable2dTexture. Converts a pixel-space Y coordinate to a normalized [0,1] V coordinate by dividing by the texture's height (anInt6331). The `if (i > -24) return -0.2576451f` decoy never fires: every real call site (AnimatedModelRenderer.kt, NativeRenderer.kt, GlFontTextured.kt) passes a Byte literal <= -26, always failing `i > -24`."
method68,updateRegionWithStride,"i: Int, i_22_: Int, is: IntArray?, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int, i_27_: Int","srcStride: Int, tag: Int, pixels: IntArray?, x: Int, srcOffset: Int, width: Int, y: Int, height: Int",medium,"Interface method from Renderable2dTexture, sibling of method65 but with an explicit caller-supplied source row stride (srcStride) distinct from the destination write width, allowing upload of a sub-rectangle cropped out of a larger source bitmap (e.g. a shared sprite atlas) -- confirmed by TerrainChunkBuilder.kt passing srcStride==width (full, non-cropped copy) versus AnimatedModelRenderer.kt/GlRenderDevice.kt passing them independently. The `tag` parameter gates `if (tag != 22809) aBoolean6334 = false`; call sites mostly pass the literal 22809 but TerrainChunkBuilder.kt passes a computed value, so unlike similar-looking decoys elsewhere in this codebase this branch is NOT reliably dead -- flagged as a real (if minor) conditional."
