current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"anInt1230: Int, anInt1224: Int, anInt1225: Int, anInt1216: Int, anInt1229: Int, anInt1218: Int, anInt1222: Int, aBoolean1223: Boolean","iconType: Int, graphicId: Int, x: Int, y: Int, z: Int, sizeScale: Int, tintColor: Int, isCompassStatic: Boolean",medium,"Only call site is MapSceneCache.method823, which builds one of these per entry in a ParticleConfigParser's id array, passing a loaded definition's fields in order (class38.anInt498/504/499/502/508/501/503/aBoolean507). Roles inferred from usage inside this class: iconType (anInt1230) selects the render branch in method730 (0=static model icon, 1=method735, 2=method740); x/y/z (anInt1225/anInt1216/anInt1229) are compared against a viewer position in method733 via a Euclidean-distance formula; sizeScale (anInt1218) multiplies a zoom param to produce the on-screen pixel size; tintColor (anInt1222) is OR'd with a forced-opaque mask as a fill/background colour in method735/method740 and also gates a size trim (`* 13 / 16`) when nonzero; isCompassStatic (aBoolean1223), when true, skips the distance calc and uses the raw x/y/z as a direction vector with a fixed max distance - consistent with a 'compass/always-on' hint icon vs a 'points at a nearby object' one."
method730,ensureModelBuilt,"var_renderer: Renderer, hintArrowRenderer_0_: HintArrowRenderer?","renderer: Renderer, relativeTo: HintArrowRenderer?",medium,"Private, called only from method736. Lazily builds the cached icon renderer (aAbstractModelRenderer_1221) when null, dispatching on iconType (anInt1230): 0 builds a small raw-pixel icon directly via renderer.method3662 using a RenderConfig lookup gated by MatrixCameraTransform.aRenderConfig5684.method4; 2 delegates to method740 (graphic/particle-based icon); 1 delegates to method735 (3D model-based icon). Returns whether an icon is now available."
method733,updateDirectionAndSize,"i: Int, i_11_: Int, i_12_: Int, i_13_: Int","viewerX: Int, viewerY: Int, viewerZ: Int, zoom: Int",medium,"Only call site: ParticleSystemRenderer.method2292 as `class72.method733(anInt3866, anInt3854, anInt3853, anInt3859)`, where the first three are the owning ParticleSystemRenderer's stored coordinates and the 4th is a per-frame zoom/LOD value. When isCompassStatic is true, uses this icon's own x/y/z directly as a direction vector and forces distance (anInt1232, public) to 1073741823 (effectively infinite/always max size); otherwise computes (x-viewerX, y-viewerY, z-viewerZ), normalises it, and stores the Euclidean distance in anInt1232. Derives an on-screen pixel size (anInt1217) from sizeScale*zoom/distance; if the result is <8px the icon is hidden (clears the cached renderer and returns false). Otherwise picks a mip/resolution level (anInt1220, clamped to 512) via method340/method3051, and recomputes pitch/yaw angles (anInt1231 via asin, anInt1219 via atan2, both masked to 14-bit RS angle units) before invalidating the cached render (forcing a redraw at the new angle/size) and returning true (icon is visible this frame)."
method734,invalidateModel,,,high,"Trivial: sets aAbstractModelRenderer_1221 = null, forcing method730 to rebuild on next use. Only call site, ParticleSystemRenderer.method2295, calls this on every entry in a full reset pass (alongside dropping ParticleSystemRenderer's own cached renderer) - a bulk 'discard cached icon renders' step."
method735,renderModelIcon,"var_renderer: Renderer, hintArrowRenderer_19_: HintArrowRenderer?","renderer: Renderer, relativeTo: HintArrowRenderer?",medium,"Private, invoked by method730 for iconType==1. Ensures the shared arrow/cone model (aAbstractModel_1227, built once by method738) and shared lighting textures (aAbstractModelRenderer_1228/1215, built once by method732) are loaded, computes a relative offset from `relativeTo` (or the compass-style negated position if `relativeTo.isCompassStatic`), rotates that offset by the icon's stored pitch/yaw (anInt1231/anInt1219) via fixed-point sin/cos tables (SpotAnimVector arrays), renders the model into an off-screen buffer sized anInt1220 with the tint colour as background fill, and stores the result in aAbstractModelRenderer_1221."
method736,ensureIconReady,"var_renderer: Renderer, hintArrowRenderer_31_: HintArrowRenderer?","renderer: Renderer, relativeTo: HintArrowRenderer?",high,"`return aAbstractModelRenderer_1221 != null || method730(var_renderer, hintArrowRenderer_31_)` - returns true immediately if already built, otherwise attempts to build it and returns the result. Called from ParticleSystemRenderer.method2292's per-frame visibility loop, which OR's the results together to decide whether another pass is still needed (icons that failed to build this frame get retried next frame)."
method737,drawIcon,"var_renderer: Renderer?, i: Int, i_32_: Int, i_33_: Int, i_34_: Int, i_35_: Int, i_36_: Int","renderer: Renderer?, viewportX: Int, viewportY: Int, viewportWidth: Int, viewportHeight: Int, cameraPitch: Int, cameraYaw: Int",medium,"Only call site: ParticleSystemRenderer.method2293, `aHintArrowRendererArray3865[i_19_]!!.method737(var_renderer, i_7_, i_9_, i_8_, i_13_, i_11_, i_10_)` where i_7_/i_9_ are a screen origin, i_8_/i_13_ a viewport width/height, i_11_/i_10_ a pitch/yaw pair (i_10_ built from `0x3fff and i + i_10_`, i.e. a 14-bit RS angle). Only draws if a cached icon exists (aAbstractModelRenderer_1221 != null): converts the icon's stored angle (relative to cameraPitch/cameraYaw) into a screen offset, and blits the cached icon sprite there if it's within the viewport bounds."
method740,renderGraphicIcon,"var_renderer: Renderer, hintArrowRenderer_60_: HintArrowRenderer?","renderer: Renderer, relativeTo: HintArrowRenderer?",medium,"Private, invoked by method730 for iconType==2. Looks up an animated graphic/spotanim frame via ParticleConfigParser.method2277 using graphicId (anInt1224); if found, computes the same kind of relative offset and pitch/yaw rotation as method735 (but rotated by the negated angles), renders that graphic's current texture frame into an off-screen buffer sized anInt1220, and stores it in aAbstractModelRenderer_1221. Sibling of method735 but sources pixels from a graphic/particle definition instead of the shared arrow model."
method731,resetSharedIconCaches,i: Byte,unused: Byte,medium,"Companion, @JvmStatic. Nulls all four shared static caches: the model (aAbstractModel_1227), both lighting textures (aAbstractModelRenderer_1215/1228), and the clip-rectangle scratch array (anIntArray1226). Only call site is Client.kt `method731()` (imported unqualified) inside what looks like a bulk logout/teardown sequence alongside many other classes' similar cache-reset statics. The Byte param is unused in this reading (not referenced in the body shown)."
method732,buildSharedLightingTextures,var_renderer: Renderer,renderer: Renderer,high,"Private companion helper called only from method735. Lazily builds two 128x128 raw-pixel textures (aAbstractModelRenderer_1228, aAbstractModelRenderer_1215) once, using a nested 64x64 quadrant-mirrored loop to precompute a radial falloff (used for a soft circular vignette/highlight pair applied when compositing the arrow-model icon)."
method738,buildSharedArrowModel,var_renderer: Renderer,renderer: Renderer,high,"Private companion helper called only from method735. Lazily constructs the shared cone/arrow ModelDefinition once (24 rings x 23 segments of a tapered cone, built via ModelDefinition.method1101/method1102 vertex/face calls using SpotAnimVector sin/cos tables), then compiles it into aAbstractModel_1227 via renderer.method3625. This is almost certainly the 3D arrow/cone mesh used for the 'points at a location' hint icon."
method739,clearArrowModelCache,,,medium,"Companion, @JvmStatic. Nulls aAbstractModel_1227 and aAbstractModelRenderer_1228 only (leaves aAbstractModelRenderer_1215 and anIntArray1226 intact) - a narrower reset than method731. Only call site is TextureCubeProvider.Companion.method2269, a semantically-unrelated cube-texture-provider method - looks like the 'decompiler merged unrelated statics into the wrong file' pattern noted elsewhere in this codebase rather than an intentional coupling."
