current_name,recommended_name,current_params,recommended_params,confidence,notes
method2488,getOrLoadModel,"i: Int, i_0_: Int, var_renderer: Renderer","flags: Int, guard: Int, renderer: Renderer",medium,"Private cache-or-load helper. Returns cached aAbstractModel_10124 if var_renderer.method3667(model.ua(), flags)==0 (cache still valid for current camera/context), otherwise rebuilds via method2491(-51, false, flags, renderer). guard (i_0_) must be 0 to proceed (`if (i_0_ != 0) return null`); both call sites (method2391 with i_3_, method2381 with literal 0) only ever pass 0, so this is effectively always-true, not a real filter. flags is forwarded to method2491 as its load-flags argument (131072 from the render path, 0 from the hitbox path)."
method2386,buildSceneEntityModel,"i: Int, var_renderer: Renderer?","cameraIndex: Int, renderer: Renderer?",medium,"Overrides SceneEntity.method2386. Obtains a transform via renderer.method3705(), positions it at (x - -aShort8781, anInt6382, y - -aShort8769), fetches the wall's animated submodel via aAbstractModel_10124.method136(cameraIndex, aBoolean10130, false), then applies per-face lighting through method608/method615 depending on ParticleSystemRenderer.aBoolean3870 (HD vs classic lighting path)."
method40,invalidateModel,i: Int,guard: Int,low,"Overrides RenderTarget.method40. Disposes the cached model via aAbstractModel_10124!!.method612() (abstract 'free/dispose' on AbstractModel). Decoy: sets aByte10145 = -104 unless guard==-12031; no call site passing -12031 was found, so this looks like dead/unreachable code in the current call graph."
method2377,isModelLoaded,i: Byte,guard: Byte,medium,"Overrides SceneEntity.method2377. Returns aAbstractModel_10124?.F() ?: false. Decoy resets aBoolean10137=false unless guard==122; every known caller (ActiveMapRegion.kt, FloatBuffer.kt, MapSceneRenderer.kt, AsyncResourceRequest.kt, NativeBufferHandle.kt) passes 122.toByte() literally, so the decoy branch never fires in practice."
method42,getModelId,i: Int,guard: Int,medium,"Overrides RenderTarget.method42. Returns 0xffff and aShort10129 -- the definition/model id later looked up via SeqDefinitionCache.method2005(0, id) inside method2491. Decoy calls method39(-120) when guard>=-62 with the result discarded."
method2379,getModelWidth,i: Int,guard: Int,medium,"Overrides SceneEntity.method2379. Returns aAbstractModel_10124?.ma() ?: 0 (a model dimension, used e.g. in MinimapRectClipper.kt divided by anInt6389 -- consistent with a width/size metric). Decoy nulls aAbstractModel_10124 unless guard==-25675; the one known caller (MinimapRectClipper.kt) passes exactly -25675, so the decoy is dead there."
method2391,renderModel,"var_renderer: Renderer?, i: Int, i_2_: Int, i_3_: Int","renderer: Renderer?, shade: Int, lightLevel: Int, guard: Int",medium,"Overrides SceneEntity.method2391. Loads the model via getOrLoadModel(131072, guard, renderer) (only proceeds when guard==0), builds a transform positioned at (x, anInt6382, y), then draws via class64.method623(...) (particle-system lit path, using LocalPlayerState.anInt1906) or method628(...) (plain path). Returns whether a model was available to draw. Call site in ModelWallEntity.method44 passes guard=-64, which means that particular invocation always draws nothing (getOrLoadModel's guard check fails) -- looks like leftover dead code there, not a bug in this method itself."
method2376,isRenderable,i: Int,guard: Int,low,"Overrides SceneEntity.method2376. Returns !aAbstractModel_10124!!.r() when a model is loaded, else true. guard<=-12 short-circuits to false, but every known caller (ActiveMapRegion, AsyncResourceRequest, GlWaterRenderPass, MapSceneRenderer, NativeBufferHandle) passes constants like -93/-109/-118/-52/-62/-110, all <=-12 is false for them (i.e. i>-12 is false), so the guard never actually returns false in the current call graph. AbstractModel.r() has no doc/comment to confirm exact meaning (possibly 'isRemoved'/'isHidden')."
method39,getRenderByte,i: Int,guard: Int,low,"Overrides RenderTarget.method39. Returns aByte10145.toInt(). guard is only used in a discarded expression `-57 % ((-91 - guard) / 35)` -- classic obfuscator junk computation with no effect on the return value."
method43,updateRenderNode,"var_renderer: Renderer?, i: Int","renderer: Renderer?, guard: Int",low,"Overrides RenderTarget.method43. Reuses the cached aRenderNode10128 if present or aBoolean10137 is false; otherwise rebuilds one via method2491(-51, true, 262144, renderer). If a node results, registers it against overlying terrain tiles for occlusion via HostPingThread.method1301(node, plane, x, y, null). Decoy nulls aCircleHitbox_10127 unless guard==-14218 (no confirmed call site for that value)."
