current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"aD3dRenderDevice_7346: D3dRenderDevice, js5Archive: Js5Archive?, aNormalMapGenerator_7348: NormalMapGenerator","device: D3dRenderDevice, js5Archive: Js5Archive?, normalMapGenerator: NormalMapGenerator",high,"Forwards device to AbstractRenderPass(device). The instance init block requires js5Archive != null, the renderer's aBoolean8101/aBoolean8159 (texture-cap flags set in D3dRenderDevice's own init from D3DCAPS.TextureCaps) and vertex-shader-model >= 1.1 (VertexShaderVersion low 16 bits >= 257); if satisfied, compiles the 'environment_mapped_water_v'/'environment_mapped_water_f' shader pair via js5Archive.method391 and additionally requires normalMapGenerator.method2041(49) (a normal-map readiness check) before setting the pass's overall supported flag (aBoolean7347) true."
method3526,onResize,"i: Int, i_0_: Int, i_1_: Int","mode: Int, animParams1: Int, animParams2: Int",low,"Override of the open AbstractRenderPass.method3526 (named onResize per BasicGlRenderPass.csv/D3dRenderDevice's own onResize sibling). IMPORTANT: despite the shared name (kept for override-signature consistency), this override's actual behavior strongly suggests the two trailing Int params are NOT a width/height pair here -- they are bit-packed animation config values: `animParams1` yields a scroll-speed-shift (bits 0-1), a scale factor (bits 3-5, as 1<<n/32), while `animParams2` yields a 16-bit UV-offset mask (bits 0-15) and a second scale factor (bits 16-20ish, /8). These are used (only when the pass is currently active, aBoolean7344) to compute a time-based scroll offset from the renderer's frame counter (aHa_Sub3_4479.anInt8146) and upload four vertex-shader constants (registers 14/15 via device.a, 4/5 via device.b) driving the environment-mapped water's texture animation. The `if (i != 10756) method3527(-80, null, 80)` branch is a decoy (bindRenderable's real call site always passes 10756, see BasicGlRenderPass.csv). Flagging the onResize name as a likely misnomer for this subclass -- a future pass reconciling AbstractRenderPass's whole override family should consider a name like `configureWaterAnimationParams` instead, but that would require renaming the abstract declaration and every override in lockstep."
method3521,setPassEnabledNoop,"bool: Boolean, i: Byte","unusedBool: Boolean, unusedDecoy: Byte",medium,"Override of AbstractRenderPass.method3521 (named per BasicGlRenderPass.csv, where this same override pattern was shown to be a no-op in practice). Here the body is `if (i.toInt() != -103) aBoolean7344 = true` -- since the only real call site (NativeRenderer's active-pass-switch helper) always passes the literal -103.toByte(), this branch never fires, so aBoolean7344 (the pass-active flag, read by method3522/3523/3524/3526/3531/3532) is never actually set true from here -- it must be getting set elsewhere (e.g. method3525/beginRenderPass sets it directly). Net effect matches the Basic pass: a no-op given real call-site arguments."
method3532,uploadTexCoordGenConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3532. When the pass is active, looks up a per-texture-stage camera transform via aHa_Sub3_4479.method3848(tag + -10420) (the one real call site passes 10425, i.e. slot 5) and uploads one row/component of it (via FloatCameraTransform.method915(buffer, 1)) into vertex-shader constant registers 12-13 (SetVertexShaderConstantF count=2) -- consistent with an environment-map texture-coordinate-generation matrix row, matching this class's 'environment mapped water' purpose. The `if (i != 10425) anIDirect3DVertexShader7345 = null` branch is a decoy: the one real call site always passes 10425."
method3527,bindRenderable,"i: Int, renderable: Renderable?, i_5_: Int","passId: Int, renderable: Renderable?, unusedDecoy: Int",medium,"Override of the abstract AbstractRenderPass.method3527 (named per BasicGlRenderPass.csv). Here the body only contains `if (i_5_ != -16776) method3532(16)` -- unlike BasicGlRenderPass's version, this pass does not actually bind the renderable to the device itself in this override (no device.method3850/method3923-style call), just conditionally re-triggers uploadTexCoordGenConstant. The unusedDecoy param mirrors BasicGlRenderPass's finding that call sites always pass the literal -16776, making this branch provably dead."
method3522,updateFogDistanceConstant,i: Int,tag: Int,medium,"Override of the open AbstractRenderPass.method3522. When the pass is active, uploads a near/far-derived pair to constant register 16 (0 if the renderer's fog-start distance anInt8091<=0, else far/1/(far-near) using aHa_Sub3_4479.aFloat8115=far, aFloat8173=near) and a normalized fog-color RGB triple (from anInt8144, an ARGB packed fog color field) to register 0. Called from NativeRenderer.method3856 immediately after it recomputes aFloat8115/aFloat8173 (see D3dRenderDevice.csv's method3851 notes), confirming this is a per-frame 'refresh fog range + color shader constants' hook."
method3525,beginRenderPass,"i: Int, bool: Boolean","passId: Int, useLighting: Boolean",high,"Override of the abstract AbstractRenderPass.method3525 (named per BasicGlRenderPass.csv). Only runs when passId==15192 (the sentinel every real caller passes, per BasicGlRenderPass.csv) and the pass is supported and the renderer has a valid cube-map/reflection texture (aHa_Sub3_4479.method3834(-16777216) != null): sets the vertex/pixel shaders, marks the pass active, and calls this class's own beginRenderPass-family helpers (uploadViewAndEyeConstants(false), uploadTexCoordGenConstant(10425), uploadProjectionMatrixConstant(-14775), updateFogDistanceConstant(-16252)) plus uploads eye position/light-direction-derived vertex-shader constants (registers 1/2/3) directly."
method3530,isPassSupported,i: Int,unusedInt: Int,high,"Override of the abstract AbstractRenderPass.method3530 (named per BasicGlRenderPass.csv). Returns aBoolean7347 (the shader-compile + normal-map-ready flag computed in init). The `if (i > -57) anIDirect3DPixelShader7343 = null` branch is a dead opaque predicate matching the pattern already confirmed for this abstract method in BasicGlRenderPass.csv (real call sites pass negative constants like -78/-58/-74, none of which satisfy `> -57`)."
method3523,uploadViewBasisConstant,i: Byte,unusedByte: Byte,low,"Override of the open AbstractRenderPass.method3523. When the pass is active, uploads a camera-transform-derived value (via aD3dRenderDevice_7346.method3948(-22036), then FloatCameraTransform.method924(0, buffer)) to vertex-shader constant register 0. The exact semantic of method924's tag-0 extraction (a specific matrix row, an eye-space basis vector, etc.) could not be pinned down from this file alone; named generically as a 'view-related' constant given the register-0 convention shared with method3531's identical upload pattern."
method3520,endRenderPass,i: Byte,unusedDecoy: Byte,high,"Override of the abstract AbstractRenderPass.method3520 (named per BasicGlRenderPass.csv). When the pass is active, unbinds the vertex/pixel shaders and reverse-applies the two device.method3897 calls made in beginRenderPass, then clears the active flag. The `if (i.toInt() != 87) method3531(true)` branch is a decoy per BasicGlRenderPass.csv's confirmed finding that the real call site always passes 87.toByte()."
