current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"i: Int, i_11_: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int","x: Int, height: Int, y: Int, plane: Int, tileLevelIndex: Int, wallOffsetB: Int, wallOffsetA: Int",medium,"Abstract base constructor for wall-type scene entities, storing x/y/plane/height (matches the shared SceneEntity/TileSceneEntity field layout seen across sibling classes, cf. GroundDecorSceneEntity.csv's constructor mapping) plus aByte6376 (tileLevelIndex, same field name/role as in TileSceneEntity/SceneObjectEntity per ModelWallEntity.csv) and two wall-specific Short fields aShort8769/aShort8781, likely a pair of segment/corner offsets used by wall rendering subclasses (e.g. WallSceneEntity) - not independently confirmed beyond their Short-sized, position-adjacent role."
method2378,isTileVisible,i: Int,unusedFlag: Int,high,"Overrides SceneEntity's abstract method2378. Checks ActorEntity.aBooleanArrayArray1572 (the loaded-region visible-tiles bitmap) at this entity's own tile position - identical pattern/field to SceneObjectEntity.method2378/isTileVisible and TileSceneEntity.kt's analogous check (see SceneObjectEntity.csv). Decoy self-call `if (i != 0) isTileVisible(29)` (result discarded)."
method2382,isRenderableOnMinimap,i: Byte,unusedFlag: Byte,medium,"Overrides SceneEntity's abstract method2382 (same slot as SceneObjectEntity.method2382/isRenderableOnMinimap, see SceneObjectEntity.csv, though this override skips that class's roof-removed/RenderableGroup lookup and calls MinimapSpriteRenderer.method1110 directly with the entity's tile position, model height (getModelHeight(true)) and aByte6376/tileLevelIndex). Decoy `if (i>=-51) drawOrDispatchByBounds(-102,81,-103,-31,-95,-90)` (method2486, result discarded)."
method2380,mergeNormals,"var_renderer: Renderer?, i: Int, bool: Boolean, class318_sub1: SceneEntity?, i_2_: Int, i_3_: Byte, i_4_: Int","renderer: Renderer?, offsetA: Int, blend: Boolean, other: SceneEntity?, offsetB: Int, unusedDecoyFlag: Byte, offsetC: Int",medium,"Overrides SceneEntity's abstract method2380 - same slot GroundDecorSceneEntity implements for real as 'merge seam normals with an adjacent identical decor object' (see GroundDecorSceneEntity.csv). This override always throws IllegalStateException (wrapped by TextureLoadException.method2929 with a diagnostic literally reading 'un.N(...)', confirming the pre-obfuscation class/method was 'un.N') - i.e. normal-merging is simply unsupported for plain wall entities. Note: SceneObjectEntity.csv named this same slot 'renderWithTarget' for its own always-throwing override; 'mergeNormals' is used here as the more evidence-backed name given GroundDecorSceneEntity's real implementation, but the two already-completed CSVs are inconsistent with each other and may need reconciling in a later pass."
method2388,isPendingRemoval,i: Int,unusedFlag: Int,medium,"Overrides SceneEntity's abstract method2388 (same slot as SceneObjectEntity.method2388/isPendingRemoval, see SceneObjectEntity.csv). Always returns false; decoy guard `i>=-65 -> return false` is a no-op since both branches return the same value."
method2392,unsupportedOperation,bool: Boolean,triggerThrow: Boolean,medium,"Overrides SceneEntity's abstract method2392 (same slot as SceneObjectEntity.method2392/unsupportedOperation, see SceneObjectEntity.csv). Throws IllegalStateException only when triggerThrow==true; consistent with sibling classes' 'this hook is unimplemented for this entity type' pattern given real callers are expected to always pass true (per method2394/getModelHeight's established always-true call convention documented elsewhere in this codebase)."
method2384,collectSoundEnvelopesAtEntity,"class348_sub1s: Array<AbstractTileShape?>?, i: Int","outEnvelopeShapes: Array<AbstractTileShape?>?, unusedFlag: Int",high,"Overrides SceneEntity's abstract method2384; delegates to this.method2390(outEnvelopeShapes, x shr MapTileShape.anInt4459, -2, y shr MapTileShape.anInt4459) - identical delegation pattern to SceneObjectEntity.method2384/collectSoundEnvelopesAtEntity (see SceneObjectEntity.csv). Leading `val i_10_ = 122 % ((-14 - unusedFlag) / 61)` is a discarded decoy computation."
method2483,getShortGridValue,"i: Int, i_0_: Int","xIdx: Int, yIdx: Int",low,"Companion, @JvmStatic. Returns BooleanGraphicsOptionState.aShortArrayArray5847[xIdx][yIdx] masked to 0xffff, or 0 if that array is unallocated. SEMANTICALLY UNRELATED to WallEntity - reuses a 2D short array stored on an unrelated *GraphicsOptionState class, matching this codebase's common decompiler-merged-static pattern; exact data represented by the grid was not identified in this pass."
method2484,clearLinkedQueueNodeCache,i: Int,unusedFlag: Int,low,"Companion, @JvmStatic. Nulls aLinkedQueueNode_8766. Decoy `if (unusedFlag != 0) getDefaultModelOrSpriteHolder(-24)` (method2487, result discarded)."
method2485,isPeriodicBufferCounterAtThreshold,i: Int,unusedFlag: Int,low,"Companion, @JvmStatic. Reads a counter field (GlElementArrayBuffer.aClass348_Sub42_Sub12_4846.anInt9608), wrapping it down by 2000 once it reaches/exceeds that threshold, then returns whether it now equals exactly 1011 - reads like a periodic/modulo timer check on an unrelated GL buffer object's counter; SEMANTICALLY UNRELATED to wall entities, another decompiler-merged static. `unusedFlag` only feeds a discarded decoy expression."
