current_name,recommended_name,current_params,recommended_params,confidence,notes
method178,drawLabelBorder,"i: Int, bool: Boolean, i_16_: Byte, i_17_: Int","x: Int, unused: Boolean, unusedByte: Byte, y: Int",medium,"Public override (likely of WorldMapElement's abstract render/draw hook - WorldMapElement.kt not cross-referenced in this pass). Draws two overlapping rectangle outlines via the active Renderer's method3628 (named drawRectOutline in this batch's SoftwareRenderer.csv, though the exact abstract contract name may differ) around the associated WorldMapTextLabel's bounds: an outer border sized (label.width+4, label.height+2) colored with the label's own anInt8585 field, and an inner border sized (label.width+2, label.height) colored 0 (black) - a two-tone box border effect. `bool` and `i_16_` are not referenced in the traced body except a decoy null-out of InboundPacketHeader.aInboundPacketHeader_8365 when i_16_ > -6."
method182,drawFillBar,"i: Int, i_18_: Int, i_19_: Int, bool: Boolean","unused: Int, y: Int, x: Int, unused2: Boolean",high,"Public override, matches the class name SolidFillComponent. Computes a fill width `i_21_ = method183(116) * labelWidth / 10000` (method183 presumably an inherited WorldMapElement percentage getter, 0-10000 fixed point), then draws two flat-colored quads via the renderer's aa()/drawGroundOverlayQuad: the filled portion (width=i_21_) using the label's anInt8591 color, and the remaining background portion using color 0 - i.e. a classic proportional progress/fill bar, confirming this class's purpose. `i` (first param) is computed into a local (`-110 / ((-20 - i) / 57)`) but never used - a decoy/dead computation. `bool` also unreferenced in the traced body."
method1164,resetWorldMapAndContactCaches,i: Byte,threshold: Byte,low,"Companion, static. If threshold <= -42, nulls TextureMaterialGroup.aJs5Archive_1940, this class's own aClass348_Sub42_Sub12_1946 (ContactEntry?), and SceneNodeDeque.aWidgetComponentArray1942 - a mixed teardown hook touching texture/contact-list/widget-component statics unrelated to a 'solid fill component'. Likely decompiler-merged content per the project's documented recurring pattern."
method191,dispatchOverheadLabelOrContact,"bool: Boolean, i: Int, i_0_: Int","flag: Boolean, x: Int, y: Int",low,"Companion. Dispatches on NpcEntityUpdater.anInt3655 (0/1/2) to either method2291 (grayscale-conditional overhead label draw) or SpriteMaskShape.method2599 (contact-related draw using this class's aClass348_Sub42_Sub12_1946 field), then always resets NpcEntityUpdater.anInt3655=0 and nulls aClass348_Sub42_Sub12_1946; calls method197(true) if `flag`!=true. Content (NPC overhead labels, contact entries) is unrelated to a solid-fill progress-bar widget - flagged as likely decompiler-merged companion content per the project's documented pattern."
method192,setModelLightingConfigAt,"modelLightingConfig: ModelLightingConfig?, i: Int, i_1_: Int, i_2_: Int","config: ModelLightingConfig?, tag: Int, row: Int, col: Int",medium,"Companion. Stores `config` into NodeDequeStatics.aModelLightingConfigArrayArray3335[row][col]; sets anInt8363=32 as a decoy side effect when tag != 10000."
method193,resetBoundsAndInboundCaches,i: Int,mode: Int,low,"Companion. If mode==30, nulls aBoundsConstraintEntry_8356, aBooleanArrayArrayArray8361, and InboundPacketHeader.aInboundPacketHeader_8365 - another mixed-content static reset."
method194,generateGradientTextureBuffer,"i: Int, i_3_: Int, i_4_: Int, f: Float, i_5_: Int, f_6_: Float, f_7_: Float, f_8_: Float, f_9_: Float, textureGenerator: TextureGenerator?, i_10_: Int","width: Int, tag: Int, channels: Int, a: Float, height: Int, b: Float, c: Float, d: Float, e: Float, textureGenerator: TextureGenerator?, depth: Int",medium,"Companion. Allocates a ByteArray(width*height*depth) and fills it via CameraConfigDefinition.method1919 using `textureGenerator` and the float params - a procedural texture/gradient buffer generator. Decoy field write (aBoundsConstraintEntry_8356=null) when tag != -1922."
method195,isSequenceFrameIdValid,"i: Int, bool: Boolean, i_11_: Int","frameId: Int, unused: Boolean, seqId: Int",low,"Companion. Looks up a cached SeqDefinition (GradientLookupEffect.aSeqDefinitionCache_9195) by seqId, normalizes frameId (11->10, 5..8->4), and returns its method478 result if `unused`==false; returns false immediately if `unused` is true (making the whole check a no-op in that case) - an animation-frame validity check, unrelated to this class's fill-bar purpose."
method196,remapAndDrawWidgetElementsIfInRange,"bool: Boolean, i: Int, i_13_: Int, i_14_: Int, i_15_: Int","flag: Boolean, x: Int, colId: Int, y: Int, playerCount: Int",low,"Companion. If `flag`!=true, calls method192 with fixed args first. If playerCount falls within [LocalPlayerState.anInt1910, WidgetTextConfig.anInt513], remaps x/y via WhirlpoolHash.method831 against CameraNodeList/WorldMapLabel statics and calls method223/drawWidgetElementBufferClamped - a coordinate remap + conditional widget element draw, unrelated to fill-bar rendering."
method197,getTextureQualityLevel,bool: Boolean,resetCache: Boolean,medium,"Companion. Returns TextureQualityOptionState.anInt6637; if `resetCache`, first nulls aBoundsConstraintEntry_8356 as a side effect."
method198,setSocketAndCameraRotationState,"widgetComponent: WidgetComponent?, bool: Boolean, i: Int, i_22_: Int","widgetComponent: WidgetComponent?, flag: Boolean, socketId: Int, configValue: Int",low,"Companion. Stores into SocketGameConnection.anInt5832=socketId, ConfigValueProvider.anInt4911=configValue, CameraRotationStub.aWidgetComponent_323=widgetComponent - three entirely unrelated global statics (network socket id, a config value, and a camera-rotation-stub's widget reference), with a further decoy write (anInt8363=112) when flag. Strong candidate for the project's documented 'decompiler merged unrelated content into companion object' pattern - none of these fields relate to a solid-fill UI component."
method2291,layoutOverheadChatLabel,"i: Byte, i_4_: Int, i_5_: Int","tag: Byte, x: Int, y: Int",medium,"Companion. Computes the max text width of either a ContactList's or a plain linked list of ContactEntry nodes' rendered chat/name text (via WorldMapLabel.aFontDefinition_4962.method1183 and ChatMessageStream.method138/RegionSceneLoader.method2194), derives a clamped label position from (x,y) against LocTypeDefinition.anInt4017/GameDisplayManager.anInt10432 bounds, and writes the result into several unrelated global position statics (GlArrayBufferObject.anInt4717, ScrollbarComponent.aBoolean8335, ProceduralTextureGraph.anInt9532, SceneTileBounds.anInt1117, WorldMapSceneSoftware.anInt5819) - looks like a shared 'position an overhead chat bubble/name label' helper, unrelated to this class's own fill-bar purpose; called from method191."
method223,drawWidgetElementBufferClamped,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int, i_3_: Byte","a: Int, b: Int, index: Int, c: Int, tag: Byte",medium,"Companion. Draws an element-array buffer (WidgetDefinition.anIntArrayArray255[index]) via GlElementArrayBuffer.method1156, picking min/max ordering of (a,c) as the draw range. Called from method196."
