current_name,recommended_name,current_params,recommended_params,confidence,notes
method980,getHeight,,,high,"Override of abstract AbstractModelRenderer.method980. Returns anInt8417 + anInt8419 + anInt8397 (core content height plus top/bottom insets). Confirmed by AbstractModelRenderer's own concrete helpers (method961/method967/method976/method977/method981), which all divide `method980().toFloat() / 2.0f` to get a half-height for rotation-around-center math, exactly mirroring the width/method966 pairing."
method985,setInsets,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int","left: Int, top: Int, right: Int, bottom: Int",high,"Override of abstract AbstractModelRenderer.method985. Stores anInt8419=top, anInt8397=bottom, anInt8400=left, anInt8416=right, and sets aBoolean8418 = true iff any of the four is non-zero (a cached 'hasInsets' flag read by method962/method968/method982/method983 to decide whether to adjust draw coordinates for the inset margins). Param order confirmed by cross-referencing with method966 (width = left+right+content) and method980 (height = top+bottom+content)."
method986,uploadPixelRegion,"i: Int, i_3_: Int, i_4_: Int, i_5_: Int, `is`: IntArray, i_6_: Int, i_7_: Int","x: Int, y: Int, width: Int, height: Int, pixels: IntArray, srcOffset: Int, stride: Int",medium,"Private helper that forwards to anInterface18_Impl3_8403.method68(stride, 22809, pixels, x, srcOffset, width, y, height) - a texture sub-region pixel upload (22809 is a fixed GL-style format/type constant). Called from method968 and method979 after each builds a locally-faded/processed copy of a captured pixel snapshot."
method966,getWidth,,,high,"Override of abstract AbstractModelRenderer.method966. Returns anInt8416 + anInt8400 + anInt8411 (core content width plus left/right insets), the width counterpart to method980/getHeight; both are used together in AbstractModelRenderer's rotation helpers as `method966()/2` and `method980()/2` (rotation center)."
method969,getContentHeight,,,high,"Override of abstract AbstractModelRenderer.method969. Returns anInt8417 directly - the core/content height *without* the top/bottom insets that method980/getHeight adds in. Companion to method971/getContentWidth."
method962,drawRotatedQuad,"f: Float, f_12_: Float, f_13_: Float, f_14_: Float, f_15_: Float, f_16_: Float, i: Int, i_17_: Int, i_18_: Int, i_19_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, colorOrTexId: Int, uOrFlag: Int, vOrFlag: Int, unused: Int",medium,"Override of abstract AbstractModelRenderer.method962, invoked only via the base class's private method961/method978 pair, which build 3 rotated corner points (x0/y0 .. x2/y2) of this icon's quad from a center, size and 16-bit angle (sin/cos lookup, angle*2*PI/65536) before calling this. Sets up GL/native render state (framebuffer choice, blend/depth toggles) then draws a textured quad via the native renderer's matrix + draw-triangle calls. When aBoolean8418 (has-insets) is set, first shifts the 6 corner floats inward/outward by the 4 inset margins (anInt8400/8416/8419/8397) scaled by width/height ratios - i.e. keeps the drawn quad's *content* rectangle aligned when the icon has padding. Exact meaning of the trailing int params (colorOrTexId/uOrFlag/vOrFlag) not conclusively identified from this file alone; the 4th (unused) is always passed 1 by all internal callers (method978's own hardcoded trailing arg)."
method965,drawTiledOrScaledRegion,"i: Int, i_35_: Int, i_36_: Int, i_37_: Int, i_38_: Int, i_39_: Int, i_40_: Int","x: Int, y: Int, texW: Int, texH: Int, drawW: Int, drawH: Int, unused: Int",low,"Override of abstract AbstractModelRenderer.method965. Branches on two capability flags computed in the constructors: `aBoolean8391 && anInt8419==0 && anInt8397==0` (can rely on the texture's native vertical wrap because there's no top/bottom inset) and the horizontal equivalent using aBoolean8396/anInt8400/anInt8416. When both hold it draws a single quad and lets the GPU's texture wrap handle repetition (fast path); when only one holds it loops quads along the other axis; when neither holds it double-loops quads along both axes with a final partial-tile remainder draw on each axis. Net effect: draw this icon tiled/repeated to fill an arbitrary target rectangle, using hardware wrap where the inset configuration allows it. Individual int-parameter roles beyond 'position + tile size + draw size' are not fully disambiguated."
method983,drawRotatedSprite,"f: Float, f_66_: Float, f_67_: Float, f_68_: Float, f_69_: Float, f_70_: Float, i: Int, var_sprite: Sprite?, i_71_: Int, i_72_: Int","x0: Float, y0: Float, x1: Float, y1: Float, x2: Float, y2: Float, flag: Int, sprite: Sprite?, offsetX: Int, offsetY: Int",medium,"Override of abstract AbstractModelRenderer.method983, invoked only via the base class's private method967/method975 pair which build the same kind of rotated-corner-quad as method962 (sin/cos on a 16-bit angle). Casts `sprite` to IndexedSprite to get its underlying texture (anInterface18_Impl3_5196), sets up the quad transform (adjusting for insets when aBoolean8418 is set, same as method962) and additionally draws the sprite's own texture as a second overlay quad offset by (offsetX, offsetY) - i.e. draws a rotated/positioned icon plus an offset sprite overlay in one call (likely an icon + its highlight/selection overlay)."
method968,captureAndFadeEdgeSnapshot,"i: Int, i_77_: Int, i_78_: Int","x: Int, y: Int, fadeDirection: Int",low,"Override of abstract AbstractModelRenderer.method968. Reads back a `width x height` pixel rectangle from the renderer at (x,y) via aHa_Sub3_8407.na(...), then builds a faded copy: for fadeDirection 0/1 the alpha ramp is computed per-row (uniform across each row), for 2/3 it's computed per-column, using WhirlpoolHash.method2057/method1166 as generic ARGB channel-merge helpers. Re-uploads the faded copy via method986. Reads as building a directional alpha-gradient ('fade out toward one edge') copy of a captured region, but the exact visual purpose (drop-shadow vs. soft vignette on a map/UI icon) was not conclusively identified."
method982,drawScaledIcon,"i: Int, i_94_: Int, i_95_: Int, i_96_: Int, i_97_: Int, i_98_: Int, i_99_: Int, i_100_: Int","x: Int, y: Int, texW: Int, texH: Int, colorOrTexId: Int, uOrFlag: Int, vOrFlag: Int, flag: Int",medium,"Override of abstract AbstractModelRenderer.method982. When aBoolean8418 (has-insets) is set, rescales texW/texH and the draw position proportionally by the content width/height ratio (anInt8411/getWidth(), anInt8417/getHeight()) before drawing a single non-rotated quad at (x,y). The non-inset-aware sibling of method965's tiling logic - draws the whole icon scaled to fit, rather than tiled."
