current_name,recommended_name,current_params,recommended_params,confidence,notes
method2880,detachStream,class348_sub16: AudioStreamNode,stream: AudioStreamNode,high,"Calls stream.method2715(94.toByte()) = LinkedListNode.method2715, which unlinks a node from whatever doubly-linked list currently owns it (removes it and nulls its prev/next). Called widely (CharacterRenderState.kt, FloatCameraTransform.kt, SocketGameConnection.kt, etc.) to detach a finished/replaced audio stream from the mixer's input deque - essentially removeInput/detach."
method2819,skipSamples,i: Int,length: Int,high,"Override of AudioStreamNode's abstract 'silent advance'. Core scheduling loop: advances up to `length` samples, but stops early at the next scheduled effect boundary (anInt8967, -1 = none scheduled). Delegates the actual per-chunk skip to method2884(chunkLength) for all child input streams, then once the boundary is reached calls method2885() to rebase effect clocks and pops/reschedules the head AbstractEffectNode from aNodeDeque_8966 via method2881/method2882 based on class348_sub30.method3005(this) (negative = effect finished)."
method2816,firstChild,(none),(none),high,"Returns aNodeDeque_8965.method1995(4) as AudioStreamNode? - the first queued input/child stream node (peek head of the mixer's input deque)."
method2881,scheduleEffect,"linkedListNode: LinkedListNode, class348_sub30: AbstractEffectNode","afterNode: LinkedListNode, effect: AbstractEffectNode",medium,"Walks forward from `afterNode` through aNodeDeque_8966 (the effect list, sentinel aLinkedListNode_3334) while the next effect's anInt6912 (its scheduled trigger sample-count) is <= `effect`'s, then splices `effect` into the list at that position via the companion method3265 (insertAfter). Afterwards recomputes anInt8967 = the new head effect's trigger time. Effectively (re)inserts an effect into the time-sorted schedule."
method2882,removeEffect,class348_sub30: AbstractEffectNode,effect: AbstractEffectNode,medium,"Unlinks `effect` from aNodeDeque_8966 (via LinkedListNode.method2715) and finalizes it (method3006 = dispose/stop), then updates anInt8967 to the new head effect's trigger time, or -1 if the effect list is now empty."
method2883,addInput,class348_sub16: AudioStreamNode,stream: AudioStreamNode,high,"Public @Synchronized: aNodeDeque_8965.method2001(stream, -109) = push the new stream node onto the front of the mixer's input deque. Called from FrameBufferObject.kt, SocketGameConnection.kt, StreamingResourceRequest.kt, MidiSequencePlayer.kt, SynthVoiceGroup.kt whenever a new audio stream should start mixing into this scheduler."
method2884,skipAllInputs,"i: Int",length: Int,high,"Iterates every input stream in aNodeDeque_8965 (first/next via method1995/method1990) and calls class348_sub16.method2819(length) on each - i.e. silently advances every child stream by `length` samples. Called from the skipSamples(method2819) scheduling loop."
method2885,advanceEffectClock,(none),(none),high,"If anInt8968 (samples elapsed since the schedule was last rebased) is > 0: subtracts it from every AbstractEffectNode's anInt6912 (trigger countdown) in aNodeDeque_8966 and from anInt8967 (next trigger time), then resets anInt8968 to 0. Rebases the effect schedule after time has passed."
method2886,mixAllInputs,"`is`: IntArray, i: Int, i_2_: Int","buffer: IntArray, offset: Int, length: Int",high,"Iterates every input stream in aNodeDeque_8965 and calls class348_sub16.method2815(buffer, offset, length) (AudioStreamNode's produce/mix dispatcher) on each, accumulating all children's audio into the same output buffer. Called from the renderSamples(method2817) loop."
method2887,getInputCount,(none),(none),high,"Public @Synchronized: returns aNodeDeque_8965.method1998(0) = number of nodes currently in the input deque. Used by ConfigArchiveLoader.kt for an 'Active streams: N' debug overlay line."
method2818,nextChild,(none),(none),high,"Returns aNodeDeque_8965.method1990(95.toByte()) as AudioStreamNode? - advances the input deque's iteration cursor (set by a prior firstChild/method2816 call) and returns the next child stream."
method2821,getMixCost,(none),(none),low,"Override always returns 0, consistent with other 'container/group' nodes (MidiSequencePlayer, SynthVoiceGroup) as opposed to leaf voices (PcmStreamBuffer returns 1). See AudioStreamNode.csv method2821 notes - exact accounting semantics in SoundChannelMixer are not fully traced, kept low confidence."
method2817,renderSamples,"`is`: IntArray, i: Int, i_3_: Int","buffer: IntArray, offset: Int, length: Int",high,"Override of AudioStreamNode's abstract render method; @Synchronized. Same scheduling structure as skipSamples(method2819) but calls method2886 (mix children into `buffer`) instead of method2884 (silent skip) for each chunk up to the next effect boundary, then processes/reschedules the head effect exactly like method2819 does. This is the real 'produce audio + fire effects' entry point used when this mixer node is actively playing."
method3265,insertAfter,"i: Int, linkedListNode: LinkedListNode?, linkedListNode_0_: LinkedListNode?","tag: Int, node: LinkedListNode?, afterNode: LinkedListNode?",high,"Companion/static generic doubly-linked-list splice utility (not audio-specific - also called directly from RenderableEntry.kt on unrelated node types). Unlinks `node` if already linked (LinkedListNode.method2715), then inserts it immediately after `afterNode` by rewiring aLinkedListNode_4294/4295 pointers; increments the static counter anInt10462. The leading `i` param is only used to format the exception message on failure (e.g. 'qh.K(...)') - a debug/opaque tag, not real logic."
