current_name,recommended_name,current_params,recommended_params,confidence,notes
method1710,getDefaultValue,i: Int,sentinel: Int,high,"Overrides GraphicsOptionState.method1710; returns the hardcoded default value 0 for this brightness option. `if (i != 20014) method1712(-15, 91)` is a dead opaque-predicate branch - real callers always pass the codebase-wide 'get default' sentinel 20014, confirmed across ~25 sibling *OptionState classes (e.g. BinaryGraphicsOptionState, BooleanGraphicsOptionState, AntialiasOptionState) which all call `method1710(20014)` identically."
method1743,getValue,i: Int,sentinel: Int,high,"Returns this.anInt3138 (current brightness level). Real call sites always pass -32350 (AbstractCameraTransformStatics.kt:20, ChatCommandProcessor.kt:1808, ConfigArchiveLoader.kt:308, DisplaySettingsConfig.kt:277), matching the same getValue() sentinel convention used by every sibling *OptionState class (BooleanGraphicsOptionState.method1720, BinaryGraphicsOptionState.method1768, etc). `if (i != -32350) return -65` is a dead branch never triggered by real callers."
method1744,isHardwareBenchmarkSufficient,i: Int,unused: Int,medium,"Returns true if this.aClass348_Sub51_3136.method3428(byte).method1458(-23688) (a GPU/hardware benchmark score obtained via the owning DisplaySettingsConfig's LoadingScreenState) is >= 96 - the same threshold used by method1714/method1716 to gate brightness levels 1-3. Only real call site is ChatCommandProcessor.kt:2486 (a clientscript opcode pushing the boolean result as 1/0), suggesting a script-exposed 'is brightness adjustment supported on this hardware' query. `i` is effectively unused for real branching - the `if (i <= 85) method1743(-113)` call's result is discarded."
method1716,normalizeValue,bool: Boolean,unused: Boolean,medium,"Overrides GraphicsOptionState.method1716; re-derives this.anInt3138 from the current hardware benchmark score (via aClass348_Sub51_3136.method3428(...).method1458(-23688)), stepping it down through levels 0/1/2 as the score falls below 96/128/192 respectively, and falling back to method1710(20014)/getDefaultValue if the stored value is outside the valid 0..3 range. The one confirmed real invocation is DisplaySettingsConfig.method3426's reflection-based 'revalidate every GraphicsOptionState field' pass (`graphicsOptionState.method1716(false)`). `bool` only affects the unrelated aCompiledScriptCache_5900 field (nulled when true) and anInt5897++, so it is a decoy at the real call site (always literal false)."
method1714,getSupportedLevel,"i: Int, i_1_: Int","requiredTier: Int, candidateValue: Int",medium,"Overrides GraphicsOptionState.method1714 (called by GraphicsOptionState.method1718 as `method1714(3, candidateValue)`, and equivalently by ChatCommandProcessor's clientscript opcode dispatcher for sibling *OptionState classes, always with requiredTier=3). Performs real hardware gating here: fetches the benchmark score (aClass348_Sub51_3136.method3428(...).method1458(requiredTier xor 0x5c84.inv())), then returns 3 (a 'not supported / reject' sentinel, matching GraphicsOptionState.method1718's `if (method1714(3,i) != 3) applyValue` contract) if score < 96, or if candidateValue > 1 and score < 128, or if candidateValue > requiredTier and score < 192; otherwise returns 1 ('supported'). The third condition (`i_1_ > i`) is an opaque predicate in practice: since requiredTier is always the literal 3 at every real call site and candidateValue is a brightness level in 0..3, `candidateValue > 3` can never be true, so that branch is dead."
method1712,setValue,"i: Int, i_3_: Int","unused: Int, value: Int",high,"Sets this.anInt3138 = i_3_ (second param, the real candidate value); `i` only feeds a discarded expression `val i_4_ = -32 / ((82 - i) / 35)`. Mirrors BooleanGraphicsOptionState.method1712 and the abstract contract established by GraphicsOptionState.method1718's `method1712(124, i)` call."
<init>,<init>,"i: Int, class348_sub51: DisplaySettingsConfig","initialValue: Int, config: DisplaySettingsConfig",high,"Delegates to GraphicsOptionState(i, config), setting anInt3138 = i directly; used when deserializing a saved brightness value from disk (mirrors the sibling classes' equivalent constructors, e.g. `SomeOptionState(class348_sub49.readUnsignedByte(255), this)` in DisplaySettingsConfig)."
<init>,<init>,class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Delegates to GraphicsOptionState(config), which sets anInt3138 = method1710(20014)/getDefaultValue() - used to construct a brand-new/default settings object."
method1745,getStringPacketLength,"string: String, i: Int","string: String, unused: Int",high,"Trivial: returns string.length + 1 (the second param is entirely unused). Used pervasively across the codebase (ChatCommandProcessor, GlWaterRenderPass, HslAdjustTextureNode, NpcDefinitionCache, ProjectileConfigUtil, ScrollTexMaterialPass, WallSceneEntity, WorldMapToggle) immediately before/while writing a string into an outbound packet buffer, to compute the length-prefix byte (string byte length + 1 terminator). Unrelated to brightness options conceptually - parked here by the obfuscator as a shared static string-length utility."
method1746,clearCache,i: Int,unused: Int,high,"Nulls anIntArray5902 (the base64-like decode table built in the companion init block), aCompiledScriptCache_5900, and anIntArrayArray5894. Real call site is Client.kt's logout/reset cascade (`method1746(-15628)`), alongside BooleanGraphicsOptionState.method1723 and BrightnessContrastEffect.method3074's analogous reset calls. `if (i != -15628) aCompiledScriptCache_5900 = null` is a redundant/no-op-difference decoy (the same field is nulled unconditionally on the very next line)."
