current_name,recommended_name,current_params,recommended_params,confidence,notes
method3493,clearFlagBits,"i: Int, i_0_: Int, i_1_: Int, i_2_: Int","mask: Int, unusedGuard: Int, y: Int, x: Int",high,"Private. `grid[y][x] = WhirlpoolHash.method1166(grid[y][x], mask.inv())`; method1166 is confirmed (read at WhirlpoolHash.kt:231-233) to be a plain `a and b`, so this ANDs the cell with the inverse of `mask` -- i.e. clears the given collision-flag bits at (x,y). Used exclusively by method3506/unflagWallShape to remove wall-blocking bits when a wall/fence loc is demolished. The `if (unusedGuard > -120) method3509(...)` branch is a dead opaque predicate: every call site in method3506 passes a literal in the -121..-128 range for this arg, so it never fires."
method3494,setFlagBits,"i: Int, i_3_: Int, i_4_: Int, i_5_: Int","y: Int, mask: Int, x: Int, unusedGuard: Int",high,"Private. `grid[y][x] = WhirlpoolHash.method2057(grid[y][x], mask)`; method2057 is confirmed (WhirlpoolHash.kt:285-287) to be `a or b`, so this ORs in the given collision-flag bits at (x,y). Used exclusively by method3510/flagWallShape to add wall-blocking bits when a wall/fence loc is placed. The recursive `if (unusedGuard != -6496) method3494(20, -107, -63, 115)` is a dead opaque predicate -- every real call site (all from method3510) passes the literal -6496."
method3495,isReachable,"i: Int, i_6_: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int, i_12_: Int","srcX: Int, srcY: Int, srcSize: Int, direction: Int, targetX: Int, targetY: Int, approachMode: Int, unusedChecksum: Int",medium,"Classic OSRS 'reachable' adjacency check. Fast path (srcSize==1): exact/trivial coincidence checks. General path subtracts this map's regionBaseX/(anInt4441)/regionBaseY(anInt4453) to get local grid coordinates, then for approachMode 0 (cardinal-adjacent), 2 (a second cardinal-adjacent variant), and 9 (single-direction diagonal-style check keyed by `direction` 0-3) tests neighbouring-tile adjacency plus, where applicable, that the shared edge's wall-flag bit combined with the 'always-blocking' mask 0x2c0000 (== FLOOR_DECORATION 0x40000 | an unidentified 0x80000 bit | FLOOR 0x200000) is clear on the far side -- i.e. 'is there an unobstructed shared edge between the two rectangles'. Bit constants 0x2/0x8/0x20/0x80 line up with the well-known OSRS wall-flag bits (north/east/south/west respectively). `unusedChecksum` is a confirmed decoy (only feeds a dead `64 % (...)` expression); call sites (MapAreaDefinition.kt, ScrollbarComponent.kt, SeqDefinitionCache.kt) pass varying literals (-71, 91, -53) with no behavioral effect. Exact real-world meaning of approachMode values 0/2/9 not fully disambiguated -- likely 'approach from any side', 'approach diagonally', and 'approach from one specific side' respectively."
method3496,flagFloorDecoration,"i: Int, i_16_: Int, i_17_: Int","x: Int, y: Int, unusedGuard: Int",high,"Sets bit 0x40000 (262144, the FLOOR_DECORATION collision flag) at (x,y) via setFlagBits/method2057 (OR). Confirmed call site WorldMapSceneSoftware.kt:83, gated on `class51.anInt920 == 1` (a loc-shape-id field), always passing the literal 1 for unusedGuard -- the `if (unusedGuard != 1) method3510(...)` branch is consequently dead in practice."
method3497,hasBlockingWallOnLine,"i: Int, i_18_: Int, i_19_: Int, i_20_: Int, i_21_: Int, i_22_: Int, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int","unusedChecksum: Int, ax: Int, blockedDirMask: Int, bWidth: Int, aY: Int, bHeight: Int, bx: Int, by: Int, aHeight: Int, aWidth: Int",low,"Given two axis-aligned tile rectangles (one at (ax,aY) sized aWidth x aHeight, the other at (bx,by) sized bWidth x bHeight), if they are exactly aligned edge-to-edge on one of the 4 sides (checked in turn), scans every tile along the shared edge for the corresponding single wall-flag bit (0x8 east, 0x80 west, 0x2 north, 0x20 south) provided that direction isn't already excluded by `blockedDirMask`; returns true as soon as an unobstructed tile is found on that edge, false if the rectangles aren't edge-aligned on any axis or every tile along the edge is blocked. Reads like a 'is there a clear entry point along this shared boundary' helper feeding into the reachability checks (method3503/method3504). `unusedChecksum` is confirmed decoy (`if (i != -28388) method3504(...)`, real call sites always pass -28388). Exact identity/ordering of the ax/aY/bx/by parameters vs. which rectangle is 'self' vs 'other' is a best-effort reconstruction from the arithmetic, not fully confirmed against a call site."
method3499,unflagFloorDecoration,"i: Byte, i_54_: Int, i_55_: Int","guard: Byte, y: Int, x: Int",high,"Counterpart to flagFloorDecoration: clears bit 0x40000 (FLOOR_DECORATION) at (x,y) via clearFlagBits/method1166 (AND NOT), but only when guard==-52. Confirmed call site WorldMapSceneSoftware.kt:556 always passes the literal (-52).toByte(), gated on the same `class51.anInt920 == 1` shape check as flagFloorDecoration -- this is the 'loc removed' counterpart of that method."
method3500,resetGrid,i: Int,unusedGuard: Int,high,"Initializes every cell of the collision grid: interior tiles (more than 5 tiles from either the anInt4437/anInt4443 edges) are set to 2097152 (0x200000, the FLOOR flag -- 'open floor, nothing else'), while border tiles (within the 5-tile padding used for cross-region object overlap) are set to -1 (every bit set, i.e. fully blocked/unusable). This is the standard per-region collision map (re)initialization, confirmed called with the map's own dimensions right after allocation (AnimatedModelRenderer.kt, InputStream_Sub1.kt, NormalMapTextureNode.kt, DelegatingRenderCanvas.kt all call it once per plane on region (re)load, always passing literal 700 or a decoy-XORed 700)."
method3501,unflagFloor,"i: Byte, i_58_: Int, i_59_: Int","unusedGuard: Byte, x: Int, y: Int",high,"Clears bit 0x200000 (2097152, the FLOOR flag) at (x,y) via clearFlagBits/method1166 -- marks a tile as having no walkable floor (e.g. a hole, void, or removed-floor special case). Confirmed call sites in WorldMapScene.kt, both bounds-checked against the scene's own width/height before calling. The local `i_60_ = -79 % ((guard - 66) / 39)` is a dead/decoy expression."
method3503,isRectReachable,"i: Int, i_64_: Byte, i_65_: Int, i_66_: Int, i_67_: Int, i_68_: Int, i_69_: Int, i_70_: Int, i_71_: Int","targetY: Int, unusedGuard: Byte, srcX: Int, size: Int, srcY: Int, targetX: Int, targetSize: Int, wallMask: Int, srcSize: Int",low,"Dispatcher variant of the reachability check: for size>1 it delegates to TwoStateOptionState.method1842 (an external predicate, likely a bounding-box overlap test) OR'd with hasBlockingWallOnLine (method3497); for size<=1 it does a direct 4-neighbour adjacency test against a fixed wall-bit set (0x8/0x80/0x2/0x20) similar to isReachable's approachMode==9 case. Confirmed called from the same call sites as isReachable/isWallShapeReachable (MapAreaDefinition.kt, ScrollbarComponent.kt, SeqDefinitionCache.kt) as one of a family of 4 reachability checks tried in sequence for object/NPC interaction. `unusedGuard` (Byte) is confirmed decoy -- only feeds a dead `64 % (...)` expression, varies across call sites (-98, 110, -82) with no effect. Parameter-to-role mapping is a best-effort reconstruction from the arithmetic, not independently confirmed."
method3504,isWallShapeReachable,"i: Int, i_75_: Int, i_76_: Int, i_77_: Int, i_78_: Int, i_79_: Int, i_80_: Int, i_81_: Int","destX: Int, srcX: Int, destY: Int, srcY: Int, shape: Int, unusedGuard: Int, orientation: Int, size: Int",medium,"Reachability check specialized for wall/fence-shaped locs (shape 6, 7, or 8 -- shape 7 has its orientation remapped via `orientation = (orientation + 2) and 0x3` before dispatch, consistent with a diagonal-wall variant needing a 2-step rotation to align with shape 6's case table). For each of the 4 orientations, tests adjacency between (srcX,srcY) and the wall tile at (destX,destY) against the specific wall-bit (0x2/0x8/0x20/0x80) that the wall shape leaves open, with an additional size>1 bounding-range variant in the `else` branch. `unusedGuard` is a confirmed-dangerous decoy: `if (unusedGuard != 1) this.anInt4443 = -59` would corrupt the map's own width field if it ever fired, but every real call site (MapAreaDefinition.kt, ScrollbarComponent.kt, SeqDefinitionCache.kt) passes the literal 1, so it never does. The `i <= i` self-comparison inside the size>1 branch is very likely a decompiler artifact from two originally-distinct variables collapsing to the same synthesized name -- flagged rather than interpreted."
