current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_0_: Int, i_1_: Int, i_2_: Int","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int",high,"Delegates to GlTexture2D's blank-texture constructor, then computes UV scale factors: for GL_TEXTURE_RECTANGLE_ARB (34037) targets, `aFloat9937`/`aFloat9938` (u/v scale) are stored as raw `width`/`height` (rectangle textures use non-normalized texel coords), otherwise both are set to 1.0 and `aBoolean9941` (a 'non-rectangle/normalized' flag) is set true. This u/v-scale-plus-flag pattern repeats identically across every constructor in this file."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","renderer: OpenGlRenderer, internalFormat: Int, regionWidth: Int, regionHeight: Int, textureWidth: Int, textureHeight: Int",medium,"Always creates a GL_TEXTURE_2D (3553) blank texture sized `textureWidth`x`textureHeight`, but records the usable sub-region as `regionWidth`x`regionHeight` and derives UV scale factors `regionWidth/textureWidth`, `regionHeight/textureHeight` - i.e. this constructs a texture-atlas region (texture padded/allocated larger than the visible content). Finishes by forcing wrap mode via method1965(false,false,10243)."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, bool: Boolean","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int, mipmap: Boolean",high,"Delegates to GlTexture2D's float-array/noise constructor variant (5-Int + Boolean base signature) and applies the same rectangle-vs-normalized UV scale logic as the other constructors in this file."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_12_: Int, i_13_: Int, i_14_: Int, i_15_: Int, i_16_: Int, bool: Boolean","renderer: OpenGlRenderer, internalFormat: Int, regionWidth: Int, regionHeight: Int, textureWidth: Int, textureHeight: Int, unused: Boolean",medium,"Atlas-region variant (like the second constructor above) but for the int-pixel-data GlTexture2D base constructor family; forces GL_TEXTURE_2D target, derives UV scale from region/texture size ratios, and finishes with method1965(false,false,10243)."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_17_: Int, i_18_: Int, i_19_: Int, i_20_: Int, is: ByteArray?, i_21_: Int","renderer: OpenGlRenderer, internalFormat: Int, regionWidth: Int, regionHeight: Int, textureWidth: Int, textureHeight: Int, pixelData: ByteArray?, sourceFormat: Int",medium,"Allocates a blank GL_TEXTURE_2D texture then immediately uploads `pixelData` into the top-left `regionWidth`x`regionHeight` sub-rectangle via method1970/uploadByteSubImage, and computes UV scale as region/texture ratios - i.e. loads a source image smaller than the allocated (padded, power-of-two) texture."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_22_: Int, i_23_: Int, bool: Boolean, is: IntArray?, i_24_: Int, i_25_: Int","renderer: OpenGlRenderer, glTarget: Int, width: Int, height: Int, buildMipmaps: Boolean, pixelData: IntArray?, rowLength: Int, rowOffsetInts: Int",medium,"Delegates to GlTexture2D's int-pixel-data + mipmap-flag constructor with internal format hardcoded to GL_RGBA (6408), then applies the rectangle-vs-normalized UV scale logic used throughout this file."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_26_: Int, i_27_: Int, i_28_: Int, is: IntArray?","renderer: OpenGlRenderer, regionWidth: Int, regionHeight: Int, textureWidth: Int, textureHeight: Int, pixelData: IntArray?",medium,"Allocates a blank GL_TEXTURE_2D/GL_RGBA texture sized `textureWidth`x`textureHeight`, uploads `pixelData` into the `regionWidth`x`regionHeight` top-left sub-rectangle via method1964/uploadIntSubImage, computes UV scale as region/texture ratios, and forces wrap mode via method1965(false,false,10243)."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_29_: Int, i_30_: Int, i_31_: Int, bool: Boolean, is: ByteArray?, i_32_: Int","renderer: OpenGlRenderer, glTarget: Int, width: Int, height: Int, buildMipmaps: Boolean, pixelData: ByteArray?, sourceFormat: Int",medium,"Delegates to GlTexture2D's byte-pixel-data + mipmap-flag constructor, then applies the same rectangle-vs-normalized UV scale logic as the other constructors here."
method3553,showLoadingProgressMessage,"bool: Boolean, i: Byte, i_1_: Int","flag: Boolean, unused: Byte, progress: Int",medium,"Companion, SEMANTICALLY UNRELATED to texture regions - part of the loading-screen subsystem (see method1971 below), misplaced here by the decompiler merge. Looks up a localized loading-status string (`LocalizedText.aLocalizedText_3495!!.method2063(ChatCommandProcessor.anInt6967, 544)`) and forwards it plus `flag`/`progress` into method1971. Called from ~15 call sites across the codebase during every stage of client loading (ClientLoadStateMachine, ConfigArchiveLoader, ResourceLoaderThread, ModelDataCache, GameClock, Client, OutgoingPacketNode, SpriteRenderable, HeightMapNoise, ArchiveResourceProvider, ChatCommandProcessor). The middle `i: Byte` param is never referenced anywhere in the method body at all (not even in a discarded expression) - confirmed fully dead/decoy across every one of those ~15 call sites despite each passing a different literal (100-123)."
method1971,renderLoadingScreenFrame,"i: Int, string: String?, bool: Boolean, i_11_: Int","unusedTag: Int, statusText: String?, flag: Boolean, progress: Int",medium,"Companion, part of the loading-screen subsystem (LoadingScreenState/TileRenderState/etc. field names confirm this), misplaced in this texture-region file by the decompiler merge. Resets several render-state singletons (ScrollingNoiseTexture, TileRenderState, NpcReference), queues the status text/progress via OggBitstreamDecoder.method2965, refreshes several caches (VarpStore, ModelHeaderCache, LocalizedTextStatics, AbstractCameraTransformStatics, TextureCache), and dispatches a loading-bar draw call chosen by `WorldMapRenderer.anInt4674` (an active-renderer-backend selector used elsewhere in the codebase). Always ends by nulling `LoadingScreenState.aRenderableEntryArray2636` via method2994(2), consistent with 'prepare/reset render list for the next loading-screen frame'. Both known call sites (this file's method3553 and WaterDetailOptionState.kt) always pass the literal -2 for the leading Int param - confirmed decoy, never used inside the body."
method2994,resetLoadingScreenRenderList,i: Int,tag: Int,medium,"Companion. When `tag == 2`, nulls `LoadingScreenState.aRenderableEntryArray2636` (the loading-screen's renderable list). Sole call site is internal, from method1971/renderLoadingScreenFrame (`method2994(2)`), which always passes the literal 2 - so the guard is trivially always-true there, not a decoy."
