current_name,recommended_name,current_params,recommended_params,confidence,notes
method2648,copyFrom,"cameraOrModelTransform_0_: CameraOrModelTransform, i: Byte","other: CameraOrModelTransform, unusedFlag: Byte",high,"Copies all 6 int fields (anInt4151/4154/4156/4158/4162/4165) from `other` into `this` -- a plain field-for-field copy/assign. The single real call site (Direct3dModel.kt:1163) always passes the literal 118.toByte(), making the `if (unusedFlag.toInt() != 118) method2647(true, '￥')` branch a dead opaque predicate (also note: that decoy call itself passes an out-of-range char to isDigit-style method2647, discarding the result)."
method2649,copy,i: Int,unusedFlag: Int,high,"Returns a new CameraOrModelTransform built via the private 6-arg constructor, passing all 6 of this instance's fields through in a shuffled order that the constructor un-shuffles back to the original field-to-field mapping (verified: anInt4156->anInt4156, anInt4165->anInt4165, anInt4162->anInt4162, anInt4158->anInt4158, anInt4154->anInt4154, anInt4151->anInt4151) -- i.e. a straightforward deep-copy/clone(). The `i`/`unusedFlag` parameter is completely unused in the body. Confirmed call site Direct3dModel.kt:1170 passes a dynamic value (`ModelDefinition.method2955(...)`) that has no effect on the result, confirming it's a genuine decoy rather than a disguised real argument."
<init>,<init>,i: Int,id: Int,high,"Primary/internal constructor. Sets anInt4156 = -1 then immediately overwrites it with `id` -- the initial -1 assignment is a dead artifact of the decompiler (never observably read before being overwritten). anInt4156 appears to be this object's primary identifying/type value; the other 5 fields (anInt4151/4154/4158 defaulting 0, anInt4162/4165 defaulting 128 -- 128 being the classic RS fixed-point '100%' scale constant) are left at their class-level defaults."
<init>,<init>,"i: Int, i_23_: Int, i_24_: Int, i_25_: Int, i_26_: Int, i_27_: Int","id: Int, y: Int, scaleY: Int, z: Int, x: Int, scaleX: Int",medium,"Private full-field constructor used only by method2649/copy() to construct a deep copy. Field mapping confirmed by tracing method2649's argument order against this constructor's body (this.anInt4156=id, anInt4165=y, anInt4154=x, anInt4158=z, anInt4162=scaleY, anInt4151=scaleX); the specific semantic labels (x/y/z/scaleX/scaleY) are a best-effort guess based on the 128-default fields looking like scale factors and the others looking like position/id components -- not independently confirmed by other call sites since this constructor is private and only reachable via copy()."
method2647,isDigit,"bool: Boolean, c: Char","unusedFlag: Boolean, c: Char",high,"Companion/static. Returns `c in '0'..'9'`. Confirmed call site ChatCommandProcessor.kt:4798 (`CameraOrModelTransform.method2647(true, i_442_.toChar())`) always passes `true`, making the `if (unusedFlag != true) method2653(true, 83)` branch a dead decoy (its boolean result is discarded; 83 is not in {10,11,12} so it would evaluate false anyway)."
method2650,drawRotatingCameraLabel,"fontDefinition: FontDefinition?, i: Int, var_sprite: Sprite?, i_1_: Int, i_2_: Int, string: String?, i_3_: Int, RSFont: RSFont?, i_4_: Int, widgetComponent: WidgetComponent?, i_5_: Int, i_6_: Int","fontDefinition: FontDefinition?, color: Int, sprite: Sprite?, dx: Int, dy: Int, text: String?, i3: Int, rsFont: RSFont?, i4: Int, widgetComponent: WidgetComponent?, x: Int, y: Int",low,"Companion/static. Reads the shared camera-rotation angle CameraDistanceOptionState.aFloat3938 (wrapped to 14-bit 0..16383 via `and 0x3fff`), looks up its sin/cos from SpotAnimVector's tables, rotates the (dx,dy) offset by that angle (with an extra scale-correction when a mode flag WeaveTextureNode.anInt9282 != 4), performs a widget-bounds/distance culling check, and if the point falls within the widget's bounds draws `text` via RSFont.method2584 at the rotated+centered position. Reads as a 'draw a text label that swings around with the current camera angle, clipped to its owner widget' helper -- e.g. a rotating minimap/compass label. Only call site FlipTextureNode.kt:665. Individual integer parameter roles beyond the ones traced (color, dx/dy offsets, final x/y anchor) are best-effort guesses; full body not exhaustively re-derived here."
method2651,getNativeLibraryFileName,"string: String?, i: Int","libName: String?, unusedGuard: Int",high,"Companion/static. Returns `lib<name>.so` on linux, `lib<name>.dylib` on mac, `<name>.dll` on windows (checked via OSInfo.aString6877), else null -- a standard native-library filename resolver. Single call site NoiseTextureGenerator.kt:187 always passes the literal 3, making the `if (unusedGuard != 3) method2650(...)` branch (with a batch of unrelated dummy args) a dead decoy whose only effect would be a discarded call into method2650."
method2652,blendPackedColor,"i: Int, i_16_: Int, i_17_: Int, i_18_: Int","colorA: Int, colorB: Int, mode: Int, weight: Int",medium,"Companion/static. Returns colorA unchanged if colorA==colorB; otherwise, when `mode==1`, linearly blends the two 16-bit packed colors channel-by-channel using bit masks 0x7f/0x380/0xfc00 (three packed sub-fields, matching the classic packed-HSL-style channel layout used elsewhere in this codebase, e.g. AbstractModel's blendRecolorTowards) weighted by `weight/128`; for any other `mode` value it returns the error sentinel -53. Confirmed via WorldMapScene.kt call sites: two calls pass the literal `1` for `mode`, but a third (`i + 26834`) passes a dynamic value whose relationship to 1 wasn't confirmed -- so unlike most decoys in this codebase, the `mode` gate may sometimes genuinely take the -53 error path in real usage; flagged as uncertain rather than a pure opaque predicate."
method2653,isWorldMapOpen,"bool: Boolean, i: Int","unusedFlag: Boolean, displayMode: Int",medium,"Companion/static. Returns `displayMode in {10, 11, 12}`, checked against the shared WorldMapRenderer.anInt4674 state field at every real call site (`CameraOrModelTransform.method2653(true, WorldMapRenderer.anInt4674)`), always passing `true` for `unusedFlag` (which otherwise nulls the small lookup table anIntArray4152 -- a dead decoy branch). Used pervasively to gate periodic scene/region-reload logic (RegionSceneLoader.kt, GameDisplayManager.kt, Client.kt, ChatCommandProcessor.kt), consistent with 'is the client currently showing the (full-screen) world map' -- the exact semantics of display-mode values 10/11/12 were not independently confirmed."
method2654,clearBlendLookupTable,i: Int,unusedFlag: Int,medium,"Companion/static. Nulls anIntArray4152 (a small 13-entry lookup table `intArrayOf(4,2,1,1,2,2,3,1,3,3,3,2,0)`, whose consumers weren't traced in this file). Single real call site Client.kt:1161 always passes the literal -6896, making the `if (unusedFlag != -6896) anInt4155 = -7` branch a dead opaque predicate."
