current_name,recommended_name,current_params,recommended_params,confidence,notes
method2133,endPass,i: Int,reason: Int,medium,"Overrides MaterialPass.method2133(i):Unit abstract. Body only runs `aHa_Sub2_3684.method3804(false, (-61).toByte())` (disable some fixed-function GL state) when `reason < -75`. Compared against the sibling implementation in WaterMaterialPass, whose method2133 unconditionally unbinds its texture and toggles a display-list font state -- both look like the 'tear down / disable this material's GL state after drawing' half of a begin/end pair with method2134. No external call sites were found for this specific override; role inferred from the abstract pairing and the sibling class's behavior."
method2140,bindTexture,"glTexture: GlTexture?, i: Byte, i_5_: Int","texture: GlTexture?, unused: Byte, textureUnit: Int",high,"Overrides MaterialPass.method2140(glTexture,i,i_5_):Unit abstract. Binds `texture` via `aHa_Sub2_3684.method3771((-80).toByte(), texture)` then sets a texture-unit/stage parameter via `method3761(0, textureUnit)`. WaterMaterialPass's override of the same abstract method does the identical two-call sequence, confirming the shape. The `if (i >= -89) method2136(-67, -39, 18.toByte())` call is a real conditional invocation of a sibling hook (see method2136) rather than an obvious decoy given no call sites were found to confirm which branch is live."
method2136,configureBlendMode,"i: Int, i_7_: Int, i_8_: Byte","modeA: Int, modeB: Int, reason: Byte",low,"Overrides MaterialPass.method2136(i,i_1_,i_2_):Unit abstract. In this fixed-function implementation the body is essentially a no-op besides a counter increment and a conditional re-invocation of endPass() (`if (reason > -42) method2133(35)`); no direct GL calls are made here itself. Name and params are a best-effort guess based on the parameter shape (two ints + a byte) typical of blend/texture-combine configuration in this codebase's other Pass classes; no other override of this abstract method was available in-scope to cross-check, and no external call sites were found."
method2137,isSupported,i: Int,unused: Int,medium,"Overrides MaterialPass.method2137(i):Boolean abstract. Always returns true regardless of input (the `if (i > -5) anInt6212 = 1` branch only sets an unused-looking counter-like field). WaterMaterialPass's override of the same abstract method also always returns true, suggesting this is a capability/support-check hook where the fixed-function and basic water paths are unconditionally supported (other, more advanced Pass implementations not in scope here presumably return false on unsupported hardware)."
method2134,beginPass,"bool: Boolean, bool_9_: Boolean","unusedFlag: Boolean, configureExtra: Boolean",medium,"Overrides MaterialPass.method2134(bool,bool_0_):Unit abstract. Unconditionally enables the same fixed-function GL state that endPass()/method2133 disables (`aHa_Sub2_3684.method3804(true, (-83).toByte())`), forming a begin/end pair with method2133; additionally invokes configureBlendMode()/method2136 when `configureExtra` is true. WaterMaterialPass's override of the same abstract method similarly re-enables state and conditionally does extra per-frame animation work, supporting this begin/end interpretation."
method2139,setLightingFlag,"bool: Boolean, i: Byte","unusedFlag: Boolean, unused: Byte",low,"Overrides MaterialPass.method2139(bool,i):Unit abstract. Body is entirely dead/no-op: the only computed value (`23 / ((-60 - i) / 38)`) is discarded, leaving just a counter increment. WaterMaterialPass's override of the same abstract method is equally inert (a similar discarded division plus a counter). Name is a low-confidence placeholder; this hook may simply not apply to either the fixed-function or basic water material passes in this codebase."
method2144,createTrackedGroundDecorTextures,"string: String?, i: Int, i_0_: Byte, i_1_: Int, string_2_: String?, string_3_: String?, string_4_: String?","name: String?, width: Int, unused: Byte, height: Int, texture1: String?, texture2: String?, texture3: String?",medium,"Companion/static. Thin wrapper around TrackedGroundDecor.method2477(...), re-throwing any RuntimeException as a TextureLoadException with a formatted debug argument dump (the same defensive-wrapper idiom seen throughout this codebase, e.g. AbstractModel.method602/method625). Clears the companion's aStringArray6205 cache on success unless `unused < -86`. No external call sites were found in-scope to confirm real argument values."
method2145,sendConfigRequestPacket,i: Int,reason: Int,low,"Companion/static, appears unrelated to material-pass rendering: builds an OutgoingPacketNode via WaterMaterialPass.method2148 (the shared packet-builder helper also used by FixedFunctionWaterPass) and writes a handful of fields (LocTypeDefinition.anInt4017, GameDisplayManager.anInt10432, a byte from ContactEntry.method3229, and a cipher-derived value) before dispatching via InterfaceComponentGroup.method3243. Looks like a decompiler-merged, unrelated outgoing-network-packet builder bundled into this class's companion object rather than genuine FixedFunctionMaterialPass behavior; no external call sites were found in-scope."
method2146,resetMinimapMarkers,i: Byte,unused: Byte,low,"Companion/static, appears unrelated to material-pass rendering: resets MinimapAreaMarkerNode state, clears ScrollbarComponent.aBoolean8335, and calls MinimapRectClipper.method226 with minimap-related statics. Another likely decompiler-merged, unrelated utility bundled into this file's companion object; no external call sites were found in-scope."
method2147,clearGroundDecorTextureCache,i: Int,reason: Int,medium,"Companion/static: nulls the companion's aStringArray6205 cache (mirrors the cache also cleared by method2144); the `if (i != -1) anInt6212 = -79` is a decoy field write. No external call sites were found in-scope."
