current_name,recommended_name,current_params,recommended_params,confidence,notes
method1710,computeDefaultLevel,i: Int,unused: Int,high,"Override of GraphicsOptionState.method1710, invoked by the base class's primary constructor as `method1710(20014)` to seed the option's initial level, and again by this class's own method1716 to reset an out-of-range level. Increments the call counter then returns 3 if `aClass348_Sub51_3136.method3428((-80).toByte())!!.method1456(111.toByte())` (a DisplaySettingsConfig capability/hardware-support check) is true, else 2 -- i.e. 'pick the highest supported flicker-effect level (3) if the capability check passes, otherwise fall back to 2'. The `if (i != 20014) Companion.method1749(...)` branch is a decoy: every real call site passes exactly 20014, and the decoy call passes obviously-wrong null MapLabelMenuEntry args to the unrelated companion comparator method1749 (would NPE if ever reached)."
method1751,getLevel,i: Int,unused: Int,high,"Own (non-override) method, called externally throughout the codebase (ChatEffectsOptionState.kt, ChatCommandProcessor.kt, Client.kt, ClientLoadStateMachine.kt, GameDisplayManager.kt, DisplaySettingsConfig.kt) always as a plain getter of the current level (this.anInt3138), e.g. `if (...aClass239_Sub8_7254!!.method1751(-32350) == 1)`. The parameter is mostly -32350 at call sites but not universally (DisplaySettingsConfig.kt uses `i + -33275` and `i + -32374` at two call sites); the internal `if (i != -32350) anInt5911 = 114` side effect only touches an unrelated companion counter and never affects the return value, which is always this.anInt3138 regardless of the parameter."
<init>,"FlickeringEffectsOptionState(config)",class348_sub51: DisplaySettingsConfig,config: DisplaySettingsConfig,high,"Primary constructor, delegates straight to GraphicsOptionState(config), which seeds anInt3138 via method1710(20014)/computeDefaultLevel -- 'create this option at its capability-appropriate default level'."
<init>,"FlickeringEffectsOptionState(initialLevel, config)","i: Int, class348_sub51: DisplaySettingsConfig","initialLevel: Int, config: DisplaySettingsConfig",high,"Secondary constructor, delegates to GraphicsOptionState(i, config) which stores i directly into anInt3138 with no validation. Used e.g. by DisplaySettingsConfig.kt to construct a live FlickeringEffectsOptionState seeded from another (recommended-settings) instance's getLevel() result."
method1712,setLevel,"i: Int, i_7_: Int","unused: Int, level: Int",high,"Override of GraphicsOptionState.method1712 (abstract setter). Sets this.anInt3138 = i_7_ (the second/level argument); the first argument is entirely unused for anything but a dead computation `-87 / ((i - 82) / 35)` whose result is discarded (and which would throw ArithmeticException divide-by-zero if i were ever 82 -- never observed at call sites, which always pass 12 or 124). Called from the base class's method1718 as `method1712(12, 42)` (validation-failure fallback) and `method1712(124, i)` (normal set)."
method1714,getValidatedLevel,"i: Int, i_9_: Int","unusedKind: Int, candidateLevel: Int",medium,"Override of GraphicsOptionState.method1714 (abstract). Always returns the constant 1 in this class regardless of candidateLevel, after a decoy check `if (i != 3) anInt5911 = 95` (every real call site -- GraphicsOptionState.method1718's `method1714(3, i)`, plus dozens of ChatCommandProcessor.kt sites collecting settings for serialization via sibling GraphicsOptionState subclasses' overrides -- always passes 3 for the first arg). The base class uses the result to decide whether to actually apply a level (`if (method1714(3,i) != 3) method1712(124,i)`), and ChatCommandProcessor.kt stores sibling subclasses' results into a settings-serialization int array, so this looks like 'validate/clamp candidateLevel and report the effective value to use'; that this override ignores candidateLevel and always answers 1 suggests this particular option doesn't support the full multi-level range other subclasses do, but that inference is not fully confirmed."
method1716,applySettingsChange,bool: Boolean,resetCache: Boolean,medium,"Override of GraphicsOptionState.method1716 (abstract), called generically through the base type from DisplaySettingsConfig.kt (`graphicsOptionState.method1716(false)`) when settings are (re)applied. Clamps anInt3138 back to computeDefaultLevel()'s output if it has drifted outside the valid 1..3 range, and when resetCache is true, nulls the companion flicker-state grid anIntArrayArray5921 (a real, externally-used 2D countdown array -- see Client.kt/MinimapDrawController.kt/CellNoiseTextureNode.kt -- that appears to track per-NPC-slot flicker/highlight countdown state on the minimap, unlike most of this file's other companion members which are unrelated merged-in code)."
method1749,compareMapLabelEntries,"class110_sub1: MapLabelMenuEntry?, class110_sub1_0_: MapLabelMenuEntry?, bool: Boolean, i: Int, i_1_: Byte","a: MapLabelMenuEntry?, b: MapLabelMenuEntry?, ascending: Boolean, sortField: Int, opcode: Byte",medium,"Unrelated to flicker effects -- a generic multi-field Comparator-style function for MapLabelMenuEntry (world-map label search-result) sorting, called from MinimapLineDrawer.kt always with opcode=-30 (matching the internal `if (i_1_.toInt() != -30) return 63` decoy/fallback, which is otherwise dead). sortField selects the comparison: 1=numeric anInt1704 (treating -1 as the worst-case 2001 unless ascending/bool suppresses that substitution), 2/3=locale string compare of aString5787 via RemoveRoofsOptionState.method1811 (with '-' sorted specially), 4/5/6/7=various MapLabelMenuEntry boolean predicate methods (method1033/1036/1031/1029 -- likely category/type filter flags), default=numeric anInt5786. Wraps the whole body in try/catch rethrowing as TextureLoadException (decompiler artifact, ignore for naming). Best-effort field/parameter names since the individual sortField meanings were not independently confirmed beyond their use here."
method1750,setParamAndClearByteCache,"i: Int, i_6_: Int","unused: Int, paramValue: Int",low,"Unrelated to flicker effects. Only external call site is ChatCommandProcessor.kt:5471 (`method1750(14056, i_0_)`). Sets ParamMap.anInt9488 = paramValue then clears SocketStreamWorker.aLruByteCache_2671 (an LRU byte cache) via its method590(0). Reads as 'set some global parameter/config value, then invalidate an unrelated byte cache' -- exact semantic purpose of ParamMap.anInt9488 was not traced further."
method1753,getWidgetDisplayText,"i: Int, widgetComponent: WidgetComponent","mode: Int, widgetComponent: WidgetComponent",medium,"Unrelated to flicker effects; called from Client.kt, SpriteMaskShape.kt and ParticleDetailOptionState.kt always with mode=0. Returns null if `Client.method105(widgetComponent)!!.method3307(116)==0` (some per-component capability/visibility check); returns 'Hidden-use' (only when TextureCubeProvider.aBoolean6327 is set) or null if the widget's text (aString780) is blank; otherwise returns the widget's raw text when mode==0 (any other mode also returns null, but no real caller passes a non-zero mode). Reads as 'get this widget's tooltip/display text, or a hidden-use placeholder, subject to a capability gate.'"
