current_name,recommended_name,current_params,recommended_params,confidence,notes
method2827,setGain,"i: Int, i_0_: Int","unusedFlag: Int, gain: Int",medium,"Sets both anInt8885 and anInt8887 (left/right multipliers applied per-sample in method2817/renderSamples) to the same `gain` value; both fields default to 256 (8.8 fixed-point unity gain). `if (unusedFlag != -17708) method2830(-93)` is dead at the sole call site (no call site located with a value equal to -17708, treated as an always-true decoy given companion pattern elsewhere in this file). Sole external caller not found in this pass; only evidence is the field usage in method2817."
method2828,peekHeadChunk,i: Int,unusedOffsetFlag: Int,medium,"Private. Returns aNodeDeque_8861.method1995(offset) cast to ShortMatrixNode - a deque peek-by-index. Every real call site in this class passes the same constant -23076 (offset+23080=4 after the internal `i+23080` shift in the constant caller pattern... note: this method itself does NOT add 23080; callers pass -23076 directly and this method adds 23080 making the effective index 4), i.e. always peeks a fixed queue slot - consistent with 'first/head chunk' rather than an arbitrary index."
method2831,releaseHeadChunk,i: Byte,unusedFlag: Byte,medium,"Private. Pops/dequeues the head chunk (via method2828/peekHeadChunk), calls its method2715(71.toByte()) (likely a dispose/release callback on ShortMatrixNode), decrements the live chunk counter anInt8888, resets the intra-chunk read cursor anInt8883 to 0, and returns the chunk to BrightnessContrastEffect.aCacheLruCache_9180 keyed by class348_sub42_sub4.method3182(90) (a cache-key hash) for reuse. `i` param unused beyond an opaque arithmetic expression (`-13 / ((-66 - i) / 49)`) that has no side effect - decoy."
method2817,renderSamples,"is: IntArray, i: Int, i_2_: Int","buffer: IntArray, offset: Int, length: Int",high,"Overrides abstract AudioStreamNode.method2817 (see refactor-notes/commonMain/AudioStreamNode.csv: renderSamples(buffer, offset, length)). When not stopped (!aBoolean8886) and no chunk is queued yet, either signals finished-draining (if aBoolean8884/end-of-stream) or does nothing (buffer under-run); otherwise mixes queued 16-bit PCM chunks into the int buffer applying the left/right gains (anInt8885/anInt8887) set by method2827/setGain, doubling the fill rate for mono source data (anInt8879 == 2 branch vs NpcEntityUpdater.aBoolean3652 stereo-duplication branch), advancing/releasing chunks via releaseHeadChunk as they're exhausted."
method2833,setStopped,"i: Int, bool: Boolean","unusedFlag: Int, stopped: Boolean",medium,"Sets aBoolean8886 (checked as `!aBoolean8886` guard in renderSamples/method2817 and skipSamples/method2819 - when true, both are no-ops), i.e. a pause/mute/stop flag for this voice. `if (unusedFlag != 1) aDouble8869 = -2.874...` is a decoy write to an unrelated companion field (aDouble8869 is never read from this class); sole call site OggMediaStream.kt:158 passes 1, so the decoy never fires there."
method2835,enqueueChunk,"class348_sub42_sub4: ShortMatrixNode, i: Int","chunk: ShortMatrixNode, gateFlag: Int",medium,"Appends a newly-decoded PCM chunk to the playback deque when gateFlag == 30700 (sole evidence is internal consistency; no external call site located in this pass), first evicting the oldest queued chunk(s) via aNodeDeque_8861.method1997(8) while the queue holds >= 100 chunks (a hard cap), then pushes the new chunk via aNodeDeque_8861.method1999 and increments the live-chunk counter anInt8888."
method2836,markStreamFinished,i: Int,unusedFlag: Int,medium,"Sets aBoolean8884 = true (checked by renderSamples/skipSamples to fire a one-time drain notification via method2715 + BrightnessContrastEffect.aCacheLruCache_9180.method2303(true) once the chunk queue empties). `if (unusedFlag != -1) aNodeDeque_8861 = null` is dead at the sole external call site (VorbisOggDecoder.kt:55 passes -1), so the deque is never actually torn down there in observed code."
method2818,getNextChunk,(no params),(no params): AudioStreamNode?,high,"Overrides abstract AudioStreamNode.method2818 (nextChild, per AudioStreamNode.csv). PcmStreamBuffer is a leaf voice with no children, so it just increments its own counter and returns null - matches the same 'always-null leaf' pattern documented for MidiSequencePlayer.method2818 in refactor-notes/jvmMain/MidiSequencePlayer.csv."
method2829,getQueuedChunkCount,i: Int,unusedFlag: Int,medium,"Returns anInt8888 (live queued-chunk count). `if (unusedFlag >= -33) method2831(84.toByte())` (releaseHeadChunk) is a real side-effecting branch, not an obvious decoy - no call site located in this pass to confirm whether it fires in practice; flagged medium confidence pending further evidence."
method2837,getHeadChunkStartTime,i: Int,unusedFlag: Int,medium,"Returns -1.0 if no chunk queued; otherwise computes `chunk.aDouble9512 - (chunkSampleCount / HslColorConfig.anInt339)`, i.e. subtracts the chunk's playback duration (samples / sample-rate-like constant) from its stored timestamp (aDouble9512) to get the chunk's *start* time. `if (unusedFlag != -21987) method2818()` (getNextChunk) is a side-effecting call whose return value is discarded - looks like a dead/decoy call (result unused) but kept as documented since no call site confirms it never fires."
method2838,getOrCreateChunk,"i: Int, d: Double, i_14_: Int","frameCount: Int, timestamp: Double, magicGuard: Int",medium,"Looks up a pooled ShortMatrixNode keyed by `frameCount or (anInt8879 shl 0)` (the `shl 0` is a no-op, likely an obfuscator artifact of what was originally a channel-count-dependent shift) in BrightnessContrastEffect.aCacheLruCache_9180; if absent, allocates a new one with `anInt8879` (channel count) planes of `frameCount` shorts each; if present, updates its timestamp and touches the LRU cache. `if (magicGuard != 1401320384) return null` is an opaque-predicate guard - no call site located in this pass to confirm the literal is always passed, so kept as a documented guard rather than stripped."
method2819,skipSamples,i: Int,length: Int,high,"Overrides abstract AudioStreamNode.method2819 (skipSamples, per AudioStreamNode.csv). Mirrors renderSamples/method2817's queue-draining loop but discards the samples instead of writing them, used when the voice isn't currently audible."
method2816,getFirstChunk,(no params),(no params): AudioStreamNode?,high,"Overrides abstract AudioStreamNode.method2816 (firstChild/firstChunk, per AudioStreamNode.csv). Leaf node - always returns null, matching getNextChunk/method2818 above."
method2821,getMixCost,(no params),(no params): Int,high,"Overrides abstract AudioStreamNode.method2821. Always returns 1, matching the cross-referenced note in refactor-notes/commonMain/AudioMixerScheduler.csv ('leaf voices return 1' vs container nodes returning 0)."
method2830,clearResampleTable,i: Int,unusedFlag: Int,low,"Companion. Nulls the static anIntArray8862 table. Note: this field is also written/read extensively by the unrelated GlCubemapLightPass.kt as a packed-color scratch buffer - a clear instance of the 'decompiler merged unrelated content into this companion' pattern noted in PLAN.md, so the name here reflects this class's own apparent (but unconfirmed) usage rather than the GlCubemapLightPass usage."
