current_name,recommended_name,current_params,recommended_params,confidence,notes
la,nativeInitIdentity,(none),(none),medium,"Private external, called once from init{}. AbstractCameraTransform (the interface this implements, header: NativeMatrix) is a pure-abstract class with no real-code wrappers anywhere in commonMain, so semantics here are inferred purely from the class being a 3D transform/matrix and from method907's self-copy pattern. Likely initializes the native matrix to identity."
za,nativeSetAxisValue1,l: Long,l: Long,low,"Private external backing method908(i). No call-site context available (AbstractCameraTransform has zero non-abstract methods); grouped with the other single-int setters (895/896/899/900/902/908) as probable per-axis rotate/translate/scale mutators, but which axis/operation each corresponds to could not be determined from this batch."
AA,nativeDispose,"l: Long, bool: Boolean","nativeId: Long, fromFinalizer: Boolean",high,"Private external backing w(bool) (Disposable). Straightforward dispose call."
VA,nativeSetAxisValue2,"l: Long, i: Int","nativeId: Long, value: Int",low,"Private external backing method899(i). See note on za — one of a cluster of single-int matrix mutators whose exact per-axis meaning is unclear without a live caller in this batch."
NA,nativeSetAxisValue3,"l: Long, i: Int","nativeId: Long, value: Int",low,"Private external backing method902(i). See note on za."
method891,setTranslation,"i: Int, i_0_: Int, i_1_: Int","x: Int, y: Int, z: Int",medium,"Public wrapper around a(nativeId, x, y, z) — a 3-int mutator on a transform matrix; translate(x,y,z) is the most natural fit for a 3-component-int operation on a camera/model transform."
l,nativeCombine,"l: Long, l_2_: Long","nativeId: Long, otherNativeId: Long",medium,"Private external backing method898(other) — combines/multiplies this transform with another AbstractCameraTransform's native matrix."
method910,reset,(none),(none),low,"Public wrapper around u(nativeId) — a no-arg native call; plausibly resets the matrix to identity or releases a cached inverse, but no other evidence available."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool); calls AA(nativeId, bool)."
method905,transformAndStore,"i: Int, i_3_: Int, i_4_: Int, `is`: IntArray","i: Int, j: Int, k: Int, out: IntArray",low,"Public wrapper around XA(nativeId, i, i_3_, i_4_, is) — takes 3 ints and an output IntArray, consistent with transforming a 3D point/vector through the matrix and writing the result out, but unconfirmed."
method890,setMatrixValues,`is`: IntArray,values: IntArray,low,"Public wrapper around the private external fun of the same overload signature 'w(l, IntArray?)' (distinct overload from the public Disposable.w(Boolean) in the same class — flagged so a future rename doesn't collide the two 'w' declarations under one name). Likely loads/sets the matrix's raw component values from an int array."
w,nativeSetMatrixValues,"l: Long, `is`: IntArray?","nativeId: Long, values: IntArray?",low,"Private external backing method890(is). NOTE: this is a second, distinct overload of 'w' in the same file (the other is the public Disposable.w(Boolean) dispose method) — current decompiled Kotlin distinguishes them only by parameter types, so any rename must keep them from colliding."
method908,setAxisValue1,i: Int,value: Int,low,"Public wrapper around za(nativeId, i). See za note."
XA,nativeTransformAndStore,"l: Long, i: Int, i_5_: Int, i_6_: Int, `is`: IntArray?","nativeId: Long, i: Int, j: Int, k: Int, out: IntArray?",low,"Private external backing method905."
method903,setPerspectiveOrBounds,"i: Int, i_7_: Int, i_8_: Int, i_9_: Int, i_10_: Int, i_11_: Int","a: Int, b: Int, c: Int, d: Int, e: Int, f: Int",low,"Public wrapper around P(nativeId, ...6 ints...). 6-int operation on a camera transform; could be setting a frustum/perspective or a 6-value bounding transform. No call sites available in this batch to disambiguate."
t,nativeSetAxisValue4,"l: Long, i: Int","nativeId: Long, value: Int",low,"Private external backing method895(i). See za note."
method900,setAxisValue5,i: Int,value: Int,low,"Public wrapper around J(nativeId, i). See za note."
u,nativeReset,l: Long,nativeId: Long,low,"Private external backing method910()."
method897,transformAndStore2,"i: Int, i_12_: Int, i_13_: Int, `is`: IntArray","i: Int, j: Int, k: Int, out: IntArray",low,"Public wrapper around b(nativeId, i, i_12_, i_13_, is) — same shape as method905/XA; likely another transform-and-store-result variant."
