current_name,recommended_name,current_params,recommended_params,confidence,notes
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_0_: Int, i_1_: Int, i_2_: Int","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int",high,"Allocates an empty (uninitialized) 2D texture of `width`x`height` via glTexImage2Dub with null pixel data, picking the client pixel format from `internalFormat` via CharacterRenderState.method2779. Used for render-target style textures (no source pixels)."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_6_: Int, i_7_: Int, i_8_: Int, bool: Boolean, fs: FloatArray, i_9_: Int","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int, generateNoise: Boolean, pixelData: FloatArray, sourceFormat: Int",medium,"When `generateNoise` is true and the target isn't GL_TEXTURE_RECTANGLE_ARB (34037), delegates to GrayscaleNoiseTexture.method551 to procedurally fill the texture instead of using `pixelData`; otherwise uploads `pixelData` directly via glTexImage2Df. Both paths call method1955 afterwards to mark the mipmap-built flag (true in the noise branch, false in the direct-upload branch)."
method1963,attachToFramebuffer,"i: Int, i_3_: Int, i_4_: Int, i_5_: Int","target: Int, level: Int, unused: Int, attachment: Int",medium,"Attaches this texture to the currently-bound FBO via glFramebufferTexture2DEXT(target, attachment, textureType, textureId, level) and records the attachment point/level in anInt8549/anInt8545 for later detach in method37. Sole call site (FrameBufferObject.method1500\\FrameBufferObject line 113: `class258_sub3.method1963(anInt4873, i, 0, RgbNoiseTexture.anIntArray5306!![i_27_])`) always passes 0 for the third argument, so the `if (i_4_ != 0) anInt8550 = -125` branch is dead in practice - confirmed decoy."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_21_: Int, i_22_: Int, i_23_: Int, bool: Boolean, is: IntArray?, i_24_: Int, i_25_: Int, bool_26_: Boolean","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int, buildMipmaps: Boolean, pixelData: IntArray?, rowLength: Int, rowOffsetInts: Int, flipVertically: Boolean",medium,"Optionally reverses the row order of `pixelData` first (`flipVertically`). If the target is GL_TEXTURE_RECTANGLE_ARB, or `buildMipmaps` is false, or a non-zero row-length/offset is given, uploads directly via glTexImage2Di with GL_UNPACK_ROW_LENGTH set from `rowLength`; otherwise delegates full mip-chain construction to TextureMipDescriptor.method3460. Mirrors the byte-array constructor below but for packed-int pixel data."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_32_: Int, i_33_: Int, i_34_: Int, bool: Boolean, is: ByteArray?, i_35_: Int, bool_36_: Boolean","renderer: OpenGlRenderer, glTarget: Int, internalFormat: Int, width: Int, height: Int, buildMipmaps: Boolean, pixelData: ByteArray?, sourceFormat: Int, flipVertically: Boolean",medium,"Optionally reverses row order of `pixelData` (`flipVertically`). If `buildMipmaps` is false or the target is GL_TEXTURE_RECTANGLE_ARB, uploads directly via glTexImage2Dub; otherwise delegates to PerlinTextureProvider.method1403 to (re)generate the texture/mip-chain procedurally rather than a plain box-filter downsample - exact behavior of that call wasn't independently verified in this pass, flagged for a closer look if PerlinTextureProvider is revisited."
method1964,uploadIntSubImage,"bool: Boolean, i: Int, i_10_: Int, is: IntArray?, i_11_: Int, i_12_: Byte, i_13_: Int, i_14_: Int, i_15_: Int","flipVertically: Boolean, height: Int, yOffset: Int, pixelData: IntArray?, srcOffset: Int, unusedFlag: Byte, width: Int, xOffset: Int, srcRowLength: Int",medium,"Optionally reverses rows of `pixelData` first, then uploads a sub-rectangle via glTexSubImage2Di(target, 0, xOffset, yOffset, width, height, GL_BGRA=32993, pixelType, pixelData, srcOffset), temporarily setting GL_UNPACK_ROW_LENGTH when `srcRowLength` differs from `width` (defaults to `width` when passed as 0). The trailing Byte param's only effect (`if (unusedFlag > -65) this.anInt8547 = 101`) could not be confirmed live or dead - no call sites found via grep of `.method1964(` in this pass, so it is annotated per its literal body behavior only."
method1965,setWrapMode,"bool: Boolean, bool_42_: Boolean, i: Int","wrapTRepeat: Boolean, wrapSRepeat: Boolean, unused: Int",medium,"Only acts when the texture target is GL_TEXTURE_2D (3553): sets GL_TEXTURE_WRAP_S to REPEAT/CLAMP_TO_EDGE from `wrapSRepeat` and GL_TEXTURE_WRAP_T from `wrapTRepeat`. The trailing Int param triggers a call into the companion's method1966 (`registerMapTileShape`, an unrelated map-geometry registrar - see below) only when it is not 10243; every call site in this file and in GlTexture2DRegion.kt passes the literal 10243, so that branch is a confirmed dead decoy."
method1967,copyFramebufferToSubImage,"i: Int, i_51_: Int, i_52_: Int, i_53_: Int, i_54_: Int, i_55_: Byte, i_56_: Int","xOffset: Int, height: Int, yOffset: Int, existingHeight: Int, x: Int, unusedFlag: Byte, width: Int",medium,"Copies a region of the current read framebuffer into this texture via glCopyTexSubImage2D, computing the flipped source y using `aHa_Sub2_4851.anInt7641` (the renderer's viewport/screen height, same pattern as the framebuffer-copy constructor below). The trailing Byte param gates a call to method1965/setWrapMode(true,true,-57); sole call site (GlSpriteRenderer.kt) always passes the literal (-120).toByte(), matching the `!= -120` dead-branch condition - confirmed decoy."
method37,dispose,i: Int,unused: Int,high,"Overrides IndexedDisposable.method37. Detaches this texture from its recorded FBO attachment point via glFramebufferTexture2DEXT(attachmentSlot, level, target, 0, 0) and resets the bookkeeping fields (anInt8545/anInt8549) to -1. The `if (i != -3022) this.anInt8547 = 75` branch is dead - the sole caller, FrameBufferObject.method1500, always passes -3022 (see GlTexture1D.method37 notes for the shared call site)."
method1970,uploadByteSubImage,"i: Int, i_61_: Int, i_62_: Int, bool: Boolean, i_63_: Int, i_64_: Int, i_65_: Int, i_66_: Int, is: ByteArray?, i_67_: Int","xOffset: Int, yOffset: Int, width: Int, flipVertically: Boolean, srcRowLength: Int, height: Int, sourceFormat: Int, unused: Int, pixelData: ByteArray?, srcOffset: Int",medium,"Byte-array counterpart to method1964/uploadIntSubImage: optionally reverses rows of `pixelData` (bytes-per-pixel derived from `sourceFormat` via ParticleDefLoader.method1382) then uploads via glTexSubImage2Dub with a temporary GL_UNPACK_ROW_LENGTH override when `srcRowLength` differs from `width`. The trailing `i_66_` param only feeds a discarded expression (`-17 % ((46 - i_66_) / 59)`) - confirmed decoy, unused for any real effect."
<init>,<init>,"var_ha_Sub2: OpenGlRenderer, i: Int, i_77_: Int, i_78_: Int, i_79_: Int, i_80_: Int","renderer: OpenGlRenderer, glTarget: Int, x: Int, y: Int, width: Int, height: Int",medium,"Creates a texture by copying a region of the current framebuffer via glCopyTexImage2D with internal format GL_RGB (6407). Flips the source y-coordinate using `aHa_Sub2_4851.anInt7641` (renderer viewport/screen height), the same flip pattern used by method1967/copyFramebufferToSubImage - i.e. a 'screenshot region to texture' constructor."
method1966,registerMapTileShape,"i: Int, i_43_: Int, i_44_: Int, i_45_: Int, i_46_: Byte, i_47_: Int, i_48_: Int, i_49_: Int, i_50_: Int",p0: Int; p1: Int; p2: Int; p3: Int; p4: Byte; p5: Int; p6: Int; p7: Int; p8: Int,low,"Companion, SEMANTICALLY UNRELATED to 2D textures - a merged/grab-bag static (see PLAN.md 'decompiler merged wrong content' pattern). Constructs a `MapTileShape(p5, p7, p8, p0, p0, p8, p3, p1, p1, p3, p2, p2, p6, p6)` (each input reused twice, consistent with building a mirrored pair of triangle-corner coordinates for a tile shape) and appends it into `HintArrowOrMessage.aMapTileShapeArray2034` at a growing index. Only reachable via method1965's decoy branch (see above), which is dead at every observed call site, so this method's real-world call frequency could not be confirmed from this file alone. `p4: Byte` conditionally calls method1968/`ShaderProgram.method3437` recompile-style hook."
method1968,notifyShaderRecompile,i: Int,unused: Int,low,"Companion. Calls `ShaderProgram.method3437(1, MapAreaDefinition.anInt2524)`. Only reachable from method1966's decoy-gated branch (see above); exact purpose not independently confirmed - name is a best-effort placeholder given the ShaderProgram/MapAreaDefinition coupling."
method1969,decodeImageToRenderer,"is: ByteArray, i: Int","imageBytes: ByteArray, unused: Int",high,"Companion. Decodes an encoded image (PNG/GIF/etc.) from `imageBytes` using java.awt.Toolkit + MediaTracker + PixelGrabber into an ARGB IntArray, then builds an `AbstractModelRenderer` from those pixels via `FacingDirectionNode.aRenderer6654!!.method3662`. Retries on InterruptedException. The `unused` Int param only toggles an unrelated static flag (`if (i != -5901) anInt8550 = 83`, the same anInt8550 touched as a decoy elsewhere in this file) and plays no role in the decode logic itself."
