current_name,recommended_name,current_params,recommended_params,confidence,notes
method910,setIdentity,(no params),(no params),high,"Overrides AbstractCameraTransform.method910 (see refactor-notes/commonMain/AbstractCameraTransform.csv). Resets all three rotation-matrix diagonal fields to 1.0 and every other rotation/translation float to 0.0 - textbook identity reset. Called from this class's own `init { method910() }`."
method894,setPosition,"i: Int, i_0_: Int, i_1_: Int","x: Int, y: Int, z: Int",high,"Overrides AbstractCameraTransform.method894. Sets translation fields directly (this.aFloat5685=y, aFloat5686=x, aFloat5681=z per the assignments) and resets the rotation part of the matrix to identity - i.e. reposition with identity rotation, not additive (contrast with method891/translate)."
method903,setFromPositionAndOrientation,"i: Int, i_2_: Int, i_3_: Int, i_4_: Int, i_5_: Int, i_6_: Int","x: Int, y: Int, z: Int, angleA: Int, angleB: Int, angleC: Int",medium,"Overrides AbstractCameraTransform.method903. Builds the full 3x3 rotation matrix directly from three 14-bit angles (i_4_, i_5_, i_6_, each masked with 0x3fff and looked up in LightingOptionState.aFloatArray5876/5874 sin/cos tables) combined via a fused multiply, then computes the translation such that (x,y,z) maps to the origin under that rotation - a fused set-position+orientation used for camera/view setup in one call."
method898,copyFrom,abstractCameraTransform: AbstractCameraTransform?,other: AbstractCameraTransform?,high,"Overrides AbstractCameraTransform.method898. Casts to MatrixCameraTransform and copies all 12 rotation+translation float fields from the argument onto this instance."
method905,rotateVector,"i: Int, i_15_: Int, i_16_: Int, `is`: IntArray","x: Int, y: Int, z: Int, out: IntArray",medium,"Overrides AbstractCameraTransform.method905. Rotates (x,y,z) by the 3x3 rotation matrix only, writing into `is`/out - no translation applied, suitable for direction vectors/normals."
method891,translate,"i: Int, i_17_: Int, i_18_: Int","dx: Int, dy: Int, dz: Int",high,"Overrides AbstractCameraTransform.method891. Adds the three params directly onto the translation fields (aFloat5685+=i_17_, aFloat5681+=i_18_, aFloat5686+=i) - incremental translate."
method908,rotateRoll,i: Int,angle: Int,medium-high,"Overrides AbstractCameraTransform.method908. Post-multiplies the rotation matrix by a rotation about the axis paired with method902/setRoll (per the field-diffing evidence recorded in AbstractCameraTransform.csv)."
method900,rotatePitch,i: Int,angle: Int,medium-high,"Overrides AbstractCameraTransform.method900. Post-multiply rotation about the axis paired with method899/setPitch."
method892,worldToLocal,"i: Int, i_29_: Int, i_30_: Int, `is`: IntArray","x: Int, y: Int, z: Int, out: IntArray",medium,"Overrides AbstractCameraTransform.method892. Subtracts this transform's translation from (x,y,z) then rotates by the 3x3 matrix, writing into `is`/out - world-space point into local/camera space."
method899,setPitch,i: Int,angle: Int,medium-high,"Overrides AbstractCameraTransform.method899. Resets the rotation matrix to a single-axis rotation from the 14-bit angle lookup tables, leaving one diagonal fixed at 1.0 (paired with method900/rotatePitch, see AbstractCameraTransform.csv)."
method902,setRoll,i: Int,angle: Int,medium-high,"Overrides AbstractCameraTransform.method902. Reset-to-identity-then-rotate-one-axis, paired with method908/rotateRoll."
