current_name,recommended_name,current_params,recommended_params,confidence,notes
method63,bind,i: Byte,unused: Byte,medium,"Overrides Renderable.method63. Looks up the active texture unit's currently-bound GL object for this texture's target via `aGlRenderDevice_5082.method3877`, and if it differs from `anInt5093` (this texture's GL target enum), unbinds/disables the old target and glEnable/glBindTexture's this one - a lazy 'switch texture target if needed then bind' routine. The `if (i > -21) this.aGlRenderDevice_5082 = null` branch immediately after that lookup looks suspicious (nulls the field it just used), but the sole confirmed caller (NativeRenderer.kt: `renderable.method63((-30).toByte())`) passes -30, which is NOT > -21, so that branch is dead there - though NativeRenderer calls this generically through the `Renderable` interface on many object types, so other live call sites with different byte values may exist elsewhere in the codebase outside this batch."
method228,resolveInternalFormat,i: Int,unused: Int,medium,"Private. A large nested-if dispatcher mapping this texture's `aMovementDirection_5088` (one of three MovementDirection singleton instances) and `aTextureFormatInfo_5084` (compared against several other classes' cached TextureFormatInfo singletons) to a specific GL internal-format enum (e.g. 34842-34847 float formats, 6406-6410 fixed formats, or 6145=GL_ALPHA as a shared fallback for `aTextureFormatInfo_3977`). Falls through to `throw IllegalStateException()` for unrecognized combinations, with a decoy `if (i <= 104) method238(...)` call just before the throw (the `unused` Int param plays no role in the format-resolution logic itself)."
method229,applyFilterParams,bool: Boolean,unused: Boolean,medium,"Private. Binds the texture then sets GL_TEXTURE_MIN_FILTER/MAG_FILTER based on `aClass209_5101` (this texture's filter-category marker, set via method64/setFilterCategory): when it matches the shared `PlayerSequenceSelector.aClass209_1212` sentinel, uses GL_LINEAR family filters (9729/9987), otherwise GL_NEAREST family (9728/9984), further split by whether mipmaps were built (`aBoolean5099`). The `unused` Boolean param only gates a decoy call to method232 (an unrelated font-cache lookup, see below)."
method230,buildMipChainUbyte,"i: Int, i_2_: Int, is: ByteArray, i_3_: Int, i_4_: Int","glTarget: Int, width: Int, pixelData: ByteArray, height: Int, level: Int",medium,"Uploads `pixelData` via glTexImage2Dub at `level`, then iteratively box-filter-downsamples (averaging 2x2 texel blocks, `>> 2`) into smaller mip levels until the shorter dimension reaches 1, uploading each level in turn. Byte-per-pixel component count comes from `aTextureFormatInfo_5084!!.anInt3850`. Requires `width`/`height` to satisfy ModelDefinition.method1436 (a power-of-two-style validity check, per the two `require(...)` guards)."
method231,calculateTextureMemoryBytes,i: Int,unused: Int,medium,"Private. Computes `anInt5090 (unknown scale/count) * aMovementDirection_5088.anInt1178 * aTextureFormatInfo_5084.anInt3850`, then multiplies by 4/3 if `aBoolean5099` (mipmaps built) is true - a mip-chain-inclusive memory-size estimate used for the renderer's texture memory accounting (see method1954-equivalent pattern in the sibling GlTexture base class). The `unused` Int param only gates a decoy call to method232."
method233,buildMipChainPacked,"i: Int, i_23_: Int, is: IntArray, i_24_: Int, i_25_: Int","width: Int, height: Int, pixelData: IntArray, glTarget: Int, colorKeyOrFlag: Int",low,"Uploads `pixelData` via glTexImage2Di at level 0, then iteratively downsamples via a bit-packed-ARGB box filter (reading 4 packed pixels per output texel and recombining channels through a set of `WhirlpoolHash.method2057/method1166` bit-packing helpers) into successive mip levels, similar in structure to method230 but for packed-int color data and restricted to `GroundItemRenderState.aTextureFormatInfo_1662` format (enforced by a `require`). `colorKeyOrFlag` toggles `aBoolean5099 = true` when it isn't 255. Exact channel semantics of the WhirlpoolHash bit-packing helpers weren't independently re-derived in this pass - kept low confidence."
method234,releaseMemoryStat,i: Int,tag: Int,medium,"Private. When `tag == 1617553025` (a distinctive sentinel matching the literal passed by finalize()), if `anInt5096` (a pending GL texture-object id awaiting deletion) is set, calls `aGlRenderDevice_5082.method3967` to actually release/queue-delete the GL object and clears the pending id. Sole caller is this class's own `finalize()`, always passing the same literal - the tag check is not a decoy here since it's the only value ever passed, just an inlined magic constant."
method236,updateMemoryUsage,"i: Int, i_47_: Byte","deltaBytes: Int, unused: Byte",medium,"Private. Adjusts `aGlRenderDevice_5082.anInt8062` (a running GPU-texture-memory counter) by subtracting `deltaBytes` and adding the freshly recalculated size from method231/calculateTextureMemoryBytes - i.e. 'replace the old accounted size with the current one'. The trailing Byte param only gates `aBoolean5099 = false` (clearing the mipmap-built flag) when it is `< -124`; both observed call sites in this file (`method236(0, (-126).toByte())` from init, and inside method230's guard passing `(-113).toByte()`) satisfy that condition, so it fires in both observed cases."
method64,setFilterCategory,"class209: UnusedToStringStub?, i: Int","filterCategory: UnusedToStringStub?, unused: Int",medium,"Overrides Renderable.method64. Updates `aClass209_5101` (this texture's opaque filter-category marker, compared by reference in method229/applyFilterParams) and re-applies filter params via method229(true) when the marker actually changed. Callers pass one of two process-wide singleton markers, `FrameBufferObject.aClass209_4874` or `PlayerSequenceSelector.aClass209_1212`, effectively toggling between two filter-quality presets (their real-world meaning, e.g. 'linear' vs 'point', wasn't independently confirmed by tracing `UnusedToStringStub`'s own fields, which appear empty/marker-only). The `unused` Int param only feeds `if (i != -22095) this.aTextureFormatInfo_5084 = null`; every observed call site (AnimatedModelRenderer.kt, GlFontTextured.kt) passes the literal -22095, confirming this branch is a dead decoy."
method238,buildMipChainFloat,"i: Int, i_48_: Int, i_49_: Int, fs: FloatArray?, i_50_: Int","glTarget: Int, glLevelOrTarget2: Int, width: Int, pixelData: FloatArray?, height: Int",medium,"Float-pixel counterpart to method230/buildMipChainUbyte: uploads `pixelData` via glTexImage2Df then iteratively box-filter-downsamples (simple `0.25f * sum` average of 4 texels) into successive mip levels until the shorter dimension reaches 1. Requires `width`/`height` to satisfy the same ModelDefinition.method1436 validity check as method230. The `glLevelOrTarget2` param only gates a decoy call to method228/resolveInternalFormat."
