current_name,recommended_name,current_params,recommended_params,confidence,notes
readByteInverse,readByteInverse,i: Byte,checkValue: Byte,high,"Reads one byte, negates it, masks to unsigned 0xff. Name already accurate. Overloaded with the other readByteInverse(i: Int): Byte below (differ by param/return type). `i` is a decoy check (must equal 21 or returns -10 early)."
readUnsignedShort,readUnsignedShort,i: Int,checkValue: Int,high,"Reads 2 bytes big-endian, masked unsigned (0-65535). Name already accurate. `i` decoy check (must equal 842397944)."
method3332,readLongLittle,i: Byte,checkValue: Byte,high,"Combines two little-endian int reads (via method3359/readIntLittle) into a Long: first call = low 32 bits, second call = high 32 bits. Confirmed by KaraokeSubtitleStream.kt:52-54 reading three consecutive little-endian 64-bit timestamps. Mirrors readLong (big-endian, pairs with readInt) but for the little-endian int family. `i` decoy check (must be > 88)."
writeString,writeString,"i: Byte, string: String","checkValue: Byte, value: String",high,"Writes a null-terminated CP1252-encoded string (via method3255/encodeCp1252Chars) then a trailing 0 byte. Name already accurate. `i` decoy (must equal -5, else nulls the backing array as a poison branch)."
method3334,readBigSmart,i: Int,checkValue: Int,high,"Reads a 'big smart' value: repeatedly calls readSmart, and while the result equals the sentinel 32767 keeps accumulating 32767 per iteration and reading again, then adds the final partial value. Standard RS2 pattern for encoding values that can exceed the 15-bit smart range (used for varp/large quantity values in RegionSceneShifter.kt, WorldMapSceneSoftware.kt). Contains a dead decoy expression `112 % (i / 49)` whose result is discarded — classic opaque-predicate padding, not real logic (would crash with div-by-zero if i were a multiple of 49, but no call site risks that)."
writeShortAdd,writeShortAdd,"i: Int, i_9_: Int","checkValue: Int, value: Int",high,"Writes a 2-byte short where the low byte has +128 added (readShortAdd's write counterpart). Name already accurate. Contains a dead decoy expression `-35 % ((-17 - i) / 48)` between the two byte writes."
writeIntMiddle,writeIntMiddle,"i: Int, i_11_: Byte","value: Int, checkValue: Byte",high,"Writes a 4-byte 'middle-endian' int (byte order: bits8-15, bits0-7, bits24-31, bits16-23). Name already accurate."
writeShort,writeShort,"i: Byte, i_12_: Int","checkValue: Byte, value: Int",high,"Writes a standard big-endian 2-byte short. Name already accurate."
method3338,writeIntBackpatch,"i: Int, i_13_: Int","offsetAdjust: Int, length: Int",medium,"Writes the 4-byte big-endian encoding of `length` into a slot located `length` bytes before the current write position, without moving the cursor (position math: byte[anInt7197-length-4..anInt7197-length-1+offsetAdjust]). Only call site is MidiFileBuilder.kt:291 with `offsetAdjust=-1` and `length = anInt7197 - savedStartPos`, i.e. backpatching a previously-reserved 4-byte length field with the number of bytes written since a saved start position — classic MIDI chunk-length backpatch. `offsetAdjust` is always -1 at the only call site so its generality is unverified."
method3339,writeByteLengthBackpatch,"i: Int, i_14_: Int","checkValue: Int, length: Int",medium,"Writes a single byte (the low byte of `length`) into the slot located `length` bytes before the current position (byte[anInt7197-length-1]), guarded by `checkValue > 91`. Same backpatch pattern as method3338/writeIntBackpatch but for a 1-byte length field. Called repeatedly from ChatCommandProcessor.kt with varying checkValue arguments (92,96,102,105,109,113,114,115,119) that are all > 91, so the guard is effectively always true at every real call site — likely an opaque-predicate decoy rather than a meaningful threshold, but flagged low-medium since the varying values are unusual for a pure decoy."
method3340,writeMedium,"i: Int, i_15_: Int","checkValue: Int, value: Int",medium,"Writes bits16-23 and bits8-15 of `value` unconditionally, then bits0-7 only `if (checkValue == -9912)`. All MediaStreamClient.kt call sites pass exactly -9912, producing a full standard big-endian 3-byte medium write (mirrors readMedium). The one other call site, ClientMachineInfo.kt:60, passes `i xor 0x26b6.inv()` which will not generally equal -9912, meaning that call likely only writes 2 of the 3 expected bytes — flagged as a possible latent bug/dead branch rather than intentional, not a pure decoy."
method3341,readByteAdd,i: Int,checkValue: Int,medium,"Reads a byte and returns `(value - 128)` as an unmasked signed Byte — the unmasked/signed counterpart of readByteAdd(i: Byte): Int (which does the same math but masks to unsigned Int via `and 0xff`). Named the same as an overload for consistency with the file's existing readByteSubtract/readUnsignedByteSubtract pair, though that pair actually uses distinct names (Unsigned prefix for the masked variant) rather than overloading — this is a judgment call; an alternative name would be readSignedByteAdd."
readUnsignedByteSubtract,readUnsignedByteSubtract,i: Byte,checkValue: Byte,high,"Reads a byte, computes `128 - value`, masks unsigned. Name already accurate."
readIntMiddleEndian,readIntMiddleEndian,i: Byte,checkValue: Byte,high,"Reads a 4-byte 'middle-endian' int matching writeIntMiddle's byte order. Name already accurate. Decoy `i` check triggers an unrelated readSmart call as a side effect when unequal to 82 (dead in practice)."
method3344,writeCrc,"i: Int, bool: Boolean","startIndex: Int, poisonFlag: Boolean",high,"Computes a CRC32 (via method1319/calculateCrc32) over the buffer from `startIndex` to the current position, writes it as a big-endian int, and returns it. If `poisonFlag` is true, the backing array is nulled *before* being dereferenced via `!!` a few lines later — an intentional self-destructing opaque-predicate branch that would NPE if ever actually taken; the only place that passes true (method3360's dead decoy branch) is itself unreachable in practice. Real usage (Client.kt:5284) always passes false."
readByteSubtract,readByteSubtract,i: Int,checkValue: Int,high,"Reads a byte, computes `128 - value`, returns unmasked signed Byte. Name already accurate; unmasked/signed counterpart of readUnsignedByteSubtract."
readIntInverseMiddle,readIntInverseMiddle,i: Int,checkValue: Int,high,"Reads a 4-byte int in an inverse-middle-endian byte order. Name already accurate. Decoy `i` check (must equal 255, else returns 93)."
method3347,readBytesReversed,"`is`: ByteArray, i: Int, i_18_: Int, i_19_: Byte","dest: ByteArray, destOffset: Int, length: Int, checkValue: Byte",high,"Reads `length` bytes sequentially from the buffer but stores them into `dest` in reverse index order (from destOffset+length-1 down to destOffset). Used by PlayerUpdateDecoder.kt:217 to unpack a bitmask/flag byte sequence. Contains a dead decoy expression `-53 / ((checkValue - -72) / 47)` at the end."
writeIntLittle,writeIntLittle,"i: Int, i_22_: Int","checkValue: Int, value: Int",high,"Writes a standard little-endian 4-byte int. Name already accurate. Trailing dead decoy expression `-32 / ((-74 - checkValue) / 44)`."
writeShortAddLittle,writeShortAddLittle,"i: Int, i_24_: Int","checkValue: Int, value: Int",high,"Writes a little-endian 2-byte short with the low byte offset by +128 (readShortAddLittle's write counterpart). Name already accurate. Entire body gated behind `if (checkValue == 4325)` — a decoy that is always true at whatever call sites exist (none found outside this file, so unverified but consistent with the pattern elsewhere)."
method3350,encryptXtea,"i: Int, bool: Boolean, `is`: IntArray, i_25_: Int","startOffset: Int, appendFooter: Boolean, key: IntArray, endOffset: Int",high,"Encrypts the buffer contents between startOffset and endOffset in-place using the XTEA block cipher (32 rounds, delta constant -1640531527 = 0x9E3779B9, 4-word key array), writing each encrypted 8-byte block back over the plaintext, then restores the original cursor position. If `appendFooter` is not true, calls method3394(88, 83) to append a short footer/marker first. Confirmed as XTEA by the exact delta constant and round structure; mirrors method3367/decryptXtea which uses the standard XTEA decrypt starting sum (-957401312 = 0xC6EF3720) and subtracts instead of adds. Call site: ClanChatRequestSender.kt / ColourAdjustment.kt / SceneNodeDeque.kt for packet payload encryption before sending."
readMedium,readMedium,i: Int,checkValue: Int,high,"Reads a standard big-endian 3-byte (24-bit) unsigned value. Name already accurate. Decoy `i` check (must equal -1, else returns -52)."
method3352,verifyCrc,i: Int,checkValue: Int,high,"Rewinds 4 bytes, computes CRC32 (via method1319/calculateCrc32) over bytes [0, position), reads the stored 4-byte CRC via readInt, and returns whether they match. Read-side counterpart of method3344/writeCrc. `checkValue` is a decoy (must equal -25541 at the only call site, Client.kt:4238, else triggers an unrelated method3369/readSignedMedium call as a side effect — dead in practice)."
writeShortLittle,writeShortLittle,"i: Int, i_36_: Byte","value: Int, checkValue: Byte",high,"Writes a little-endian 2-byte short. Name already accurate. Decoy `checkValue` (must equal 3, else nulls the backing array as a poison branch)."
readShortAdd,readShortAdd,i: Int,checkValue: Int,high,"Reads a big-endian short with the low byte offset by +128 (unmasked to sign, i.e. returns 0-65535 range, not sign-extended). Name already accurate. Dead decoy expression `-108 / ((checkValue - 73) / 50)`."
writeIntInverseMiddle,writeIntInverseMiddle,"i: Int, i_39_: Int","value: Int, checkValue: Int",high,"Writes a 4-byte int in inverse-middle-endian byte order matching readIntInverseMiddle. Name already accurate. Decoy `checkValue` triggers an unrelated readShort call as a side effect when not -4086 (dead in practice)."
method3357,writeLongBytes,"i: Int, l: Long, i_40_: Byte","numBytes: Int, value: Long, checkValue: Byte",high,"Writes the low `numBytes` bytes (1-8, validated via require) of `value` as a big-endian variable-length long. Read-side counterpart is method3368/readLongBytes. Confirmed via ParameterizedText.kt:41 writing a variable-precision numeric field."
readShortAddLittle,readShortAddLittle,i: Int,checkValue: Int,high,"Reads a little-endian short with the low byte offset by +128. Name already accurate. Decoy `checkValue` nulls the backing array if <= -105 (dead/poison branch, unlikely to trigger)."
method3359,readIntLittle,i: Int,checkValue: Int,high,"Reads a standard little-endian 4-byte int. Functionally identical byte math to the existing readIntLittle(i: Byte): Int overload, just written with different bracket grouping/order (obfuscator variance) — named the same as an overload, differentiated by the Int vs Byte param. Confirmed little-endian via GzipDecompressor.kt:10, which reads the gzip trailer's ISIZE field (spec-mandated little-endian) via this method, and via KaraokeSubtitleStream.kt combining two calls into a little-endian long (method3332/readLongLittle)."
method3360,release,i: Byte,checkValue: Byte,high,"Returns the backing byte array to ByteArrayPool (via ByteArrayPool.method357/releaseByteArray) if non-null, then nulls the reference — a dispose/recycle method. Decoy `checkValue` (must equal -69, else calls method3344/writeCrc as a dead poison-branch side effect, since the array was just nulled)."
readByteInverse,readByteInverse,i: Int,checkValue: Int,high,"Reads one byte and negates it (signed, no masking) — overload of the other readByteInverse(i: Byte): Int above, differing in that this version doesn't mask to unsigned. `checkValue` is unused/decoy (present but never referenced in the body)."
method3362,readSignedSmart,i: Byte,checkValue: Byte,high,"Peeks the next byte without advancing; if < 128, reads it as an unsigned byte and subtracts 64 (range -64..63); otherwise reads an unsigned short (with an xor-obfuscated decoy constant) and subtracts 49152 (range roughly -16384..16383). Classic RS2 signed/centered smart encoding, confirmed by explicit `//smart` comments at call sites in NpcModelTransform.kt and heavy use in ModelDefinition.kt for model transform deltas which are inherently signed."
method3363,readMediumLittle,i: Int,checkValue: Int,high,"Reads a little-endian 3-byte (24-bit) unsigned value — same bit layout as readMedium but with reversed byte order. Confirmed distinct from readMedium by comparing byte shift/position math."
readIntLittle,readIntLittle,i: Byte,checkValue: Byte,high,"Reads a standard little-endian 4-byte int. Name already accurate. Decoy `checkValue` resets position to 61 if <= -117 (dead/poison branch in practice)."
readLong,readLong,i: Int,checkValue: Int,high,"Reads a standard big-endian 8-byte long (as two big-endian int reads, first becomes high 32 bits). Name already accurate. Decoy `checkValue` (must equal -456577760, else returns 14L)."
method3366,readMidiVarLength,i: Byte,checkValue: Byte,high,"Reads a MIDI-style variable-length quantity: repeatedly reads bytes, accumulating 7 bits per byte (MSB = continuation flag) until a byte with the high bit clear. Standard MIDI VLQ decode, confirmed by MidiFileBuilder.kt/MidiTrackReader.kt/SoundBankPatch.kt usage for MIDI delta-times and lengths. Write counterpart is method3396/writeMidiVarLength."
method3367,decryptXtea,"i: Int, `is`: IntArray, i_47_: Int, i_48_: Int","restoreFlag: Int, key: IntArray, startOffset: Int, endOffset: Int",high,"Decrypts the buffer contents between startOffset and endOffset in-place using XTEA (32 rounds, standard decrypt starting sum -957401312 = 0xC6EF3720, delta -1640531527 = 0x9E3779B9, subtracting each round), writing plaintext back over the ciphertext. Restores the original cursor position only if `restoreFlag == 607818341` (always true at the one call site, Js5Archive.kt:92, which decrypts a downloaded JS5 container using an XTEA key — matches known RS2 protocol behavior)."
method3368,readLongBytes,"i: Int, i_57_: Int","numBytes: Int, checkValue: Int","high","Reads `numBytes` (1-8, validated) bytes as a big-endian variable-length long. Read counterpart of method3357/writeLongBytes. Decoy `checkValue` (must equal 3060 at the only call site, ParameterizedText.kt:113, else returns 99L)."
method3369,readSignedMedium,i: Byte,checkValue: Byte,high,"Reads a standard big-endian 3-byte medium and sign-extends it if > 8388607 (i.e. treats as a signed 24-bit value). Signed counterpart of readMedium. Decoy `checkValue` (must equal 125, else returns 100)."
writeByteSubtract,writeByteSubtract,"i: Byte, i_60_: Int","checkValue: Byte, value: Int",high,"Writes a byte as `128 - value` (write counterpart of readByteSubtract/readUnsignedByteSubtract). Name already accurate. Leading dead decoy expression `-4 % ((-35 - checkValue) / 33)`."
method3371,readVersionedString,i: Int,checkValue: Int,high,"Reads a 1-byte version marker (must be 0, else throws 'Bad version number in gjstr2') followed by a null-terminated CP1252 string (decoded via method3546/decodeCp1252String). The exception text 'gjstr2' (get-java-string-2) confirms this is the versioned/'v2' string-read counterpart of readString, and pairs with method3386/writeVersionedString (whose exception text is 'cannot pjstr2'). Decoy `checkValue` (must equal -13487, else calls writeInt as an unrelated side effect)."
readShort,readShort,i: Int,checkValue: Int,high,"Reads a standard big-endian signed short (sign-extended if > 32767). Name already accurate."
readShortLittle,readShortLittle,bool: Boolean,checkFlag: Boolean,high,"Reads a standard little-endian unsigned short. Name already accurate. Decoy `checkFlag` (must be false, else returns 113)."
writeByteInverse,writeByteInverse,"i: Byte, i_66_: Int","checkValue: Byte, value: Int",high,"Writes the negation of `value` as a byte (write counterpart of readByteInverse). Name already accurate. Decoy `checkValue` nulls the backing array if >= -27 (poison branch)."
method3375,readShortAddSigned,i: Byte,checkValue: Byte,high,"Reads a big-endian short with the low byte offset by +128, then sign-extends if > 32767 (range becomes signed). Same byte math as readShortAdd but with sign extension added — the signed counterpart. Decoy `checkValue` (must equal 84, else returns 85)."
readString,readString,i: Byte,checkValue: Byte,high,"Reads a null-terminated CP1252 string (via method3546/decodeCp1252String). Name already accurate. Dead decoy expression `-81 / ((checkValue - 30) / 52)` at the top."
writeByte,writeByte,"bool: Boolean, i: Int","checkFlag: Boolean, value: Int",high,"Writes a single byte. Name already accurate. Decoy `checkFlag` sets position to -121 (would corrupt state) if true — poison branch, must always be false at real call sites."
writeBytes,writeBytes,"i: Int, i_73_: Int, `is`: ByteArray, i_74_: Int","length: Int, srcOffset: Int, src: ByteArray, checkValue: Int",high,"Copies `length` bytes from `src` starting at `srcOffset` into the buffer at the current position. Name already accurate. Trailing dead decoy expression `-41 % ((8 - checkValue) / 52)`."
method3381,writeSmart,"i: Int, i_77_: Int","checkValue: Int, value: Int",high,"Writes `value` using the standard RS2 'smart' encoding: single byte if 0<=value<128, or a 2-byte short (value+32768) if 0<=value<32768. The else branch does `require(checkValue != 5537)`, which — since the only call site (GlCubemapLightPass.kt:369) passes exactly 5537 — would throw if a too-large value is ever passed; effectively a defensive guard against out-of-range input rather than real logic. Write counterpart of readSmart."
readSmart,readSmart,i: Int,checkValue: Int,high,"Reads the standard RS2 'smart' encoding (1 byte if top bit clear, else a 2-byte short minus 32768). Name already accurate. Decoy `checkValue` (must be > -116, else returns -4)."
method3383,writeShortBackpatch,"i: Int, i_79_: Int","checkValue: Int, length: Int",high,"Writes the 2-byte big-endian encoding of `length` into the slot ending `length` bytes before the current position (byte[anInt7197-length-2..anInt7197-length-1]) without moving the cursor — same backpatch pattern as method3338/writeIntBackpatch and method3339/writeByteLengthBackpatch but for a 2-byte length field. `checkValue` is unused/decoy (always 1809639944 at every call site: ClanChatRequestSender.kt, ColourAdjustment.kt, SceneNodeDeque.kt)."
method3384,readNullableString,i: Int,checkValue: Int,high,"If the next byte is 0, consumes it and returns null; otherwise delegates to readString. Nullable-string read variant, confirmed by SceneEntityModel.kt usage assigning directly to a nullable String field."
readInt,readInt,i: Byte,checkValue: Byte,high,"Reads a standard big-endian 4-byte int. Name already accurate. Decoy `checkValue` triggers an unrelated method3368/readLongBytes call as a side effect when not -126 (dead in practice — virtually every readInt call site in the file passes -126.toByte())."
method3386,writeVersionedString,"string: String, i: Int","value: String, checkValue: Int",high,"Writes a leading 0 'version' byte, then the CP1252-encoded string (via method3255/encodeCp1252Chars), then a trailing null terminator. The exception text 'cannot pjstr2' (put-java-string-2) confirms this is the write counterpart of method3371/readVersionedString ('gjstr2'). Confirmed via ClientMachineInfo.kt writing versioned machine-info strings."
readUnsignedByte,readUnsignedByte,i: Int,checkValue: Int,high,"Reads a single unsigned byte (0-255). Name already accurate."
readByte,readByte,i: Int,checkValue: Int,high,"Reads a single signed byte. Name already accurate. Decoy `checkValue` calls writeByteAdd as an unrelated side effect if >= -75 (dead in practice)."
method3389,readBytes,"i: Int, i_82_: Int, i_83_: Int, `is`: ByteArray","checkValue: Int, destOffset: Int, length: Int, dest: ByteArray",high,"Copies `length` bytes from the buffer at the current position into `dest` starting at `destOffset`, advancing the cursor. Read counterpart of writeBytes. `checkValue` is unused/decoy (always Int.MAX_VALUE / 2147483647 at every call site: AbstractMenuEntryStatics.kt, CutsceneSequenceData.kt, Client.kt, FontDefinition.kt, KaraokeSubtitleStream.kt, OggCacheStream.kt, RsaPacketDecoder.kt, VorbisAudioDecoder.kt)."
method3390,encryptRsa,"biginteger: BigInt?, i: Byte, biginteger_85_: BigInt?","modulus: BigInt?, checkValue: Byte, exponent: BigInt?",high,"Treats the buffer contents [0, position) as a big-endian unsigned integer, computes `base.modPow(exponent, modulus)` (RSA encryption), resets the position to 0, and writes the result as a length-prefixed (2-byte length + bytes) block. Standard RSA public-key encryption of a login/handshake block, confirmed by MinimapSquareDrawer.kt/SceneNodeDeque.kt passing well-known RSA modulus/exponent BigInt fields."
writeInt,writeInt,"i: Byte, i_90_: Int","checkValue: Byte, value: Int",high,"Writes a standard big-endian 4-byte int. Name already accurate. Decoy `checkValue` calls writeByteAdd as an unrelated side effect if < 84 (dead in practice)."
