current_name,recommended_name,current_params,recommended_params,confidence,notes
C,setModelFlag1,i: Int,value: Int,low,"External override of AbstractModel.C(i), single-Int native setter. AbstractModel.kt has zero real-code wrappers for its abstract members, so no call-site evidence exists in this batch; kept generic."
k,setModelFlag2,i: Int,value: Int,low,"External override of AbstractModel.k(i). Same caveat as C."
w,dispose,bool: Boolean,fromFinalizer: Boolean,high,"Implements Disposable.w(bool)."
O,setPosition,"i: Int, i_0_: Int, i_1_: Int","x: Int, y: Int, z: Int",low,"External override of AbstractModel.O(i,i_72_,i_73_); 3-int mutator, position/offset is the most natural fit but unconfirmed."
s,setModelFlag3,i: Int,value: Int,low,"External override of AbstractModel.s(i)."
LA,setColor,i: Int,value: Int,low,"External override of AbstractModel.LA(i); single-int setter, guessed as a colour/tint value by analogy with similar RS model APIs."
fa,getVertexCount,(none),(none),low,"External override of AbstractModel.fa(): Int, a parameterless getter."
NA,isTransformable,(none),(none),medium,"External override of AbstractModel.NA(): Boolean. Used as a guard in AbstractModel.method603/611/617/625 (`if (NA()) { ...apply npc/texture transform...; wa(); method621() } else method621()`) — gates whether the model currently accepts an NPC/equipment transform application."
F,supportsFaceTransform,(none),(none),low,"External override of AbstractModel.F(): Boolean; another no-arg capability getter, no direct call site found in this batch."
ZA,applyModelTransform,"var_i_2_: i?, var_i_3_: i?, i: Int, bool: Boolean, bool_4_: Boolean","dest: i?, template: i?, flags: Int, isLodOrScaled: Boolean, mirror: Boolean",medium,"External native fun called from a.method152 (createModelVariant): var_i.ZA(dest, template, flags, lodLevel!=0, mirror) — populates/derives a scratch model (dest/template pair from a's pooled scratch models) as part of building an LOD/mirrored model variant."
method613,combineModel,"abstractModel: AbstractModel?, i: Int, i_5_: Int, i_6_: Int, bool: Boolean","other: AbstractModel?, i: Int, j: Int, k: Int, mirror: Boolean",low,"Overrides AbstractModel.method613 (abstract, no real-code caller found). Delegates to a.method144 (this classes' render-worker) — see a.csv's combineModel note; exact semantics (merge vs blend vs copy) unconfirmed."
aa,setOffsetShort,"i: Short, i_7_: Short","x: Short, y: Short",low,"External override of AbstractModel.aa(i,i_161_) (both Short)."
method623,isModelVisibleWithThreshold,"i: Int, i_8_: Int, abstractCameraTransform: AbstractCameraTransform?, bool: Boolean, i_9_: Int, i_10_: Int","x: Int, z: Int, cameraTransform: AbstractCameraTransform?, mirror: Boolean, unusedThreshold: Int, threshold: Int",medium,"Overrides AbstractModel.method623; delegates to a.method143(this, x, z, cameraTransform, mirror, threshold) — note the 5th parameter (i_9_) is NOT forwarded to a.method143, making it an unused/decoy argument at this call site."
EA,getRenderFlags,(none),(none),low,"External override of AbstractModel.EA(): Int. Referenced in AbstractModel.method626 only behind `if (i_116_ != 10947) EA()` with the result discarded — very likely a near-dead/opaque-predicate branch (10947 is an arbitrary sentinel unlikely to ever match), so this call site gives little confidence about actual purpose."
method619,getFacePriorityNodes,(none),(none),high,"Trivial getter: returns aModelFacePriorityNodeArray5119. Overrides AbstractModel.method619()."
wa,finalizeTransform,(none),(none),medium,"External override of AbstractModel.wa(); called immediately after the NPC/texture transform application in AbstractModel.method603/611/617/625, right before method621() (unlock) — likely commits/finalizes face changes made during the transform pass."
P,setFaceTextureData,"i: Int, i_11_: Int, i_12_: Int, i_13_: Int","groupId: Int, a: Int, b: Int, c: Int",low,"External override of AbstractModel.P(i,i_95_,i_96_,i_97_). Called in AbstractModel.method611 both as P(0,0,0,0) (a reset/clear sentinel) and as P(colorGroupId, u, v, w) with real per-face texture-group data — consistent with per-face-group texture coordinate assignment."
method608,computeModelBounds,"abstractCameraTransform: AbstractCameraTransform?, class318_sub3: SceneOcculder?, i: Int, i_71_: Int","cameraTransform: AbstractCameraTransform?, outBounds: SceneOcculder?, i: Int, j: Int",high,"Overrides AbstractModel.method608. When outBounds is non-null, calls a.method149 filling the shared oa.anIntArray5132[0..5] buffer, then copies those 6 ints into outBounds.anInt6405/6402/6406/6404/6403 and aBoolean6401 — clearly a 3D bounding box (x1,y1,x2,y2,z-ish) plus a visibility flag, computed for a given camera transform."
v,resetState,(none),(none),low,"External override of AbstractModel.v(); no-arg no-return native call, purpose unconfirmed."
l,nativeApplyFaceTransform,"l: Long, i: Int, `is`: IntArray?, i_15_: Int, i_16_: Int, i_17_: Int, i_18_: Int, bool: Boolean","nativeId: Long, rotationMode: Int, coords: IntArray?, a: Int, b: Int, c: Int, d: Int, flag: Boolean",medium,"Private external backing method605. AbstractModel.method627 (private helper) rotates a pair of UV/position coordinates by quadrant (0-3) then calls this via method605 with the sentinel 65535 for 'no material index', vs. calling I(...) when a specific material index applies."
method618,supportsTransform,(none),(none),low,"Overrides AbstractModel.method618(): Boolean; hardcoded `return true` — trivial capability stub."
method621,endRenderLock,(none),(none),high,"Overrides AbstractModel.method621(). Under a lock (withLock(this)), sets aBoolean1124=false and notifies waiters — a mutex-release / 'done rendering' signal paired with method622 (endRenderLock/beginRenderLock), only exercised when anOa5117.anInt5141 > 1 (i.e. multithreaded rendering enabled)."
VA,setRoll,i: Int,angle: Int,medium,"External override of AbstractModel.VA(i). In AbstractModel.method626 (real code), an angle computed from atan2 across the model's terrain-height samples is clamped against i_121_/i_117_ and passed to VA(angle) — consistent with orienting a model to match sloped terrain (tilt about one horizontal axis), paired with FA (the other axis)."
method628,isModelVisible,"i: Int, i_19_: Int, abstractCameraTransform: AbstractCameraTransform?, bool: Boolean, i_20_: Int","x: Int, z: Int, cameraTransform: AbstractCameraTransform?, mirror: Boolean, threshold: Int",medium,"Overrides AbstractModel.method628; delegates to a.method146(this, x, z, cameraTransform, mirror) — note i_20_ (threshold) is declared but NOT forwarded, an unused/decoy parameter here (mirrors the pattern seen in method623)."
method614,createModelVariant,"i: Byte, i_21_: Int, bool: Boolean","lodLevel: Byte, flags: Int, mirror: Boolean",medium,"Overrides AbstractModel.method614(): AbstractModel. Delegates to a.method152(this, lodLevel, flags, mirror) — the pooled-scratch-model LOD/mirror clone described in a.csv."
na,getFaceCount,(none),(none),low,"External override of AbstractModel.na(): Int."
HA,getTriangleCount,(none),(none),low,"External override of AbstractModel.HA(): Int."
method612,noOpHook,(none),(none),high,"Overrides AbstractModel.method612() with an explicitly empty body (`/* empty */`) — genuine no-op for this model implementation."
